['african americans', [36366, 36383]]
['african americans', [37021, 37038]]
['african americans', [39344, 39361]]
['african americans', [39489, 39506]]
['african americans', [40144, 40161]]
['method', [144, 150]]
['method', [1150, 1156]]
['method', [9091, 9097]]
['method', [18912, 18918]]
['nine', [151, 155]]
['nine', [168, 172]]
['ninety', [168, 174]]
['eight', [21, 26]]
['eight', [109, 114]]
['eight', [175, 180]]
['eight', [259, 264]]
['eight', [284, 289]]
['eight', [474, 479]]
['eight', [546, 551]]
['eight', [661, 666]]
['eight', [775, 780]]
['eight', [1032, 1037]]
['eight', [2367, 2372]]
['eight', [2638, 2643]]
['eight', [2724, 2729]]
['eight', [2956, 2961]]
['eight', [3006, 3011]]
['eight', [3143, 3148]]
['eight', [3626, 3631]]
['eight', [3837, 3842]]
['eight', [5084, 5089]]
['eight', [5103, 5108]]
['eight', [5253, 5258]]
['eight', [5281, 5286]]
['eight', [5393, 5398]]
['eight', [5470, 5475]]
['eight', [5964, 5969]]
['eight', [9105, 9110]]
['eight', [9269, 9274]]
['eight', [9537, 9542]]
['eight', [9724, 9729]]
['eight', [9826, 9831]]
['eight', [9917, 9922]]
['eight', [10061, 10066]]
['eight', [10091, 10096]]
['eight', [10200, 10205]]
['eight', [10303, 10308]]
['eight', [10408, 10413]]
['eight', [12184, 12189]]
['eight', [12455, 12460]]
['eight', [12541, 12546]]
['eight', [12774, 12779]]
['eight', [12824, 12829]]
['eight', [12961, 12966]]
['eight', [13444, 13449]]
['eight', [13656, 13661]]
['eight', [14903, 14908]]
['eight', [14922, 14927]]
['eight', [15072, 15077]]
['eight', [15100, 15105]]
['eight', [15213, 15218]]
['eight', [15290, 15295]]
['eight', [15784, 15789]]
['eight', [18926, 18931]]
['eight', [19090, 19095]]
['eight', [19358, 19363]]
['eight', [19545, 19550]]
['eight', [19647, 19652]]
['eight', [19738, 19743]]
['eight', [19882, 19887]]
['eight', [19912, 19917]]
['eight', [20021, 20026]]
['eight', [20124, 20129]]
['eight', [20229, 20234]]
['eight', [20866, 20871]]
['eight', [22603, 22608]]
['eight', [22772, 22777]]
['eight', [22802, 22807]]
['eight', [22922, 22927]]
['eight', [23103, 23108]]
['eight', [23182, 23187]]
['eight', [23472, 23477]]
['eight', [23885, 23890]]
['eight', [24430, 24435]]
['eight', [24488, 24493]]
['eight', [24553, 24558]]
['eight', [24633, 24638]]
['eight', [24664, 24669]]
['eight', [24718, 24723]]
['eight', [24753, 24758]]
['eight', [24828, 24833]]
['eight', [24884, 24889]]
['eight', [24937, 24942]]
['eight', [25019, 25024]]
['eight', [25059, 25064]]
['eight', [25193, 25198]]
['eight', [25209, 25214]]
['eight', [25290, 25295]]
['eight', [25377, 25382]]
['eight', [27113, 27118]]
['eight', [27282, 27287]]
['eight', [27312, 27317]]
['eight', [27432, 27437]]
['eight', [27613, 27618]]
['eight', [27692, 27697]]
['eight', [27982, 27987]]
['eight', [28394, 28399]]
['eight', [28939, 28944]]
['eight', [28997, 29002]]
['eight', [29062, 29067]]
['eight', [29142, 29147]]
['eight', [29173, 29178]]
['eight', [29227, 29232]]
['eight', [29262, 29267]]
['eight', [29337, 29342]]
['eight', [29393, 29398]]
['eight', [29446, 29451]]
['eight', [29528, 29533]]
['eight', [29568, 29573]]
['eight', [29702, 29707]]
['eight', [29718, 29723]]
['eight', [29799, 29804]]
['eight', [29886, 29891]]
['eight', [31622, 31627]]
['eight', [31791, 31796]]
['eight', [31821, 31826]]
['eight', [31941, 31946]]
['eight', [32122, 32127]]
['eight', [32201, 32206]]
['eight', [32491, 32496]]
['eight', [32903, 32908]]
['eight', [33448, 33453]]
['eight', [33506, 33511]]
['eight', [33571, 33576]]
['eight', [33651, 33656]]
['eight', [33682, 33687]]
['eight', [33736, 33741]]
['eight', [33771, 33776]]
['eight', [33846, 33851]]
['eight', [33902, 33907]]
['eight', [33955, 33960]]
['eight', [34037, 34042]]
['eight', [34077, 34082]]
['eight', [34211, 34216]]
['eight', [34227, 34232]]
['eight', [34308, 34313]]
['eight', [34508, 34513]]
['eight', [34658, 34663]]
['eight', [34738, 34743]]
['eight', [34770, 34775]]
['eight', [34794, 34799]]
['eight', [34900, 34905]]
['eight', [35285, 35290]]
['eight', [35448, 35453]]
['eight', [35869, 35874]]
['eight', [36561, 36566]]
['eight', [36755, 36760]]
['eight', [36870, 36875]]
['eight', [36992, 36997]]
['eight', [37307, 37312]]
['eight', [37631, 37636]]
['eight', [37781, 37786]]
['eight', [37861, 37866]]
['eight', [37893, 37898]]
['eight', [37917, 37922]]
['eight', [38023, 38028]]
['eight', [38408, 38413]]
['eight', [38571, 38576]]
['eight', [38992, 38997]]
['eight', [39684, 39689]]
['eight', [39878, 39883]]
['eight', [39993, 39998]]
['eight', [40115, 40120]]
['eight', [40430, 40435]]
['participants', [181, 193]]
['participants', [504, 516]]
['participants', [632, 644]]
['participants', [2071, 2083]]
['participants', [2197, 2209]]
['participants', [3166, 3178]]
['participants', [3802, 3814]]
['participants', [3911, 3923]]
['participants', [4427, 4439]]
['participants', [5148, 5160]]
['participants', [5325, 5337]]
['participants', [11888, 11900]]
