['app', [47342, 47345]]
['ps1', [1811, 1814]]
['presenilin', [1797, 1807]]
['presenilin', [1821, 1831]]
['ps2', [1835, 1838]]
['neuronal', [2035, 2043]]
['sortilin-related', [2044, 2060]]
['receptor', [2061, 2069]]
['sorl1', [2071, 2076]]
['sorl1', [2154, 2159]]
['4', [1514, 1515]]
['4', [1931, 1932]]
['4', [2137, 2138]]
['4', [4462, 4463]]
['4', [5268, 5269]]
['4', [7840, 7841]]
['4', [9248, 9249]]
['4', [9266, 9267]]
['4', [9791, 9792]]
['4', [11283, 11284]]
['4', [13079, 13080]]
['4', [17512, 17513]]
['4', [18214, 18215]]
['4', [20349, 20350]]
['4', [21757, 21758]]
['4', [21775, 21776]]
['4', [22301, 22302]]
['4', [23793, 23794]]
['4', [25589, 25590]]
['4', [30024, 30025]]
['4', [30726, 30727]]
['4', [31890, 31891]]
['4', [32777, 32778]]
['4', [33624, 33625]]
['4', [34135, 34136]]
['4', [34980, 34981]]
['4', [35867, 35868]]
['4', [36714, 36715]]
['4', [37225, 37226]]
['4', [38589, 38590]]
['4', [39103, 39104]]
['4', [42278, 42279]]
['4', [45238, 45239]]
['4', [45653, 45654]]
['4', [46066, 46067]]
['4', [46068, 46069]]
['4', [46196, 46197]]
['4', [47291, 47292]]
['4', [47369, 47370]]
['4', [47542, 47543]]
['4', [47694, 47695]]
['4', [47698, 47699]]
['4', [47768, 47769]]
['4', [47782, 47783]]
['4', [47784, 47785]]
['4', [47824, 47825]]
['4', [47825, 47826]]
['4', [47949, 47950]]
['apoe', [2025, 2029]]
['apoe', [2145, 2149]]
['apoe', [3074, 3078]]
['apoe', [3347, 3351]]
['apoe', [6864, 6868]]
['apoe', [7360, 7364]]
['apoe', [19372, 19376]]
['apoe', [19868, 19872]]
['apoe', [38504, 38508]]
['susceptibility', [54, 68]]
['susceptibility', [233, 247]]
['susceptibility', [1222, 1236]]
['susceptibility', [2164, 2178]]
['susceptibility', [2404, 2418]]
['susceptibility', [2625, 2639]]
['susceptibility', [2789, 2803]]
['susceptibility', [3360, 3374]]
['susceptibility', [6299, 6313]]
['susceptibility', [10268, 10282]]
['susceptibility', [10599, 10613]]
['susceptibility', [22778, 22792]]
['susceptibility', [23109, 23123]]
['susceptibility', [37773, 37787]]
['susceptibility', [37928, 37942]]
['susceptibility', [39422, 39436]]
['susceptibility', [42597, 42611]]
['genes', [1757, 1762]]
['genes', [1986, 1991]]
['genes', [2179, 2184]]
['genes', [2430, 2435]]
['ces-d', [3681, 3686]]
['ces-d', [4478, 4483]]
['ces-d', [10475, 10480]]
['ces-d', [17985, 17990]]
['ces-d', [18381, 18386]]
['ces-d', [22985, 22990]]
['ces-d', [30497, 30502]]
['ces-d', [30893, 30898]]
['ces-d', [34378, 34383]]
['ces-d', [34535, 34540]]
['ces-d', [37468, 37473]]
['ces-d', [37625, 37630]]
['ces-d', [39548, 39553]]
['ces-d', [39586, 39591]]
['ces-d', [42723, 42728]]
['ces-d', [42761, 42766]]
['ces-d', [47803, 47808]]
['ces-d', [47915, 47920]]
['ces-d', [48250, 48255]]
['bai', [3713, 3716]]
['bai', [4488, 4491]]
['bai', [10468, 10471]]
['bai', [18541, 18544]]
['bai', [18807, 18810]]
['bai', [22978, 22981]]
['bai', [31053, 31056]]
['bai', [31319, 31322]]
['bai', [34370, 34373]]
['bai', [34490, 34493]]
['bai', [37460, 37463]]
['bai', [37580, 37583]]
['bai', [39558, 39561]]
['bai', [39596, 39599]]
['bai', [42733, 42736]]
['bai', [42771, 42774]]
['bai', [47776, 47779]]
['bai', [47911, 47914]]
['bai', [48050, 48053]]
['bai', [48220, 48223]]
['ies', [164, 167]]
['ies', [2978, 2981]]
['ies', [3659, 3662]]
['ies', [3746, 3749]]
['ies', [4556, 4559]]
['ies', [4759, 4762]]
['ies', [12994, 12997]]
['ies', [14582, 14585]]
['ies', [17367, 17370]]
['ies', [17751, 17754]]
['ies', [17843, 17846]]
['ies', [17898, 17901]]
['ies', [17963, 17966]]
['ies', [18153, 18156]]
['ies', [25504, 25507]]
['ies', [27093, 27096]]
['ies', [29879, 29882]]
['ies', [30263, 30266]]
['ies', [30355, 30358]]
['ies', [30410, 30413]]
['ies', [30475, 30478]]
['ies', [30665, 30668]]
['ies', [34365, 34368]]
['ies', [34481, 34484]]
['ies', [37455, 37458]]
['ies', [37571, 37574]]
['ies', [40278, 40281]]
['ies', [41095, 41098]]
['ies', [41854, 41857]]
['ies', [43453, 43456]]
['ies', [44270, 44273]]
['ies', [45030, 45033]]
['ies', [47743, 47746]]
['ies', [47901, 47904]]
['ies', [48023, 48026]]
['ies', [48191, 48194]]
['ies', [48287, 48290]]
['micra', [5246, 5251]]
['micra', [9750, 9755]]
['micra', [9799, 9804]]
['micra', [10488, 10493]]
['micra', [10736, 10741]]
['micra', [10992, 10997]]
['micra', [11116, 11121]]
['micra', [12093, 12098]]
['micra', [13175, 13180]]
['micra', [22260, 22265]]
['micra', [22309, 22314]]
['micra', [22998, 23003]]
['micra', [23246, 23251]]
['micra', [23502, 23507]]
['micra', [23626, 23631]]
['micra', [24603, 24608]]
['micra', [25685, 25690]]
['micra', [32916, 32921]]
['micra', [36006, 36011]]
['micra', [39096, 39101]]
['micra', [42271, 42276]]
['micra', [45676, 45681]]
['micra', [45744, 45749]]
['pagis', [5579, 5584]]
['pagis', [5675, 5680]]
['pagis', [5978, 5983]]
['pagis', [6104, 6109]]
['reveal', [312, 318]]
['reveal', [2899, 2905]]
['reveal', [3405, 3411]]
['reveal', [3756, 3762]]
['reveal', [3920, 3926]]
['reveal', [6476, 6482]]
['reveal', [6577, 6583]]
['reveal', [6591, 6597]]
['reveal', [6630, 6636]]
['reveal', [6800, 6806]]
['reveal', [8093, 8099]]
['reveal', [12462, 12468]]
['reveal', [17074, 17080]]
['reveal', [18984, 18990]]
['reveal', [19085, 19091]]
['reveal', [19099, 19105]]
['reveal', [19138, 19144]]
['reveal', [19308, 19314]]
['reveal', [20602, 20608]]
['reveal', [24972, 24978]]
['reveal', [29585, 29591]]
['reveal', [32481, 32487]]
['reveal', [33737, 33743]]
['reveal', [35571, 35577]]
['reveal', [36827, 36833]]
['reveal', [40350, 40356]]
['reveal', [41201, 41207]]
