['beta', [60404, 60408]]
['beta', [60541, 60545]]
['beta', [60608, 60612]]
['beta', [62015, 62019]]
['beta', [62397, 62401]]
['beta', [62717, 62721]]
['beta', [62795, 62799]]
['beta', [63060, 63064]]
['beta', [63531, 63535]]
['beta', [63647, 63651]]
['beta', [63818, 63822]]
['beta', [63924, 63928]]
['beta', [64198, 64202]]
['beta', [64542, 64546]]
['beta', [64725, 64729]]
['beta', [64800, 64804]]
['beta', [64824, 64828]]
['beta', [64850, 64854]]
['beta', [64981, 64985]]
['beta', [65097, 65101]]
['beta', [66087, 66091]]
['beta', [66249, 66253]]
['beta', [66518, 66522]]
['beta', [67269, 67273]]
['beta', [67561, 67565]]
['beta', [67855, 67859]]
['beta', [67992, 67996]]
['beta', [68059, 68063]]
['beta', [69466, 69470]]
['beta', [69848, 69852]]
['beta', [70168, 70172]]
['beta', [70246, 70250]]
['beta', [70511, 70515]]
['beta', [70982, 70986]]
['beta', [71098, 71102]]
['beta', [71269, 71273]]
['beta', [71375, 71379]]
['beta', [71649, 71653]]
['beta', [71993, 71997]]
['beta', [72176, 72180]]
['beta', [72251, 72255]]
['beta', [72275, 72279]]
['beta', [72301, 72305]]
['beta', [72432, 72436]]
['beta', [72548, 72552]]
['beta', [73538, 73542]]
['beta', [73699, 73703]]
['beta', [77801, 77805]]
['cells', [960, 965]]
['cells', [992, 997]]
['cells', [1949, 1954]]
['cells', [2078, 2083]]
['cells', [2579, 2584]]
['cells', [2681, 2686]]
['cells', [2780, 2785]]
['cells', [3359, 3364]]
['cells', [3582, 3587]]
['cells', [4875, 4880]]
['cells', [5127, 5132]]
['cells', [5401, 5406]]
['cells', [5978, 5983]]
['cells', [6010, 6015]]
['cells', [6969, 6974]]
['cells', [11174, 11179]]
['cells', [11572, 11577]]
['cells', [20042, 20047]]
['cells', [20440, 20445]]
['cells', [58803, 58808]]
['cells', [61886, 61891]]
['cells', [62020, 62025]]
['cells', [63065, 63070]]
['cells', [64511, 64516]]
['cells', [66254, 66259]]
['cells', [69337, 69342]]
['cells', [69471, 69476]]
['cells', [70516, 70521]]
['cells', [71962, 71967]]
['cells', [73704, 73709]]
['cells', [77806, 77811]]
['allografted', [975, 986]]
['allografted', [5993, 6004]]
['anti-insulin', [2537, 2549]]
['anti-insulin', [2657, 2669]]
['antibody', [2550, 2558]]
['antibody', [75929, 75937]]
['antibody', [76535, 76543]]
['antibody', [80031, 80039]]
['antibody', [80637, 80645]]
['hla-restricted', [2642, 2656]]
['t', [7, 8]]
['t', [13, 14]]
['t', [25, 26]]
['t', [36, 37]]
['t', [49, 50]]
['t', [60, 61]]
['t', [67, 68]]
['t', [74, 75]]
['t', [81, 82]]
['t', [153, 154]]
['t', [169, 170]]
['t', [179, 180]]
['t', [209, 210]]
['t', [236, 237]]
['t', [247, 248]]
['t', [259, 260]]
['t', [264, 265]]
['t', [278, 279]]
['t', [283, 284]]
['t', [288, 289]]
['t', [291, 292]]
['t', [297, 298]]
['t', [307, 308]]
['t', [310, 311]]
['t', [313, 314]]
['t', [321, 322]]
['t', [326, 327]]
['t', [329, 330]]
['t', [340, 341]]
['t', [350, 351]]
['t', [358, 359]]
['t', [362, 363]]
['t', [365, 366]]
['t', [418, 419]]
['t', [430, 431]]
['t', [433, 434]]
['t', [437, 438]]
['t', [442, 443]]
['t', [452, 453]]
['t', [460, 461]]
['t', [474, 475]]
['t', [478, 479]]
['t', [481, 482]]
['t', [502, 503]]
['t', [512, 513]]
['t', [518, 519]]
['t', [528, 529]]
['t', [529, 530]]
['t', [563, 564]]
['t', [572, 573]]
['t', [580, 581]]
['t', [584, 585]]
['t', [588, 589]]
['t', [595, 596]]
['t', [607, 608]]
['t', [612, 613]]
['t', [621, 622]]
['t', [628, 629]]
['t', [643, 644]]
['t', [653, 654]]
['t', [661, 662]]
['t', [673, 674]]
['t', [679, 680]]
['t', [691, 692]]
['t', [699, 700]]
['t', [728, 729]]
['t', [734, 735]]
['t', [739, 740]]
['t', [742, 743]]
['t', [754, 755]]
['t', [756, 757]]
['t', [765, 766]]
['t', [788, 789]]
['t', [797, 798]]
['t', [807, 808]]
['t', [825, 826]]
['t', [831, 832]]
['t', [840, 841]]
['t', [853, 854]]
['t', [873, 874]]
['t', [889, 890]]
['t', [892, 893]]
['t', [909, 910]]
['t', [918, 919]]
['t', [939, 940]]
['t', [951, 952]]
['t', [957, 958]]
['t', [983, 984]]
['t', [989, 990]]
['t', [1025, 1026]]
['t', [1037, 1038]]
['t', [1048, 1049]]
['t', [1051, 1052]]
['t', [1064, 1065]]
['t', [1075, 1076]]
['t', [1083, 1084]]
['t', [1110, 1111]]
['t', [1113, 1114]]
['t', [1117, 1118]]
['t', [1120, 1121]]
['t', [1127, 1128]]
['t', [1136, 1137]]
['t', [1144, 1145]]
['t', [1157, 1158]]
['t', [1173, 1174]]
['t', [1183, 1184]]
['t', [1205, 1206]]
['t', [1208, 1209]]
['t', [1210, 1211]]
['t', [1218, 1219]]
['t', [1254, 1255]]
['t', [1263, 1264]]
['t', [1317, 1318]]
['t', [1352, 1353]]
['t', [1364, 1365]]
['t', [1373, 1374]]
['t', [1384, 1385]]
['t', [1390, 1391]]
['t', [1399, 1400]]
['t', [1407, 1408]]
['t', [1416, 1417]]
['t', [1425, 1426]]
['t', [1449, 1450]]
['t', [1455, 1456]]
['t', [1457, 1458]]
['t', [1475, 1476]]
['t', [1487, 1488]]
['t', [1493, 1494]]
['t', [1505, 1506]]
['t', [1516, 1517]]
['t', [1532, 1533]]
['t', [1548, 1549]]
['t', [1556, 1557]]
['t', [1560, 1561]]
['t', [1563, 1564]]
['t', [1599, 1600]]
['t', [1607, 1608]]
