['1', [27689, 27690]]
['1', [27904, 27905]]
['1', [27960, 27961]]
['1', [28131, 28132]]
['1', [28498, 28499]]
['1', [28682, 28683]]
['1', [28957, 28958]]
['1', [29223, 29224]]
['1', [29225, 29226]]
['1', [29246, 29247]]
['1', [29335, 29336]]
['1', [29358, 29359]]
['1', [29553, 29554]]
['1', [29622, 29623]]
['1', [29645, 29646]]
['1', [29661, 29662]]
['1', [29722, 29723]]
['1', [29793, 29794]]
['1', [30008, 30009]]
['1', [30064, 30065]]
['1', [30235, 30236]]
['1', [30602, 30603]]
['1', [30786, 30787]]
['1', [31061, 31062]]
['1', [32327, 32328]]
['1', [33437, 33438]]
['1', [33518, 33519]]
['1', [33519, 33520]]
['1', [34905, 34906]]
['1', [35550, 35551]]
['1', [35584, 35585]]
['1', [35843, 35844]]
['1', [38862, 38863]]
['1', [39973, 39974]]
['1', [40054, 40055]]
['1', [40055, 40056]]
['1', [41442, 41443]]
['1', [42087, 42088]]
['1', [42121, 42122]]
['1', [42380, 42381]]
['1', [45355, 45356]]
['1', [45590, 45591]]
['1', [45620, 45621]]
['1', [45628, 45629]]
['1', [45633, 45634]]
['1', [45672, 45673]]
['1', [45678, 45679]]
['1', [45683, 45684]]
['1', [45693, 45694]]
['1', [45726, 45727]]
['1', [45743, 45744]]
['1', [45824, 45825]]
['1', [45828, 45829]]
['1', [45833, 45834]]
['1', [45834, 45835]]
['1', [45914, 45915]]
['1', [45921, 45922]]
['1', [45953, 45954]]
['1', [45963, 45964]]
['1', [45966, 45967]]
['1', [45994, 45995]]
['1', [45997, 45998]]
['1', [46003, 46004]]
['1', [46007, 46008]]
['1', [46034, 46035]]
['1', [46045, 46046]]
['1', [46106, 46107]]
['1', [46243, 46244]]
['1', [46250, 46251]]
['1', [46256, 46257]]
['1', [46263, 46264]]
['1', [46266, 46267]]
['1', [46302, 46303]]
['1', [46313, 46314]]
['1', [46341, 46342]]
['1', [46352, 46353]]
['1', [46379, 46380]]
['1', [46425, 46426]]
['1', [46642, 46643]]
['1', [46697, 46698]]
['1', [46760, 46761]]
['1', [46826, 46827]]
['1', [46882, 46883]]
['1', [46896, 46897]]
['1', [46920, 46921]]
['1', [46932, 46933]]
['1', [47165, 47166]]
['1', [47266, 47267]]
['1', [47485, 47486]]
['1', [47495, 47496]]
['1', [47503, 47504]]
['1', [47519, 47520]]
['1', [47545, 47546]]
['1', [47555, 47556]]
['1', [47577, 47578]]
['1', [47593, 47594]]
['1', [47625, 47626]]
['1', [47633, 47634]]
['1', [47643, 47644]]
['1', [47647, 47648]]
['1', [47662, 47663]]
['1', [47680, 47681]]
['1', [47696, 47697]]
['1', [47697, 47698]]
['1', [47702, 47703]]
['1', [47720, 47721]]
['1', [47722, 47723]]
['1', [47738, 47739]]
['1', [47757, 47758]]
['1', [47775, 47776]]
['1', [47798, 47799]]
['1', [47811, 47812]]
['1', [47819, 47820]]
['1', [47829, 47830]]
['1', [47845, 47846]]
['1', [47848, 47849]]
['1', [47866, 47867]]
['1', [47925, 47926]]
['1', [47934, 47935]]
['1', [47937, 47938]]
['1', [47983, 47984]]
['1', [47992, 47993]]
['1', [47995, 47996]]
['1', [48004, 48005]]
['1', [48012, 48013]]
['1', [48058, 48059]]
['1', [48073, 48074]]
['1', [48082, 48083]]
['1', [48084, 48085]]
['1', [48100, 48101]]
['1', [48118, 48119]]
['1', [48130, 48131]]
['1', [48158, 48159]]
['1', [48197, 48198]]
['1', [48211, 48212]]
['1', [48215, 48216]]
['1', [48223, 48224]]
['1', [48228, 48229]]
['1', [48259, 48260]]
['1', [48276, 48277]]
['1', [48279, 48280]]
['1', [48285, 48286]]
['1', [48303, 48304]]
['1', [48313, 48314]]
['1', [48319, 48320]]
['1', [48358, 48359]]
['1', [48370, 48371]]
['1', [48382, 48383]]
['1', [48418, 48419]]
['1', [48427, 48428]]
['1', [48435, 48436]]
['1', [48444, 48445]]
['1', [48456, 48457]]
['1', [48473, 48474]]
['1', [48478, 48479]]
['1', [48507, 48508]]
['1', [48529, 48530]]
['1', [48532, 48533]]
['1', [48534, 48535]]
['1', [48546, 48547]]
['1', [48552, 48553]]
['1', [48602, 48603]]
['1', [48604, 48605]]
['1', [48619, 48620]]
['1', [48627, 48628]]
['1', [48629, 48630]]
['1', [48639, 48640]]
['1', [48648, 48649]]
['1', [48692, 48693]]
['1', [48694, 48695]]
['1', [48703, 48704]]
['1', [48717, 48718]]
['1', [48719, 48720]]
