['a', [4793, 4794]]
['a', [4799, 4800]]
['a', [4802, 4803]]
['a', [4808, 4809]]
['a', [4823, 4824]]
['a', [4848, 4849]]
['a', [4851, 4852]]
['a', [4861, 4862]]
['a', [4870, 4871]]
['a', [4881, 4882]]
['a', [4888, 4889]]
['a', [4904, 4905]]
['a', [4931, 4932]]
['a', [4940, 4941]]
['a', [4954, 4955]]
['a', [4981, 4982]]
['a', [5031, 5032]]
['a', [5050, 5051]]
['a', [5077, 5078]]
['a', [5089, 5090]]
['a', [5096, 5097]]
['a', [5106, 5107]]
['a', [5134, 5135]]
['a', [5143, 5144]]
['a', [5181, 5182]]
['a', [5195, 5196]]
['a', [5197, 5198]]
['a', [5237, 5238]]
['a', [5275, 5276]]
['a', [5309, 5310]]
['a', [5315, 5316]]
['a', [5336, 5337]]
['a', [5340, 5341]]
['a', [5343, 5344]]
['a', [5368, 5369]]
['a', [5375, 5376]]
['a', [5399, 5400]]
['a', [5402, 5403]]
['a', [5412, 5413]]
['a', [5421, 5422]]
['a', [5435, 5436]]
['a', [5445, 5446]]
['a', [5485, 5486]]
['a', [5496, 5497]]
['a', [5517, 5518]]
['a', [5526, 5527]]
['a', [5545, 5546]]
['a', [5580, 5581]]
['a', [5585, 5586]]
['a', [5605, 5606]]
['a', [5610, 5611]]
['a', [5615, 5616]]
['a', [5642, 5643]]
['a', [5656, 5657]]
['a', [5674, 5675]]
['a', [5742, 5743]]
['a', [5764, 5765]]
['a', [5769, 5770]]
['a', [5806, 5807]]
['a', [5810, 5811]]
['a', [5816, 5817]]
['a', [5825, 5826]]
['a', [5831, 5832]]
['a', [5837, 5838]]
['a', [5869, 5870]]
['a', [5874, 5875]]
['a', [5878, 5879]]
['a', [5884, 5885]]
['a', [5889, 5890]]
['a', [5930, 5931]]
['a', [5934, 5935]]
['a', [5939, 5940]]
['a', [5947, 5948]]
['a', [6008, 6009]]
['a', [6013, 6014]]
['a', [6020, 6021]]
['a', [6052, 6053]]
['a', [6065, 6066]]
['a', [6077, 6078]]
['a', [6083, 6084]]
['a', [6110, 6111]]
['a', [6113, 6114]]
['a', [6142, 6143]]
['a', [6149, 6150]]
['a', [6189, 6190]]
['a', [6196, 6197]]
['a', [6213, 6214]]
['a', [6241, 6242]]
['a', [6268, 6269]]
['a', [6282, 6283]]
['a', [6314, 6315]]
['a', [6325, 6326]]
['a', [6346, 6347]]
['a', [6358, 6359]]
['a', [6370, 6371]]
['a', [6390, 6391]]
['a', [6402, 6403]]
['a', [6495, 6496]]
['a', [6524, 6525]]
['a', [6532, 6533]]
['a', [6545, 6546]]
['a', [6554, 6555]]
['a', [6591, 6592]]
['a', [6623, 6624]]
['a', [6633, 6634]]
['a', [6639, 6640]]
['a', [6653, 6654]]
['a', [6674, 6675]]
['a', [6677, 6678]]
['a', [6692, 6693]]
['a', [6697, 6698]]
['a', [6700, 6701]]
['a', [6722, 6723]]
['a', [6733, 6734]]
['a', [6743, 6744]]
['a', [6748, 6749]]
['a', [6752, 6753]]
['a', [6765, 6766]]
['a', [6769, 6770]]
['a', [6773, 6774]]
['a', [6791, 6792]]
['a', [6834, 6835]]
['a', [6838, 6839]]
