['analysis', [10299, 10307]]
['analysis', [10390, 10398]]
['analysis', [16439, 16447]]
['analysis', [21051, 21059]]
['diagnostic test', [409, 424]]
['various', [431, 438]]
['various', [17464, 17471]]
['various', [22076, 22083]]
['cutoff', [439, 445]]
['cutoff', [1281, 1287]]
['cutoff', [6222, 6228]]
['cutoff', [11030, 11036]]
['cutoff', [13613, 13619]]
['cutoff', [15479, 15485]]
['cutoff', [17912, 17918]]
['cutoff', [18046, 18052]]
['cutoff', [22524, 22530]]
['cutoff', [22658, 22664]]
['point', [446, 451]]
['point', [13265, 13270]]
['point', [15131, 15136]]
['point', [18242, 18247]]
['point', [22854, 22859]]
['number', [470, 476]]
['number', [18105, 18111]]
['number', [22717, 22723]]
['true positive', [480, 493]]
['true positive', [14027, 14040]]
['true positive', [15893, 15906]]
['true negative', [496, 509]]
['true negative', [14451, 14464]]
['true negative', [16317, 16330]]
['false positives', [512, 527]]
['false negatives', [533, 548]]
['design', [550, 556]]
['design', [4618, 4624]]
['design', [9425, 9431]]
['secondary', [568, 577]]
['secondary', [1617, 1626]]
['secondary', [6423, 6432]]
['data', [590, 594]]
['data', [1639, 1643]]
['data', [5502, 5506]]
['data', [6445, 6449]]
['data', [10309, 10313]]
['data', [11386, 11390]]
['data', [19730, 19734]]
['data', [24342, 24346]]
['observational study', [612, 631]]
['observational study', [1663, 1682]]
['observational study', [1834, 1853]]
['observational study', [2171, 2190]]
['observational study', [3214, 3233]]
['observational study', [6469, 6488]]
['observational study', [6640, 6659]]
['observational study', [6977, 6996]]
['observational study', [8020, 8039]]
['scores', [652, 658]]
['scores', [1389, 1395]]
['scores', [2496, 2502]]
['scores', [2576, 2582]]
['scores', [4895, 4901]]
['scores', [5901, 5907]]
['scores', [7302, 7308]]
['scores', [7382, 7388]]
['scores', [9702, 9708]]
['scores', [10709, 10715]]
['scores', [11848, 11854]]
['scores', [13071, 13077]]
['scores', [13129, 13135]]
['scores', [13620, 13626]]
['scores', [14937, 14943]]
['scores', [14995, 15001]]
['scores', [15486, 15492]]
['scores', [16507, 16513]]
['scores', [18370, 18376]]
['scores', [20192, 20198]]
['scores', [21119, 21125]]
['scores', [22982, 22988]]
['scores', [24804, 24810]]
['score', [652, 657]]
['score', [1288, 1293]]
['score', [1389, 1394]]
['score', [2496, 2501]]
['score', [2576, 2581]]
['score', [4868, 4873]]
['score', [4895, 4900]]
