['tumor', [3314, 3319]]
['tumor', [3457, 3462]]
['tumor', [3705, 3710]]
['tumor', [8660, 8665]]
['tumor', [9079, 9084]]
['tumor', [9127, 9132]]
['tumor', [9262, 9267]]
['tumor', [9432, 9437]]
['tumor', [16392, 16397]]
['tumor', [16811, 16816]]
['tumor', [16859, 16864]]
['tumor', [16994, 16999]]
['tumor', [17164, 17169]]
['tumor', [20762, 20767]]
['tumor', [20803, 20808]]
['tumor', [20816, 20821]]
['tumor', [20994, 20999]]
['tumor', [21200, 21205]]
['tumor', [21208, 21213]]
['tumor', [21315, 21320]]
['tumor', [21458, 21463]]
['tumor', [21540, 21545]]
['tumor', [23275, 23280]]
['tumor', [23316, 23321]]
['tumor', [23329, 23334]]
['tumor', [23507, 23512]]
['tumor', [23713, 23718]]
['tumor', [23721, 23726]]
['tumor', [23828, 23833]]
['tumor', [23971, 23976]]
['tumor', [24053, 24058]]
['tumor', [27308, 27313]]
['tumor', [27349, 27354]]
['tumor', [27362, 27367]]
['tumor', [27540, 27545]]
['tumor', [27746, 27751]]
['tumor', [27754, 27759]]
['tumor', [27861, 27866]]
['tumor', [28004, 28009]]
['tumor', [28086, 28091]]
['tumor', [28289, 28294]]
['tumor', [28330, 28335]]
['tumor', [28343, 28348]]
['tumor', [28521, 28526]]
['tumor', [28727, 28732]]
['tumor', [28735, 28740]]
['tumor', [28842, 28847]]
['tumor', [28985, 28990]]
['tumor', [29067, 29072]]
['tumor', [32094, 32099]]
['tumor', [32188, 32193]]
['tumor', [32249, 32254]]
['tumor', [32556, 32561]]
['tumor', [32611, 32616]]
['tumor', [32706, 32711]]
['tumor', [32888, 32893]]
['tumor', [32983, 32988]]
['tumor', [33033, 33038]]
['tumor', [33466, 33471]]
['tumor', [33573, 33578]]
['tumor', [33630, 33635]]
['tumor', [33783, 33788]]
['tumor', [33820, 33825]]
['tumor', [33924, 33929]]
['tumor', [34255, 34260]]
['tumor', [34352, 34357]]
['tumor', [34618, 34623]]
['tumor', [34993, 34998]]
['tumor', [35323, 35328]]
['tumor', [35396, 35401]]
['tumor', [38263, 38268]]
['tumor', [38357, 38362]]
['tumor', [38418, 38423]]
['tumor', [38725, 38730]]
['tumor', [38780, 38785]]
['tumor', [38875, 38880]]
['tumor', [39057, 39062]]
['tumor', [39152, 39157]]
['tumor', [39202, 39207]]
['tumor', [39635, 39640]]
['tumor', [39742, 39747]]
['tumor', [39799, 39804]]
['tumor', [39952, 39957]]
['tumor', [39989, 39994]]
['tumor', [40093, 40098]]
['tumor', [40424, 40429]]
['tumor', [40521, 40526]]
['tumor', [40787, 40792]]
['tumor', [41162, 41167]]
['tumor', [41492, 41497]]
['tumor', [41565, 41570]]
['growth', [107, 113]]
['growth', [555, 561]]
['growth', [3320, 3326]]
['growth', [8666, 8672]]
['growth', [9085, 9091]]
['growth', [16398, 16404]]
['growth', [16817, 16823]]
['growth', [20809, 20815]]
['growth', [23322, 23328]]
['growth', [27355, 27361]]
['growth', [28336, 28342]]
['growth', [32100, 32106]]
['growth', [32627, 32633]]
['growth', [32860, 32866]]
['growth', [32894, 32900]]
['growth', [33140, 33146]]
['growth', [33593, 33599]]
['growth', [34195, 34201]]
['growth', [34624, 34630]]
['growth', [38269, 38275]]
['growth', [38796, 38802]]
['growth', [39029, 39035]]
['growth', [39063, 39069]]
['growth', [39309, 39315]]
['growth', [39762, 39768]]
['growth', [40364, 40370]]
['growth', [40793, 40799]]
['cxc', [0, 3]]
['cxc', [114, 117]]
['cxc', [140, 143]]
['cxc', [323, 326]]
['cxc', [688, 691]]
['cxc', [1002, 1005]]
['cxc', [2265, 2268]]
['cxc', [2291, 2294]]
['cxc', [2313, 2316]]
['cxc', [2409, 2412]]
['cxc', [2415, 2418]]
['cxc', [2640, 2643]]
['cxc', [2971, 2974]]
['cxc', [3157, 3160]]
['cxc', [3641, 3644]]
['cxc', [3901, 3904]]
['cxc', [4905, 4908]]
['cxc', [5125, 5128]]
['cxc', [5769, 5772]]
['cxc', [6184, 6187]]
['cxc', [6581, 6584]]
['cxc', [11627, 11630]]
['cxc', [12633, 12636]]
['cxc', [12853, 12856]]
['cxc', [13498, 13501]]
['cxc', [13914, 13917]]
['cxc', [14311, 14314]]
['cxc', [19204, 19207]]
['cxc', [19385, 19388]]
['cxc', [19507, 19510]]
['cxc', [19543, 19546]]
['cxc', [19658, 19661]]
['cxc', [19798, 19801]]
['cxc', [19986, 19989]]
['cxc', [20222, 20225]]
['cxc', [20395, 20398]]
['cxc', [20590, 20593]]
['cxc', [20703, 20706]]
['cxc', [21717, 21720]]
['cxc', [21898, 21901]]
['cxc', [22020, 22023]]
['cxc', [22056, 22059]]
['cxc', [22171, 22174]]
['cxc', [22311, 22314]]
['cxc', [22499, 22502]]
['cxc', [22735, 22738]]
['cxc', [22908, 22911]]
['cxc', [23103, 23106]]
['cxc', [23216, 23219]]
['cxc', [24222, 24225]]
['cxc', [24403, 24406]]
['cxc', [24525, 24528]]
['cxc', [24561, 24564]]
['cxc', [24676, 24679]]
['cxc', [24816, 24819]]
['cxc', [24841, 24844]]
['cxc', [25022, 25025]]
['cxc', [25144, 25147]]
['cxc', [25180, 25183]]
['cxc', [25295, 25298]]
['cxc', [25435, 25438]]
['cxc', [25624, 25627]]
['cxc', [25860, 25863]]
['cxc', [26033, 26036]]
['cxc', [26228, 26231]]
['cxc', [26341, 26344]]
['cxc', [26531, 26534]]
['cxc', [26767, 26770]]
['cxc', [26940, 26943]]
['cxc', [27135, 27138]]
['cxc', [27248, 27251]]
['cxc', [29350, 29353]]
['cxc', [29426, 29429]]
['cxc', [29718, 29721]]
['cxc', [29768, 29771]]
['cxc', [29852, 29855]]
['cxc', [29912, 29915]]
['cxc', [30027, 30030]]
['cxc', [30156, 30159]]
['cxc', [30255, 30258]]
['cxc', [30394, 30397]]
['cxc', [31504, 31507]]
['cxc', [31566, 31569]]
['cxc', [34541, 34544]]
['cxc', [34590, 34593]]
['cxc', [34935, 34938]]
['cxc', [35380, 35383]]
['cxc', [35519, 35522]]
['cxc', [35595, 35598]]
['cxc', [35887, 35890]]
['cxc', [35937, 35940]]
['cxc', [36021, 36024]]
['cxc', [36081, 36084]]
['cxc', [36196, 36199]]
['cxc', [36325, 36328]]
['cxc', [36424, 36427]]
['cxc', [36563, 36566]]
['cxc', [37673, 37676]]
['cxc', [37735, 37738]]
['cxc', [40710, 40713]]
['cxc', [40759, 40762]]
['cxc', [41104, 41107]]
['cxc', [41549, 41552]]
['chemokine', [118, 127]]
['chemokine', [2269, 2278]]
['chemokine', [2791, 2800]]
['receptor', [128, 136]]
['receptor', [206, 214]]
['receptor', [232, 240]]
['receptor', [2279, 2287]]
['receptor', [2801, 2809]]
['receptor', [2994, 3002]]
['receptor', [29449, 29457]]
['receptor', [32372, 32380]]
['receptor', [35618, 35626]]
['receptor', [38541, 38549]]
['4', [4, 5]]
['4', [137, 138]]
['4', [144, 145]]
['4', [327, 328]]
['4', [532, 533]]
['4', [692, 693]]
['4', [1006, 1007]]
['4', [1029, 1030]]
['4', [1163, 1164]]
['4', [1242, 1243]]
['4', [1243, 1244]]
['4', [1249, 1250]]
['4', [1545, 1546]]
['4', [1546, 1547]]
['4', [1552, 1553]]
['4', [2288, 2289]]
['4', [2295, 2296]]
['4', [2413, 2414]]
['4', [2579, 2580]]
['4', [2644, 2645]]
['4', [2975, 2976]]
['4', [3161, 3162]]
['4', [3184, 3185]]
['4', [3645, 3646]]
['4', [3905, 3906]]
['4', [4052, 4053]]
['4', [4072, 4073]]
['4', [4073, 4074]]
['4', [4285, 4286]]
['4', [4638, 4639]]
['4', [4783, 4784]]
['4', [4909, 4910]]
['4', [4930, 4931]]
['4', [5129, 5130]]
['4', [5597, 5598]]
['4', [5634, 5635]]
['4', [5773, 5774]]
['4', [6188, 6189]]
['4', [6355, 6356]]
['4', [6364, 6365]]
['4', [6563, 6564]]
['4', [6585, 6586]]
['4', [7787, 7788]]
['4', [7832, 7833]]
['4', [7888, 7889]]
['4', [8526, 8527]]
['4', [8627, 8628]]
['4', [8716, 8717]]
['4', [8812, 8813]]
['4', [8988, 8989]]
['4', [9754, 9755]]
['4', [9917, 9918]]
['4', [9945, 9946]]
['4', [9988, 9989]]
['4', [9989, 9990]]
['4', [11290, 11291]]
['4', [11631, 11632]]
['4', [11778, 11779]]
['4', [11798, 11799]]
['4', [11799, 11800]]
['4', [12012, 12013]]
['4', [12365, 12366]]
['4', [12510, 12511]]
['4', [12637, 12638]]
['4', [12658, 12659]]
['4', [12857, 12858]]
['4', [13326, 13327]]
['4', [13363, 13364]]
['4', [13502, 13503]]
['4', [13918, 13919]]
['4', [14085, 14086]]
['4', [14094, 14095]]
['4', [14293, 14294]]
['4', [14315, 14316]]
['4', [15518, 15519]]
['4', [15563, 15564]]
['4', [15619, 15620]]
['4', [16257, 16258]]
['4', [16358, 16359]]
['4', [16448, 16449]]
['4', [16544, 16545]]
['4', [16720, 16721]]
['4', [17487, 17488]]
['4', [17650, 17651]]
['4', [17678, 17679]]
['4', [17721, 17722]]
['4', [17722, 17723]]
['4', [19024, 19025]]
['4', [19208, 19209]]
['4', [19346, 19347]]
['4', [19389, 19390]]
['4', [19511, 19512]]
['4', [19533, 19534]]
['4', [19547, 19548]]
['4', [19662, 19663]]
['4', [19802, 19803]]
['4', [19812, 19813]]
['4', [19990, 19991]]
['4', [20127, 20128]]
['4', [20226, 20227]]
['4', [20245, 20246]]
['4', [20399, 20400]]
['4', [20519, 20520]]
['4', [20594, 20595]]
['4', [20707, 20708]]
['4', [20991, 20992]]
['4', [21040, 21041]]
['4', [21105, 21106]]
['4', [21106, 21107]]
['4', [21169, 21170]]
['4', [21426, 21427]]
['4', [21721, 21722]]
['4', [21859, 21860]]
['4', [21902, 21903]]
['4', [22024, 22025]]
['4', [22046, 22047]]
['4', [22060, 22061]]
['4', [22175, 22176]]
['4', [22315, 22316]]
['4', [22325, 22326]]
['4', [22503, 22504]]
['4', [22640, 22641]]
['4', [22739, 22740]]
['4', [22758, 22759]]
['4', [22912, 22913]]
['4', [23032, 23033]]
['4', [23107, 23108]]
['4', [23220, 23221]]
['4', [23504, 23505]]
['4', [23553, 23554]]
['4', [23618, 23619]]
['4', [23619, 23620]]
['4', [23682, 23683]]
['4', [23939, 23940]]
['4', [24226, 24227]]
['4', [24364, 24365]]
['4', [24407, 24408]]
['4', [24529, 24530]]
['4', [24551, 24552]]
['4', [24565, 24566]]
['4', [24680, 24681]]
['4', [24820, 24821]]
['4', [24830, 24831]]
['4', [24845, 24846]]
['4', [24983, 24984]]
['4', [25026, 25027]]
['4', [25148, 25149]]
['4', [25170, 25171]]
['4', [25184, 25185]]
['4', [25299, 25300]]
['4', [25439, 25440]]
['4', [25449, 25450]]
['4', [25628, 25629]]
['4', [25765, 25766]]
['4', [25864, 25865]]
['4', [25883, 25884]]
['4', [26037, 26038]]
['4', [26157, 26158]]
['4', [26232, 26233]]
['4', [26345, 26346]]
['4', [26535, 26536]]
['4', [26672, 26673]]
['4', [26771, 26772]]
['4', [26790, 26791]]
['4', [26944, 26945]]
['4', [27064, 27065]]
['4', [27139, 27140]]
['4', [27252, 27253]]
['4', [27537, 27538]]
['4', [27586, 27587]]
['4', [27651, 27652]]
['4', [27652, 27653]]
['4', [27715, 27716]]
['4', [27972, 27973]]
['4', [28518, 28519]]
['4', [28567, 28568]]
['4', [28632, 28633]]
['4', [28633, 28634]]
['4', [28696, 28697]]
['4', [28953, 28954]]
['4', [29354, 29355]]
['4', [29430, 29431]]
['4', [29664, 29665]]
['4', [29722, 29723]]
['4', [29772, 29773]]
['4', [29856, 29857]]
['4', [29916, 29917]]
['4', [30031, 30032]]
['4', [30160, 30161]]
['4', [30259, 30260]]
['4', [30398, 30399]]
