['35\\.1', [42442, 42447]]
['35\\.1', [54602, 54607]]
['35\\.1', [54786, 54791]]
['35\\.1', [54876, 54881]]
['35\\.1', [59562, 59567]]
['35\\.1', [59746, 59751]]
['35\\.1', [59836, 59841]]
['gene', [10, 14]]
['gene', [599, 603]]
['gene', [743, 747]]
['gene', [1500, 1504]]
['gene', [4409, 4413]]
['gene', [4802, 4806]]
['gene', [8597, 8601]]
['gene', [17660, 17664]]
['gene', [21761, 21765]]
['gene', [29914, 29918]]
['gene', [30687, 30691]]
['gene', [31051, 31055]]
['gene', [33034, 33038]]
['gene', [33209, 33213]]
['gene', [35675, 35679]]
['gene', [36448, 36452]]
['gene', [36812, 36816]]
['gene', [38795, 38799]]
['gene', [38970, 38974]]
['gene', [41428, 41432]]
['gene', [42201, 42205]]
['gene', [42478, 42482]]
['gene', [43251, 43255]]
['gene', [43616, 43620]]
['gene', [45440, 45444]]
['gene', [47424, 47428]]
['gene', [47599, 47603]]
['gene', [49001, 49005]]
['gene', [49176, 49180]]
['gene', [52921, 52925]]
['gene', [53183, 53187]]
['gene', [53461, 53465]]
['gene', [54361, 54365]]
['gene', [54567, 54571]]
['gene', [54633, 54637]]
['gene', [54731, 54735]]
['gene', [55361, 55365]]
['gene', [55814, 55818]]
['gene', [56028, 56032]]
['gene', [56147, 56151]]
['gene', [56377, 56381]]
['gene', [57010, 57014]]
['gene', [57218, 57222]]
['gene', [57361, 57365]]
['gene', [57417, 57421]]
['gene', [57881, 57885]]
['gene', [58143, 58147]]
['gene', [58421, 58425]]
['gene', [59321, 59325]]
['gene', [59527, 59531]]
['gene', [59593, 59597]]
['gene', [59691, 59695]]
['gene', [60321, 60325]]
['gene', [60774, 60778]]
['gene', [60988, 60992]]
['gene', [61107, 61111]]
['gene', [61337, 61341]]
['gene', [61970, 61974]]
['gene', [62178, 62182]]
['gene', [62321, 62325]]
['gene', [62377, 62381]]
['variant', [604, 611]]
['variant', [4807, 4814]]
['variant', [53466, 53473]]
['variant', [53867, 53874]]
['variant', [58426, 58433]]
['variant', [58827, 58834]]
['human', [781, 786]]
['human', [1391, 1396]]
['human', [4060, 4065]]
['human', [5015, 5020]]
['human', [5171, 5176]]
['human', [5241, 5246]]
['human', [7715, 7720]]
['human', [8566, 8571]]
['human', [11877, 11882]]
['human', [11955, 11960]]
['human', [14232, 14237]]
['human', [14302, 14307]]
['human', [16778, 16783]]
['human', [17629, 17634]]
['human', [21730, 21735]]
['human', [25045, 25050]]
['human', [25123, 25128]]
['human', [27422, 27427]]
['human', [30768, 30773]]
['human', [30853, 30858]]
['human', [30940, 30945]]
['human', [31543, 31548]]
['human', [31884, 31889]]
['human', [33602, 33607]]
['human', [34235, 34240]]
['human', [34763, 34768]]
['human', [36529, 36534]]
['human', [36614, 36619]]
['human', [36701, 36706]]
['human', [37304, 37309]]
['human', [37645, 37650]]
['human', [39363, 39368]]
['human', [39996, 40001]]
['human', [40524, 40529]]
['human', [43333, 43338]]
['human', [43418, 43423]]
['human', [43505, 43510]]
['human', [44108, 44113]]
['human', [44449, 44454]]
['human', [45157, 45162]]
['human', [45242, 45247]]
['human', [45329, 45334]]
['human', [45932, 45937]]
['human', [46273, 46278]]
['human', [47992, 47997]]
['human', [49569, 49574]]
['human', [50203, 50208]]
['human', [50702, 50707]]
['human', [51231, 51236]]
['human', [52038, 52043]]
['human', [52866, 52871]]
['human', [53993, 53998]]
['human', [56511, 56516]]
['human', [57826, 57831]]
['human', [58953, 58958]]
['human', [61471, 61476]]
['hippocampal', [787, 798]]
['hippocampal', [5177, 5188]]
['hippocampal', [14238, 14249]]
['hippocampal', [30953, 30964]]
['hippocampal', [31207, 31218]]
['hippocampal', [31549, 31560]]
['hippocampal', [36714, 36725]]
['hippocampal', [36968, 36979]]
['hippocampal', [37310, 37321]]
['hippocampal', [43518, 43529]]
['hippocampal', [43772, 43783]]
['hippocampal', [44114, 44125]]
['hippocampal', [45342, 45353]]
['hippocampal', [45596, 45607]]
['hippocampal', [45938, 45949]]
['mrna', [799, 803]]
['mrna', [940, 944]]
['mrna', [1052, 1056]]
['mrna', [5054, 5058]]
['mrna', [7727, 7731]]
['mrna', [16790, 16794]]
['mrna', [32044, 32048]]
['mrna', [32484, 32488]]
['mrna', [32734, 32738]]
['mrna', [32779, 32783]]
['mrna', [33182, 33186]]
['mrna', [33355, 33359]]
['mrna', [34107, 34111]]
['mrna', [34162, 34166]]
['mrna', [34255, 34259]]
['mrna', [34398, 34402]]
['mrna', [34577, 34581]]
['mrna', [34618, 34622]]
['mrna', [34753, 34757]]
['mrna', [34950, 34954]]
['mrna', [35061, 35065]]
['mrna', [35142, 35146]]
['mrna', [35313, 35317]]
['mrna', [35365, 35369]]
['mrna', [37805, 37809]]
['mrna', [38245, 38249]]
['mrna', [38495, 38499]]
['mrna', [38540, 38544]]
['mrna', [38943, 38947]]
['mrna', [39116, 39120]]
['mrna', [39868, 39872]]
['mrna', [39923, 39927]]
['mrna', [40016, 40020]]
['mrna', [40159, 40163]]
['mrna', [40338, 40342]]
['mrna', [40379, 40383]]
['mrna', [40514, 40518]]
['mrna', [40711, 40715]]
['mrna', [40822, 40826]]
['mrna', [40903, 40907]]
['mrna', [41074, 41078]]
['mrna', [41126, 41130]]
['mrna', [44609, 44613]]
['mrna', [45049, 45053]]
['mrna', [46433, 46437]]
['mrna', [46873, 46877]]
['mrna', [47124, 47128]]
['mrna', [47169, 47173]]
['mrna', [47572, 47576]]
['mrna', [47745, 47749]]
['mrna', [48497, 48501]]
['mrna', [48701, 48705]]
['mrna', [48746, 48750]]
['mrna', [49149, 49153]]
['mrna', [49322, 49326]]
['mrna', [50074, 50078]]
['mrna', [50130, 50134]]
['mrna', [50223, 50227]]
['mrna', [50366, 50370]]
['mrna', [50545, 50549]]
['mrna', [50586, 50590]]
['mrna', [50629, 50633]]
['mrna', [50722, 50726]]
['mrna', [50865, 50869]]
['mrna', [51044, 51048]]
['mrna', [51085, 51089]]
['mrna', [51221, 51225]]
['mrna', [51418, 51422]]
['mrna', [51529, 51533]]
['mrna', [51610, 51614]]
['mrna', [51781, 51785]]
['mrna', [51833, 51837]]
['mrna', [52028, 52032]]
['mrna', [52225, 52229]]
['mrna', [52336, 52340]]
['mrna', [52417, 52421]]
['mrna', [52588, 52592]]
['mrna', [52640, 52644]]
['mrna', [53983, 53987]]
['mrna', [54116, 54120]]
['mrna', [54147, 54151]]
['mrna', [54212, 54216]]
['mrna', [54397, 54401]]
['mrna', [54453, 54457]]
['mrna', [55114, 55118]]
['mrna', [55927, 55931]]
['mrna', [56001, 56005]]
['mrna', [56055, 56059]]
['mrna', [56223, 56227]]
['mrna', [56503, 56507]]
['mrna', [58943, 58947]]
['mrna', [59076, 59080]]
['mrna', [59107, 59111]]
['mrna', [59172, 59176]]
['mrna', [59357, 59361]]
['mrna', [59413, 59417]]
['mrna', [60074, 60078]]
['mrna', [60887, 60891]]
['mrna', [60961, 60965]]
['mrna', [61015, 61019]]
['mrna', [61183, 61187]]
['mrna', [61463, 61467]]
['exons', [842, 847]]
['exons', [1009, 1014]]
['exons', [4442, 4447]]
['exons', [4991, 4996]]
['exons', [6183, 6188]]
['exons', [7794, 7799]]
['exons', [15245, 15250]]
['exons', [16857, 16862]]
['exons', [20957, 20962]]
['exons', [29933, 29938]]
['exons', [29984, 29989]]
['exons', [30117, 30122]]
['exons', [30759, 30764]]
['exons', [30916, 30921]]
['exons', [31838, 31843]]
['exons', [31942, 31947]]
['exons', [31993, 31998]]
['exons', [32227, 32232]]
['exons', [32534, 32539]]
['exons', [32647, 32652]]
['exons', [32889, 32894]]
['exons', [32954, 32959]]
['exons', [33225, 33230]]
['exons', [33534, 33539]]
['exons', [33659, 33664]]
['exons', [34050, 34055]]
['exons', [34321, 34326]]
['exons', [34847, 34852]]
['exons', [35694, 35699]]
['exons', [35745, 35750]]
['exons', [35878, 35883]]
