['l', [17131, 17132]]
['l', [17142, 17143]]
['l', [17186, 17187]]
['l', [17201, 17202]]
['l', [17228, 17229]]
['l', [17232, 17233]]
['l', [17304, 17305]]
['l', [17305, 17306]]
['l', [17307, 17308]]
['l', [17396, 17397]]
['l', [17460, 17461]]
['l', [17589, 17590]]
['l', [17590, 17591]]
['l', [17592, 17593]]
['l', [17644, 17645]]
['l', [17645, 17646]]
['l', [17660, 17661]]
['l', [17710, 17711]]
['l', [17781, 17782]]
['l', [17782, 17783]]
['l', [17866, 17867]]
['l', [17880, 17881]]
['l', [17889, 17890]]
['l', [17929, 17930]]
['l', [17941, 17942]]
['l', [17948, 17949]]
['l', [17952, 17953]]
['l', [18050, 18051]]
['l', [18085, 18086]]
['l', [18151, 18152]]
['l', [18161, 18162]]
['l', [18188, 18189]]
['l', [18213, 18214]]
['l', [18214, 18215]]
['l', [18216, 18217]]
['l', [18259, 18260]]
['l', [18314, 18315]]
['l', [18479, 18480]]
['l', [18480, 18481]]
['l', [18495, 18496]]
['l', [18545, 18546]]
['l', [18616, 18617]]
['l', [18617, 18618]]
['l', [18704, 18705]]
['l', [18744, 18745]]
['l', [18758, 18759]]
['l', [18856, 18857]]
['l', [18898, 18899]]
['l', [18982, 18983]]
['l', [18998, 18999]]
['l', [19003, 19004]]
['l', [19024, 19025]]
['l', [19050, 19051]]
['l', [19118, 19119]]
['l', [19119, 19120]]
['l', [19121, 19122]]
['l', [19162, 19163]]
['l', [19169, 19170]]
['l', [19203, 19204]]
['l', [19204, 19205]]
['l', [19206, 19207]]
['l', [19250, 19251]]
['l', [19262, 19263]]
['l', [19270, 19271]]
['l', [19271, 19272]]
['l', [19273, 19274]]
['l', [19297, 19298]]
['l', [19310, 19311]]
['l', [19311, 19312]]
['l', [19362, 19363]]
['l', [19363, 19364]]
['l', [19365, 19366]]
['l', [19389, 19390]]
['l', [19434, 19435]]
['l', [19469, 19470]]
['l', [19490, 19491]]
['l', [19543, 19544]]
['l', [19654, 19655]]
['l', [19694, 19695]]
['l', [19733, 19734]]
['l', [19734, 19735]]
['l', [19742, 19743]]
['l', [19758, 19759]]
['l', [19764, 19765]]
['l', [19776, 19777]]
['l', [19800, 19801]]
['l', [19809, 19810]]
['l', [19810, 19811]]
['l', [19812, 19813]]
['l', [19820, 19821]]
['l', [19851, 19852]]
['l', [19865, 19866]]
['l', [19867, 19868]]
['l', [19870, 19871]]
['l', [19899, 19900]]
['l', [19904, 19905]]
['l', [19967, 19968]]
['l', [19979, 19980]]
['l', [19991, 19992]]
['l', [20021, 20022]]
['l', [20045, 20046]]
['l', [20069, 20070]]
['l', [20301, 20302]]
['l', [20302, 20303]]
['l', [20333, 20334]]
['l', [20422, 20423]]
['l', [20423, 20424]]
['l', [20436, 20437]]
['l', [20459, 20460]]
