['igf-i', [73073, 73078]]
['igf-i', [73214, 73219]]
['igf-i', [73258, 73263]]
['igf-i', [73313, 73318]]
['igf-i', [73407, 73412]]
['igf-i', [73616, 73621]]
['igf-i', [73829, 73834]]
['igf-i', [73848, 73853]]
['igf-i', [73925, 73930]]
['igf-i', [74068, 74073]]
['igf-i', [74213, 74218]]
['igf-i', [74271, 74276]]
['igf-i', [74390, 74395]]
['igf-i', [75194, 75199]]
['igf-i', [75362, 75367]]
['igf-i', [75456, 75461]]
['igf-i', [75560, 75565]]
['igf-i', [76602, 76607]]
['igf-i', [76690, 76695]]
['igf-i', [76893, 76898]]
['igf-i', [77055, 77060]]
['igf-i', [77431, 77436]]
['igf-i', [78777, 78782]]
['igf-i', [79013, 79018]]
['igf-i', [79177, 79182]]
['igf-i', [79392, 79397]]
['igf-i', [79590, 79595]]
['igf-i', [79704, 79709]]
['igf-i', [79861, 79866]]
['igf-i', [79951, 79956]]
['igf-i', [80211, 80216]]
['igf-i', [80315, 80320]]
['igf-i', [80423, 80428]]
['igf-i', [80455, 80460]]
['igf-i', [80647, 80652]]
['igf-i', [82365, 82370]]
['igf-i', [82437, 82442]]
['igf-i', [82528, 82533]]
['igf-i', [82722, 82727]]
['igf-i', [83105, 83110]]
['igf-i', [83227, 83232]]
['igf-i', [83318, 83323]]
['igf-i', [83516, 83521]]
['igf-i', [83638, 83643]]
['igf-i', [83749, 83754]]
['igf-i', [83771, 83776]]
['igf-i', [83898, 83903]]
['igf-i', [84355, 84360]]
['igf-i', [84446, 84451]]
['igf-i', [84897, 84902]]
['igf-i', [84988, 84993]]
['igf-i', [85625, 85630]]
['igf-i', [85716, 85721]]
['igf-i', [86805, 86810]]
['igf-i', [86896, 86901]]
['igf-i', [87557, 87562]]
['igf-i', [87661, 87666]]
['igf-i', [87769, 87774]]
['igf-i', [87801, 87806]]
['igf-i', [87993, 87998]]
['igf-i', [89711, 89716]]
['igf-i', [89783, 89788]]
['igf-i', [89874, 89879]]
['igf-i', [90068, 90073]]
['igf-i', [90451, 90456]]
['igf-i', [90573, 90578]]
['igf-i', [90664, 90669]]
['igf-i', [90862, 90867]]
['igf-i', [90984, 90989]]
['igf-i', [91095, 91100]]
['igf-i', [91117, 91122]]
['igf-i', [91244, 91249]]
['igf-i', [91701, 91706]]
['igf-i', [91792, 91797]]
['igf-i', [92243, 92248]]
['igf-i', [92334, 92339]]
['igf-i', [92971, 92976]]
['igf-i', [93062, 93067]]
['igf-i', [94151, 94156]]
['igf-i', [94242, 94247]]
['igf', [6, 9]]
['igf', [120, 123]]
['igf', [199, 202]]
['igf', [358, 361]]
['igf', [424, 427]]
['igf', [433, 436]]
['igf', [454, 457]]
['igf', [664, 667]]
['igf', [834, 837]]
['igf', [946, 949]]
['igf', [1139, 1142]]
['igf', [1192, 1195]]
['igf', [1208, 1211]]
['igf', [1520, 1523]]
['igf', [1625, 1628]]
['igf', [1712, 1715]]
['igf', [1932, 1935]]
['igf', [3287, 3290]]
['igf', [3536, 3539]]
['igf', [3836, 3839]]
['igf', [3905, 3908]]
['igf', [3946, 3949]]
['igf', [4050, 4053]]
['igf', [4173, 4176]]
['igf', [4337, 4340]]
['igf', [4545, 4548]]
['igf', [4698, 4701]]
['igf', [4806, 4809]]
['igf', [4858, 4861]]
['igf', [5141, 5144]]
['igf', [5234, 5237]]
['igf', [5782, 5785]]
['igf', [5803, 5806]]
['igf', [5977, 5980]]
['igf', [6093, 6096]]
['igf', [6241, 6244]]
['igf', [6433, 6436]]
['igf', [6475, 6478]]
['igf', [6570, 6573]]
['igf', [6638, 6641]]
['igf', [6664, 6667]]
['igf', [6693, 6696]]
