['am', [73971, 73973]]
['am', [74047, 74049]]
['am', [75056, 75058]]
['am', [75214, 75216]]
['am', [75350, 75352]]
['am', [75714, 75716]]
['am', [75882, 75884]]
['am', [75988, 75990]]
['am', [76185, 76187]]
['am', [76789, 76791]]
['am', [77167, 77169]]
['am', [78178, 78180]]
['am', [78639, 78641]]
['am', [78715, 78717]]
['am', [79724, 79726]]
['am', [79882, 79884]]
['am', [80018, 80020]]
['am', [80382, 80384]]
['am', [80550, 80552]]
['am', [80656, 80658]]
['am', [80853, 80855]]
['am', [81457, 81459]]
['am', [81835, 81837]]
['am', [82831, 82833]]
['am', [83292, 83294]]
['am', [83368, 83370]]
['am', [83870, 83872]]
['am', [84331, 84333]]
['am', [84407, 84409]]
['am', [86325, 86327]]
['am', [86483, 86485]]
['am', [86619, 86621]]
['am', [86983, 86985]]
['am', [87151, 87153]]
['am', [87257, 87259]]
['am', [87454, 87456]]
['am', [88058, 88060]]
['am', [88436, 88438]]
['am', [89034, 89036]]
['am', [89192, 89194]]
['am', [89328, 89330]]
['am', [89692, 89694]]
['am', [89860, 89862]]
['am', [89966, 89968]]
['am', [90163, 90165]]
['am', [90767, 90769]]
['am', [91145, 91147]]
['am', [91809, 91811]]
['am', [92665, 92667]]
['am', [92863, 92865]]
['am', [93299, 93301]]
['am', [93415, 93417]]
['am', [93508, 93510]]
['am', [93859, 93861]]
['am', [94334, 94336]]
['am', [94784, 94786]]
['am', [95600, 95602]]
['am', [95649, 95651]]
['am', [96166, 96168]]
['am', [96179, 96181]]
['am', [96573, 96575]]
['am', [97149, 97151]]
['am', [97786, 97788]]
['am', [97871, 97873]]
['am', [98200, 98202]]
['am', [99056, 99058]]
['am', [99254, 99256]]
['am', [99690, 99692]]
['am', [99806, 99808]]
['am', [99899, 99901]]
['am', [100250, 100252]]
['am', [100725, 100727]]
['am', [101175, 101177]]
['am', [101991, 101993]]
['am', [102040, 102042]]
['am', [102557, 102559]]
['am', [102570, 102572]]
['am', [102964, 102966]]
['am', [103540, 103542]]
['am', [104177, 104179]]
['am', [104262, 104264]]
['am', [104926, 104928]]
['am', [109865, 109867]]
['homotopic', [4580, 4589]]
['region', [3042, 3048]]
['region', [4590, 4596]]
['region', [7197, 7203]]
['region', [7590, 7596]]
['region', [7655, 7661]]
['region', [12796, 12802]]
['region', [13190, 13196]]
['region', [13255, 13261]]
['probabilistic', [387, 400]]
['probabilistic', [453, 466]]
['probabilistic', [2729, 2742]]
['probabilistic', [3091, 3104]]
['probabilistic', [3330, 3343]]
['probabilistic', [3601, 3614]]
['probabilistic', [4923, 4936]]
['probabilistic', [5145, 5158]]
['probabilistic', [5171, 5184]]
['probabilistic', [10769, 10782]]
['probabilistic', [92776, 92789]]
['probabilistic', [92966, 92979]]
['probabilistic', [99167, 99180]]
['probabilistic', [99357, 99370]]
['probabilistic', [104601, 104614]]
['probabilistic', [104671, 104684]]
['probabilistic', [104872, 104885]]
['probabilistic', [109540, 109553]]
['probabilistic', [109610, 109623]]
['probabilistic', [109811, 109824]]
['atlases', [2874, 2881]]
['atlases', [4937, 4944]]
['atlases', [5185, 5192]]
['atlases', [5748, 5755]]
['atlases', [6151, 6158]]
['atlases', [6213, 6220]]
['atlases', [6438, 6445]]
['atlases', [10783, 10790]]
['atlases', [11346, 11353]]
['atlases', [11750, 11757]]
['atlases', [11812, 11819]]
['atlases', [12037, 12044]]
['atlases', [17264, 17271]]
['atlases', [27936, 27943]]
['atlases', [38582, 38589]]
['atlases', [39711, 39718]]
['atlases', [104615, 104622]]
['atlases', [104886, 104893]]
['atlases', [109554, 109561]]
['atlases', [109825, 109832]]
['\\{', [5378, 5380]]
['\\{', [6749, 6751]]
['\\{', [8077, 8079]]
['\\{', [8101, 8103]]
['\\{', [8128, 8130]]
['\\{', [10976, 10978]]
['\\{', [12348, 12350]]
['\\{', [13677, 13679]]
['\\{', [13701, 13703]]
['\\{', [13728, 13730]]
['\\{', [105577, 105579]]
['\\{', [105614, 105616]]
['\\{', [105659, 105661]]
['\\{', [110516, 110518]]
['\\{', [110553, 110555]]
['\\{', [110598, 110600]]
['si', [49, 51]]
['si', [382, 384]]
['si', [1319, 1321]]
['si', [1449, 1451]]
['si', [1495, 1497]]
['si', [1635, 1637]]
['si', [1791, 1793]]
['si', [2135, 2137]]
['si', [2581, 2583]]
['si', [2724, 2726]]
['si', [2860, 2862]]
['si', [3029, 3031]]
['si', [3906, 3908]]
['si', [4272, 4274]]
['si', [4366, 4368]]
['si', [4634, 4636]]
['si', [4948, 4950]]
['si', [5380, 5382]]
['si', [5557, 5559]]
['si', [5616, 5618]]
['si', [5631, 5633]]
['si', [6238, 6240]]
['si', [6795, 6797]]
['si', [7088, 7090]]
['si', [7554, 7556]]
['si', [7576, 7578]]
['si', [7978, 7980]]
['si', [8901, 8903]]
['si', [9019, 9021]]
['si', [9045, 9047]]
['si', [9057, 9059]]
