['-', [28087, 28088]]
['-', [28232, 28233]]
['-', [28290, 28291]]
['-', [28321, 28322]]
['-', [28346, 28347]]
['-', [28539, 28540]]
['-', [29012, 29013]]
['23', [2653, 2655]]
['23', [7363, 7365]]
['23', [8628, 8630]]
['23', [14462, 14464]]
['23', [15727, 15729]]
['23', [21106, 21108]]
['chemico-physical', [2656, 2672]]
['enhancers', [2673, 2682]]
['spr', [3106, 3109]]
['ctab', [3427, 3431]]
['nps', [3524, 3527]]
['nps', [3682, 3685]]
['nps', [3947, 3950]]
['nps', [4036, 4039]]
['nps', [4226, 4229]]
['nps', [4366, 4369]]
['nps', [4478, 4481]]
['nps', [4675, 4678]]
['nps', [4871, 4874]]
['nps', [5276, 5279]]
['nps', [5502, 5505]]
['nps', [5625, 5628]]
['nps', [5829, 5832]]
['nps', [6085, 6088]]
['nps', [6929, 6932]]
['nps', [7254, 7257]]
['nps', [7274, 7277]]
['nps', [8241, 8244]]
['nps', [8810, 8813]]
['nps', [12972, 12975]]
['nps', [13154, 13157]]
['nps', [13183, 13186]]
['nps', [14027, 14030]]
['nps', [14353, 14356]]
['nps', [14373, 14376]]
['nps', [15340, 15343]]
['nps', [15910, 15913]]
['nps', [20074, 20077]]
['nps', [20256, 20259]]
['nps', [20347, 20350]]
['nps', [21205, 21208]]
['nps', [23115, 23118]]
['nps', [23188, 23191]]
['nps', [23422, 23425]]
['nps', [23454, 23457]]
['nps', [23618, 23621]]
['nps', [24527, 24530]]
['nps', [24737, 24740]]
['nps', [24876, 24879]]
['nps', [24957, 24960]]
['nps', [25176, 25179]]
['nps', [25205, 25208]]
['nps', [25275, 25278]]
['nps', [25454, 25457]]
['nps', [25597, 25600]]
['nps', [25816, 25819]]
['nps', [26058, 26061]]
['nps', [26334, 26337]]
['nps', [26580, 26583]]
['nps', [26670, 26673]]
['nps', [26871, 26874]]
['nps', [27234, 27237]]
['nps', [27651, 27654]]
['nps', [28416, 28419]]
['nps', [28632, 28635]]
['nps', [28770, 28773]]
['nps', [29053, 29056]]
['glycoproteins', [3872, 3885]]
['lectins', [3897, 3904]]
['antibodies', [3910, 3920]]
['antibodies', [5752, 5762]]
['antibodies', [7393, 7403]]
['antibodies', [8277, 8287]]
['antibodies', [8389, 8399]]
['antibodies', [14492, 14502]]
['antibodies', [15376, 15386]]
['antibodies', [15488, 15498]]
['fig\\.', [5045, 5050]]
['fig\\.', [10761, 10766]]
['fig\\.', [17862, 17867]]
['fig\\.', [20308, 20313]]
['fig\\.', [20559, 20564]]
['fig\\.', [20749, 20754]]
['fig\\.', [22015, 22020]]
['fig\\.', [22205, 22210]]
['fig\\.', [22343, 22348]]
['fig\\.', [22748, 22753]]
['fig\\.', [22838, 22843]]
['fig\\.', [22941, 22946]]
['fig\\.', [23250, 23255]]
['fig\\.', [23316, 23321]]
['fig\\.', [23725, 23730]]
['fig\\.', [23765, 23770]]
['fig\\.', [23905, 23910]]
['fig\\.', [23928, 23933]]
['fig\\.', [24206, 24211]]
['fig\\.', [25182, 25187]]
['fig\\.', [25637, 25642]]
['fig\\.', [27531, 27536]]
['fig\\.', [27798, 27803]]
['fig\\.', [28273, 28278]]
['fig\\.', [28480, 28485]]
['fig\\.', [28622, 28627]]
['fig\\.', [28744, 28749]]
['fig\\.', [28860, 28865]]
['fig\\.', [28972, 28977]]
['mns', [5226, 5229]]
['mns', [5512, 5515]]
['mns', [5887, 5890]]
['mns', [12944, 12947]]
['mns', [20046, 20049]]
['mns', [20436, 20439]]
['mns', [23180, 23183]]
['mns', [24335, 24338]]
['mns', [26285, 26288]]
['mns', [29045, 29048]]
['antiepidermal', [5697, 5710]]
['growth', [5711, 5717]]
['factor', [5718, 5724]]
['factor', [10415, 10421]]
['factor', [10477, 10483]]
['factor', [17515, 17521]]
['factor', [17577, 17583]]
['receptor', [5725, 5733]]
['\\(', [175, 177]]
['\\(', [1420, 1422]]
['\\(', [1460, 1462]]
['\\(', [1645, 1647]]
['\\(', [2020, 2022]]
['\\(', [2053, 2055]]
['\\(', [2075, 2077]]
['\\(', [2683, 2685]]
['\\(', [3105, 3107]]
['\\(', [3426, 3428]]
['\\(', [3520, 3522]]
['\\(', [3848, 3850]]
['\\(', [4149, 4151]]
['\\(', [4181, 4183]]
['\\(', [4986, 4988]]
['\\(', [5051, 5053]]
['\\(', [5225, 5227]]
['\\(', [5361, 5363]]
['\\(', [5398, 5400]]
['\\(', [5407, 5409]]
['\\(', [5734, 5736]]
['\\(', [5787, 5789]]
['\\(', [6089, 6091]]
['\\(', [6189, 6191]]
['\\(', [6354, 6356]]
['\\(', [6473, 6475]]
['\\(', [6513, 6515]]
['\\(', [7052, 7054]]
['\\(', [7106, 7108]]
['\\(', [7160, 7162]]
['\\(', [7317, 7319]]
['\\(', [7361, 7363]]
['\\(', [7404, 7406]]
['\\(', [7680, 7682]]
['\\(', [7782, 7784]]
['\\(', [8429, 8431]]
['\\(', [8439, 8441]]
['\\(', [8458, 8460]]
['\\(', [8626, 8628]]
['\\(', [8737, 8739]]
['\\(', [8959, 8961]]
['\\(', [9016, 9018]]
['\\(', [9056, 9058]]
['\\(', [9440, 9442]]
['\\(', [9704, 9706]]
['\\(', [9817, 9819]]
['\\(', [10126, 10128]]
['\\(', [10411, 10413]]
['\\(', [10476, 10478]]
['\\(', [10612, 10614]]
['\\(', [10759, 10761]]
['\\(', [12051, 12053]]
['\\(', [12520, 12522]]
['\\(', [12583, 12585]]
['\\(', [12817, 12819]]
['\\(', [13104, 13106]]
['\\(', [13187, 13189]]
['\\(', [13287, 13289]]
['\\(', [13452, 13454]]
['\\(', [13571, 13573]]
['\\(', [13611, 13613]]
['\\(', [14150, 14152]]
['\\(', [14204, 14206]]
['\\(', [14258, 14260]]
['\\(', [14416, 14418]]
['\\(', [14460, 14462]]
['\\(', [14503, 14505]]
['\\(', [14779, 14781]]
['\\(', [14881, 14883]]
['\\(', [15528, 15530]]
['\\(', [15538, 15540]]
['\\(', [15557, 15559]]
['\\(', [15725, 15727]]
['\\(', [15836, 15838]]
['\\(', [16059, 16061]]
['\\(', [16116, 16118]]
['\\(', [16156, 16158]]
['\\(', [16540, 16542]]
['\\(', [16804, 16806]]
['\\(', [16917, 16919]]
['\\(', [17226, 17228]]
['\\(', [17511, 17513]]
['\\(', [17576, 17578]]
['\\(', [17713, 17715]]
['\\(', [17860, 17862]]
['\\(', [19152, 19154]]
['\\(', [19622, 19624]]
['\\(', [19685, 19687]]
['\\(', [19919, 19921]]
['\\(', [20206, 20208]]
['\\(', [20340, 20342]]
['\\(', [20440, 20442]]
['\\(', [20573, 20575]]
['\\(', [20631, 20633]]
['\\(', [20954, 20956]]
['\\(', [20963, 20965]]
['\\(', [20991, 20993]]
['\\(', [21094, 21096]]
['\\(', [21117, 21119]]
['\\(', [21229, 21231]]
['\\(', [21327, 21329]]
['\\(', [21354, 21356]]
['\\(', [21363, 21365]]
['\\(', [21410, 21412]]
['\\(', [21419, 21421]]
['\\(', [22000, 22002]]
['\\(', [22203, 22205]]
['\\(', [22349, 22351]]
['\\(', [22653, 22655]]
['\\(', [22754, 22756]]
['\\(', [22761, 22763]]
['\\(', [22844, 22846]]
['\\(', [22855, 22857]]
['\\(', [22947, 22949]]
['\\(', [22977, 22979]]
['\\(', [23042, 23044]]
['\\(', [23256, 23258]]
