['specific', [39336, 39344]]
['specific', [39371, 39379]]
['specific', [40769, 40777]]
['specific', [41136, 41144]]
['specific', [41369, 41377]]
['specific', [41544, 41552]]
['specific', [43459, 43467]]
['specific', [43540, 43548]]
['specific', [43684, 43692]]
['specific', [45223, 45231]]
['specific', [45520, 45528]]
['specific', [46724, 46732]]
['specific', [47268, 47276]]
['specific', [47680, 47688]]
['specific', [49769, 49777]]
['specific', [49929, 49937]]
['specific', [52501, 52509]]
['specific', [52668, 52676]]
['antigen', [3236, 3243]]
['psa', [3245, 3248]]
['psa', [30558, 30561]]
['psa', [30640, 30643]]
['psa', [30845, 30848]]
['psa', [31045, 31048]]
['psa', [31942, 31945]]
['psa', [32525, 32528]]
['psa', [32688, 32691]]
['psa', [33849, 33852]]
['psa', [34088, 34091]]
['psa', [36328, 36331]]
['psa', [36526, 36529]]
['psa', [36541, 36544]]
['psa', [40060, 40063]]
['psa', [40142, 40145]]
['psa', [40347, 40350]]
['psa', [40547, 40550]]
['psa', [41444, 41447]]
['psa', [42027, 42030]]
['psa', [42190, 42193]]
['psa', [43351, 43354]]
['psa', [43590, 43593]]
['psa', [45830, 45833]]
['psa', [46028, 46031]]
['psa', [46043, 46046]]
['end', [2487, 2490]]
['end', [3128, 3131]]
['end', [3956, 3959]]
['end', [5847, 5850]]
['end', [8299, 8302]]
['end', [16763, 16766]]
['end', [17718, 17721]]
['end', [22711, 22714]]
['end', [30329, 30332]]
['end', [34632, 34635]]
['end', [36405, 36408]]
['end', [39831, 39834]]
['end', [44134, 44137]]
['end', [45907, 45910]]
['results', [760, 767]]
['results', [977, 984]]
['results', [3960, 3967]]
['results', [4479, 4486]]
['results', [13596, 13603]]
['results', [13813, 13820]]
['results', [23229, 23236]]
['results', [25352, 25359]]
['results', [27869, 27876]]
['results', [28793, 28800]]
['results', [32412, 32419]]
['results', [36689, 36696]]
['results', [37371, 37378]]
['results', [38295, 38302]]
['results', [41914, 41921]]
['results', [46191, 46198]]
['\\(', [229, 231]]
['\\(', [258, 260]]
['\\(', [278, 280]]
['\\(', [316, 318]]
['\\(', [353, 355]]
['\\(', [377, 379]]
['\\(', [1265, 1267]]
['\\(', [1285, 1287]]
['\\(', [1874, 1876]]
['\\(', [2217, 2219]]
['\\(', [2321, 2323]]
['\\(', [2341, 2343]]
['\\(', [2379, 2381]]
['\\(', [2416, 2418]]
['\\(', [2446, 2448]]
['\\(', [2809, 2811]]
['\\(', [3204, 3206]]
['\\(', [3244, 3246]]
['\\(', [3404, 3406]]
['\\(', [3968, 3970]]
['\\(', [4060, 4062]]
['\\(', [4317, 4319]]
['\\(', [4413, 4415]]
['\\(', [4674, 4676]]
['\\(', [5109, 5111]]
['\\(', [5225, 5227]]
['\\(', [5358, 5360]]
['\\(', [6134, 6136]]
['\\(', [6921, 6923]]
['\\(', [7166, 7168]]
['\\(', [7190, 7192]]
['\\(', [7206, 7208]]
['\\(', [7493, 7495]]
['\\(', [7609, 7611]]
['\\(', [7733, 7735]]
['\\(', [7822, 7824]]
['\\(', [7869, 7871]]
['\\(', [8586, 8588]]
['\\(', [9373, 9375]]
['\\(', [9618, 9620]]
['\\(', [9642, 9644]]
['\\(', [9658, 9660]]
['\\(', [9945, 9947]]
['\\(', [10061, 10063]]
['\\(', [10185, 10187]]
['\\(', [10274, 10276]]
['\\(', [10321, 10323]]
['\\(', [10604, 10606]]
['\\(', [11393, 11395]]
['\\(', [11638, 11640]]
['\\(', [11662, 11664]]
['\\(', [11678, 11680]]
['\\(', [11966, 11968]]
['\\(', [12082, 12084]]
['\\(', [12206, 12208]]
['\\(', [12295, 12297]]
['\\(', [12342, 12344]]
['\\(', [13241, 13243]]
['\\(', [14101, 14103]]
['\\(', [14121, 14123]]
['\\(', [16351, 16353]]
['\\(', [16362, 16364]]
['\\(', [18005, 18007]]
['\\(', [18792, 18794]]
['\\(', [19037, 19039]]
['\\(', [19061, 19063]]
['\\(', [19077, 19079]]
['\\(', [19364, 19366]]
['\\(', [19480, 19482]]
['\\(', [19604, 19606]]
['\\(', [19693, 19695]]
['\\(', [19740, 19742]]
['\\(', [20638, 20640]]
['\\(', [22298, 22300]]
['\\(', [22309, 22311]]
['\\(', [23681, 23683]]
['\\(', [23712, 23714]]
['\\(', [23996, 23998]]
['\\(', [24184, 24186]]
['\\(', [24205, 24207]]
['\\(', [25804, 25806]]
['\\(', [25835, 25837]]
['\\(', [26119, 26121]]
['\\(', [26307, 26309]]
['\\(', [26328, 26330]]
['\\(', [28289, 28291]]
['\\(', [28546, 28548]]
['\\(', [28574, 28576]]
['\\(', [28844, 28846]]
['\\(', [29101, 29103]]
['\\(', [29317, 29319]]
['\\(', [29418, 29420]]
['\\(', [29599, 29601]]
['\\(', [30287, 30289]]
['\\(', [30917, 30919]]
['\\(', [31231, 31233]]
['\\(', [31433, 31435]]
['\\(', [32897, 32899]]
['\\(', [33168, 33170]]
['\\(', [33625, 33627]]
['\\(', [34056, 34058]]
['\\(', [34197, 34199]]
['\\(', [34294, 34296]]
['\\(', [34478, 34480]]
['\\(', [35287, 35289]]
['\\(', [37791, 37793]]
['\\(', [38048, 38050]]
['\\(', [38076, 38078]]
['\\(', [38346, 38348]]
['\\(', [38603, 38605]]
['\\(', [38819, 38821]]
['\\(', [38920, 38922]]
['\\(', [39101, 39103]]
['\\(', [39789, 39791]]
['\\(', [40419, 40421]]
['\\(', [40733, 40735]]
['\\(', [40935, 40937]]
['\\(', [42399, 42401]]
['\\(', [42670, 42672]]
['\\(', [43127, 43129]]
['\\(', [43558, 43560]]
['\\(', [43699, 43701]]
['\\(', [43796, 43798]]
['\\(', [43980, 43982]]
['\\(', [44789, 44791]]
['\\(', [47249, 47251]]
['\\(', [47286, 47288]]
['\\(', [47350, 47352]]
['\\(', [47355, 47357]]
['\\(', [47386, 47388]]
['\\(', [47391, 47393]]
['\\(', [47428, 47430]]
['\\(', [47453, 47455]]
['\\(', [47498, 47500]]
['\\(', [47547, 47549]]
['\\(', [47577, 47579]]
['\\(', [47661, 47663]]
['\\(', [47698, 47700]]
['\\(', [47764, 47766]]
['\\(', [47769, 47771]]
['\\(', [47800, 47802]]
['\\(', [47805, 47807]]
['\\(', [47849, 47851]]
['\\(', [47895, 47897]]
['\\(', [47925, 47927]]
['\\(', [48141, 48143]]
['seer', [3969, 3973]]
['seer', [4003, 4007]]
['seer', [4521, 4525]]
['seer', [4766, 4770]]
['seer', [5268, 5272]]
['seer', [6859, 6863]]
['seer', [9311, 9315]]
['seer', [11331, 11335]]
['seer', [18730, 18734]]
['seer', [27591, 27595]]
['seer', [28442, 28446]]
['seer', [32860, 32864]]
['seer', [34953, 34957]]
['seer', [37093, 37097]]
['seer', [37944, 37948]]
['seer', [42362, 42366]]
['seer', [44455, 44459]]
['seer', [48561, 48565]]
['\\)', [233, 235]]
['\\)', [261, 263]]
['\\)', [281, 283]]
['\\)', [321, 323]]
['\\)', [357, 359]]
['\\)', [380, 382]]
['\\)', [1268, 1270]]
['\\)', [1351, 1353]]
['\\)', [1878, 1880]]
['\\)', [2221, 2223]]
['\\)', [2324, 2326]]
['\\)', [2344, 2346]]
['\\)', [2384, 2386]]
['\\)', [2420, 2422]]
['\\)', [2454, 2456]]
['\\)', [2817, 2819]]
['\\)', [3208, 3210]]
['\\)', [3248, 3250]]
['\\)', [3413, 3415]]
['\\)', [3973, 3975]]
['\\)', [4070, 4072]]
['\\)', [4322, 4324]]
['\\)', [4418, 4420]]
['\\)', [4699, 4701]]
['\\)', [5119, 5121]]
['\\)', [5230, 5232]]
['\\)', [5364, 5366]]
['\\)', [6177, 6179]]
['\\)', [6955, 6957]]
['\\)', [7174, 7176]]
['\\)', [7198, 7200]]
['\\)', [7215, 7217]]
['\\)', [7498, 7500]]
['\\)', [7618, 7620]]
['\\)', [7797, 7799]]
['\\)', [7830, 7832]]
['\\)', [7878, 7880]]
['\\)', [8629, 8631]]
['\\)', [9407, 9409]]
['\\)', [9626, 9628]]
['\\)', [9650, 9652]]
['\\)', [9667, 9669]]
['\\)', [9950, 9952]]
['\\)', [10070, 10072]]
['\\)', [10249, 10251]]
['\\)', [10282, 10284]]
['\\)', [10330, 10332]]
['\\)', [10647, 10649]]
['\\)', [11427, 11429]]
['\\)', [11646, 11648]]
['\\)', [11670, 11672]]
['\\)', [11687, 11689]]
['\\)', [11971, 11973]]
['\\)', [12091, 12093]]
['\\)', [12270, 12272]]
['\\)', [12303, 12305]]
['\\)', [12351, 12353]]
['\\)', [13250, 13252]]
['\\)', [14104, 14106]]
['\\)', [14187, 14189]]
['\\)', [16360, 16362]]
['\\)', [16367, 16369]]
['\\)', [18048, 18050]]
['\\)', [18826, 18828]]
['\\)', [19045, 19047]]
['\\)', [19069, 19071]]
['\\)', [19086, 19088]]
['\\)', [19369, 19371]]
['\\)', [19489, 19491]]
['\\)', [19668, 19670]]
['\\)', [19701, 19703]]
['\\)', [19749, 19751]]
['\\)', [20647, 20649]]
['\\)', [22307, 22309]]
['\\)', [22314, 22316]]
['\\)', [23686, 23688]]
['\\)', [23717, 23719]]
['\\)', [24011, 24013]]
['\\)', [24197, 24199]]
['\\)', [24225, 24227]]
['\\)', [25809, 25811]]
['\\)', [25840, 25842]]
['\\)', [26134, 26136]]
['\\)', [26320, 26322]]
['\\)', [26348, 26350]]
['\\)', [28293, 28295]]
['\\)', [28551, 28553]]
['\\)', [28579, 28581]]
['\\)', [28877, 28879]]
['\\)', [29106, 29108]]
['\\)', [29322, 29324]]
['\\)', [29428, 29430]]
['\\)', [29604, 29606]]
['\\)', [30292, 30294]]
['\\)', [30927, 30929]]
['\\)', [31236, 31238]]
['\\)', [31438, 31440]]
['\\)', [32902, 32904]]
['\\)', [33173, 33175]]
['\\)', [33630, 33632]]
['\\)', [34060, 34062]]
['\\)', [34202, 34204]]
['\\)', [34304, 34306]]
['\\)', [34488, 34490]]
['\\)', [35292, 35294]]
['\\)', [37795, 37797]]
['\\)', [38053, 38055]]
['\\)', [38081, 38083]]
['\\)', [38379, 38381]]
['\\)', [38608, 38610]]
['\\)', [38824, 38826]]
['\\)', [38930, 38932]]
['\\)', [39106, 39108]]
['\\)', [39794, 39796]]
['\\)', [40429, 40431]]
['\\)', [40738, 40740]]
['\\)', [40940, 40942]]
['\\)', [42404, 42406]]
['\\)', [42675, 42677]]
['\\)', [43132, 43134]]
['\\)', [43562, 43564]]
['\\)', [43704, 43706]]
['\\)', [43806, 43808]]
['\\)', [43990, 43992]]
['\\)', [44794, 44796]]
['\\)', [47254, 47256]]
['\\)', [47291, 47293]]
['\\)', [47353, 47355]]
['\\)', [47360, 47362]]
['\\)', [47389, 47391]]
['\\)', [47396, 47398]]
['\\)', [47431, 47433]]
['\\)', [47456, 47458]]
['\\)', [47503, 47505]]
['\\)', [47551, 47553]]
['\\)', [47580, 47582]]
['\\)', [47666, 47668]]
['\\)', [47703, 47705]]
['\\)', [47767, 47769]]
['\\)', [47774, 47776]]
['\\)', [47803, 47805]]
['\\)', [47810, 47812]]
['\\)', [47853, 47855]]
['\\)', [47900, 47902]]
['\\)', [47928, 47930]]
['\\)', [48229, 48231]]
['-medicare', [3974, 3983]]
['-medicare', [4770, 4779]]
['-medicare', [5272, 5281]]
['-medicare', [27595, 27604]]
['-medicare', [28446, 28455]]
['-medicare', [32864, 32873]]
['-medicare', [37097, 37106]]
['-medicare', [37948, 37957]]
['-medicare', [42366, 42375]]
['database', [3689, 3697]]
['database', [3984, 3992]]
['database', [5216, 5224]]
['database', [30699, 30707]]
['database', [40201, 40209]]
['cald', [5226, 5230]]
['cald', [14817, 14821]]
['cald', [20764, 20768]]
['cald', [27554, 27558]]
['cald', [28658, 28662]]
['cald', [37056, 37060]]
['cald', [38160, 38164]]
['ociss', [5359, 5364]]
['ociss', [6894, 6899]]
['ociss', [9346, 9351]]
['ociss', [11366, 11371]]
['ociss', [14876, 14881]]
['ociss', [14963, 14968]]
['ociss', [15125, 15130]]
['ociss', [15200, 15205]]
['ociss', [15388, 15393]]
['ociss', [15475, 15480]]
['ociss', [15797, 15802]]
['ociss', [16776, 16781]]
['ociss', [18765, 18770]]
['ociss', [20823, 20828]]
['ociss', [20910, 20915]]
['ociss', [21072, 21077]]
['ociss', [21147, 21152]]
['ociss', [21335, 21340]]
['ociss', [21422, 21427]]
['ociss', [21744, 21749]]
['ociss', [22724, 22729]]
['ociss', [34968, 34973]]
['ociss', [44470, 44475]]
['sas', [13233, 13236]]
['sas', [20630, 20633]]
['9\\.0', [13237, 13241]]
['9\\.0', [20634, 20638]]
['\xe2\x80\x9cpatid\xe2\x80\x9d', [15441, 15452]]
['\xe2\x80\x9cpatid\xe2\x80\x9d', [21388, 21399]]
['distant', [867, 874]]
['distant', [6975, 6982]]
['distant', [9427, 9434]]
['distant', [11447, 11454]]
['distant', [12986, 12993]]
['distant', [13703, 13710]]
['distant', [17226, 17233]]
['distant', [18846, 18853]]
['distant', [20383, 20390]]
['distant', [23174, 23181]]
['distant', [23589, 23596]]
['distant', [23858, 23865]]
['distant', [23954, 23961]]
['distant', [24140, 24147]]
['distant', [24522, 24529]]
['distant', [25096, 25103]]
['distant', [25712, 25719]]
['distant', [25981, 25988]]
['distant', [26077, 26084]]
['distant', [26263, 26270]]
['distant', [26645, 26652]]
['distant', [27219, 27226]]
['distant', [28558, 28565]]
['distant', [32797, 32804]]
['distant', [38060, 38067]]
['distant', [42299, 42306]]
['distant', [47720, 47727]]
['distant', [48627, 48634]]
['distant', [49833, 49840]]
['distant', [50231, 50238]]
['distant', [51666, 51673]]
['distant', [52565, 52572]]
['distant', [52970, 52977]]
['distant', [54419, 54426]]
['metastases', [17234, 17244]]
['metastases', [23182, 23192]]
['ebrt\\.', [23801, 23807]]
['ebrt\\.', [25924, 25930]]
['ebrt\\.', [29193, 29199]]
['ebrt\\.', [32713, 32719]]
['ebrt\\.', [38695, 38701]]
['ebrt\\.', [42215, 42221]]
['figure', [23644, 23650]]
['figure', [23807, 23813]]
['figure', [25767, 25773]]
['figure', [25930, 25936]]
['figure', [47200, 47206]]
['figure', [47219, 47225]]
['figure', [47631, 47637]]
['2', [546, 547]]
['2', [709, 710]]
['2', [806, 807]]
['2', [815, 816]]
['2', [1273, 1274]]
['2', [1329, 1330]]
['2', [1432, 1433]]
['2', [1993, 1994]]
['2', [2025, 2026]]
['2', [2448, 2449]]
['2', [4068, 4069]]
['2', [7168, 7169]]
['2', [7323, 7324]]
['2', [7857, 7858]]
['2', [7876, 7877]]
['2', [9620, 9621]]
['2', [9775, 9776]]
['2', [10309, 10310]]
['2', [10328, 10329]]
['2', [11640, 11641]]
['2', [11796, 11797]]
['2', [12330, 12331]]
['2', [12349, 12350]]
['2', [13381, 13382]]
['2', [13544, 13545]]
['2', [13642, 13643]]
['2', [13651, 13652]]
['2', [14109, 14110]]
['2', [14165, 14166]]
['2', [14268, 14269]]
['2', [16602, 16603]]
['2', [16750, 16751]]
['2', [16962, 16963]]
['2', [17159, 17160]]
['2', [19039, 19040]]
['2', [19194, 19195]]
['2', [19728, 19729]]
['2', [19747, 19748]]
['2', [22550, 22551]]
['2', [22698, 22699]]
['2', [22910, 22911]]
['2', [23107, 23108]]
['2', [23617, 23618]]
['2', [23626, 23627]]
['2', [23814, 23815]]
['2', [24182, 24183]]
['2', [24798, 24799]]
['2', [25740, 25741]]
['2', [25749, 25750]]
['2', [25937, 25938]]
['2', [26305, 26306]]
['2', [26921, 26922]]
['2', [29103, 29104]]
['2', [29319, 29320]]
['2', [29601, 29602]]
['2', [29602, 29603]]
['2', [30289, 30290]]
['2', [30919, 30920]]
['2', [30924, 30925]]
['2', [31435, 31436]]
['2', [33170, 33171]]
['2', [33627, 33628]]
['2', [33861, 33862]]
['2', [34058, 34059]]
['2', [34199, 34200]]
['2', [34481, 34482]]
['2', [38605, 38606]]
['2', [38821, 38822]]
['2', [39103, 39104]]
['2', [39104, 39105]]
['2', [39791, 39792]]
['2', [40421, 40422]]
['2', [40426, 40427]]
['2', [40937, 40938]]
['2', [42672, 42673]]
['2', [43129, 43130]]
['2', [43363, 43364]]
['2', [43560, 43561]]
['2', [43701, 43702]]
['2', [43983, 43984]]
['2', [47638, 47639]]
['2', [48128, 48129]]
['2', [48357, 48358]]
['2', [48375, 48376]]
['2', [48379, 48380]]
['2', [48383, 48384]]
['2', [48387, 48388]]
['2', [48404, 48405]]
['2', [48430, 48431]]
['2', [48446, 48447]]
['2', [48457, 48458]]
['2', [48458, 48459]]
['2', [48463, 48464]]
['2', [48492, 48493]]
['2', [48497, 48498]]
['2', [48506, 48507]]
['2', [48533, 48534]]
['2', [48551, 48552]]
['2', [48557, 48558]]
['2', [48599, 48600]]
['2', [48613, 48614]]
['2', [48623, 48624]]
['2', [48672, 48673]]
['2', [48766, 48767]]
['2', [48790, 48791]]
['2', [48842, 48843]]
['2', [48879, 48880]]
['2', [48888, 48889]]
['2', [48904, 48905]]
['2', [48905, 48906]]
['2', [48928, 48929]]
['2', [48930, 48931]]
['2', [48939, 48940]]
['2', [48941, 48942]]
['2', [48953, 48954]]
['2', [48990, 48991]]
['2', [49000, 49001]]
['2', [49017, 49018]]
['2', [49026, 49027]]
['2', [49041, 49042]]
['2', [49058, 49059]]
['2', [49063, 49064]]
['2', [49067, 49068]]
['2', [49069, 49070]]
['2', [49071, 49072]]
['2', [49073, 49074]]
['2', [49097, 49098]]
['2', [49131, 49132]]
['2', [49141, 49142]]
['2', [49147, 49148]]
['2', [49149, 49150]]
['2', [49722, 49723]]
['2', [50092, 50093]]
['2', [50134, 50135]]
['2', [50190, 50191]]
['2', [50195, 50196]]
['2', [50197, 50198]]
['2', [50199, 50200]]
['2', [50217, 50218]]
['2', [50271, 50272]]
['2', [50276, 50277]]
['2', [50321, 50322]]
['2', [50352, 50353]]
['2', [50363, 50364]]
['2', [50380, 50381]]
['2', [50400, 50401]]
['2', [50401, 50402]]
['2', [50434, 50435]]
['2', [50472, 50473]]
['2', [50491, 50492]]
['2', [50528, 50529]]
['2', [50533, 50534]]
['2', [50560, 50561]]
['2', [50580, 50581]]
['2', [50586, 50587]]
['2', [50597, 50598]]
['2', [50630, 50631]]
['2', [50683, 50684]]
['2', [50810, 50811]]
['2', [50818, 50819]]
['2', [50833, 50834]]
['2', [50849, 50850]]
['2', [50882, 50883]]
['2', [50972, 50973]]
['2', [51003, 51004]]
['2', [51004, 51005]]
['2', [51014, 51015]]
['2', [51036, 51037]]
['2', [51076, 51077]]
['2', [51078, 51079]]
['2', [51124, 51125]]
['2', [51144, 51145]]
['2', [51164, 51165]]
['2', [51188, 51189]]
['2', [51189, 51190]]
['2', [51208, 51209]]
['2', [51210, 51211]]
['2', [51299, 51300]]
['2', [51303, 51304]]
['2', [51320, 51321]]
['2', [51351, 51352]]
['2', [51356, 51357]]
['2', [51372, 51373]]
['2', [51458, 51459]]
['2', [51465, 51466]]
['2', [51540, 51541]]
['2', [51549, 51550]]
['2', [51554, 51555]]
['2', [51619, 51620]]
['2', [51630, 51631]]
['2', [51632, 51633]]
['2', [51634, 51635]]
['2', [51788, 51789]]
['2', [51827, 51828]]
['2', [51835, 51836]]
['2', [51857, 51858]]
