['score', [18571, 18576]]
['score', [18636, 18641]]
['score', [18715, 18720]]
['score', [19241, 19246]]
['score', [19550, 19555]]
['score', [19705, 19710]]
['score', [19985, 19990]]
['score', [21060, 21065]]
['score', [21164, 21169]]
['score', [21780, 21785]]
['score', [22453, 22458]]
['score', [22608, 22613]]
['score', [22889, 22894]]
['score', [23965, 23970]]
['score', [24069, 24074]]
['score', [24687, 24692]]
['score', [25740, 25745]]
['score', [26216, 26221]]
['score', [26249, 26254]]
['score', [26314, 26319]]
['score', [26393, 26398]]
['score', [26655, 26660]]
['score', [29052, 29057]]
['score', [29179, 29184]]
['score', [29299, 29304]]
['score', [29524, 29529]]
['score', [29844, 29849]]
['score', [29967, 29972]]
['score', [30187, 30192]]
['score', [35015, 35020]]
['score', [35787, 35792]]
['score', [36107, 36112]]
['score', [36230, 36235]]
['score', [36450, 36455]]
['score', [41278, 41283]]
['score', [42042, 42047]]
['score', [42362, 42367]]
['score', [42485, 42490]]
['score', [42705, 42710]]
['score', [43961, 43966]]
['score', [44281, 44286]]
['score', [44404, 44409]]
['score', [44624, 44629]]
['score', [53188, 53193]]
['score', [53794, 53799]]
['score', [55542, 55547]]
['score', [63905, 63910]]
['score', [66089, 66094]]
['score', [74452, 74457]]
['score', [76194, 76199]]
['score', [77936, 77941]]
['vabs', [6227, 6231]]
['vabs', [6368, 6372]]
['vabs', [6655, 6659]]
['vabs', [16051, 16055]]
['vabs', [16192, 16196]]
['vabs', [16479, 16483]]
['vabs', [20821, 20825]]
['vabs', [20962, 20966]]
['vabs', [21249, 21253]]
['vabs', [23726, 23730]]
['vabs', [23867, 23871]]
['vabs', [24154, 24158]]
['cbcl', [6267, 6271]]
['cbcl', [6479, 6483]]
['cbcl', [6661, 6665]]
['cbcl', [16091, 16095]]
['cbcl', [16303, 16307]]
['cbcl', [16485, 16489]]
['cbcl', [20861, 20865]]
['cbcl', [21073, 21077]]
['cbcl', [21255, 21259]]
['cbcl', [23766, 23770]]
['cbcl', [23978, 23982]]
['cbcl', [24160, 24164]]
['cdi', [6320, 6323]]
['cdi', [6583, 6586]]
['cdi', [6671, 6674]]
['cdi', [16144, 16147]]
['cdi', [16407, 16410]]
['cdi', [16495, 16498]]
['cdi', [20914, 20917]]
['cdi', [21177, 21180]]
['cdi', [21265, 21268]]
['cdi', [23819, 23822]]
['cdi', [24082, 24085]]
['cdi', [24170, 24173]]
['validity\\.', [6720, 6730]]
['validity\\.', [7409, 7419]]
['validity\\.', [7613, 7623]]
['validity\\.', [16544, 16554]]
['validity\\.', [17233, 17243]]
['validity\\.', [17437, 17447]]
['validity\\.', [21314, 21324]]
['validity\\.', [22003, 22013]]
['validity\\.', [22207, 22217]]
['validity\\.', [24219, 24229]]
['validity\\.', [24910, 24920]]
['validity\\.', [25114, 25124]]
['41', [2368, 2370]]
['41', [6234, 6236]]
['41', [6730, 6732]]
['41', [12190, 12192]]
['41', [16058, 16060]]
['41', [16554, 16556]]
['41', [20828, 20830]]
['41', [21324, 21326]]
['41', [23733, 23735]]
['41', [24229, 24231]]
['\xe2\x80\x93', [6089, 6092]]
['\xe2\x80\x93', [6733, 6736]]
['\xe2\x80\x93', [15913, 15916]]
['\xe2\x80\x93', [16557, 16560]]
['\xe2\x80\x93', [20683, 20686]]
['\xe2\x80\x93', [21327, 21330]]
['\xe2\x80\x93', [23587, 23590]]
['\xe2\x80\x93', [24232, 24235]]
['\xe2\x80\x93', [29887, 29890]]
['\xe2\x80\x93', [30022, 30025]]
['\xe2\x80\x93', [36150, 36153]]
['\xe2\x80\x93', [36285, 36288]]
