['jmml', [50394, 50398]]
['jmml', [52359, 52363]]
['jmml', [53520, 53524]]
['jmml', [54602, 54606]]
['jmml', [54741, 54745]]
['jmml', [54875, 54879]]
['jmml', [55308, 55312]]
['jmml', [55549, 55553]]
['jmml', [55716, 55720]]
['jmml', [55940, 55944]]
['jmml', [56436, 56440]]
['jmml', [56707, 56711]]
['jmml', [57904, 57908]]
['jmml', [58967, 58971]]
['jmml', [59339, 59343]]
['jmml', [59607, 59611]]
['jmml', [60241, 60245]]
['jmml', [60396, 60400]]
['jmml', [60907, 60911]]
['jmml', [61146, 61150]]
['jmml', [62401, 62405]]
['jmml', [62947, 62951]]
['jmml', [63156, 63160]]
['jmml', [64106, 64110]]
['jmml', [64245, 64249]]
['jmml', [64379, 64383]]
['jmml', [64812, 64816]]
['jmml', [65053, 65057]]
['jmml', [65220, 65224]]
['jmml', [65444, 65448]]
['jmml', [65940, 65944]]
['jmml', [66211, 66215]]
['jmml', [67408, 67412]]
['jmml', [68471, 68475]]
['jmml', [68843, 68847]]
['jmml', [69111, 69115]]
['jmml', [69745, 69749]]
['jmml', [69900, 69904]]
['jmml', [70411, 70415]]
['jmml', [70650, 70654]]
['jmml', [71905, 71909]]
['jmml', [72451, 72455]]
['jmml', [72660, 72664]]
['jak-stat', [793, 801]]
['primary', [1056, 1063]]
['primary', [4025, 4032]]
['primary', [6803, 6810]]
['primary', [11494, 11501]]
['primary', [11717, 11724]]
['primary', [13157, 13164]]
['primary', [19934, 19941]]
['primary', [20157, 20164]]
['primary', [21597, 21604]]
['primary', [24094, 24101]]
['primary', [24445, 24452]]
['primary', [29325, 29332]]
['primary', [29731, 29738]]
['primary', [36086, 36093]]
['primary', [36492, 36499]]
['primary', [44296, 44303]]
['primary', [44727, 44734]]
['primary', [45134, 45141]]
['primary', [45894, 45901]]
['primary', [56699, 56706]]
['primary', [63475, 63482]]
['primary', [66203, 66210]]
['primary', [72979, 72986]]
['populations', [1064, 1075]]
['populations', [1164, 1175]]
['populations', [6098, 6109]]
['populations', [62714, 62725]]
['populations', [63728, 63739]]
['populations', [64031, 64042]]
['populations', [72218, 72229]]
['populations', [73232, 73243]]
['populations', [73535, 73546]]
['oncogenic', [1149, 1158]]
['oncogenic', [3226, 3235]]
['oncogenic', [6168, 6177]]
['oncogenic', [62013, 62022]]
