['se', [41357, 41359]]
['se', [41469, 41471]]
['se', [41472, 41474]]
['se', [41567, 41569]]
['se', [41720, 41722]]
['se', [41865, 41867]]
['se', [42082, 42084]]
['se', [42137, 42139]]
['se', [42219, 42221]]
['se', [42222, 42224]]
['se', [42264, 42266]]
['se', [42279, 42281]]
['se', [42364, 42366]]
['se', [42517, 42519]]
['se', [42746, 42748]]
['se', [42822, 42824]]
['se', [42866, 42868]]
['se', [42875, 42877]]
['se', [43053, 43055]]
['se', [43114, 43116]]
['se', [43251, 43253]]
['se', [43273, 43275]]
['se', [43282, 43284]]
['se', [43394, 43396]]
['se', [43466, 43468]]
['se', [43687, 43689]]
['se', [43775, 43777]]
['se', [43844, 43846]]
['se', [43870, 43872]]
['se', [43962, 43964]]
['se', [44029, 44031]]
['se', [44062, 44064]]
['se', [44170, 44172]]
['se', [44213, 44215]]
['se', [44251, 44253]]
['se', [44449, 44451]]
['se', [44527, 44529]]
['se', [44608, 44610]]
['se', [44768, 44770]]
['se', [44831, 44833]]
['se', [45148, 45150]]
['se', [45187, 45189]]
['se', [45298, 45300]]
['se', [45658, 45660]]
['se', [45732, 45734]]
['se', [45921, 45923]]
['se', [46040, 46042]]
['se', [46139, 46141]]
['se', [46176, 46178]]
['se', [46309, 46311]]
['se', [46365, 46367]]
['se', [46515, 46517]]
['se', [46609, 46611]]
['se', [46803, 46805]]
['se', [46920, 46922]]
['se', [46947, 46949]]
['se', [47103, 47105]]
['se', [47183, 47185]]
['se', [47252, 47254]]
['se', [47363, 47365]]
['se', [47479, 47481]]
['se', [47688, 47690]]
['se', [47691, 47693]]
['se', [47793, 47795]]
['se', [47841, 47843]]
['se', [47870, 47872]]
['se', [47881, 47883]]
['se', [47960, 47962]]
['se', [48285, 48287]]
['se', [48294, 48296]]
['se', [48315, 48317]]
['se', [48326, 48328]]
['se', [48335, 48337]]
['se', [48360, 48362]]
['se', [48420, 48422]]
['se', [48482, 48484]]
['se', [48596, 48598]]
['se', [48653, 48655]]
['se', [48827, 48829]]
['se', [48853, 48855]]
['se', [48911, 48913]]
['se', [48952, 48954]]
['se', [49213, 49215]]
['se', [49301, 49303]]
['se', [49304, 49306]]
['se', [49408, 49410]]
['se', [49699, 49701]]
['se', [49968, 49970]]
['se', [50133, 50135]]
['se', [50199, 50201]]
['se', [50229, 50231]]
['se', [50727, 50729]]
['se', [50791, 50793]]
['se', [50821, 50823]]
['se', [50871, 50873]]
['se', [50882, 50884]]
['se', [50952, 50954]]
['se', [50976, 50978]]
['se', [51035, 51037]]
['se', [51050, 51052]]
['se', [51118, 51120]]
['se', [51177, 51179]]
['se', [51338, 51340]]
['se', [51548, 51550]]
['se', [51660, 51662]]
['se', [51697, 51699]]
['se', [51784, 51786]]
['se', [51822, 51824]]
['se', [51933, 51935]]
['se', [51954, 51956]]
['se', [52052, 52054]]
['se', [52073, 52075]]
['se', [52238, 52240]]
['se', [52634, 52636]]
['se', [52744, 52746]]
['se', [52792, 52794]]
['se', [52821, 52823]]
['se', [52832, 52834]]
['se', [52911, 52913]]
['se', [53235, 53237]]
['se', [53244, 53246]]
['se', [53265, 53267]]
['se', [53276, 53278]]
['se', [53285, 53287]]
['se', [53310, 53312]]
['se', [53370, 53372]]
['se', [53432, 53434]]
['se', [53546, 53548]]
['se', [53603, 53605]]
['se', [53777, 53779]]
['se', [53803, 53805]]
['se', [53861, 53863]]
['se', [53902, 53904]]
['se', [54163, 54165]]
['se', [54251, 54253]]
['se', [54254, 54256]]
['se', [54358, 54360]]
['se', [54649, 54651]]
['se', [54918, 54920]]
['se', [55082, 55084]]
['se', [55148, 55150]]
['se', [55178, 55180]]
['se', [55676, 55678]]
['se', [55740, 55742]]
['se', [55770, 55772]]
['se', [55820, 55822]]
['se', [55831, 55833]]
['se', [55901, 55903]]
['se', [55925, 55927]]
['se', [55984, 55986]]
['se', [55999, 56001]]
['se', [56067, 56069]]
['se', [56126, 56128]]
['se', [56287, 56289]]
['se', [56497, 56499]]
['se', [56609, 56611]]
['se', [56646, 56648]]
['se', [56733, 56735]]
['se', [56770, 56772]]
['se', [56881, 56883]]
['se', [56902, 56904]]
['se', [57000, 57002]]
['se', [57021, 57023]]
['se', [57186, 57188]]
['se', [57582, 57584]]
['se', [57692, 57694]]
['se', [57740, 57742]]
['se', [57769, 57771]]
['se', [57780, 57782]]
['se', [57859, 57861]]
['se', [58183, 58185]]
['se', [58192, 58194]]
['se', [58213, 58215]]
['se', [58224, 58226]]
['se', [58233, 58235]]
['se', [58258, 58260]]
['se', [58318, 58320]]
['se', [58380, 58382]]
['se', [58494, 58496]]
['se', [58551, 58553]]
['se', [58725, 58727]]
['se', [58751, 58753]]
['se', [58809, 58811]]
['se', [58850, 58852]]
['se', [59111, 59113]]
['se', [59199, 59201]]
['se', [59202, 59204]]
['se', [59306, 59308]]
['se', [59597, 59599]]
['se', [59866, 59868]]
['se', [60030, 60032]]
['se', [60096, 60098]]
['se', [60126, 60128]]
['se', [60624, 60626]]
['se', [60688, 60690]]
['se', [60718, 60720]]
['se', [60768, 60770]]
['se', [60779, 60781]]
['se', [60849, 60851]]
['se', [60873, 60875]]
['se', [60932, 60934]]
['se', [60947, 60949]]
['se', [61015, 61017]]
['se', [61074, 61076]]
['se', [61235, 61237]]
['se', [61445, 61447]]
['se', [61557, 61559]]
['se', [61594, 61596]]
['se', [61681, 61683]]
['se', [61718, 61720]]
['se', [61829, 61831]]
['se', [61850, 61852]]
['se', [61948, 61950]]
['se', [61969, 61971]]
['se', [62134, 62136]]
['se', [62530, 62532]]
['se', [62625, 62627]]
['se', [62696, 62698]]
['se', [63203, 63205]]
['se', [63468, 63470]]
['se', [63595, 63597]]
['se', [63806, 63808]]
['se', [63853, 63855]]
['se', [63909, 63911]]
['se', [64067, 64069]]
['se', [64106, 64108]]
['se', [64253, 64255]]
['se', [64393, 64395]]
['se', [64841, 64843]]
['se', [64920, 64922]]
['se', [65045, 65047]]
['se', [65105, 65107]]
['se', [65188, 65190]]
['se', [65203, 65205]]
['se', [65323, 65325]]
['se', [65411, 65413]]
['se', [65591, 65593]]
['se', [65777, 65779]]
['se', [65965, 65967]]
['se', [66060, 66062]]
['se', [66072, 66074]]
['se', [66089, 66091]]
['se', [66146, 66148]]
['se', [66212, 66214]]
['se', [66283, 66285]]
['se', [66295, 66297]]
['se', [66375, 66377]]
['se', [66458, 66460]]
['se', [66473, 66475]]
['se', [66531, 66533]]
['se', [66537, 66539]]
['se', [66691, 66693]]
['se', [66784, 66786]]
['se', [66903, 66905]]
['se', [67048, 67050]]
['se', [67166, 67168]]
['se', [67653, 67655]]
['se', [67872, 67874]]
['se', [67904, 67906]]
['se', [68482, 68484]]
['se', [68850, 68852]]
['se', [68976, 68978]]
['se', [69115, 69117]]
['se', [69225, 69227]]
['se', [69248, 69250]]
['se', [69354, 69356]]
['se', [69425, 69427]]
['se', [69932, 69934]]
['se', [70197, 70199]]
['se', [70324, 70326]]
['se', [70535, 70537]]
['se', [70582, 70584]]
['se', [70638, 70640]]
['se', [70796, 70798]]
['se', [70835, 70837]]
['se', [70982, 70984]]
['se', [71122, 71124]]
['se', [71570, 71572]]
['se', [71649, 71651]]
['se', [71774, 71776]]
['se', [71834, 71836]]
['se', [71917, 71919]]
['se', [71932, 71934]]
['se', [72052, 72054]]
['se', [72140, 72142]]
['se', [72320, 72322]]
['se', [72506, 72508]]
['se', [72694, 72696]]
['se', [72789, 72791]]
['se', [72801, 72803]]
['se', [72818, 72820]]
['se', [72875, 72877]]
['se', [72941, 72943]]
['se', [73012, 73014]]
['se', [73024, 73026]]
