['carboxylic', [6594, 6604]]
['carboxylic', [7273, 7283]]
['carboxylic', [8254, 8264]]
['carboxylic', [14716, 14726]]
['carboxylic', [15395, 15405]]
['carboxylic', [16376, 16386]]
['carboxylic', [59337, 59347]]
['carboxylic', [64021, 64031]]
['carboxylic', [64178, 64188]]
['acid', [30, 34]]
['acid', [278, 282]]
['acid', [1657, 1661]]
['acid', [2084, 2088]]
['acid', [3733, 3737]]
['acid', [4588, 4592]]
['acid', [4750, 4754]]
['acid', [6605, 6609]]
['acid', [6919, 6923]]
['acid', [7243, 7247]]
['acid', [7284, 7288]]
['acid', [8265, 8269]]
['acid', [14727, 14731]]
['acid', [15041, 15045]]
['acid', [15365, 15369]]
['acid', [15406, 15410]]
['acid', [16387, 16391]]
['acid', [21545, 21549]]
['acid', [22998, 23002]]
['acid', [23030, 23034]]
['acid', [23179, 23183]]
['acid', [23796, 23800]]
['acid', [23936, 23940]]
['acid', [23990, 23994]]
['acid', [25060, 25064]]
['acid', [25246, 25250]]
['acid', [25435, 25439]]
['acid', [25625, 25629]]
['acid', [26681, 26685]]
['acid', [27875, 27879]]
['acid', [27968, 27972]]
['acid', [30550, 30554]]
['acid', [31040, 31044]]
['acid', [32263, 32267]]
['acid', [35541, 35545]]
['acid', [36994, 36998]]
['acid', [37026, 37030]]
['acid', [37175, 37179]]
['acid', [37792, 37796]]
['acid', [37932, 37936]]
['acid', [37986, 37990]]
['acid', [39056, 39060]]
['acid', [39242, 39246]]
['acid', [39431, 39435]]
['acid', [39621, 39625]]
['acid', [40677, 40681]]
['acid', [41871, 41875]]
['acid', [41964, 41968]]
['acid', [44546, 44550]]
['acid', [45036, 45040]]
['acid', [45310, 45314]]
['acid', [46763, 46767]]
['acid', [46795, 46799]]
['acid', [46944, 46948]]
['acid', [47561, 47565]]
['acid', [47701, 47705]]
['acid', [47755, 47759]]
['acid', [48825, 48829]]
['acid', [49011, 49015]]
['acid', [49200, 49204]]
['acid', [49391, 49395]]
['acid', [50447, 50451]]
['acid', [51642, 51646]]
['acid', [51735, 51739]]
['acid', [54318, 54322]]
['acid', [54808, 54812]]
['acid', [56032, 56036]]
['acid', [59271, 59275]]
['acid', [59348, 59352]]
['acid', [63844, 63848]]
['acid', [63953, 63957]]
['acid', [64032, 64036]]
['acid', [64158, 64162]]
['acid', [64189, 64193]]
['acid', [64311, 64315]]
['moieties', [283, 291]]
['moieties', [6610, 6618]]
['moieties', [14732, 14740]]
['moieties', [24341, 24349]]
['moieties', [38337, 38345]]
['moieties', [48106, 48114]]
['hela', [1462, 1466]]
['hela', [9904, 9908]]
['hela', [10132, 10136]]
['hela', [10396, 10400]]
['hela', [11521, 11525]]
['hela', [12507, 12511]]
['hela', [18028, 18032]]
['hela', [18256, 18260]]
['hela', [18521, 18525]]
['hela', [19647, 19651]]
['hela', [20634, 20638]]
['hela', [31519, 31523]]
['hela', [31605, 31609]]
['hela', [32146, 32150]]
['hela', [33084, 33088]]
['hela', [33207, 33211]]
['hela', [33304, 33308]]
['hela', [33668, 33672]]
['hela', [34230, 34234]]
['hela', [55288, 55292]]
['hela', [55374, 55378]]
['hela', [55915, 55919]]
['hela', [56854, 56858]]
['hela', [56977, 56981]]
['hela', [57074, 57078]]
['hela', [57438, 57442]]
['hela', [58000, 58004]]
['hela', [60200, 60204]]
['hela', [60461, 60465]]
['hela', [62515, 62519]]
['hela', [62781, 62785]]
['hela', [63138, 63142]]
['cells', [1467, 1472]]
['cells', [1870, 1875]]
['cells', [5078, 5083]]
['cells', [5830, 5835]]
['cells', [9929, 9934]]
['cells', [9958, 9963]]
['cells', [10137, 10142]]
['cells', [10401, 10406]]
['cells', [10510, 10515]]
['cells', [10933, 10938]]
['cells', [11029, 11034]]
['cells', [11118, 11123]]
['cells', [11186, 11191]]
['cells', [11282, 11287]]
['cells', [11526, 11531]]
['cells', [11546, 11551]]
['cells', [12033, 12038]]
['cells', [12112, 12117]]
['cells', [12512, 12517]]
['cells', [12532, 12537]]
['cells', [12898, 12903]]
['cells', [13055, 13060]]
['cells', [13951, 13956]]
['cells', [18053, 18058]]
['cells', [18082, 18087]]
['cells', [18261, 18266]]
['cells', [18526, 18531]]
['cells', [18635, 18640]]
['cells', [19058, 19063]]
['cells', [19154, 19159]]
['cells', [19243, 19248]]
['cells', [19311, 19316]]
['cells', [19407, 19412]]
['cells', [19652, 19657]]
['cells', [19672, 19677]]
['cells', [20159, 20164]]
['cells', [20238, 20243]]
['cells', [20639, 20644]]
['cells', [20659, 20664]]
['cells', [21025, 21030]]
['cells', [21182, 21187]]
['cells', [31286, 31291]]
['cells', [31524, 31529]]
['cells', [31610, 31615]]
['cells', [31936, 31941]]
['cells', [32151, 32156]]
['cells', [33089, 33094]]
['cells', [33212, 33217]]
['cells', [33309, 33314]]
['cells', [33448, 33453]]
['cells', [33673, 33678]]
['cells', [34235, 34240]]
['cells', [34546, 34551]]
['cells', [35031, 35036]]
['cells', [55055, 55060]]
['cells', [55293, 55298]]
['cells', [55379, 55384]]
['cells', [55705, 55710]]
['cells', [55920, 55925]]
['cells', [56859, 56864]]
['cells', [56982, 56987]]
['cells', [57079, 57084]]
['cells', [57218, 57223]]
['cells', [57443, 57448]]
['cells', [58005, 58010]]
['cells', [58316, 58321]]
['cells', [58801, 58806]]
