genia tagger: 0

['tumor', [2346, 2351]]
['tumor', [2393, 2398]]
['tumor', [2641, 2646]]
['tumor', [2791, 2796]]
['tumor', [2940, 2945]]
['tumor', [2976, 2981]]
['tumor', [3043, 3048]]
['tumor', [3174, 3179]]
['tumor', [3438, 3443]]
['tumor', [3509, 3514]]
['tumor', [3771, 3776]]
['tumor', [3879, 3884]]
['tumor', [3891, 3896]]
['tumor', [4098, 4103]]
['tumor', [4161, 4166]]
['tumor', [4194, 4199]]
['tumor', [4278, 4283]]
['tumor', [4329, 4334]]
['tumor', [4481, 4486]]
['tumor', [4692, 4697]]
['tumor', [4856, 4861]]
['tumor', [4976, 4981]]
['tumor', [5363, 5368]]
['tumor', [5508, 5513]]
['tumor', [5799, 5804]]
['tumor', [5871, 5876]]
['tumor', [6063, 6068]]
['tumor', [6114, 6119]]
['tumor', [6299, 6304]]
['tumor', [6447, 6452]]
['tumor', [6460, 6465]]
['tumor', [6545, 6550]]
['tumor', [6626, 6631]]
['tumor', [7683, 7688]]
['tumor', [7972, 7977]]
['tumor', [8136, 8141]]
['tumor', [8256, 8261]]
['tumor', [8643, 8648]]
['tumor', [8788, 8793]]
['tumor', [9080, 9085]]
['tumor', [9152, 9157]]
['tumor', [9344, 9349]]
['tumor', [9395, 9400]]
['tumor', [9580, 9585]]
['tumor', [9728, 9733]]
['tumor', [9741, 9746]]
['tumor', [9826, 9831]]
['tumor', [9907, 9912]]
['tumor', [10964, 10969]]
['tumor', [11171, 11176]]
['tumor', [11273, 11278]]
['tumor', [11578, 11583]]
['tumor', [11651, 11656]]
['tumor', [11865, 11870]]
['tumor', [11953, 11958]]
['tumor', [12175, 12180]]
['tumor', [13111, 13116]]
['tumor', [13593, 13598]]
['tumor', [13899, 13904]]
['tumor', [14589, 14594]]
['tumor', [15928, 15933]]
['tumor', [15976, 15981]]
['tumor', [16032, 16037]]
['tumor', [16152, 16157]]
['tumor', [16615, 16620]]
['tumor', [17168, 17173]]
['tumor', [17202, 17207]]
['tumor', [17282, 17287]]
['tumor', [17528, 17533]]
['tumor', [17620, 17625]]
['tumor', [17779, 17784]]
['tumor', [17881, 17886]]
['tumor', [18186, 18191]]
['tumor', [18259, 18264]]
['tumor', [18473, 18478]]
['tumor', [18561, 18566]]
['tumor', [18783, 18788]]
['tumor', [19719, 19724]]
['tumor', [20201, 20206]]
['tumor', [20507, 20512]]
['tumor', [21197, 21202]]
['tumor', [22536, 22541]]
['tumor', [22584, 22589]]
['tumor', [22640, 22645]]
['tumor', [22760, 22765]]
['tumor', [23223, 23228]]
['tumor', [23776, 23781]]
['tumor', [23810, 23815]]
['tumor', [23890, 23895]]
['tumor', [24136, 24141]]
['tumor', [24228, 24233]]
['tumor', [24379, 24384]]
['tumor', [24481, 24486]]
['tumor', [24786, 24791]]
['tumor', [24859, 24864]]
['tumor', [25073, 25078]]
['tumor', [25161, 25166]]
['tumor', [25383, 25388]]
['tumor', [26091, 26096]]
['tumor', [26193, 26198]]
['tumor', [26498, 26503]]
['tumor', [26571, 26576]]
['tumor', [26785, 26790]]
['tumor', [26873, 26878]]
['tumor', [27095, 27100]]
['tumor', [28032, 28037]]
['tumor', [28780, 28785]]
['tumor', [29263, 29268]]
['tumor', [29569, 29574]]
['tumor', [30259, 30264]]
['tumor', [31590, 31595]]
['tumor', [31896, 31901]]
['tumor', [32586, 32591]]
['tumor', [33926, 33931]]
['tumor', [33974, 33979]]
['tumor', [34030, 34035]]
['tumor', [34150, 34155]]
['tumor', [34613, 34618]]
['tumor', [34917, 34922]]
['tumor', [34965, 34970]]
['tumor', [35021, 35026]]
['tumor', [35141, 35146]]
['tumor', [35604, 35609]]
['tumor', [36158, 36163]]
['tumor', [36192, 36197]]
['tumor', [36272, 36277]]
['tumor', [36518, 36523]]
['tumor', [36610, 36615]]
['tumor', [36984, 36989]]
['tumor', [37018, 37023]]
['tumor', [37098, 37103]]
['tumor', [37344, 37349]]
['tumor', [37436, 37441]]
['tumor', [37616, 37621]]
['tumor', [37699, 37704]]
['tumor', [38079, 38084]]
['tumor', [38648, 38653]]
['tumor', [38911, 38916]]
['tumor', [39166, 39171]]
['tumor', [39177, 39182]]
['tumor', [40647, 40652]]
['tumor', [40782, 40787]]
['tumor', [40894, 40899]]
['tumor', [41234, 41239]]
['tumor', [41714, 41719]]
['tumor', [41797, 41802]]
['tumor', [42177, 42182]]
['tumor', [42746, 42751]]
['tumor', [43009, 43014]]
['tumor', [43264, 43269]]
['tumor', [43275, 43280]]
['tumor', [44745, 44750]]
['tumor', [44880, 44885]]
['tumor', [44992, 44997]]
['tumor', [45332, 45337]]
['tumor', [45801, 45806]]
['tumor', [46015, 46020]]
['tumor', [46205, 46210]]
['tumor', [46227, 46232]]
['tumor', [46258, 46263]]
['tumor', [46350, 46355]]
['tumor', [46416, 46421]]
['tumor', [46438, 46443]]
['tumor', [46469, 46474]]
['tumor', [46592, 46597]]
['tumor', [47183, 47188]]
['tumor', [47260, 47265]]
['tumor', [47496, 47501]]
['tumor', [49670, 49675]]
['tumor', [49856, 49861]]
['tumor', [49878, 49883]]
['tumor', [49917, 49922]]
['tumor', [49948, 49953]]
['tumor', [50714, 50719]]
['tumor', [50928, 50933]]
['tumor', [51118, 51123]]
['tumor', [51140, 51145]]
['tumor', [51171, 51176]]
['tumor', [51263, 51268]]
['tumor', [51329, 51334]]
['tumor', [51351, 51356]]
['tumor', [51382, 51387]]
['tumor', [51505, 51510]]
['tumor', [52096, 52101]]
['tumor', [52173, 52178]]
['tumor', [52409, 52414]]
['tumor', [54583, 54588]]
['tumor', [54769, 54774]]
['tumor', [54791, 54796]]
['tumor', [54830, 54835]]
['tumor', [54861, 54866]]
['pineal parenchymal tumors', [422, 447]]
['pineal parenchymal tumors', [951, 976]]
['pineal parenchymal tumors', [2031, 2056]]
['pineal parenchymal tumors', [15909, 15934]]
['pineal parenchymal tumors', [22517, 22542]]
['pineal parenchymal tumors', [33907, 33932]]
['pineal parenchymal tumors', [34898, 34923]]
['pineal parenchymal tumors', [38060, 38085]]
['pineal parenchymal tumors', [42158, 42183]]
['pineal parenchymal tumors', [47477, 47502]]
['pineal parenchymal tumors', [52390, 52415]]
['gliomas', [449, 456]]
['gliomas', [908, 915]]
['gliomas', [2065, 2072]]
['gliomas', [3524, 3531]]
['gliomas', [4507, 4514]]
['gliomas', [6389, 6396]]
['gliomas', [9670, 9677]]
['gliomas', [16899, 16906]]
['gliomas', [16930, 16937]]
['gliomas', [17127, 17134]]
['gliomas', [17443, 17450]]
['gliomas', [23507, 23514]]
['gliomas', [23538, 23545]]
['gliomas', [23735, 23742]]
['gliomas', [24051, 24058]]
['gliomas', [35889, 35896]]
['gliomas', [35920, 35927]]
['gliomas', [36117, 36124]]
['gliomas', [36433, 36440]]
['gliomas', [36715, 36722]]
['gliomas', [36746, 36753]]
['gliomas', [36943, 36950]]
