['x', [2364, 2365]]
['x', [2616, 2617]]
['x', [2751, 2752]]
['x', [2806, 2807]]
['x', [3304, 3305]]
['x', [3468, 3469]]
['x', [3722, 3723]]
['x', [3827, 3828]]
['x', [3896, 3897]]
['x', [4302, 4303]]
['x', [4723, 4724]]
['x', [4804, 4805]]
['x', [4900, 4901]]
['x', [5008, 5009]]
['x', [5228, 5229]]
['x', [5273, 5274]]
['x', [5355, 5356]]
['x', [5404, 5405]]
['x', [5699, 5700]]
['x', [5806, 5807]]
['x', [5831, 5832]]
['x', [5942, 5943]]
['x', [6033, 6034]]
['x', [6046, 6047]]
['x', [6272, 6273]]
['x', [6648, 6649]]
['x', [7391, 7392]]
['x', [7509, 7510]]
['x', [7596, 7597]]
['x', [7745, 7746]]
['x', [7790, 7791]]
['x', [7810, 7811]]
['x', [7881, 7882]]
['x', [8084, 8085]]
['x', [8139, 8140]]
['x', [8259, 8260]]
['x', [8306, 8307]]
['x', [9163, 9164]]
['x', [10036, 10037]]
['x', [10238, 10239]]
['x', [10694, 10695]]
['x', [10860, 10861]]
['x', [10922, 10923]]
['x', [11142, 11143]]
['x', [11370, 11371]]
['x', [11536, 11537]]
['x', [11555, 11556]]
['x', [11640, 11641]]
['x', [11733, 11734]]
['x', [11927, 11928]]
['x', [11964, 11965]]
['x', [12209, 12210]]
['x', [12402, 12403]]
['x', [12435, 12436]]
['x', [12459, 12460]]
['x', [12475, 12476]]
['x', [12494, 12495]]
['x', [12617, 12618]]
['x', [12953, 12954]]
['x', [13068, 13069]]
['x', [13404, 13405]]
['x', [14784, 14785]]
['x', [14887, 14888]]
['x', [14928, 14929]]
['x', [15184, 15185]]
['x', [15384, 15385]]
['x', [15438, 15439]]
['x', [15453, 15454]]
['x', [15524, 15525]]
['x', [15543, 15544]]
['x', [15632, 15633]]
['x', [15754, 15755]]
['x', [15849, 15850]]
['x', [15878, 15879]]
['x', [15949, 15950]]
['x', [16014, 16015]]
['x', [16115, 16116]]
['x', [16412, 16413]]
['x', [16430, 16431]]
['x', [16604, 16605]]
['x', [16673, 16674]]
['x', [16704, 16705]]
['x', [16748, 16749]]
['x', [16765, 16766]]
['x', [16789, 16790]]
['x', [16813, 16814]]
['x', [16889, 16890]]
['x', [16936, 16937]]
['x', [17794, 17795]]
['x', [18667, 18668]]
['x', [18869, 18870]]
['x', [19325, 19326]]
['x', [19491, 19492]]
['x', [19553, 19554]]
['x', [19773, 19774]]
['x', [20001, 20002]]
['x', [20168, 20169]]
['x', [20187, 20188]]
['x', [20272, 20273]]
['x', [20365, 20366]]
['x', [20559, 20560]]
['x', [20596, 20597]]
['x', [20842, 20843]]
['x', [21035, 21036]]
['x', [21068, 21069]]
['x', [21092, 21093]]
['x', [21108, 21109]]
['x', [21127, 21128]]
['x', [21251, 21252]]
['x', [21587, 21588]]
['x', [21702, 21703]]
['x', [22038, 22039]]
['x', [23419, 23420]]
['x', [23522, 23523]]
['x', [23563, 23564]]
['x', [23820, 23821]]
['x', [24020, 24021]]
['x', [24074, 24075]]
['x', [24089, 24090]]
['x', [24160, 24161]]
['x', [24179, 24180]]
['x', [24268, 24269]]
['x', [24390, 24391]]
['x', [24485, 24486]]
['x', [24514, 24515]]
['x', [24585, 24586]]
['x', [24650, 24651]]
['x', [24751, 24752]]
['x', [25048, 25049]]
['x', [25066, 25067]]
