genia tagger: 0

['model', [46170, 46175]]
['model', [46911, 46916]]
['model', [48732, 48737]]
['model', [50330, 50335]]
['mice', [528, 532]]
['mice', [726, 730]]
['mice', [833, 837]]
['mice', [958, 962]]
['mice', [1024, 1028]]
['mice', [1192, 1196]]
['mice', [3006, 3010]]
['mice', [3756, 3760]]
['mice', [3853, 3857]]
['mice', [3988, 3992]]
['mice', [4038, 4042]]
['mice', [4278, 4282]]
['mice', [4296, 4300]]
['mice', [4778, 4782]]
['mice', [4890, 4894]]
['mice', [4990, 4994]]
['mice', [5196, 5200]]
['mice', [5273, 5277]]
['mice', [5350, 5354]]
['mice', [5643, 5647]]
['mice', [7575, 7579]]
['mice', [7672, 7676]]
['mice', [7807, 7811]]
['mice', [7857, 7861]]
['mice', [8098, 8102]]
['mice', [8116, 8120]]
['mice', [8598, 8602]]
['mice', [8710, 8714]]
['mice', [8810, 8814]]
['mice', [9016, 9020]]
['mice', [9093, 9097]]
['mice', [9170, 9174]]
['mice', [9464, 9468]]
['mice', [11534, 11538]]
['mice', [12404, 12408]]
['mice', [12839, 12843]]
['mice', [12924, 12928]]
['mice', [13146, 13150]]
['mice', [13707, 13711]]
['mice', [13834, 13838]]
['mice', [13969, 13973]]
['mice', [14154, 14158]]
['mice', [14227, 14231]]
['mice', [14446, 14450]]
['mice', [14538, 14542]]
['mice', [14628, 14632]]
['mice', [14683, 14687]]
['mice', [15037, 15041]]
['mice', [15175, 15179]]
['mice', [15622, 15626]]
['mice', [15661, 15665]]
['mice', [15712, 15716]]
['mice', [15788, 15792]]
['mice', [15958, 15962]]
['mice', [16463, 16467]]
['mice', [16486, 16490]]
['mice', [16597, 16601]]
['mice', [18424, 18428]]
['mice', [18540, 18544]]
['mice', [18749, 18753]]
['mice', [19112, 19116]]
['mice', [19982, 19986]]
['mice', [20417, 20421]]
['mice', [20502, 20506]]
['mice', [20724, 20728]]
['mice', [21285, 21289]]
['mice', [21412, 21416]]
['mice', [21547, 21551]]
['mice', [21732, 21736]]
['mice', [21805, 21809]]
['mice', [22024, 22028]]
['mice', [22116, 22120]]
['mice', [22206, 22210]]
['mice', [22261, 22265]]
['mice', [22615, 22619]]
['mice', [22753, 22757]]
['mice', [23200, 23204]]
['mice', [23239, 23243]]
['mice', [23290, 23294]]
['mice', [23366, 23370]]
['mice', [23536, 23540]]
['mice', [24041, 24045]]
['mice', [24064, 24068]]
['mice', [24175, 24179]]
['mice', [26002, 26006]]
['mice', [26118, 26122]]
['mice', [26327, 26331]]
['mice', [26682, 26686]]
['mice', [27552, 27556]]
['mice', [28092, 28096]]
['mice', [28962, 28966]]
['mice', [29398, 29402]]
['mice', [29483, 29487]]
['mice', [29705, 29709]]
['mice', [30266, 30270]]
['mice', [30393, 30397]]
['mice', [30528, 30532]]
['mice', [30708, 30712]]
['mice', [30793, 30797]]
['mice', [31015, 31019]]
['mice', [31576, 31580]]
['mice', [31703, 31707]]
['mice', [31838, 31842]]
['mice', [32024, 32028]]
['mice', [32097, 32101]]
['mice', [32316, 32320]]
['mice', [32408, 32412]]
['mice', [32498, 32502]]
['mice', [32553, 32557]]
['mice', [32907, 32911]]
['mice', [33045, 33049]]
['mice', [33492, 33496]]
['mice', [33531, 33535]]
['mice', [33582, 33586]]
['mice', [33658, 33662]]
['mice', [33828, 33832]]
['mice', [34333, 34337]]
['mice', [34356, 34360]]
['mice', [34467, 34471]]
['mice', [34938, 34942]]
['mice', [35011, 35015]]
['mice', [35230, 35234]]
['mice', [35322, 35326]]
['mice', [35412, 35416]]
['mice', [35467, 35471]]
['mice', [35821, 35825]]
['mice', [35959, 35963]]
['mice', [36406, 36410]]
['mice', [36445, 36449]]
['mice', [36496, 36500]]
['mice', [36572, 36576]]
['mice', [36742, 36746]]
['mice', [37247, 37251]]
['mice', [37270, 37274]]
['mice', [37381, 37385]]
['mice', [39209, 39213]]
['mice', [39325, 39329]]
['mice', [39534, 39538]]
['mice', [41148, 41152]]
['mice', [41264, 41268]]
['mice', [41473, 41477]]
['mice', [42169, 42173]]
['mice', [42341, 42345]]
['mice', [43801, 43805]]
['mice', [44248, 44252]]
['mice', [46561, 46565]]
['mice', [46733, 46737]]
['mice', [48193, 48197]]
['mice', [48640, 48644]]
['mice', [50521, 50525]]
['mice', [50942, 50946]]
['mice', [50947, 50951]]
['mice', [51195, 51199]]
['mice', [51428, 51432]]
['mice', [51433, 51437]]
['mice', [51521, 51525]]
['mice', [51783, 51787]]
['mice', [51857, 51861]]
['mice', [51982, 51986]]
['mice', [52461, 52465]]
['mice', [52528, 52532]]
['mice', [53275, 53279]]
['mice', [53280, 53284]]
['mice', [53980, 53984]]
['mice', [54371, 54375]]
['mice', [54792, 54796]]
['mice', [54797, 54801]]
['mice', [55045, 55049]]
['mice', [55278, 55282]]
['mice', [55283, 55287]]
['mice', [55371, 55375]]
