['wnt5a', [2382, 2387]]
['wnt5a', [2487, 2492]]
['wnt5a', [2530, 2535]]
['wnt5a', [2876, 2881]]
['wnt5a', [2995, 3000]]
['wnt5a', [3013, 3018]]
['wnt5a', [3126, 3131]]
['wnt5a', [3291, 3296]]
['wnt5a', [3461, 3466]]
['wnt5a', [3654, 3659]]
['wnt5a', [5769, 5774]]
['wnt5a', [5924, 5929]]
['wnt5a', [6273, 6278]]
['wnt5a', [6607, 6612]]
['wnt5a', [6856, 6861]]
['wnt5a', [7366, 7371]]
['wnt5a', [7851, 7856]]
['wnt5a', [13331, 13336]]
['wnt5a', [13420, 13425]]
['wnt5a', [13494, 13499]]
['wnt5a', [13503, 13508]]
['wnt5a', [14976, 14981]]
['wnt5a', [15428, 15433]]
['wnt5a', [15692, 15697]]
['wnt5a', [15926, 15931]]
['wnt5a', [16565, 16570]]
['wnt5a', [16767, 16772]]
['wnt5a', [18756, 18761]]
['wnt5a', [18911, 18916]]
['wnt5a', [19261, 19266]]
['wnt5a', [19595, 19600]]
['wnt5a', [19844, 19849]]
['wnt5a', [20355, 20360]]
['wnt5a', [20841, 20846]]
['wnt5a', [26327, 26332]]
['wnt5a', [26416, 26421]]
['wnt5a', [26490, 26495]]
['wnt5a', [26499, 26504]]
['wnt5a', [27974, 27979]]
['wnt5a', [28426, 28431]]
['wnt5a', [28691, 28696]]
['wnt5a', [28925, 28930]]
['wnt5a', [29566, 29571]]
['wnt5a', [29768, 29773]]
['wnt5a', [29799, 29804]]
['wnt5a', [29960, 29965]]
['wnt5a', [29978, 29983]]
['wnt5a', [30433, 30438]]
['wnt5a', [30597, 30602]]
['wnt5a', [30905, 30910]]
['wnt5a', [31099, 31104]]
['wnt5a', [31201, 31206]]
['wnt5a', [31271, 31276]]
['wnt5a', [31363, 31368]]
['wnt5a', [31554, 31559]]
['wnt5a', [31689, 31694]]
['wnt5a', [31718, 31723]]
['wnt5a', [31831, 31836]]
['wnt5a', [31870, 31875]]
['wnt5a', [31905, 31910]]
['wnt5a', [31986, 31991]]
['wnt5a', [32118, 32123]]
['wnt5a', [32207, 32212]]
['wnt5a', [32260, 32265]]
['wnt5a', [32301, 32306]]
['wnt5a', [32572, 32577]]
['wnt5a', [32604, 32609]]
['wnt5a', [32661, 32666]]
['wnt5a', [32792, 32797]]
['wnt5a', [32857, 32862]]
['wnt5a', [32908, 32913]]
['wnt5a', [33070, 33075]]
['wnt5a', [33424, 33429]]
['wnt5a', [33479, 33484]]
['wnt5a', [33558, 33563]]
['wnt5a', [33904, 33909]]
['wnt5a', [33953, 33958]]
['wnt5a', [34089, 34094]]
['wnt5a', [34236, 34241]]
['wnt5a', [34280, 34285]]
['wnt5a', [34471, 34476]]
['wnt5a', [34479, 34484]]
['wnt5a', [34533, 34538]]
['wnt5a', [34555, 34560]]
['wnt5a', [34919, 34924]]
['wnt5a', [34941, 34946]]
['wnt5a', [35022, 35027]]
['wnt5a', [35135, 35140]]
['wnt5a', [35207, 35212]]
['wnt5a', [35301, 35306]]
['wnt5a', [35328, 35333]]
['wnt5a', [35557, 35562]]
['wnt5a', [35738, 35743]]
['wnt5a', [35881, 35886]]
['wnt5a', [35924, 35929]]
['wnt5a', [36110, 36115]]
['wnt5a', [36208, 36213]]
['wnt5a', [36307, 36312]]
['wnt5a', [36592, 36597]]
['wnt5a', [36687, 36692]]
['wnt5a', [36722, 36727]]
['wnt5a', [36928, 36933]]
['wnt5a', [37042, 37047]]
['wnt5a', [37111, 37116]]
['wnt5a', [37178, 37183]]
['wnt5a', [37252, 37257]]
['wnt5a', [37350, 37355]]
['wnt5a', [37458, 37463]]
['wnt5a', [37663, 37668]]
['wnt5a', [37766, 37771]]
['wnt5a', [37811, 37816]]
['wnt5a', [37869, 37874]]
['wnt5a', [38107, 38112]]
['wnt5a', [38316, 38321]]
['wnt5a', [38478, 38483]]
['wnt5a', [38533, 38538]]
['wnt5a', [38662, 38667]]
['wnt5a', [39023, 39028]]
['wnt5a', [39114, 39119]]
['wnt5a', [39455, 39460]]
['wnt5a', [39552, 39557]]
['wnt5a', [39613, 39618]]
['wnt5a', [39716, 39721]]
['wnt5a', [40186, 40191]]
['wnt5a', [40359, 40364]]
['wnt5a', [40597, 40602]]
['wnt5a', [40614, 40619]]
['wnt5a', [40740, 40745]]
['wnt5a', [40901, 40906]]
['wnt5a', [40919, 40924]]
['wnt5a', [41374, 41379]]
['wnt5a', [41538, 41543]]
['wnt5a', [41846, 41851]]
['wnt5a', [42040, 42045]]
['wnt5a', [42142, 42147]]
['wnt5a', [42212, 42217]]
['wnt5a', [42304, 42309]]
['wnt5a', [42495, 42500]]
['wnt5a', [42630, 42635]]
['wnt5a', [42659, 42664]]
['wnt5a', [42772, 42777]]
['wnt5a', [42811, 42816]]
['wnt5a', [42846, 42851]]
['wnt5a', [42927, 42932]]
['wnt5a', [43059, 43064]]
['wnt5a', [43148, 43153]]
['wnt5a', [43201, 43206]]
['wnt5a', [43242, 43247]]
['wnt5a', [43513, 43518]]
['wnt5a', [43545, 43550]]
['wnt5a', [43602, 43607]]
['wnt5a', [43733, 43738]]
['wnt5a', [43798, 43803]]
['wnt5a', [43849, 43854]]
['wnt5a', [44011, 44016]]
['wnt5a', [44365, 44370]]
['wnt5a', [44420, 44425]]
['wnt5a', [44499, 44504]]
['wnt5a', [44845, 44850]]
['wnt5a', [44894, 44899]]
['wnt5a', [45030, 45035]]
['wnt5a', [45177, 45182]]
['wnt5a', [45221, 45226]]
['wnt5a', [45412, 45417]]
['wnt5a', [45420, 45425]]
['wnt5a', [45474, 45479]]
['wnt5a', [45496, 45501]]
['wnt5a', [45860, 45865]]
['wnt5a', [45882, 45887]]
['wnt5a', [45963, 45968]]
['wnt5a', [46076, 46081]]
['wnt5a', [46148, 46153]]
['wnt5a', [46242, 46247]]
['wnt5a', [46269, 46274]]
['wnt5a', [46498, 46503]]
['wnt5a', [46679, 46684]]
['wnt5a', [46822, 46827]]
['wnt5a', [46865, 46870]]
['wnt5a', [47051, 47056]]
['wnt5a', [47149, 47154]]
['wnt5a', [47248, 47253]]
['wnt5a', [47533, 47538]]
['wnt5a', [47628, 47633]]
['wnt5a', [47663, 47668]]
['wnt5a', [47869, 47874]]
['wnt5a', [47983, 47988]]
['wnt5a', [48052, 48057]]
['wnt5a', [48119, 48124]]
['wnt5a', [48193, 48198]]
['wnt5a', [48291, 48296]]
['wnt5a', [48399, 48404]]
['wnt5a', [48604, 48609]]
['wnt5a', [48707, 48712]]
['wnt5a', [48752, 48757]]
['wnt5a', [48810, 48815]]
['wnt5a', [49048, 49053]]
['wnt5a', [49257, 49262]]
['wnt5a', [49419, 49424]]
['wnt5a', [49474, 49479]]
['wnt5a', [49603, 49608]]
['wnt5a', [49964, 49969]]
['wnt5a', [50055, 50060]]
['wnt5a', [50396, 50401]]
['wnt5a', [50493, 50498]]
['wnt5a', [50554, 50559]]
['wnt5a', [50657, 50662]]
['wnt5a', [51127, 51132]]
['wnt5a', [51300, 51305]]
['wnt5a', [51538, 51543]]
['wnt5a', [51555, 51560]]
['wnt5a', [51673, 51678]]
['wnt5a', [51834, 51839]]
['wnt5a', [51852, 51857]]
['wnt5a', [52307, 52312]]
['wnt5a', [52471, 52476]]
