['\\[', [4809, 4811]]
['\\[', [4861, 4863]]
['\\[', [5151, 5153]]
['\\[', [5198, 5200]]
['\\[', [5277, 5279]]
['\\[', [5431, 5433]]
['\\[', [5712, 5714]]
['\\[', [6175, 6177]]
['\\[', [6227, 6229]]
['\\[', [6505, 6507]]
['\\[', [6664, 6666]]
['\\[', [7946, 7948]]
['\\[', [8193, 8195]]
['\\[', [9334, 9336]]
['\\[', [10263, 10265]]
['\\[', [10386, 10388]]
['\\[', [10626, 10628]]
['\\[', [12045, 12047]]
['\\[', [12097, 12099]]
['\\[', [12375, 12377]]
['\\[', [12534, 12536]]
['\\[', [13817, 13819]]
['\\[', [14064, 14066]]
['\\[', [15205, 15207]]
['\\[', [16135, 16137]]
['\\[', [16258, 16260]]
['\\[', [16498, 16500]]
['\\[', [34182, 34184]]
['\\[', [34203, 34205]]
['\\[', [34726, 34728]]
['\\[', [35477, 35479]]
['\\[', [35567, 35569]]
['\\[', [36184, 36186]]
['\\[', [36389, 36391]]
['\\[', [36675, 36677]]
['\\[', [36775, 36777]]
['\\[', [36815, 36817]]
['\\[', [36949, 36951]]
['\\[', [37085, 37087]]
['\\[', [37308, 37310]]
['\\[', [37661, 37663]]
['\\[', [37849, 37851]]
['\\[', [37976, 37978]]
['\\[', [38481, 38483]]
['\\[', [39371, 39373]]
['\\[', [39606, 39608]]
['\\[', [39803, 39805]]
['\\[', [40011, 40013]]
['\\[', [40125, 40127]]
['\\[', [40738, 40740]]
['\\[', [40878, 40880]]
['\\[', [41291, 41293]]
['\\[', [41576, 41578]]
['\\[', [41597, 41599]]
['\\[', [42120, 42122]]
['\\[', [42871, 42873]]
['\\[', [42961, 42963]]
['\\[', [43578, 43580]]
['\\[', [43783, 43785]]
['\\[', [44069, 44071]]
['\\[', [44169, 44171]]
['\\[', [44209, 44211]]
['\\[', [44343, 44345]]
['\\[', [44479, 44481]]
['\\[', [44702, 44704]]
['\\[', [45055, 45057]]
['\\[', [45243, 45245]]
['\\[', [45370, 45372]]
['\\[', [45875, 45877]]
['\\[', [46765, 46767]]
['\\[', [47000, 47002]]
['\\[', [47197, 47199]]
['\\[', [47405, 47407]]
['\\[', [47519, 47521]]
['\\[', [48132, 48134]]
['\\[', [48272, 48274]]
['\\[', [48685, 48687]]
['8', [894, 895]]
['8', [1977, 1978]]
['8', [2033, 2034]]
['8', [2170, 2171]]
['8', [2481, 2482]]
['8', [2588, 2589]]
['8', [2857, 2858]]
['8', [4362, 4363]]
['8', [4864, 4865]]
['8', [5153, 5154]]
['8', [6515, 6516]]
['8', [6713, 6714]]
['8', [7192, 7193]]
['8', [8362, 8363]]
['8', [9297, 9298]]
['8', [9420, 9421]]
['8', [9432, 9433]]
['8', [9505, 9506]]
['8', [12385, 12386]]
['8', [12583, 12584]]
['8', [13062, 13063]]
['8', [14233, 14234]]
['8', [15168, 15169]]
['8', [15291, 15292]]
['8', [15303, 15304]]
['8', [15376, 15377]]
['8', [17953, 17954]]
['8', [18014, 18015]]
['8', [18019, 18020]]
['8', [18451, 18452]]
['8', [18763, 18764]]
['8', [20058, 20059]]
['8', [22041, 22042]]
['8', [22102, 22103]]
['8', [22107, 22108]]
['8', [22539, 22540]]
