['\\(', [4248, 4250]]
['\\(', [4472, 4474]]
['\\(', [4685, 4687]]
['\\(', [4956, 4958]]
['\\(', [5000, 5002]]
['\\(', [5141, 5143]]
['\\(', [5219, 5221]]
['\\(', [5340, 5342]]
['\\(', [5386, 5388]]
['\\(', [5535, 5537]]
['\\(', [5637, 5639]]
['\\(', [5659, 5661]]
['\\(', [5836, 5838]]
['\\(', [6018, 6020]]
['\\(', [6144, 6146]]
['\\(', [6153, 6155]]
['\\(', [6304, 6306]]
['\\(', [6929, 6931]]
['\\(', [7023, 7025]]
['\\(', [7119, 7121]]
['\\(', [7172, 7174]]
['\\(', [7207, 7209]]
['\\(', [7237, 7239]]
['\\(', [7263, 7265]]
['\\(', [7419, 7421]]
['\\(', [7486, 7488]]
['\\(', [7752, 7754]]
['\\(', [7798, 7800]]
['\\(', [7917, 7919]]
['\\(', [8401, 8403]]
['\\(', [8554, 8556]]
['\\(', [8643, 8645]]
['\\(', [9126, 9128]]
['\\(', [9418, 9420]]
['\\(', [9471, 9473]]
['\\(', [9495, 9497]]
['\\(', [9677, 9679]]
['\\(', [9902, 9904]]
['\\(', [10115, 10117]]
['\\(', [10386, 10388]]
['\\(', [10430, 10432]]
['\\(', [10571, 10573]]
['\\(', [10649, 10651]]
['\\(', [10770, 10772]]
['\\(', [10816, 10818]]
['\\(', [10966, 10968]]
['\\(', [11068, 11070]]
['\\(', [11090, 11092]]
['\\(', [11267, 11269]]
['\\(', [11449, 11451]]
['\\(', [11575, 11577]]
['\\(', [11584, 11586]]
['\\(', [11735, 11737]]
['\\(', [12440, 12442]]
['\\(', [13413, 13415]]
['\\(', [13524, 13526]]
['\\(', [13715, 13717]]
['\\(', [13803, 13805]]
['\\(', [13856, 13858]]
['\\(', [13884, 13886]]
['\\(', [13999, 14001]]
['\\(', [14184, 14186]]
['\\(', [14272, 14274]]
['\\(', [14310, 14312]]
['\\(', [14344, 14346]]
['\\(', [14388, 14390]]
['\\(', [14427, 14429]]
['\\(', [14476, 14478]]
['\\(', [14564, 14566]]
['\\(', [14591, 14593]]
['\\(', [14857, 14859]]
['\\(', [15226, 15228]]
['\\(', [15308, 15310]]
['\\(', [15323, 15325]]
['\\(', [15392, 15394]]
['\\(', [15930, 15932]]
['\\(', [16469, 16471]]
['\\(', [16509, 16511]]
['\\(', [16656, 16658]]
['\\(', [17082, 17084]]
['\\(', [17716, 17718]]
['\\(', [17913, 17915]]
['\\(', [18285, 18287]]
['\\(', [18291, 18293]]
['\\(', [18398, 18400]]
['\\(', [18475, 18477]]
['\\(', [18906, 18908]]
['\\(', [19250, 19252]]
['\\(', [19458, 19460]]
['\\(', [19770, 19772]]
['\\(', [20396, 20398]]
['\\(', [20464, 20466]]
['\\(', [20648, 20650]]
['\\(', [20702, 20704]]
['\\(', [20721, 20723]]
['\\(', [20743, 20745]]
['\\(', [20783, 20785]]
['\\(', [20804, 20806]]
['\\(', [20854, 20856]]
['\\(', [21109, 21111]]
['\\(', [21212, 21214]]
['\\(', [21290, 21292]]
['\\(', [21371, 21373]]
['\\(', [21758, 21760]]
['\\+', [4159, 4161]]
['\\+', [4751, 4753]]
['\\+', [4779, 4781]]
['\\+', [4799, 4801]]
['\\+', [4851, 4853]]
['\\+', [5638, 5640]]
['\\+', [9588, 9590]]
['\\+', [10181, 10183]]
['\\+', [10209, 10211]]
['\\+', [10229, 10231]]
['\\+', [10281, 10283]]
['\\+', [11069, 11071]]
['\\)', [109, 111]]
['\\)', [1507, 1509]]
['\\)', [1609, 1611]]
['\\)', [1704, 1706]]
['\\)', [1750, 1752]]
['\\)', [1785, 1787]]
['\\)', [1815, 1817]]
['\\)', [1841, 1843]]
['\\)', [1996, 1998]]
['\\)', [2064, 2066]]
['\\)', [2352, 2354]]
['\\)', [2401, 2403]]
['\\)', [2495, 2497]]
['\\)', [2979, 2981]]
['\\)', [3132, 3134]]
['\\)', [3225, 3227]]
['\\)', [3717, 3719]]
['\\)', [3994, 3996]]
['\\)', [4047, 4049]]
['\\)', [4071, 4073]]
['\\)', [4253, 4255]]
['\\)', [4476, 4478]]
['\\)', [4713, 4715]]
['\\)', [4959, 4961]]
['\\)', [5005, 5007]]
['\\)', [5170, 5172]]
['\\)', [5237, 5239]]
['\\)', [5367, 5369]]
['\\)', [5405, 5407]]
['\\)', [5549, 5551]]
['\\)', [5639, 5641]]
['\\)', [5670, 5672]]
['\\)', [5847, 5849]]
['\\)', [6040, 6042]]
['\\)', [6147, 6149]]
['\\)', [6170, 6172]]
['\\)', [6335, 6337]]
['\\)', [6933, 6935]]
['\\)', [7035, 7037]]
['\\)', [7130, 7132]]
['\\)', [7176, 7178]]
['\\)', [7211, 7213]]
['\\)', [7241, 7243]]
['\\)', [7267, 7269]]
['\\)', [7423, 7425]]
['\\)', [7491, 7493]]
['\\)', [7779, 7781]]
['\\)', [7828, 7830]]
['\\)', [7922, 7924]]
['\\)', [8406, 8408]]
['\\)', [8559, 8561]]
['\\)', [8652, 8654]]
['\\)', [9145, 9147]]
['\\)', [9423, 9425]]
['\\)', [9476, 9478]]
['\\)', [9500, 9502]]
['\\)', [9682, 9684]]
['\\)', [9906, 9908]]
['\\)', [10143, 10145]]
['\\)', [10389, 10391]]
['\\)', [10435, 10437]]
['\\)', [10600, 10602]]
['\\)', [10667, 10669]]
['\\)', [10797, 10799]]
['\\)', [10835, 10837]]
['\\)', [10980, 10982]]
['\\)', [11070, 11072]]
['\\)', [11101, 11103]]
['\\)', [11278, 11280]]
['\\)', [11471, 11473]]
['\\)', [11578, 11580]]
['\\)', [11601, 11603]]
['\\)', [11766, 11768]]
['\\)', [12444, 12446]]
['\\)', [13417, 13419]]
['\\)', [13533, 13535]]
['\\)', [13796, 13798]]
['\\)', [13848, 13850]]
['\\)', [13877, 13879]]
['\\)', [13986, 13988]]
['\\)', [14045, 14047]]
['\\)', [14263, 14265]]
['\\)', [14300, 14302]]
['\\)', [14334, 14336]]
['\\)', [14380, 14382]]
['\\)', [14419, 14421]]
['\\)', [14469, 14471]]
['\\)', [14506, 14508]]
['\\)', [14572, 14574]]
['\\)', [14604, 14606]]
['\\)', [14865, 14867]]
['\\)', [15235, 15237]]
['\\)', [15316, 15318]]
['\\)', [15380, 15382]]
['\\)', [15416, 15418]]
['\\)', [15953, 15955]]
['\\)', [16482, 16484]]
['\\)', [16522, 16524]]
['\\)', [16671, 16673]]
['\\)', [17089, 17091]]
['\\)', [17725, 17727]]
['\\)', [17922, 17924]]
['\\)', [18289, 18291]]
['\\)', [18308, 18310]]
['\\)', [18402, 18404]]
['\\)', [18493, 18495]]
['\\)', [18916, 18918]]
['\\)', [19260, 19262]]
['\\)', [19463, 19465]]
['\\)', [19793, 19795]]
['\\)', [20412, 20414]]
['\\)', [20477, 20479]]
['\\)', [20659, 20661]]
['\\)', [20709, 20711]]
['\\)', [20726, 20728]]
['\\)', [20747, 20749]]
['\\)', [20788, 20790]]
['\\)', [20814, 20816]]
['\\)', [20864, 20866]]
['\\)', [21119, 21121]]
['\\)', [21222, 21224]]
['\\)', [21292, 21294]]
['\\)', [21373, 21375]]
['\\)', [21774, 21776]]
['vector', [5510, 5516]]
['vector', [5652, 5658]]
['vector', [10941, 10947]]
['vector', [11083, 11089]]
['exon', [3450, 3454]]
['exon', [5690, 5694]]
['exon', [5712, 5716]]
['exon', [6395, 6399]]
['exon', [6420, 6424]]
['exon', [8878, 8882]]
['exon', [11121, 11125]]
['exon', [11143, 11147]]
['exon', [11826, 11830]]
['exon', [11851, 11855]]
['exon', [15732, 15736]]
['exon', [15801, 15805]]
['exon', [15847, 15851]]
['exon', [16112, 16116]]
['15', [2976, 2978]]
['15', [5333, 5335]]
['15', [5695, 5697]]
['15', [6400, 6402]]
['15', [8403, 8405]]
['15', [10763, 10765]]
['15', [11126, 11128]]
['15', [11831, 11833]]
['15', [15737, 15739]]
['24', [5717, 5719]]
['24', [6425, 6427]]
['24', [11148, 11150]]
['24', [11856, 11858]]
['24', [15852, 15854]]
['a1065t', [5724, 5730]]
['a1065t', [6433, 6439]]
['a1065t', [11155, 11161]]
['a1065t', [11864, 11870]]
['a1065t', [15855, 15861]]
