['tmz', [72785, 72788]]
['tmz', [72808, 72811]]
['tmz', [72886, 72889]]
['tmz', [72900, 72903]]
['tmz', [72939, 72942]]
['tmz', [72949, 72952]]
['tmz', [73969, 73972]]
['tmz', [73980, 73983]]
['tmz', [74024, 74027]]
['tmz', [74031, 74034]]
['gbm', [85, 88]]
['gbm', [230, 233]]
['gbm', [390, 393]]
['gbm', [1916, 1919]]
['gbm', [2282, 2285]]
['gbm', [3459, 3462]]
['gbm', [3913, 3916]]
['gbm', [4029, 4032]]
['gbm', [6011, 6014]]
['gbm', [6017, 6020]]
['gbm', [6027, 6030]]
['gbm', [6051, 6054]]
['gbm', [10442, 10445]]
['gbm', [10448, 10451]]
['gbm', [10458, 10461]]
['gbm', [10482, 10485]]
['gbm', [18350, 18353]]
['gbm', [19122, 19125]]
['gbm', [21744, 21747]]
['gbm', [21842, 21845]]
['gbm', [22283, 22286]]
['gbm', [24648, 24651]]
['gbm', [24663, 24666]]
['gbm', [25117, 25120]]
['gbm', [25129, 25132]]
['gbm', [25142, 25145]]
['gbm', [25155, 25158]]
['gbm', [25168, 25171]]
['gbm', [25791, 25794]]
['gbm', [26852, 26855]]
['gbm', [26929, 26932]]
['gbm', [27701, 27704]]
['gbm', [30323, 30326]]
['gbm', [30421, 30424]]
['gbm', [30862, 30865]]
['gbm', [33227, 33230]]
['gbm', [33242, 33245]]
['gbm', [33696, 33699]]
['gbm', [33708, 33711]]
['gbm', [33721, 33724]]
['gbm', [33734, 33737]]
['gbm', [33747, 33750]]
['gbm', [34370, 34373]]
['gbm', [35431, 35434]]
['gbm', [35500, 35503]]
['gbm', [36272, 36275]]
['gbm', [36923, 36926]]
['gbm', [37695, 37698]]
['gbm', [41688, 41691]]
['gbm', [41786, 41789]]
['gbm', [42227, 42230]]
['gbm', [44714, 44717]]
['gbm', [44812, 44815]]
['gbm', [45253, 45256]]
['gbm', [47619, 47622]]
['gbm', [47634, 47637]]
['gbm', [48088, 48091]]
['gbm', [48100, 48103]]
['gbm', [48113, 48116]]
['gbm', [48126, 48129]]
['gbm', [48139, 48142]]
['gbm', [49022, 49025]]
['gbm', [49037, 49040]]
['gbm', [49491, 49494]]
['gbm', [49503, 49506]]
['gbm', [49516, 49519]]
['gbm', [49529, 49532]]
['gbm', [49542, 49545]]
['gbm', [50166, 50169]]
['gbm', [51227, 51230]]
['gbm', [51520, 51523]]
['gbm', [52581, 52584]]
['gbm', [52729, 52732]]
['gbm', [53457, 53460]]
['gbm', [53582, 53585]]
['gbm', [53752, 53755]]
['gbm', [54792, 54795]]
['gbm', [54881, 54884]]
['gbm', [55014, 55017]]
['gbm', [56816, 56819]]
['gbm', [57470, 57473]]
['gbm', [57871, 57874]]
['gbm', [58377, 58380]]
['gbm', [59105, 59108]]
['gbm', [59230, 59233]]
['gbm', [59400, 59403]]
