['ovarian', [22342, 22349]]
['ovarian', [22625, 22632]]
['ovarian', [22724, 22731]]
['ovarian', [22908, 22915]]
['ovarian', [23250, 23257]]
['ovarian', [23416, 23423]]
['ovarian', [23510, 23517]]
['ovarian', [24334, 24341]]
['ovarian', [24949, 24956]]
['ovarian', [25752, 25759]]
['ovarian', [26555, 26562]]
['ovarian', [27022, 27029]]
['ovarian', [27054, 27061]]
['surface', [17241, 17248]]
['surface', [17807, 17814]]
['surface', [22350, 22357]]
['surface', [22916, 22923]]
['swedish', [18724, 18731]]
['swedish', [19005, 19012]]
['swedish', [23833, 23840]]
['swedish', [24114, 24121]]
['families', [18732, 18740]]
['families', [23841, 23849]]


spacy + metamap: 2587['possible', [2, 10]]
['link', [11, 15]]
['link', [15933, 15937]]
['link', [16256, 16260]]
['link', [16390, 16394]]
['link', [17683, 17687]]
['link', [21042, 21046]]
['link', [21365, 21369]]
['link', [21499, 21503]]
['link', [22792, 22796]]
['pubertal', [28, 36]]
['pubertal', [1666, 1674]]
['pubertal', [15970, 15978]]
['pubertal', [16586, 16594]]
['pubertal', [16622, 16630]]
['pubertal', [21079, 21087]]
['pubertal', [21695, 21703]]
['pubertal', [21731, 21739]]
['pubertal', [27299, 27307]]
['growth', [37, 43]]
['growth', [1615, 1621]]
['growth', [1675, 1681]]
['growth', [15208, 15214]]
['growth', [15979, 15985]]
['growth', [16595, 16601]]
['growth', [16631, 16637]]
['growth', [16663, 16669]]
['growth', [18252, 18258]]
['growth', [19142, 19148]]
['growth', [19267, 19273]]
['growth', [20317, 20323]]
['growth', [21088, 21094]]
['growth', [21704, 21710]]
['growth', [21740, 21746]]
['growth', [21772, 21778]]
['growth', [23361, 23367]]
['growth', [24251, 24257]]
['growth', [24376, 24382]]
['growth', [26817, 26823]]
['growth', [27308, 27314]]
['girls', [47, 52]]
['girls', [15218, 15223]]
['girls', [16494, 16499]]
['girls', [18518, 18523]]
['girls', [18702, 18707]]
['girls', [18927, 18932]]
['girls', [19069, 19074]]
['girls', [20327, 20332]]
['girls', [21603, 21608]]
['girls', [23627, 23632]]
['girls', [23811, 23816]]
['girls', [24036, 24041]]
['girls', [24178, 24183]]
['girls', [26827, 26832]]
['ovarian cancer', [57, 71]]
['ovarian cancer', [832, 846]]
['ovarian cancer', [1049, 1063]]
['ovarian cancer', [1288, 1302]]
['ovarian cancer', [1341, 1355]]
['ovarian cancer', [1559, 1573]]
['ovarian cancer', [3364, 3378]]
['ovarian cancer', [3400, 3414]]
['ovarian cancer', [3716, 3730]]
['ovarian cancer', [3832, 3846]]
['ovarian cancer', [3952, 3966]]
['ovarian cancer', [4285, 4299]]
['ovarian cancer', [4401, 4415]]
['ovarian cancer', [4521, 4535]]
['ovarian cancer', [4771, 4785]]
['ovarian cancer', [4934, 4948]]
['ovarian cancer', [5037, 5051]]
['ovarian cancer', [5126, 5140]]
['ovarian cancer', [5284, 5298]]
['ovarian cancer', [5664, 5678]]
['ovarian cancer', [5751, 5765]]
['ovarian cancer', [5985, 5999]]
['ovarian cancer', [6174, 6188]]
['ovarian cancer', [6303, 6317]]
['ovarian cancer', [6764, 6778]]
['ovarian cancer', [7108, 7122]]
['ovarian cancer', [7487, 7501]]
['ovarian cancer', [7579, 7593]]
['ovarian cancer', [7647, 7661]]
['ovarian cancer', [7754, 7768]]
['ovarian cancer', [8118, 8132]]
['ovarian cancer', [8258, 8272]]
['ovarian cancer', [8485, 8499]]
['ovarian cancer', [8648, 8662]]
['ovarian cancer', [8751, 8765]]
['ovarian cancer', [8840, 8854]]
['ovarian cancer', [8998, 9012]]
['ovarian cancer', [9378, 9392]]
['ovarian cancer', [9465, 9479]]
['ovarian cancer', [9699, 9713]]
['ovarian cancer', [9888, 9902]]
['ovarian cancer', [10017, 10031]]
['ovarian cancer', [10478, 10492]]
['ovarian cancer', [10822, 10836]]
['ovarian cancer', [11201, 11215]]
['ovarian cancer', [11293, 11307]]
['ovarian cancer', [11361, 11375]]
['ovarian cancer', [11468, 11482]]
['ovarian cancer', [11832, 11846]]
['ovarian cancer', [11972, 11986]]
['ovarian cancer', [12208, 12222]]
['ovarian cancer', [12587, 12601]]
['ovarian cancer', [12639, 12653]]
['ovarian cancer', [13018, 13032]]
['ovarian cancer', [13111, 13125]]
['ovarian cancer', [13179, 13193]]
['ovarian cancer', [13324, 13338]]
['ovarian cancer', [13392, 13406]]
['ovarian cancer', [13500, 13514]]
['ovarian cancer', [13788, 13802]]
['ovarian cancer', [14153, 14167]]
['ovarian cancer', [14293, 14307]]
['ovarian cancer', [14610, 14624]]
['ovarian cancer', [14750, 14764]]
['ovarian cancer', [15060, 15074]]
['ovarian cancer', [15098, 15112]]
['ovarian cancer', [15439, 15453]]
['ovarian cancer', [15647, 15661]]
['ovarian cancer', [16238, 16252]]
['ovarian cancer', [16367, 16381]]
['ovarian cancer', [16711, 16725]]
['ovarian cancer', [17615, 17629]]
['ovarian cancer', [18141, 18155]]
