['neurological', [17362, 17374]]
['neurological', [21311, 21323]]
['neurological', [22203, 22215]]
['neurological', [22817, 22829]]
['neurological', [24459, 24471]]
['neurological', [30648, 30660]]
['neurological', [31540, 31552]]
['neurological', [32229, 32241]]
['neurological', [33121, 33133]]
['neurological', [39650, 39662]]
['neurological', [46647, 46659]]
['neurological', [47995, 48007]]
['outcomes', [83, 91]]
['outcomes', [1664, 1672]]
['outcomes', [4347, 4355]]
['outcomes', [6009, 6017]]
['outcomes', [14666, 14674]]
['outcomes', [20655, 20663]]
['outcomes', [29992, 30000]]
['outcomes', [31573, 31581]]
['outcomes', [47962, 47970]]
['nat', [251, 254]]
['nat', [443, 446]]
['nat', [679, 682]]
['nat', [2053, 2056]]
['nat', [2085, 2088]]
['nat', [3467, 3470]]
['nat', [3564, 3567]]
['nat', [3773, 3776]]
['nat', [4096, 4099]]
['nat', [4128, 4131]]
['nat', [4155, 4158]]
['nat', [4590, 4593]]
['nat', [4786, 4789]]
['nat', [5022, 5025]]
['nat', [6736, 6739]]
['nat', [8191, 8194]]
['nat', [8287, 8290]]
['nat', [9170, 9173]]
['nat', [9787, 9790]]
['nat', [12485, 12488]]
['nat', [12566, 12569]]
['nat', [12747, 12750]]
['nat', [13414, 13417]]
['nat', [13790, 13793]]
['nat', [14364, 14367]]
['nat', [18474, 18477]]
['nat', [18555, 18558]]
['nat', [18736, 18739]]
['nat', [19403, 19406]]
['nat', [19779, 19782]]
['nat', [20353, 20356]]
['nat', [25572, 25575]]
['nat', [25653, 25656]]
['nat', [25834, 25837]]
['nat', [26478, 26481]]
['nat', [26559, 26562]]
['nat', [26740, 26743]]
['nat', [27408, 27411]]
['nat', [27784, 27787]]
['nat', [28102, 28105]]
['nat', [28478, 28481]]
['nat', [29053, 29056]]
['nat', [29689, 29692]]
['nat', [33221, 33224]]
['nat', [33342, 33345]]
['nat', [34446, 34449]]
['nat', [37308, 37311]]
['nat', [37518, 37521]]
['nat', [37597, 37600]]
['nat', [38326, 38329]]
['nat', [38542, 38545]]
['nat', [39105, 39108]]
['nat', [39500, 39503]]
['nat', [40218, 40221]]
['nat', [40339, 40342]]
['nat', [41443, 41446]]
['nat', [44305, 44308]]
['nat', [44515, 44518]]
['nat', [44594, 44597]]
['nat', [45323, 45326]]
['nat', [45539, 45542]]
['nat', [46102, 46105]]
['nat', [46497, 46500]]
['past', [6279, 6283]]
['13', [6284, 6286]]
['13', [11799, 11801]]
['13', [14159, 14161]]
['13', [15183, 15185]]
['13', [17788, 17790]]
['13', [20148, 20150]]
['13', [21172, 21174]]
['13', [23243, 23245]]
['13', [24885, 24887]]
['13', [28848, 28850]]
['13', [29484, 29486]]
['13', [30509, 30511]]
['13', [32090, 32092]]
['13', [37228, 37230]]
['13', [37327, 37329]]
['13', [44225, 44227]]
['13', [44324, 44326]]
['years\\.', [6287, 6294]]
['cases', [108, 113]]
['cases', [411, 416]]
['cases', [1010, 1015]]
['cases', [4754, 4759]]
['cases', [5354, 5359]]
['cases', [6294, 6299]]
['cases', [6468, 6473]]
['cases', [6706, 6711]]
