['psa', [10695, 10698]]
['psa', [10936, 10939]]
['psa', [12563, 12566]]
['anti-apoptotic', [12225, 12239]]
['protein', [5901, 5908]]
['protein', [10673, 10680]]
['protein', [12240, 12247]]
['bcl-2', [12248, 12253]]
['tumor', [14396, 14401]]
['necrosis', [14402, 14410]]
['factor-related', [14411, 14425]]
['apoptotic-inducing', [14426, 14444]]
['ligand', [14445, 14451]]
['trail', [14453, 14458]]
['se', [53, 55]]
['se', [438, 440]]
['se', [488, 490]]
['se', [491, 493]]
['se', [525, 527]]
['se', [552, 554]]
['se', [779, 781]]
['se', [795, 797]]
['se', [986, 988]]
['se', [1045, 1047]]
['se', [1149, 1151]]
['se', [1221, 1223]]
['se', [1224, 1226]]
['se', [1408, 1410]]
['se', [1480, 1482]]
['se', [1483, 1485]]
['se', [1591, 1593]]
['se', [1692, 1694]]
['se', [1695, 1697]]
['se', [1744, 1746]]
['se', [1818, 1820]]
['se', [1881, 1883]]
['se', [1884, 1886]]
['se', [1999, 2001]]
['se', [2002, 2004]]
['se', [2100, 2102]]
['se', [2153, 2155]]
['se', [2156, 2158]]
['se', [2239, 2241]]
['se', [2484, 2486]]
['se', [2583, 2585]]
['se', [2767, 2769]]
['se', [3042, 3044]]
['se', [3111, 3113]]
['se', [3253, 3255]]
['se', [3266, 3268]]
['se', [3826, 3828]]
['se', [4032, 4034]]
['se', [4049, 4051]]
['se', [4103, 4105]]
['se', [4113, 4115]]
['se', [4148, 4150]]
['se', [4216, 4218]]
['se', [4326, 4328]]
['se', [4426, 4428]]
['se', [4583, 4585]]
['se', [4730, 4732]]
['se', [4801, 4803]]
['se', [4978, 4980]]
['se', [5058, 5060]]
['se', [5087, 5089]]
['se', [5156, 5158]]
['se', [5248, 5250]]
['se', [5277, 5279]]
['se', [5355, 5357]]
['se', [5486, 5488]]
['se', [5710, 5712]]
['se', [5718, 5720]]
['se', [5784, 5786]]
['se', [5791, 5793]]
['se', [5867, 5869]]
['se', [5883, 5885]]
['se', [5978, 5980]]
['se', [6048, 6050]]
['se', [6127, 6129]]
['se', [6229, 6231]]
['se', [6314, 6316]]
['se', [6469, 6471]]
['se', [6516, 6518]]
['se', [6636, 6638]]
['se', [6939, 6941]]
['se', [6968, 6970]]
['se', [7013, 7015]]
['se', [7016, 7018]]
['se', [7048, 7050]]
['se', [7242, 7244]]
['se', [7348, 7350]]
['se', [7429, 7431]]
['se', [7464, 7466]]
['se', [7491, 7493]]
['se', [7613, 7615]]
['se', [7646, 7648]]
['se', [7847, 7849]]
['se', [7861, 7863]]
['se', [7909, 7911]]
['se', [7989, 7991]]
['se', [8010, 8012]]
['se', [8029, 8031]]
['se', [8043, 8045]]
['se', [8061, 8063]]
['se', [8102, 8104]]
['se', [8114, 8116]]
['se', [8131, 8133]]
['se', [8316, 8318]]
['se', [8405, 8407]]
['se', [8433, 8435]]
['se', [8494, 8496]]
['se', [8514, 8516]]
['se', [8583, 8585]]
['se', [8603, 8605]]
['se', [8623, 8625]]
['se', [8654, 8656]]
['se', [8755, 8757]]
['se', [8855, 8857]]
['se', [8899, 8901]]
['se', [9026, 9028]]
['se', [9041, 9043]]
['se', [9051, 9053]]
['se', [9058, 9060]]
['se', [9116, 9118]]
['se', [9227, 9229]]
['se', [9304, 9306]]
['se', [9380, 9382]]
['se', [9424, 9426]]
['se', [9433, 9435]]
['se', [9450, 9452]]
['se', [9481, 9483]]
['se', [9490, 9492]]
['se', [9687, 9689]]
['se', [9737, 9739]]
['se', [9795, 9797]]
['se', [9920, 9922]]
['se', [9948, 9950]]
['se', [10094, 10096]]
['se', [10108, 10110]]
['se', [10162, 10164]]
['se', [10258, 10260]]
['se', [10261, 10263]]
['se', [10296, 10298]]
['se', [10340, 10342]]
['se', [10373, 10375]]
['se', [10468, 10470]]
['se', [10525, 10527]]
['se', [10579, 10581]]
['se', [10586, 10588]]
['se', [10666, 10668]]
['se', [10732, 10734]]
['se', [10753, 10755]]
['se', [10888, 10890]]
['se', [11026, 11028]]
['se', [11181, 11183]]
['se', [11275, 11277]]
['se', [11471, 11473]]
['se', [11510, 11512]]
['se', [11550, 11552]]
['se', [11797, 11799]]
