['growth', [48539, 48545]]
['growth', [49426, 49432]]
['growth', [49809, 49815]]
['growth', [50282, 50288]]
['growth', [50485, 50491]]
['growth', [51199, 51205]]
['growth', [54916, 54922]]
['growth', [56393, 56399]]
['growth', [57280, 57286]]
['growth', [57663, 57669]]
['growth', [58136, 58142]]
['growth', [58339, 58345]]
['growth', [62356, 62362]]
['growth', [64501, 64507]]
['growth', [64587, 64593]]
['growth', [67340, 67346]]
['growth', [69486, 69492]]
['growth', [69572, 69578]]
['growth', [71312, 71318]]
['growth', [71976, 71982]]
['factor', [2714, 2720]]
['factor', [6464, 6470]]
['factor', [9263, 9269]]
['factor', [9477, 9483]]
['factor', [12904, 12910]]
['factor', [17210, 17216]]
['factor', [27831, 27837]]
['factor', [32138, 32144]]
['factor', [47069, 47075]]
['factor', [54923, 54929]]
['factor', [63949, 63955]]
['factor', [64033, 64039]]
['factor', [64508, 64514]]
['factor', [64594, 64600]]
['factor', [68934, 68940]]
['factor', [69018, 69024]]
['factor', [69493, 69499]]
['factor', [69579, 69585]]
['factor', [70906, 70912]]
['factor', [71319, 71325]]
['factor', [73435, 73441]]
['factor', [74284, 74290]]
['factor', [74334, 74340]]
['factor', [75119, 75125]]
['factor', [75413, 75419]]
['egf', [6472, 6475]]
['egf', [6618, 6621]]
['egf', [47605, 47608]]
['egf', [47733, 47736]]
['egf', [49149, 49152]]
['egf', [55459, 55462]]
['egf', [55587, 55590]]
['egf', [57003, 57006]]
['mammary', [32, 39]]
['mammary', [592, 599]]
['mammary', [653, 660]]
['mammary', [4271, 4278]]
['mammary', [4952, 4959]]
['mammary', [6698, 6705]]
['mammary', [8776, 8783]]
['mammary', [8894, 8901]]
['mammary', [8929, 8936]]
['mammary', [9215, 9222]]
['mammary', [9292, 9299]]
['mammary', [9717, 9724]]
['mammary', [10273, 10280]]
['mammary', [11980, 11987]]
['mammary', [12503, 12510]]
['mammary', [12621, 12628]]
['mammary', [13083, 13090]]
['mammary', [13478, 13485]]
['mammary', [15172, 15179]]
['mammary', [19037, 19044]]
['mammary', [19255, 19262]]
['mammary', [20214, 20221]]
['mammary', [21354, 21361]]
['mammary', [21905, 21912]]
['mammary', [22066, 22073]]
['mammary', [22303, 22310]]
['mammary', [22489, 22496]]
['mammary', [22763, 22770]]
['mammary', [22867, 22874]]
['mammary', [22960, 22967]]
['mammary', [23034, 23041]]
['mammary', [23242, 23249]]
['mammary', [23724, 23731]]
['mammary', [24370, 24377]]
['mammary', [24908, 24915]]
['mammary', [25200, 25207]]
['mammary', [26907, 26914]]
['mammary', [27430, 27437]]
['mammary', [27548, 27555]]
['mammary', [28010, 28017]]
['mammary', [28405, 28412]]
['mammary', [30100, 30107]]
['mammary', [33965, 33972]]
['mammary', [34183, 34190]]
['mammary', [35142, 35149]]
['mammary', [36282, 36289]]
['mammary', [36833, 36840]]
['mammary', [36994, 37001]]
['mammary', [37232, 37239]]
['mammary', [37418, 37425]]
['mammary', [37692, 37699]]
['mammary', [37796, 37803]]
['mammary', [37889, 37896]]
['mammary', [37963, 37970]]
['mammary', [38171, 38178]]
['mammary', [38653, 38660]]
['mammary', [39299, 39306]]
['mammary', [39837, 39844]]
['mammary', [41923, 41930]]
['mammary', [42528, 42535]]
['mammary', [45743, 45750]]
['mammary', [46747, 46754]]
['mammary', [46817, 46824]]
['mammary', [53596, 53603]]
['mammary', [54600, 54607]]
['mammary', [54670, 54677]]
['mammary', [59960, 59967]]
['mammary', [70177, 70184]]
['mammary', [70274, 70281]]
['mammary', [70623, 70630]]
['mammary', [74417, 74424]]
['mecs', [6724, 6728]]
['mecs', [13548, 13552]]
['mecs', [14161, 14165]]
['mecs', [14349, 14353]]
['mecs', [16506, 16510]]
['mecs', [21049, 21053]]
['mecs', [28475, 28479]]
['mecs', [29088, 29092]]
