['msn', [43757, 43760]]
['msn', [44812, 44815]]
['msn', [45535, 45538]]
['msn', [49111, 49114]]
['msn', [58450, 58453]]
['msn', [58776, 58779]]
['msn', [58904, 58907]]
['msn', [58983, 58986]]
['msn', [59116, 59119]]
['msn', [59260, 59263]]
['msn', [59333, 59336]]
['msn', [59405, 59408]]
['msn', [59735, 59738]]
['msn', [60023, 60026]]
['msn', [60219, 60222]]
['msn', [60301, 60304]]
['msn', [60416, 60419]]
['msn', [60507, 60510]]
['msn', [60570, 60573]]
['msn', [60728, 60731]]
['msn', [60757, 60760]]
['msn', [61071, 61074]]
['msn', [61113, 61116]]
['msn', [62621, 62624]]
['msn', [67136, 67139]]
['msn', [67247, 67250]]
['msn', [67374, 67377]]
['msn', [67774, 67777]]
['msn', [68101, 68104]]
['msn', [74654, 74657]]
['msn', [74765, 74768]]
['msn', [74892, 74895]]
['msn', [75292, 75295]]
['msn', [75619, 75622]]
['msn', [84709, 84712]]
['msn', [84820, 84823]]
['msn', [84947, 84950]]
['msn', [85347, 85350]]
['msn', [85674, 85677]]
['msn', [88126, 88129]]
['msn', [88237, 88240]]
['msn', [88364, 88367]]
['msn', [88764, 88767]]
['msn', [89091, 89094]]
['msn', [91159, 91162]]
['msn', [93227, 93230]]
['msn', [102600, 102603]]
['msn', [103503, 103506]]
['msn', [104555, 104558]]
['msn', [107247, 107250]]
['msn', [107520, 107523]]
['msn', [110678, 110681]]
['msn', [111581, 111584]]
['msn', [112633, 112636]]
['msn', [115325, 115328]]
['msn', [115598, 115601]]
['msn\\.', [7376, 7381]]
['msn\\.', [13163, 13168]]
['msn\\.', [38822, 38827]]
['d1', [8221, 8223]]
['d1', [12863, 12865]]
['d1', [38521, 38523]]
['receptor', [8224, 8232]]
['receptor', [23238, 23246]]
['receptor', [48898, 48906]]
['human', [764, 769]]
['human', [989, 994]]
['human', [1245, 1250]]
['human', [1992, 1997]]
['human', [4637, 4642]]
['human', [4702, 4707]]
['human', [8279, 8284]]
['human', [9454, 9459]]
['human', [33862, 33867]]
['human', [33994, 33999]]
['human', [62321, 62326]]
['human', [62453, 62458]]
['human', [65520, 65525]]
['human', [65626, 65631]]
['human', [70086, 70091]]
['human', [70342, 70347]]
['human', [70487, 70492]]
['human', [70987, 70992]]
['human', [71152, 71157]]
['human', [71414, 71419]]
['human', [73038, 73043]]
['human', [73144, 73149]]
['human', [77604, 77609]]
['human', [77860, 77865]]
['human', [78005, 78010]]
['human', [78505, 78510]]
['human', [78670, 78675]]
['human', [78932, 78937]]
['human', [80548, 80553]]
['human', [80654, 80659]]
['human', [83092, 83097]]
['human', [83198, 83203]]
['human', [97955, 97960]]
['human', [98211, 98216]]
