['macrophages', [15273, 15284]]
['macrophages', [15311, 15322]]
['macrophages', [15489, 15500]]
['macrophages', [15527, 15538]]
['macrophages', [15711, 15722]]
['macrophages', [15836, 15847]]
['macrophages', [15874, 15885]]
['macrophages', [15962, 15973]]
['macrophages', [16059, 16070]]
['macrophages', [16267, 16278]]
['macrophages', [16316, 16327]]
['macrophages', [16441, 16452]]
['macrophages', [16577, 16588]]
['macrophages', [16733, 16744]]
['macrophages', [16850, 16861]]
['macrophages', [16955, 16966]]
['macrophages', [17076, 17087]]
['macrophages', [17123, 17134]]
['macrophages', [17366, 17377]]
['macrophages', [17470, 17481]]
['macrophages', [18140, 18151]]
['macrophages', [18185, 18196]]
['macrophages', [18258, 18269]]
['macrophages', [18298, 18309]]
['macrophages', [18629, 18640]]
['macrophages', [18777, 18788]]
['macrophages', [18940, 18951]]
['macrophages', [19092, 19103]]
['macrophages', [19146, 19157]]
['macrophages', [19404, 19415]]
['macrophages', [19442, 19453]]
['macrophages', [19620, 19631]]
['macrophages', [19658, 19669]]
['macrophages', [19842, 19853]]
['macrophages', [19967, 19978]]
['macrophages', [20005, 20016]]
['macrophages', [20093, 20104]]
['macrophages', [20190, 20201]]
['macrophages', [20398, 20409]]
['macrophages', [20447, 20458]]
['macrophages', [20572, 20583]]
['macrophages', [20708, 20719]]
['macrophages', [20864, 20875]]
['macrophages', [20981, 20992]]
['macrophages', [21086, 21097]]
['macrophages', [21207, 21218]]
['macrophages', [21254, 21265]]
['macrophages', [21497, 21508]]
['macrophages', [21601, 21612]]
['macrophages', [21989, 22000]]
['macrophages', [22034, 22045]]
['macrophages', [22107, 22118]]
['macrophages', [22147, 22158]]
['macrophages', [22478, 22489]]
['macrophages', [22626, 22637]]
['macrophages', [22789, 22800]]
['macrophages', [22941, 22952]]
['macrophages', [22995, 23006]]
['macrophages', [23122, 23133]]
['macrophages', [23167, 23178]]
['macrophages', [23240, 23251]]
['macrophages', [23280, 23291]]
['macrophages', [23611, 23622]]
['macrophages', [23759, 23770]]
['macrophages', [23922, 23933]]
['macrophages', [24074, 24085]]
['macrophages', [24128, 24139]]
['macrophages', [24387, 24398]]
['macrophages', [24425, 24436]]
['macrophages', [24603, 24614]]
['macrophages', [24641, 24652]]
['macrophages', [24825, 24836]]
['macrophages', [24950, 24961]]
['macrophages', [24988, 24999]]
['macrophages', [25076, 25087]]
['macrophages', [25173, 25184]]
['macrophages', [25463, 25474]]
['macrophages', [25501, 25512]]
['macrophages', [25679, 25690]]
['macrophages', [25717, 25728]]
['macrophages', [25901, 25912]]
['macrophages', [26026, 26037]]
['macrophages', [26064, 26075]]
['macrophages', [26152, 26163]]
['macrophages', [26249, 26260]]
['macrophages', [26458, 26469]]
['macrophages', [26507, 26518]]
['macrophages', [26632, 26643]]
['macrophages', [26768, 26779]]
['macrophages', [26924, 26935]]
['macrophages', [27041, 27052]]
['macrophages', [27146, 27157]]
['macrophages', [27267, 27278]]
['macrophages', [27314, 27325]]
['macrophages', [27557, 27568]]
['macrophages', [27661, 27672]]
['macrophages', [28100, 28111]]
['macrophages', [28149, 28160]]
['macrophages', [28274, 28285]]
['macrophages', [28410, 28421]]
['macrophages', [28566, 28577]]
['macrophages', [28683, 28694]]
['macrophages', [28788, 28799]]
['macrophages', [28909, 28920]]
['macrophages', [28956, 28967]]
['macrophages', [29199, 29210]]
['macrophages', [29303, 29314]]
['macrophages', [29971, 29982]]
['macrophages', [30393, 30404]]
['macrophages', [31024, 31035]]
['macrophages', [31070, 31081]]
['macrophages', [31342, 31353]]
['macrophages', [31514, 31525]]
['macrophages', [31803, 31814]]
['macrophages', [31839, 31850]]
['macrophages', [31903, 31914]]
['macrophages', [32272, 32283]]
['macrophages', [32392, 32403]]
['macrophages', [32502, 32513]]
['macrophages', [32633, 32644]]
['macrophages', [33353, 33364]]
['macrophages', [33550, 33561]]
['macrophages', [33900, 33911]]
['macrophages', [34178, 34189]]
['macrophages', [34217, 34228]]
['macrophages', [34364, 34375]]
['macrophages', [34403, 34414]]
['macrophages', [34525, 34536]]
['macrophages', [35091, 35102]]
