['yy1', [67766, 67769]]
['yy1', [67960, 67963]]
['yy1', [67984, 67987]]
['yy1', [68072, 68075]]
['yy1', [68126, 68129]]
['yy1', [68192, 68195]]
['yy1', [68251, 68254]]
['yy1', [68675, 68678]]
['yy1', [68911, 68914]]
['yy1', [68947, 68950]]
['yy1', [68969, 68972]]
['yy1', [68979, 68982]]
['yy1', [68992, 68995]]
['yy1', [69219, 69222]]
['yy1', [69298, 69301]]
['yy1', [69351, 69354]]
['yy1', [69445, 69448]]
['yy1', [69489, 69492]]
['yy1', [69546, 69549]]
['yy1', [69607, 69610]]
['yy1', [69705, 69708]]
['yy1', [69743, 69746]]
['yy1', [70169, 70172]]
['yy1', [70228, 70231]]
['yy1', [70250, 70253]]
['yy1', [70457, 70460]]
['yy1', [70651, 70654]]
['yy1', [70675, 70678]]
['yy1', [70763, 70766]]
['yy1', [70817, 70820]]
['yy1', [70886, 70889]]
['yy1', [70922, 70925]]
['yy1', [71040, 71043]]
['yy1', [71119, 71122]]
['yy1', [71165, 71168]]
['yy1', [71195, 71198]]
['yy1', [71522, 71525]]
['yy1', [71552, 71555]]
['yy1', [71966, 71969]]
['yy1', [72044, 72047]]
['yy1', [72056, 72059]]
['yy1', [72167, 72170]]
['yy1', [72370, 72373]]
['yy1', [72622, 72625]]
['yy1', [73079, 73082]]
['yy1', [73148, 73151]]
['yy1', [73176, 73179]]
['yy1', [73422, 73425]]
['yy1', [73435, 73438]]
['yy1', [73609, 73612]]
['yy1', [73767, 73770]]
['yy1', [73843, 73846]]
['yy1', [73876, 73879]]
['yy1', [73896, 73899]]
['yy1', [73914, 73917]]
['yy1', [73941, 73944]]
['yy1', [74025, 74028]]
['yy1', [74285, 74288]]
['yy1', [74476, 74479]]
['yy1', [74493, 74496]]
['yy1', [74587, 74590]]
['yy1', [74753, 74756]]
['yy1', [74775, 74778]]
['yy1', [74877, 74880]]
['yy1', [75081, 75084]]
['yy1', [75221, 75224]]
['yy1', [75257, 75260]]
['yy1', [75375, 75378]]
['yy1', [75454, 75457]]
['yy1', [75500, 75503]]
['yy1', [75530, 75533]]
['yy1', [75857, 75860]]
['yy1', [75887, 75890]]
['yy1', [76301, 76304]]
['yy1', [76379, 76382]]
['yy1', [76391, 76394]]
['yy1', [76502, 76505]]
['yy1', [76705, 76708]]
['yy1', [76957, 76960]]
['yy1', [77414, 77417]]
['yy1', [77483, 77486]]
['yy1', [77511, 77514]]
['yy1', [77757, 77760]]
['yy1', [77770, 77773]]
['yy1', [77944, 77947]]
['yy1', [78102, 78105]]
['yy1', [78178, 78181]]
['yy1', [78211, 78214]]
['yy1', [78231, 78234]]
['yy1', [78249, 78252]]
['yy1', [78276, 78279]]
['yy1', [78360, 78363]]
['yy1', [78620, 78623]]
['yy1', [78811, 78814]]
['yy1', [78828, 78831]]
['yy1', [78922, 78925]]
['yy1', [79088, 79091]]
['yy1', [79110, 79113]]
['yy1', [79212, 79215]]
['yy1', [79416, 79419]]
['yy1', [79578, 79581]]
['yy1', [79739, 79742]]
['yy1', [80234, 80237]]
['yy1', [80242, 80245]]
['yy1', [80252, 80255]]
['yy1', [80265, 80268]]
['yy1', [80362, 80365]]
['yy1', [80373, 80376]]
['yy1', [80386, 80389]]
['yy1', [80410, 80413]]
['yy1', [80439, 80442]]
['yy1', [80659, 80662]]
['yy1', [80681, 80684]]
['yy1', [80878, 80881]]
['yy1', [80998, 81001]]
['yy1', [81060, 81063]]
['yy1', [81237, 81240]]
['yy1', [81281, 81284]]
['yy1', [81359, 81362]]
['yy1', [81372, 81375]]
['yy1', [81481, 81484]]
['yy1', [81569, 81572]]
['yy1', [81808, 81811]]
['yy1', [81969, 81972]]
['yy1', [82464, 82467]]
['yy1', [82472, 82475]]
['yy1', [82482, 82485]]
['yy1', [82495, 82498]]
['yy1', [82592, 82595]]
['yy1', [82603, 82606]]
['yy1', [82616, 82619]]
['yy1', [82640, 82643]]
['yy1', [82669, 82672]]
['yy1', [82889, 82892]]
['yy1', [82911, 82914]]
['yy1', [83108, 83111]]
['yy1', [83228, 83231]]
['yy1', [83290, 83293]]
['yy1', [83467, 83470]]
['yy1', [83511, 83514]]
['yy1', [83589, 83592]]
['yy1', [83602, 83605]]
['yy1', [83711, 83714]]
['yy1', [83799, 83802]]
['yy1', [83994, 83997]]
['yy1', [84086, 84089]]
['yy1', [84154, 84157]]
['yy1', [84371, 84374]]
['yy1', [84657, 84660]]
['yy1', [84692, 84695]]
['yy1', [84777, 84780]]
['yy1', [84809, 84812]]
['yy1', [84887, 84890]]
['yy1', [85010, 85013]]
['yy1', [85077, 85080]]
['yy1', [85127, 85130]]
['yy1', [85174, 85177]]
['yy1', [85404, 85407]]
['yy1', [85456, 85459]]
['yy1', [85714, 85717]]
['yy1', [86007, 86010]]
['yy1', [86154, 86157]]
['yy1', [86295, 86298]]
['yy1', [86387, 86390]]
['yy1', [86455, 86458]]
['yy1', [86672, 86675]]
['yy1', [86958, 86961]]
['yy1', [86993, 86996]]
['yy1', [87078, 87081]]
['yy1', [87110, 87113]]
['yy1', [87188, 87191]]
['yy1', [87311, 87314]]
['yy1', [87378, 87381]]
['yy1', [87428, 87431]]
['yy1', [87475, 87478]]
['yy1', [87705, 87708]]
['yy1', [87757, 87760]]
['yy1', [88015, 88018]]
['yy1', [88308, 88311]]
['yy1', [88455, 88458]]
['yy1', [88641, 88644]]
['yy1', [88722, 88725]]
['yy1', [88822, 88825]]
['yy1', [89280, 89283]]
['yy1', [89341, 89344]]
['yy1', [89445, 89448]]
['yy1', [89871, 89874]]
['yy1', [89922, 89925]]
['yy1', [90148, 90151]]
['yy1', [90839, 90842]]
['yy1', [91033, 91036]]
['yy1', [91114, 91117]]
['yy1', [91214, 91217]]
['yy1', [91672, 91675]]
['yy1', [91733, 91736]]
['yy1', [91837, 91840]]
['yy1', [92263, 92266]]
['yy1', [92314, 92317]]
['yy1', [92540, 92543]]
['yy1', [93231, 93234]]
['yy1', [93753, 93756]]
['yy1', [93904, 93907]]
['yy1', [93985, 93988]]
['yy1', [94062, 94065]]
['yy1', [94235, 94238]]
['yy1', [94354, 94357]]
['yy1', [94477, 94480]]
['yy1', [94539, 94542]]
['yy1', [94759, 94762]]
['yy1', [94983, 94986]]
['yy1', [95013, 95016]]
['yy1', [95172, 95175]]
['yy1', [95232, 95235]]
['yy1', [95362, 95365]]
['yy1', [95461, 95464]]
['yy1', [95519, 95522]]
['yy1', [95596, 95599]]
['yy1', [95727, 95730]]
['yy1', [95791, 95794]]
['yy1', [95818, 95821]]
['yy1', [95863, 95866]]
['yy1', [96186, 96189]]
['yy1', [96407, 96410]]
['yy1', [96488, 96491]]
['yy1', [96637, 96640]]
['yy1', [96672, 96675]]
['yy1', [96882, 96885]]
['yy1', [96898, 96901]]
['yy1', [97053, 97056]]
['yy1', [97106, 97109]]
['yy1', [97266, 97269]]
['yy1', [97362, 97365]]
['yy1', [97392, 97395]]
['yy1', [97534, 97537]]
['yy1', [97674, 97677]]
['yy1', [98015, 98018]]
['yy1', [98050, 98053]]
['yy1', [98331, 98334]]
['yy1', [98387, 98390]]
['yy1', [98504, 98507]]
['yy1', [98868, 98871]]
['yy1', [99058, 99061]]
['yy1', [99134, 99137]]
['yy1', [99199, 99202]]
['yy1', [99398, 99401]]
['yy1', [99593, 99596]]
['yy1', [99839, 99842]]
['yy1', [99952, 99955]]
['yy1', [100133, 100136]]
['yy1', [100197, 100200]]
['yy1', [100363, 100366]]
['yy1', [100446, 100449]]
['yy1', [100594, 100597]]
['yy1', [101257, 101260]]
['yy1', [101408, 101411]]
['yy1', [101489, 101492]]
['yy1', [101566, 101569]]
['yy1', [101739, 101742]]
['yy1', [101858, 101861]]
['yy1', [101981, 101984]]
['yy1', [102043, 102046]]
['yy1', [102263, 102266]]
['yy1', [102487, 102490]]
['yy1', [102517, 102520]]
['yy1', [102676, 102679]]
['yy1', [102736, 102739]]
['yy1', [102866, 102869]]
['yy1', [102965, 102968]]
['yy1', [103023, 103026]]
['yy1', [103100, 103103]]
['yy1', [103231, 103234]]
['yy1', [103295, 103298]]
['yy1', [103322, 103325]]
['yy1', [103367, 103370]]
['yy1', [103690, 103693]]
['yy1', [103911, 103914]]
['yy1', [103992, 103995]]
['yy1', [104141, 104144]]
['yy1', [104176, 104179]]
['yy1', [104386, 104389]]
['yy1', [104402, 104405]]
['yy1', [104557, 104560]]
['yy1', [104610, 104613]]
['yy1', [104770, 104773]]
['yy1', [104866, 104869]]
['yy1', [104896, 104899]]
['yy1', [105038, 105041]]
['yy1', [105178, 105181]]
['yy1', [105519, 105522]]
['yy1', [105554, 105557]]
['yy1', [105835, 105838]]
['yy1', [105891, 105894]]
['yy1', [106008, 106011]]
['yy1', [106372, 106375]]
['yy1', [106562, 106565]]
['yy1', [106638, 106641]]
['yy1', [106703, 106706]]
['yy1', [106902, 106905]]
['yy1', [107097, 107100]]
['yy1', [107343, 107346]]
['yy1', [107456, 107459]]
['yy1', [107637, 107640]]
['yy1', [107701, 107704]]
['yy1', [107867, 107870]]
['yy1', [107950, 107953]]
['yy1', [108098, 108101]]
['yy1', [108439, 108442]]
['yy1', [108530, 108533]]
['yy1', [108569, 108572]]
['yy1', [108699, 108702]]
['yy1', [108885, 108888]]
['yy1', [108906, 108909]]
['yy1', [108972, 108975]]
['yy1', [109044, 109047]]
['yy1', [109126, 109129]]
['yy1', [109174, 109177]]
['yy1', [109268, 109271]]
['yy1', [109275, 109278]]
['yy1', [109435, 109438]]
['yy1', [109453, 109456]]
['yy1', [109536, 109539]]
['yy1', [109544, 109547]]
['yy1', [109868, 109871]]
['yy1', [109885, 109888]]
['yy1', [109915, 109918]]
['yy1', [110012, 110015]]
['yy1', [110050, 110053]]
['yy1', [110170, 110173]]
['yy1', [110359, 110362]]
['yy1', [110380, 110383]]
['yy1', [110440, 110443]]
['yy1', [110510, 110513]]
['yy1', [110635, 110638]]
['yy1', [110723, 110726]]
['yy1', [110807, 110810]]
['yy1', [110814, 110817]]
['yy1', [111539, 111542]]
['yy1', [111557, 111560]]
['yy1', [111797, 111800]]
['yy1', [111897, 111900]]
['yy1', [112019, 112022]]
['yy1', [112283, 112286]]
['yy1', [112403, 112406]]
['yy1', [112529, 112532]]
['yy1', [112619, 112622]]
['yy1', [112644, 112647]]
['yy1', [112840, 112843]]
['yy1', [112987, 112990]]
['yy1', [113131, 113134]]
['yy1', [113222, 113225]]
['yy1', [113261, 113264]]
['yy1', [113391, 113394]]
['yy1', [113577, 113580]]
['yy1', [113598, 113601]]
['yy1', [113664, 113667]]
['yy1', [113736, 113739]]
['yy1', [113818, 113821]]
['yy1', [113866, 113869]]
['yy1', [113960, 113963]]
['yy1', [113967, 113970]]
['yy1', [114127, 114130]]
['yy1', [114145, 114148]]
['yy1', [114228, 114231]]
['yy1', [114236, 114239]]
['yy1', [114560, 114563]]
['yy1', [114577, 114580]]
['yy1', [114607, 114610]]
['yy1', [114704, 114707]]
['yy1', [114742, 114745]]
['yy1', [114862, 114865]]
['yy1', [115051, 115054]]
['yy1', [115072, 115075]]
['yy1', [115132, 115135]]
['yy1', [115202, 115205]]
['yy1', [115327, 115330]]
['yy1', [115415, 115418]]
['yy1', [115499, 115502]]
['yy1', [115506, 115509]]
['yy1', [116231, 116234]]
['yy1', [116249, 116252]]
['yy1', [116489, 116492]]
['yy1', [116589, 116592]]
['yy1', [116711, 116714]]
['yy1', [116975, 116978]]
['yy1', [117095, 117098]]
['yy1', [117221, 117224]]
['yy1', [117311, 117314]]
['yy1', [117336, 117339]]
['yy1', [117532, 117535]]
['yy1', [117679, 117682]]
['yin', [181, 184]]
['yin', [249, 252]]
['yin', [2815, 2818]]
['yin', [2878, 2881]]
['yin', [4610, 4613]]
['yin', [37611, 37614]]
['yin', [54042, 54045]]
['yin', [79973, 79976]]
['yin', [82203, 82206]]
['yin', [98809, 98812]]
['yin', [106313, 106316]]
['yang', [253, 257]]
['yang', [2882, 2886]]
['1', [2, 3]]
['1', [258, 259]]
['1', [264, 265]]
['1', [480, 481]]
['1', [552, 553]]
['1', [691, 692]]
['1', [877, 878]]
['1', [896, 897]]
['1', [1053, 1054]]
['1', [1319, 1320]]
['1', [1338, 1339]]
['1', [1727, 1728]]
['1', [1952, 1953]]
['1', [1972, 1973]]
['1', [2887, 2888]]
