['9', [6601, 6602]]
['9', [6602, 6603]]
['9', [8938, 8939]]
['9', [9942, 9943]]
['9', [12096, 12097]]
['9', [14654, 14655]]
['9', [14835, 14836]]
['9', [14892, 14893]]
['9', [14893, 14894]]
['9', [15192, 15193]]
['9', [15308, 15309]]
['9', [15309, 15310]]
['9', [15748, 15749]]
['9', [25525, 25526]]
['9', [25706, 25707]]
['9', [25763, 25764]]
['9', [25764, 25765]]
['9', [26063, 26064]]
['9', [26179, 26180]]
['9', [26180, 26181]]
['9', [26619, 26620]]
['9', [36499, 36500]]
['9', [36733, 36734]]
['9', [38427, 38428]]
['9', [40374, 40375]]
['9', [40637, 40638]]
['9', [40638, 40639]]
['9', [41001, 41002]]
['9', [41462, 41463]]
['9', [41677, 41678]]
['\xe2\x80\x93', [5662, 5665]]
['\xe2\x80\x93', [5925, 5928]]
['\xe2\x80\x93', [9944, 9947]]
['\xe2\x80\x93', [11304, 11307]]
['\xe2\x80\x93', [14848, 14851]]
['\xe2\x80\x93', [14875, 14878]]
['\xe2\x80\x93', [15577, 15580]]
['\xe2\x80\x93', [25719, 25722]]
['\xe2\x80\x93', [25746, 25749]]
['\xe2\x80\x93', [26448, 26451]]
['\xe2\x80\x93', [36501, 36504]]
['\xe2\x80\x93', [38429, 38432]]
['\xe2\x80\x93', [41817, 41820]]
['12', [5666, 5668]]
['12', [11408, 11410]]
['12', [24049, 24051]]
['12', [34921, 34923]]
['12', [37299, 37301]]
['pelvic', [2465, 2471]]
['pelvic', [5669, 5675]]
['pelvic', [35632, 35638]]
['antimelanoma', [5803, 5815]]
['snrs', [6540, 6544]]
['snrs', [21039, 21043]]
['snrs', [31911, 31915]]
['snrs', [39440, 39444]]
['labeled', [995, 1002]]
['labeled', [2921, 2928]]
['labeled', [4140, 4147]]
['labeled', [4801, 4808]]
['labeled', [5146, 5153]]
['labeled', [5291, 5298]]
['labeled', [5584, 5591]]
['labeled', [5848, 5855]]
['labeled', [7926, 7933]]
['labeled', [8435, 8442]]
['labeled', [8579, 8586]]
['labeled', [12511, 12518]]
['labeled', [12620, 12627]]
['labeled', [12833, 12840]]
['labeled', [12963, 12970]]
['labeled', [13518, 13525]]
['labeled', [14683, 14690]]
['labeled', [15083, 15090]]
['labeled', [15624, 15631]]
['labeled', [16277, 16284]]
['labeled', [16498, 16505]]
['labeled', [16574, 16581]]
['labeled', [17853, 17860]]
['labeled', [20261, 20268]]
['labeled', [20327, 20334]]
['labeled', [20709, 20716]]
['labeled', [24109, 24116]]
['labeled', [24389, 24396]]
['labeled', [25554, 25561]]
['labeled', [25954, 25961]]
['labeled', [26495, 26502]]
['labeled', [27148, 27155]]
['labeled', [27370, 27377]]
['labeled', [27446, 27453]]
['labeled', [28725, 28732]]
['labeled', [31133, 31140]]
['labeled', [31199, 31206]]
['labeled', [31581, 31588]]
['labeled', [34981, 34988]]
['labeled', [36964, 36971]]
['labeled', [37216, 37223]]
['labeled', [37588, 37595]]
['labeled', [41518, 41525]]
['antibody', [372, 380]]
['antibody', [696, 704]]
['antibody', [3223, 3231]]
['antibody', [4286, 4294]]
['antibody', [8587, 8595]]
['antibody', [14400, 14408]]
['antibody', [14754, 14762]]
['antibody', [16582, 16590]]
['antibody', [16919, 16927]]
['antibody', [20398, 20406]]
['antibody', [20584, 20592]]
['antibody', [22166, 22174]]
['antibody', [23255, 23263]]
['antibody', [24348, 24356]]
['antibody', [25271, 25279]]
['antibody', [25625, 25633]]
['antibody', [27454, 27462]]
['antibody', [27791, 27799]]
['antibody', [31270, 31278]]
['antibody', [31456, 31464]]
['antibody', [33038, 33046]]
['antibody', [34127, 34135]]
['antibody', [35220, 35228]]
['antibody', [36972, 36980]]
['channels', [9093, 9101]]
['channels', [9866, 9874]]
['channels', [10171, 10179]]
['channels', [22562, 22570]]
['channels', [33434, 33442]]
['channels', [39742, 39750]]
['frequency', [11619, 11628]]
['domain', [11629, 11635]]
['krgdf', [13027, 13032]]
['alpha', [13060, 13065]]
['\\(', [553, 555]]
['\\(', [779, 781]]
['\\(', [845, 847]]
['\\(', [1009, 1011]]
['\\(', [1035, 1037]]
['\\(', [1293, 1295]]
['\\(', [1319, 1321]]
['\\(', [1842, 1844]]
['\\(', [1865, 1867]]
['\\(', [2750, 2752]]
['\\(', [2974, 2976]]
['\\(', [4055, 4057]]
['\\(', [4194, 4196]]
['\\(', [4217, 4219]]
['\\(', [4327, 4329]]
['\\(', [5338, 5340]]
['\\(', [6075, 6077]]
['\\(', [6432, 6434]]
['\\(', [6539, 6541]]
['\\(', [6600, 6602]]
['\\(', [6641, 6643]]
['\\(', [7948, 7950]]
['\\(', [7974, 7976]]
['\\(', [8049, 8051]]
['\\(', [8443, 8445]]
['\\(', [8469, 8471]]
['\\(', [9214, 9216]]
['\\(', [9910, 9912]]
['\\(', [9921, 9923]]
['\\(', [9936, 9938]]
['\\(', [9994, 9996]]
['\\(', [10149, 10151]]
['\\(', [10791, 10793]]
['\\(', [13026, 13028]]
['\\(', [13065, 13067]]
['\\(', [13116, 13118]]
['\\(', [13614, 13616]]
['\\(', [14337, 14339]]
['\\(', [14723, 14725]]
['\\(', [14730, 14732]]
['\\(', [14821, 14823]]
['\\(', [14838, 14840]]
['\\(', [14865, 14867]]
['\\(', [14896, 14898]]
['\\(', [15058, 15060]]
['\\(', [15092, 15094]]
['\\(', [15555, 15557]]
['\\(', [16380, 16382]]
['\\(', [16595, 16597]]
['\\(', [16621, 16623]]
['\\(', [17410, 17412]]
['\\(', [17430, 17432]]
['\\(', [17766, 17768]]
['\\(', [17786, 17788]]
['\\(', [17885, 17887]]
['\\(', [17905, 17907]]
['\\(', [18288, 18290]]
['\\(', [18314, 18316]]
['\\(', [18378, 18380]]
['\\(', [18409, 18411]]
['\\(', [18427, 18429]]
['\\(', [18547, 18549]]
['\\(', [18573, 18575]]
['\\(', [18689, 18691]]
['\\(', [19029, 19031]]
['\\(', [19162, 19164]]
['\\(', [19587, 19589]]
['\\(', [19838, 19840]]
['\\(', [20379, 20381]]
['\\(', [20440, 20442]]
['\\(', [20752, 20754]]
['\\(', [21038, 21040]]
['\\(', [21485, 21487]]
['\\(', [21530, 21532]]
['\\(', [22268, 22270]]
['\\(', [22381, 22383]]
['\\(', [22404, 22406]]
['\\(', [22469, 22471]]
['\\(', [22478, 22480]]
['\\(', [22691, 22693]]
['\\(', [22939, 22941]]
['\\(', [23011, 23013]]
['\\(', [23034, 23036]]
['\\(', [23046, 23048]]
['\\(', [23211, 23213]]
['\\(', [23453, 23455]]
['\\(', [23560, 23562]]
['\\(', [23669, 23671]]
['\\(', [23704, 23706]]
['\\(', [23727, 23729]]
['\\(', [23930, 23932]]
['\\(', [24167, 24169]]
['\\(', [24190, 24192]]
['\\(', [24298, 24300]]
['\\(', [24485, 24487]]
['\\(', [25208, 25210]]
['\\(', [25594, 25596]]
['\\(', [25601, 25603]]
['\\(', [25692, 25694]]
['\\(', [25709, 25711]]
['\\(', [25736, 25738]]
['\\(', [25767, 25769]]
['\\(', [25929, 25931]]
['\\(', [25963, 25965]]
['\\(', [26426, 26428]]
['\\(', [27251, 27253]]
['\\(', [27467, 27469]]
['\\(', [27493, 27495]]
['\\(', [28282, 28284]]
['\\(', [28302, 28304]]
['\\(', [28638, 28640]]
['\\(', [28658, 28660]]
['\\(', [28757, 28759]]
['\\(', [28777, 28779]]
['\\(', [29160, 29162]]
['\\(', [29186, 29188]]
['\\(', [29250, 29252]]
['\\(', [29281, 29283]]
['\\(', [29299, 29301]]
['\\(', [29419, 29421]]
['\\(', [29445, 29447]]
['\\(', [29561, 29563]]
['\\(', [29901, 29903]]
['\\(', [30034, 30036]]
['\\(', [30459, 30461]]
['\\(', [30710, 30712]]
['\\(', [31251, 31253]]
['\\(', [31312, 31314]]
['\\(', [31624, 31626]]
['\\(', [31910, 31912]]
['\\(', [32357, 32359]]
['\\(', [32402, 32404]]
['\\(', [33140, 33142]]
['\\(', [33253, 33255]]
['\\(', [33276, 33278]]
['\\(', [33341, 33343]]
['\\(', [33350, 33352]]
['\\(', [33563, 33565]]
['\\(', [33811, 33813]]
['\\(', [33883, 33885]]
['\\(', [33906, 33908]]
['\\(', [33918, 33920]]
['\\(', [34083, 34085]]
['\\(', [34325, 34327]]
['\\(', [34432, 34434]]
['\\(', [34541, 34543]]
['\\(', [34576, 34578]]
['\\(', [34599, 34601]]
['\\(', [34802, 34804]]
['\\(', [35039, 35041]]
['\\(', [35062, 35064]]
['\\(', [35170, 35172]]
['\\(', [36722, 36724]]
['\\(', [36916, 36918]]
['\\(', [36942, 36944]]
['\\(', [37149, 37151]]
['\\(', [37224, 37226]]
['\\(', [37247, 37249]]
['\\(', [37333, 37335]]
['\\(', [37764, 37766]]
['\\(', [37865, 37867]]
['\\(', [37980, 37982]]
['\\(', [38070, 38072]]
['\\(', [38177, 38179]]
['\\(', [38243, 38245]]
['\\(', [38287, 38289]]
['\\(', [38458, 38460]]
['\\(', [38484, 38486]]
['\\(', [38559, 38561]]
['\\(', [38579, 38581]]
['\\(', [38716, 38718]]
['\\(', [38744, 38746]]
['\\(', [38752, 38754]]
['\\(', [38925, 38927]]
['\\(', [38951, 38953]]
['\\(', [39160, 39162]]
['\\(', [39177, 39179]]
['\\(', [39269, 39271]]
['\\(', [39439, 39441]]
['\\(', [39514, 39516]]
['\\(', [39589, 39591]]
['\\(', [39613, 39615]]
['\\(', [39657, 39659]]
['\\(', [39776, 39778]]
['\\(', [39815, 39817]]
['\\(', [39839, 39841]]
['\\(', [39876, 39878]]
['\\(', [39899, 39901]]
['\\(', [39911, 39913]]
['\\(', [40077, 40079]]
['\\(', [40274, 40276]]
['\\(', [40311, 40313]]
['\\(', [40326, 40328]]
['\\(', [40359, 40361]]
['\\(', [40451, 40453]]
['\\(', [40510, 40512]]
['\\(', [40569, 40571]]
['\\(', [40584, 40586]]
['\\(', [40623, 40625]]
['\\(', [40723, 40725]]
['\\(', [40747, 40749]]
['\\(', [40762, 40764]]
['\\(', [40784, 40786]]
['\\(', [40801, 40803]]
['\\(', [40828, 40830]]
['\\(', [40860, 40862]]
['\\(', [40914, 40916]]
['\\(', [40963, 40965]]
['\\(', [41028, 41030]]
['\\(', [41042, 41044]]
['\\(', [41133, 41135]]
['\\(', [41229, 41231]]
['\\(', [41273, 41275]]
['\\(', [41366, 41368]]
['\\(', [41416, 41418]]
['\\(', [41560, 41562]]
['\\(', [41588, 41590]]
['\\(', [41602, 41604]]
['\\(', [41734, 41736]]
