genia tagger: 2723['hnscc', [298, 303]]
['i', [3142, 3143]]
['i', [3150, 3151]]
['i', [3165, 3166]]
['i', [3176, 3177]]
['i', [3183, 3184]]
['i', [3186, 3187]]
['i', [3190, 3191]]
['i', [3215, 3216]]
['i', [3226, 3227]]
['i', [3235, 3236]]
['i', [3257, 3258]]
['i', [3259, 3260]]
['i', [3267, 3268]]
['i', [3273, 3274]]
['i', [3277, 3278]]
['i', [3295, 3296]]
['i', [3308, 3309]]
['i', [3324, 3325]]
['i', [3347, 3348]]
['i', [3350, 3351]]
['i', [3386, 3387]]
['i', [3397, 3398]]
['i', [3412, 3413]]
['i', [3458, 3459]]
['i', [3475, 3476]]
['i', [3528, 3529]]
['i', [3534, 3535]]
['i', [3539, 3540]]
['i', [3542, 3543]]
['i', [3555, 3556]]
['i', [3582, 3583]]
['i', [3611, 3612]]
['i', [3615, 3616]]
['i', [3619, 3620]]
['i', [3628, 3629]]
['i', [3651, 3652]]
['i', [3653, 3654]]
['i', [3657, 3658]]
['i', [3661, 3662]]
['i', [3665, 3666]]
['i', [3669, 3670]]
['i', [3677, 3678]]
['i', [3702, 3703]]
['i', [3741, 3742]]
['i', [3754, 3755]]
['i', [3760, 3761]]
['i', [3784, 3785]]
['i', [3786, 3787]]
['i', [3804, 3805]]
['i', [3835, 3836]]
['i', [3851, 3852]]
['i', [3857, 3858]]
['i', [3874, 3875]]
['i', [3879, 3880]]
['i', [3926, 3927]]
['i', [3939, 3940]]
['i', [3941, 3942]]
['i', [3963, 3964]]
['i', [3970, 3971]]
['i', [3973, 3974]]
['i', [3985, 3986]]
['i', [4002, 4003]]
['i', [4010, 4011]]
['i', [4021, 4022]]
['i', [4023, 4024]]
['i', [4025, 4026]]
['i', [4032, 4033]]
['i', [4034, 4035]]
['i', [4045, 4046]]
['i', [4074, 4075]]
['i', [4081, 4082]]
['i', [4127, 4128]]
['i', [4131, 4132]]
['i', [4164, 4165]]
['i', [4182, 4183]]
['i', [4184, 4185]]
['i', [4227, 4228]]
['i', [4233, 4234]]
['i', [4235, 4236]]
['i', [4243, 4244]]
['i', [4245, 4246]]
['i', [4247, 4248]]
['i', [4269, 4270]]
['i', [4278, 4279]]
['i', [4301, 4302]]
['i', [4341, 4342]]
['i', [4343, 4344]]
['i', [4345, 4346]]
['i', [4378, 4379]]
['i', [4396, 4397]]
['i', [4447, 4448]]
['i', [4489, 4490]]
['i', [4496, 4497]]
['i', [4499, 4500]]
['i', [4561, 4562]]
['i', [4621, 4622]]
['i', [4648, 4649]]
['i', [4663, 4664]]
['i', [4733, 4734]]
['i', [4739, 4740]]
['i', [4745, 4746]]
['i', [4764, 4765]]
['i', [4786, 4787]]
['i', [4787, 4788]]
['i', [4793, 4794]]
['i', [4806, 4807]]
['i', [4822, 4823]]
['i', [4837, 4838]]
['i', [4864, 4865]]
['i', [4871, 4872]]
['i', [4875, 4876]]
['i', [4880, 4881]]
['i', [4886, 4887]]
['i', [4893, 4894]]
['i', [4896, 4897]]
['i', [4908, 4909]]
['i', [4928, 4929]]
['i', [4935, 4936]]
['i', [4940, 4941]]
['i', [4945, 4946]]
