['2', [25706, 25707]]
['2', [26788, 26789]]
['2', [27073, 27074]]
['2', [27444, 27445]]
['2', [27640, 27641]]
['2', [27713, 27714]]
['2', [28475, 28476]]
['2', [28530, 28531]]
['2', [28537, 28538]]
['2', [28549, 28550]]
['2', [28560, 28561]]
['2', [28685, 28686]]
['2', [28758, 28759]]
['2', [28948, 28949]]
['2', [29151, 29152]]
['2', [29163, 29164]]
['2', [29327, 29328]]
['2', [29421, 29422]]
['2', [29433, 29434]]
['2', [29751, 29752]]
['2', [30210, 30211]]
['2', [30758, 30759]]
['2', [31841, 31842]]
['2', [32126, 32127]]
['2', [32497, 32498]]
['2', [33365, 33366]]
['2', [33650, 33651]]
['2', [34021, 34022]]
['2', [34836, 34837]]
['2', [35121, 35122]]
['2', [35826, 35827]]
['2', [36111, 36112]]
['2', [36483, 36484]]
['2', [36965, 36966]]
['2', [37162, 37163]]
['2', [37235, 37236]]
['2', [37997, 37998]]
['2', [38052, 38053]]
['2', [38059, 38060]]
['2', [38071, 38072]]
['2', [38082, 38083]]
['2', [38207, 38208]]
['2', [38280, 38281]]
['2', [38470, 38471]]
['2', [38673, 38674]]
['2', [38685, 38686]]
['2', [38849, 38850]]
['2', [38943, 38944]]
['2', [38955, 38956]]
['2', [39273, 39274]]
['2', [39596, 39597]]
['2', [39669, 39670]]
['2', [40431, 40432]]
['2', [40486, 40487]]
['2', [40493, 40494]]
['2', [40505, 40506]]
['2', [40516, 40517]]
['2', [40641, 40642]]
['2', [40714, 40715]]
['2', [40904, 40905]]
['2', [41107, 41108]]
['2', [41119, 41120]]
['2', [41283, 41284]]
['2', [41377, 41378]]
['2', [41389, 41390]]
['2', [41707, 41708]]
['2', [42047, 42048]]
['2', [42809, 42810]]
['2', [42864, 42865]]
['2', [42871, 42872]]
['2', [42883, 42884]]
['2', [42894, 42895]]
['2', [43053, 43054]]
['2', [43815, 43816]]
['2', [43870, 43871]]
['2', [43877, 43878]]
['2', [43889, 43890]]
['2', [43900, 43901]]
['2', [44026, 44027]]
['2', [44099, 44100]]
['2', [44289, 44290]]
['2', [44492, 44493]]
['2', [44504, 44505]]
['2', [44668, 44669]]
['2', [44762, 44763]]
['2', [44774, 44775]]
['2', [45056, 45057]]
['2', [45129, 45130]]
['2', [45319, 45320]]
['2', [45522, 45523]]
['2', [45534, 45535]]
['2', [45698, 45699]]
['2', [45792, 45793]]
['2', [45804, 45805]]
['2', [46123, 46124]]
['2', [46467, 46468]]
['2', [46882, 46883]]
['2', [47043, 47044]]
['2', [47251, 47252]]
['2', [47273, 47274]]
['2', [47775, 47776]]
['2', [47974, 47975]]
['2', [48150, 48151]]
['2', [48634, 48635]]
['2', [48981, 48982]]
['2', [49177, 49178]]
['2', [50407, 50408]]
['2', [50531, 50532]]
['2', [51098, 51099]]
['2', [52377, 52378]]
['2', [52866, 52867]]
['2', [52996, 52997]]
['2', [53467, 53468]]
['2', [53597, 53598]]
['2', [53758, 53759]]
['2', [53966, 53967]]
['2', [53988, 53989]]
['2', [54490, 54491]]
['2', [54689, 54690]]
['2', [54865, 54866]]
['2', [55349, 55350]]
['2', [55696, 55697]]
['2', [55892, 55893]]
['2', [57122, 57123]]
['2', [57246, 57247]]
['2', [57813, 57814]]
['2', [59092, 59093]]
['2', [59581, 59582]]
['2', [59711, 59712]]
['2', [60182, 60183]]
['2', [60376, 60377]]
['2', [60735, 60736]]
['2', [60809, 60810]]
['2', [60871, 60872]]
['2', [61310, 61311]]
['2', [61431, 61432]]
['2', [61718, 61719]]
['2', [61794, 61795]]
['2', [61812, 61813]]
['2', [62009, 62010]]
['2', [62085, 62086]]
['2', [62091, 62092]]
['2', [62287, 62288]]
['2', [62304, 62305]]
['2', [62334, 62335]]
