['sga', [22724, 22727]]
['sga', [23125, 23128]]
['sga', [24347, 24350]]
['sga', [25360, 25363]]
['sga', [25920, 25923]]
['sga', [25945, 25948]]
['sga', [26346, 26349]]
['sga', [26867, 26870]]
['sga', [27427, 27430]]
['sga', [27452, 27455]]
['sga', [27853, 27856]]
['sga', [28374, 28377]]
['sga', [28934, 28937]]
['sga', [28959, 28962]]
['sga', [29360, 29363]]
['sga', [32107, 32110]]
['sga', [36930, 36933]]
['sga', [41629, 41632]]
['sga', [44439, 44442]]
['sga', [45193, 45196]]
['sga', [48787, 48790]]
['sga', [49279, 49282]]
['sga', [49570, 49573]]
['table', [13911, 13916]]
['table', [15478, 15483]]
['table', [16306, 16311]]
['table', [16437, 16442]]
['table', [17140, 17145]]
['table', [18707, 18712]]
['table', [19535, 19540]]
['table', [19666, 19671]]
['table', [20361, 20366]]
['table', [21928, 21933]]
['table', [22756, 22761]]
['table', [22887, 22892]]
['table', [23582, 23587]]
['table', [25149, 25154]]
['table', [25977, 25982]]
['table', [26108, 26113]]
['table', [26656, 26661]]
['table', [27484, 27489]]
['table', [27615, 27620]]
['table', [28163, 28168]]
['table', [28991, 28996]]
['table', [29122, 29127]]
['table', [45791, 45796]]
['table', [45798, 45803]]
['table', [47575, 47580]]
['table', [49602, 49607]]
['table', [50591, 50596]]
['1', [413, 414]]
['1', [595, 596]]
['1', [710, 711]]
['1', [719, 720]]
['1', [722, 723]]
['1', [732, 733]]
['1', [808, 809]]
['1', [880, 881]]
['1', [881, 882]]
['1', [894, 895]]
['1', [990, 991]]
['1', [1323, 1324]]
['1', [1700, 1701]]
['1', [2157, 2158]]
['1', [2806, 2807]]
['1', [2857, 2858]]
['1', [2980, 2981]]
['1', [3163, 3164]]
['1', [3278, 3279]]
['1', [3287, 3288]]
['1', [3290, 3291]]
['1', [3300, 3301]]
['1', [3376, 3377]]
['1', [3448, 3449]]
['1', [3449, 3450]]
['1', [3462, 3463]]
['1', [3558, 3559]]
['1', [4408, 4409]]
['1', [4661, 4662]]
['1', [5413, 5414]]
['1', [5525, 5526]]
['1', [5598, 5599]]
['1', [5628, 5629]]
['1', [5755, 5756]]
['1', [5807, 5808]]
['1', [6985, 6986]]
['1', [7031, 7032]]
['1', [7238, 7239]]
['1', [7988, 7989]]
['1', [8459, 8460]]
['1', [8546, 8547]]
['1', [9307, 9308]]
['1', [9560, 9561]]
['1', [10312, 10313]]
['1', [10424, 10425]]
['1', [10497, 10498]]
['1', [10527, 10528]]
['1', [10654, 10655]]
['1', [10706, 10707]]
['1', [11885, 11886]]
['1', [11931, 11932]]
['1', [12139, 12140]]
['1', [12889, 12890]]
['1', [13360, 13361]]
['1', [13447, 13448]]
['1', [13511, 13512]]
['1', [13512, 13513]]
['1', [13514, 13515]]
['1', [13594, 13595]]
['1', [13643, 13644]]
['1', [13648, 13649]]
['1', [13815, 13816]]
['1', [13820, 13821]]
['1', [13857, 13858]]
['1', [13917, 13918]]
['1', [14127, 14128]]
['1', [14172, 14173]]
['1', [14340, 14341]]
['1', [14384, 14385]]
['1', [14458, 14459]]
['1', [14462, 14463]]
['1', [14527, 14528]]
['1', [14533, 14534]]
['1', [14536, 14537]]
['1', [14633, 14634]]
['1', [14646, 14647]]
['1', [14692, 14693]]
['1', [14737, 14738]]
['1', [14888, 14889]]
['1', [14994, 14995]]
['1', [14995, 14996]]
['1', [15033, 15034]]
['1', [15255, 15256]]
['1', [15397, 15398]]
['1', [15401, 15402]]
['1', [15650, 15651]]
['1', [15703, 15704]]
['1', [15704, 15705]]
['1', [15717, 15718]]
['1', [15807, 15808]]
['1', [16160, 16161]]
['1', [16164, 16165]]
['1', [16740, 16741]]
['1', [16741, 16742]]
['1', [16743, 16744]]
['1', [16823, 16824]]
['1', [16872, 16873]]
['1', [16877, 16878]]
['1', [17044, 17045]]
['1', [17049, 17050]]
['1', [17086, 17087]]
['1', [17146, 17147]]
['1', [17356, 17357]]
['1', [17401, 17402]]
['1', [17569, 17570]]
['1', [17613, 17614]]
['1', [17687, 17688]]
['1', [17691, 17692]]
['1', [17756, 17757]]
['1', [17762, 17763]]
['1', [17765, 17766]]
['1', [17862, 17863]]
['1', [17875, 17876]]
['1', [17921, 17922]]
['1', [17966, 17967]]
['1', [18117, 18118]]
['1', [18223, 18224]]
['1', [18224, 18225]]
['1', [18262, 18263]]
['1', [18484, 18485]]
['1', [18626, 18627]]
['1', [18630, 18631]]
['1', [18879, 18880]]
['1', [18932, 18933]]
['1', [18933, 18934]]
['1', [18946, 18947]]
['1', [19036, 19037]]
['1', [19389, 19390]]
['1', [19393, 19394]]
['1', [19961, 19962]]
['1', [19962, 19963]]
['1', [19964, 19965]]
['1', [20044, 20045]]
['1', [20093, 20094]]
['1', [20098, 20099]]
['1', [20265, 20266]]
['1', [20270, 20271]]
['1', [20307, 20308]]
['1', [20367, 20368]]
['1', [20577, 20578]]
['1', [20622, 20623]]
['1', [20790, 20791]]
['1', [20834, 20835]]
['1', [20908, 20909]]
['1', [20912, 20913]]
['1', [20977, 20978]]
['1', [20983, 20984]]
['1', [20986, 20987]]
['1', [21083, 21084]]
['1', [21096, 21097]]
['1', [21142, 21143]]
['1', [21187, 21188]]
['1', [21338, 21339]]
['1', [21444, 21445]]
['1', [21445, 21446]]
['1', [21483, 21484]]
['1', [21705, 21706]]
['1', [21847, 21848]]
['1', [21851, 21852]]
['1', [22100, 22101]]
['1', [22153, 22154]]
['1', [22154, 22155]]
['1', [22167, 22168]]
['1', [22257, 22258]]
['1', [22610, 22611]]
['1', [22614, 22615]]
['1', [23182, 23183]]
['1', [23183, 23184]]
['1', [23185, 23186]]
['1', [23265, 23266]]
['1', [23314, 23315]]
['1', [23319, 23320]]
['1', [23486, 23487]]
['1', [23491, 23492]]
['1', [23528, 23529]]
['1', [23588, 23589]]
['1', [23798, 23799]]
['1', [23843, 23844]]
['1', [24011, 24012]]
['1', [24055, 24056]]
['1', [24129, 24130]]
['1', [24133, 24134]]
['1', [24198, 24199]]
['1', [24204, 24205]]
['1', [24207, 24208]]
['1', [24304, 24305]]
['1', [24317, 24318]]
['1', [24363, 24364]]
['1', [24408, 24409]]
['1', [24559, 24560]]
['1', [24665, 24666]]
['1', [24666, 24667]]
['1', [24704, 24705]]
['1', [24926, 24927]]
['1', [25068, 25069]]
['1', [25072, 25073]]
['1', [25321, 25322]]
['1', [25374, 25375]]
['1', [25375, 25376]]
['1', [25388, 25389]]
['1', [25478, 25479]]
['1', [25831, 25832]]
['1', [25835, 25836]]
['1', [26433, 26434]]
['1', [26575, 26576]]
['1', [26579, 26580]]
['1', [26828, 26829]]
['1', [26881, 26882]]
['1', [26882, 26883]]
['1', [26895, 26896]]
['1', [26985, 26986]]
['1', [27338, 27339]]
['1', [27342, 27343]]
['1', [27940, 27941]]
['1', [28082, 28083]]
['1', [28086, 28087]]
['1', [28335, 28336]]
['1', [28388, 28389]]
['1', [28389, 28390]]
['1', [28402, 28403]]
['1', [28492, 28493]]
['1', [28845, 28846]]
['1', [28849, 28850]]
['1', [29510, 29511]]
['1', [29645, 29646]]
['1', [29654, 29655]]
['1', [29657, 29658]]
['1', [29667, 29668]]
['1', [29751, 29752]]
['1', [29823, 29824]]
['1', [29824, 29825]]
['1', [29837, 29838]]
['1', [29955, 29956]]
['1', [30239, 30240]]
['1', [30344, 30345]]
['1', [30410, 30411]]
['1', [30418, 30419]]
