genia tagger: 5668['jakob-creutzfeldt', [60, 77]]
['\\)', [36502, 36504]]
['\\)', [36971, 36973]]
['\\)', [37060, 37062]]
['\\)', [37124, 37126]]
['\\)', [37205, 37207]]
['\\)', [37216, 37218]]
['\\)', [37243, 37245]]
['\\)', [37329, 37331]]
['\\)', [37482, 37484]]
['\\)', [37790, 37792]]
['\\)', [38018, 38020]]
['\\)', [38487, 38489]]
['\\)', [38576, 38578]]
['\\)', [38640, 38642]]
['\\)', [38721, 38723]]
['\\)', [38732, 38734]]
['\\)', [38759, 38761]]
['\\)', [38845, 38847]]
['mri', [16, 19]]
['mri', [111, 114]]
['mri', [381, 384]]
['mri', [473, 476]]
['mri', [668, 671]]
['mri', [744, 747]]
['mri', [1265, 1268]]
['mri', [2277, 2280]]
['mri', [2415, 2418]]
['mri', [2471, 2474]]
['mri', [2637, 2640]]
['mri', [2774, 2777]]
['mri', [6382, 6385]]
['mri', [6568, 6571]]
['mri', [6934, 6937]]
['mri', [7288, 7291]]
['mri', [7501, 7504]]
['mri', [8927, 8930]]
['mri', [8979, 8982]]
['mri', [10188, 10191]]
['mri', [10266, 10269]]
['mri', [10321, 10324]]
['mri', [10870, 10873]]
['mri', [10973, 10976]]
['mri', [11159, 11162]]
['mri', [11525, 11528]]
['mri', [11879, 11882]]
['mri', [12092, 12095]]
['mri', [13520, 13523]]
['mri', [13572, 13575]]
['mri', [14782, 14785]]
['mri', [14860, 14863]]
['mri', [14915, 14918]]
['mri', [15465, 15468]]
['mri', [16767, 16770]]
['mri', [16803, 16806]]
['mri', [18423, 18426]]
['mri', [18459, 18462]]
['mri', [18936, 18939]]
['mri', [19076, 19079]]
['mri', [19161, 19164]]
['mri', [19500, 19503]]
['mri', [21213, 21216]]
['mri', [21706, 21709]]
['mri', [22022, 22025]]
['mri', [22468, 22471]]
['mri', [22767, 22770]]
['mri', [24332, 24335]]
['mri', [24965, 24968]]
['mri', [25542, 25545]]
['mri', [25571, 25574]]
['mri', [27411, 27414]]
['mri', [27551, 27554]]
['mri', [27636, 27639]]
['mri', [27975, 27978]]
['mri', [29688, 29691]]
['mri', [30181, 30184]]
['mri', [30497, 30500]]
['mri', [30943, 30946]]
['mri', [31242, 31245]]
['mri', [32807, 32810]]
['mri', [33440, 33443]]
['mri', [34017, 34020]]
['mri', [34046, 34049]]
['mri', [35839, 35842]]
['mri', [37355, 37358]]
['eeg', [468, 471]]
['eeg', [660, 663]]
['eeg', [2612, 2615]]
['eeg', [7645, 7648]]
['eeg', [7815, 7818]]
['eeg', [12237, 12240]]
['eeg', [12407, 12410]]
['eeg', [16046, 16049]]
['eeg', [17702, 17705]]
['cjd', [209, 212]]
['cjd', [366, 369]]
['cjd', [545, 548]]
['cjd', [1093, 1096]]
['cjd', [1393, 1396]]
['cjd', [1399, 1402]]
['cjd', [1446, 1449]]
['cjd', [1500, 1503]]
['cjd', [1553, 1556]]
['cjd', [2043, 2046]]
['cjd', [2447, 2450]]
['cjd', [2915, 2918]]
['cjd', [6548, 6551]]
['cjd', [7525, 7528]]
['cjd', [10287, 10290]]
['cjd', [11139, 11142]]
['cjd', [12116, 12119]]
['cjd', [14881, 14884]]
['cjd', [16205, 16208]]
['cjd', [16871, 16874]]
['cjd', [17861, 17864]]
['cjd', [18527, 18530]]
['cjd', [19036, 19039]]
['cjd', [19149, 19152]]
['cjd', [19186, 19189]]
['cjd', [19799, 19802]]
['cjd', [22936, 22939]]
['cjd', [23072, 23075]]
['cjd', [23330, 23333]]
['cjd', [23566, 23569]]
['cjd', [23907, 23910]]
['cjd', [24434, 24437]]
['cjd', [27213, 27216]]
['cjd', [27335, 27338]]
['cjd', [27511, 27514]]
['cjd', [27624, 27627]]
['cjd', [27661, 27664]]
['cjd', [28274, 28277]]
['cjd', [31411, 31414]]
['cjd', [31547, 31550]]
['cjd', [31805, 31808]]
['cjd', [32041, 32044]]
['cjd', [32382, 32385]]
['cjd', [32909, 32912]]
['cjd', [35688, 35691]]
['cjd', [35810, 35813]]
['misfolded', [1177, 1186]]
['prion', [1187, 1192]]
['prion', [1210, 1215]]
['prion', [1577, 1582]]
['prion', [2017, 2022]]
['prion', [9342, 9347]]
['prion', [13935, 13940]]
['prion', [16877, 16882]]
['prion', [18533, 18538]]
['prion', [18960, 18965]]
['prion', [22681, 22686]]
['prion', [23989, 23994]]
['prion', [27435, 27440]]
['prion', [31156, 31161]]
['prion', [32464, 32469]]
['proteins', [1193, 1201]]
['sequences', [1313, 1322]]
['sequences', [35862, 35871]]
['sequences', [35889, 35898]]
['sequences', [37378, 37387]]
['sequences', [37405, 37414]]
['cjd\\.', [1446, 1451]]
['cjd\\.', [2915, 2920]]
['cjd\\.', [27213, 27218]]
['cjd\\.', [27335, 27340]]
['cjd\\.', [35688, 35693]]
['cjd\\.', [35810, 35815]]
['2', [1451, 1452]]
['2', [2428, 2429]]
['2', [3400, 3401]]
['2', [3403, 3404]]
['2', [5120, 5121]]
['2', [5123, 5124]]
['2', [7428, 7429]]
['2', [8271, 8272]]
['2', [8493, 8494]]
['2', [8643, 8644]]
['2', [8644, 8645]]
['2', [8693, 8694]]
['2', [9166, 9167]]
['2', [9167, 9168]]
['2', [9302, 9303]]
['2', [12019, 12020]]
['2', [12863, 12864]]
['2', [13085, 13086]]
['2', [13235, 13236]]
['2', [13236, 13237]]
['2', [13285, 13286]]
['2', [13759, 13760]]
['2', [13760, 13761]]
['2', [13895, 13896]]
['2', [16420, 16421]]
['2', [18076, 18077]]
['2', [19040, 19041]]
['2', [19044, 19045]]
['2', [19051, 19052]]
['2', [19052, 19053]]
['2', [19108, 19109]]
['2', [19153, 19154]]
['2', [19461, 19462]]
['2', [19581, 19582]]
['2', [19633, 19634]]
['2', [19638, 19639]]
