['1', [38807, 38808]]
['1', [38822, 38823]]
['1', [38843, 38844]]
['1', [38851, 38852]]
['1', [38916, 38917]]
['1', [38943, 38944]]
['1', [39020, 39021]]
['1', [39089, 39090]]
['1', [39400, 39401]]
['1', [39424, 39425]]
['1', [39449, 39450]]
['1', [39833, 39834]]
['1', [39854, 39855]]
['1', [39881, 39882]]
['1', [40061, 40062]]
['1', [40127, 40128]]
['1', [40145, 40146]]
['1', [40169, 40170]]
['1', [40190, 40191]]
['1', [40211, 40212]]
['1', [40235, 40236]]
['1', [40256, 40257]]
['1', [40276, 40277]]
['1', [40299, 40300]]
['1', [40347, 40348]]
['1', [40539, 40540]]
['1', [40542, 40543]]
['1', [40569, 40570]]
['1', [40610, 40611]]
['1', [40655, 40656]]
['1', [40703, 40704]]
['1', [40711, 40712]]
['1', [40775, 40776]]
['1', [40795, 40796]]
['1', [40853, 40854]]
['1', [40952, 40953]]
['1', [41086, 41087]]
['1', [41292, 41293]]
['1', [41670, 41671]]
['1', [41904, 41905]]
['1', [42256, 42257]]
['1', [42344, 42345]]
['1', [42347, 42348]]
['1', [42385, 42386]]
['1', [42562, 42563]]
['1', [42706, 42707]]
['1', [42724, 42725]]
['1', [42737, 42738]]
['1', [42755, 42756]]
['1', [42758, 42759]]
['1', [42774, 42775]]
['1', [42777, 42778]]
['1', [42795, 42796]]
['1', [42811, 42812]]
['1', [42814, 42815]]
['1', [42852, 42853]]
['1', [42873, 42874]]
['1', [42912, 42913]]
['1', [42934, 42935]]
['1', [43234, 43235]]
['1', [43330, 43331]]
['1', [43385, 43386]]
['1', [43509, 43510]]
['1', [43542, 43543]]
['1', [43568, 43569]]
['1', [43583, 43584]]
['1', [43586, 43587]]
['1', [43604, 43605]]
['1', [43626, 43627]]
['1', [43692, 43693]]
['1', [43724, 43725]]
['1', [43756, 43757]]
['1', [43790, 43791]]
['1', [43806, 43807]]
['1', [43809, 43810]]
['1', [43822, 43823]]
['1', [43902, 43903]]
['1', [43917, 43918]]
['1', [43938, 43939]]
['1', [43946, 43947]]
['1', [44011, 44012]]
['1', [44038, 44039]]
['1', [44115, 44116]]
['1', [44184, 44185]]
['1', [44583, 44584]]
['1', [45530, 45531]]
['1', [47162, 47163]]
['1', [47188, 47189]]
['1', [47207, 47208]]
['1', [47210, 47211]]
['1', [48521, 48522]]
['1', [48524, 48525]]
['1', [48536, 48537]]
['1', [48695, 48696]]
['1', [48696, 48697]]
['1', [48717, 48718]]
['1', [48806, 48807]]
['1', [49789, 49790]]
['1', [50233, 50234]]
['1', [50309, 50310]]
['1', [50492, 50493]]
['1', [50540, 50541]]
['1', [50601, 50602]]
['1', [50654, 50655]]
['1', [50657, 50658]]
['1', [51781, 51782]]
['1', [51791, 51792]]
['1', [51798, 51799]]
['1', [51821, 51822]]
['1', [51949, 51950]]
['1', [51955, 51956]]
['1', [51963, 51964]]
['1', [52158, 52159]]
['1', [52235, 52236]]
['1', [52345, 52346]]
['1', [54160, 54161]]
['1', [55445, 55446]]
['1', [56253, 56254]]
['1', [57200, 57201]]
['1', [58832, 58833]]
['1', [58858, 58859]]
['1', [58877, 58878]]
['1', [58880, 58881]]
['1', [60191, 60192]]
['1', [60194, 60195]]
['1', [60206, 60207]]
['1', [60365, 60366]]
['1', [60366, 60367]]
['1', [60387, 60388]]
['1', [60476, 60477]]
['1', [61459, 61460]]
['1', [61903, 61904]]
['1', [61979, 61980]]
['1', [62162, 62163]]
['1', [62210, 62211]]
['1', [62271, 62272]]
['1', [62324, 62325]]
['1', [62327, 62328]]
['1', [63451, 63452]]
['1', [63461, 63462]]
['1', [63468, 63469]]
['1', [63491, 63492]]
['1', [63619, 63620]]
['1', [63625, 63626]]
['1', [63633, 63634]]
['1', [63828, 63829]]
['1', [63905, 63906]]
['1', [64015, 64016]]
['1', [65830, 65831]]
['1', [67115, 67116]]
['1', [67639, 67640]]
['1', [67704, 67705]]
['1', [67714, 67715]]
['1', [67715, 67716]]
['1', [67996, 67997]]
['1', [68334, 68335]]
['1', [68342, 68343]]
['1', [68345, 68346]]
['1', [68346, 68347]]
['1', [68347, 68348]]
['1', [68367, 68368]]
['1', [68388, 68389]]
['1', [68486, 68487]]
['1', [68491, 68492]]
['1', [68493, 68494]]
['1', [68498, 68499]]
['1', [68499, 68500]]
['1', [68524, 68525]]
['1', [68536, 68537]]
['1', [68541, 68542]]
['1', [68548, 68549]]
['1', [68550, 68551]]
['1', [68575, 68576]]
['1', [68621, 68622]]
['1', [68626, 68627]]
['1', [68631, 68632]]
['1', [68633, 68634]]
['1', [68640, 68641]]
['1', [68643, 68644]]
['1', [68691, 68692]]
['1', [68726, 68727]]
['1', [68733, 68734]]
['1', [68734, 68735]]
['1', [68740, 68741]]
['1', [68795, 68796]]
['1', [68817, 68818]]
['1', [68841, 68842]]
['1', [68969, 68970]]
['1', [68976, 68977]]
['1', [68980, 68981]]
['1', [68983, 68984]]
['1', [69040, 69041]]
['1', [69078, 69079]]
['1', [69085, 69086]]
['1', [69092, 69093]]
['1', [69206, 69207]]
['1', [69215, 69216]]
['1', [69216, 69217]]
['1', [69222, 69223]]
['1', [69229, 69230]]
['1', [69287, 69288]]
['1', [69310, 69311]]
['1', [69377, 69378]]
['1', [69378, 69379]]
['1', [69379, 69380]]
['1', [69384, 69385]]
['1', [69752, 69753]]
['1', [69755, 69756]]
['1', [69789, 69790]]
['1', [69885, 69886]]
['1', [69979, 69980]]
['1', [69988, 69989]]
['1', [70013, 70014]]
['1', [70032, 70033]]
['1', [70040, 70041]]
['1', [70045, 70046]]
['1', [70046, 70047]]
['1', [70071, 70072]]
['1', [70085, 70086]]
['1', [70088, 70089]]
['1', [70102, 70103]]
['1', [70114, 70115]]
['1', [70119, 70120]]
