['cci', [50188, 50191]]
['cci', [50405, 50408]]
['cci', [50849, 50852]]
['cci', [51088, 51091]]
['cci', [51553, 51556]]
['cci', [51655, 51658]]
['cci', [52193, 52196]]
['cci', [52293, 52296]]
['cci', [52572, 52575]]
['cci', [52722, 52725]]
['cci', [53380, 53383]]
['cci', [53883, 53886]]
['cci', [54061, 54064]]
['cci', [55816, 55819]]
['cci', [56355, 56358]]
['cci', [56469, 56472]]
['cci', [56748, 56751]]
['cci', [56845, 56848]]
['cci', [57103, 57106]]
['cci', [57283, 57286]]
['cci', [57405, 57408]]
['cci', [57464, 57467]]
['cci', [57767, 57770]]
['cci', [58058, 58061]]
['cci', [58453, 58456]]
['cci', [58670, 58673]]
['cci', [59114, 59117]]
['cci', [59353, 59356]]
['cci', [59818, 59821]]
['cci', [59920, 59923]]
['cci', [60458, 60461]]
['cci', [60558, 60561]]
['cci', [60837, 60840]]
['cci', [60987, 60990]]
['cci', [61645, 61648]]
['cci', [62148, 62151]]
['cci', [62326, 62329]]
['cci', [64081, 64084]]
['cci', [64413, 64416]]
['cci', [64494, 64497]]
['cci', [64802, 64805]]
['cci', [64965, 64968]]
['cci', [65065, 65068]]
['cci', [65195, 65198]]
['cci', [65454, 65457]]
['cci', [65640, 65643]]
['cci', [66370, 66373]]
['cci', [66593, 66596]]
['cci', [66764, 66767]]
['cci', [67139, 67142]]
['cci', [67345, 67348]]
['cci', [68445, 68448]]
['cci', [68526, 68529]]
['cci', [68834, 68837]]
['cci', [68997, 69000]]
['cci', [69097, 69100]]
['cci', [69227, 69230]]
['cci', [69486, 69489]]
['cci', [69672, 69675]]
['cci', [70402, 70405]]
['cci', [70625, 70628]]
['cci', [70796, 70799]]
['cci', [71171, 71174]]
['cci', [71377, 71380]]
['caspase-3-positive', [1229, 1247]]
['caspase-3-positive', [11851, 11869]]
['caspase-3-positive', [12057, 12075]]
['caspase-3-positive', [22938, 22956]]
['caspase-3-positive', [23144, 23162]]
['caspase-3-positive', [66993, 67011]]
['caspase-3-positive', [67297, 67315]]
['caspase-3-positive', [67426, 67444]]
['caspase-3-positive', [71025, 71043]]
['caspase-3-positive', [71329, 71347]]
['caspase-3-positive', [71458, 71476]]
['cells', [779, 784]]
['cells', [1248, 1253]]
['cells', [2073, 2078]]
['cells', [2744, 2749]]
['cells', [9434, 9439]]
['cells', [9929, 9934]]
['cells', [20519, 20524]]
['cells', [21014, 21019]]
['cells', [29883, 29888]]
['cells', [30354, 30359]]
['cells', [30898, 30903]]
['cells', [35310, 35315]]
['cells', [35781, 35786]]
['cells', [36325, 36330]]
['cells', [43767, 43772]]
['cells', [44238, 44243]]
['cells', [44782, 44787]]
['cells', [44954, 44959]]
['cells', [45425, 45430]]
['cells', [45969, 45974]]
['cells', [48289, 48294]]
['cells', [48911, 48916]]
['cells', [49093, 49098]]
['cells', [56554, 56559]]
['cells', [57176, 57181]]
['cells', [57358, 57363]]
['cells', [66546, 66551]]
['cells', [66708, 66713]]
['cells', [66857, 66862]]
['cells', [67012, 67017]]
['cells', [67166, 67171]]
['cells', [67316, 67321]]
['cells', [67445, 67450]]
['cells', [70578, 70583]]
['cells', [70740, 70745]]
['cells', [70889, 70894]]
['cells', [71044, 71049]]
['cells', [71198, 71203]]
['cells', [71348, 71353]]
['cells', [71477, 71482]]
['tbi', [1526, 1529]]
['tbi', [1654, 1657]]
['tbi', [1731, 1734]]
['tbi', [3515, 3518]]
['tbi', [3904, 3907]]
['tbi', [47901, 47904]]
['tbi', [48743, 48746]]
['tbi', [51246, 51249]]
['tbi', [51893, 51896]]
['tbi', [53493, 53496]]
['tbi', [53660, 53663]]
['tbi', [54145, 54148]]
['tbi', [54725, 54728]]
['tbi', [54898, 54901]]
['tbi', [54909, 54912]]
['tbi', [55199, 55202]]
['tbi', [55400, 55403]]
['tbi', [56030, 56033]]
['tbi', [56166, 56169]]
['tbi', [57008, 57011]]
['tbi', [59511, 59514]]
['tbi', [60158, 60161]]
['tbi', [61758, 61761]]
['tbi', [61925, 61928]]
['tbi', [62410, 62413]]
['tbi', [62990, 62993]]
['tbi', [63163, 63166]]
['tbi', [63174, 63177]]
['tbi', [63464, 63467]]
['tbi', [63665, 63668]]
['tbi', [64295, 64298]]
['fas', [237, 240]]
['fas', [509, 512]]
['fas', [1940, 1943]]
['fas', [2106, 2109]]
['fas', [2258, 2261]]
['fas', [48184, 48187]]
['fas', [49684, 49687]]
