['kinase', [59192, 59198]]
['kinase', [66422, 66428]]
['receptor', [100, 108]]
['receptor', [2106, 2114]]
['receptor', [2266, 2274]]
['receptor', [2351, 2359]]
['receptor', [2377, 2385]]
['receptor', [2578, 2586]]
['receptor', [3800, 3808]]
['receptor', [28373, 28381]]
['receptor', [36022, 36030]]
['receptor', [43663, 43671]]
['receptor', [44954, 44962]]
['receptor', [60104, 60112]]
['receptor', [60528, 60536]]
['receptor', [64202, 64210]]
['receptor', [67334, 67342]]
['receptor', [67758, 67766]]
['receptor', [71432, 71440]]
['transcription', [323, 336]]
['transcription', [1349, 1362]]
['transcription', [2153, 2166]]
['transcription', [4859, 4872]]
['transcription', [4950, 4963]]
['transcription', [31271, 31284]]
['transcription', [38920, 38933]]
['transcription', [49829, 49842]]
['transcription', [51482, 51495]]
['transcription', [63231, 63244]]
['transcription', [63368, 63381]]
['transcription', [64289, 64302]]
['transcription', [70461, 70474]]
['transcription', [70598, 70611]]
['transcription', [71519, 71532]]
['factor', [337, 343]]
['factor', [2167, 2173]]
['factor', [2259, 2265]]
['factor', [2344, 2350]]
['factor', [4873, 4879]]
['factor', [28366, 28372]]
['factor', [36015, 36021]]
['factor', [43656, 43662]]
['factor', [44947, 44953]]
['factor', [62241, 62247]]
['factor', [64303, 64309]]
['factor', [69471, 69477]]
['factor', [71533, 71539]]
['breast', [66, 72]]
['breast', [173, 179]]
['breast', [353, 359]]
['breast', [418, 424]]
['breast', [465, 471]]
['breast', [529, 535]]
['breast', [695, 701]]
['breast', [959, 965]]
['breast', [1067, 1073]]
['breast', [1117, 1123]]
['breast', [1170, 1176]]
['breast', [1735, 1741]]
['breast', [1871, 1877]]
['breast', [1984, 1990]]
['breast', [2195, 2201]]
['breast', [3192, 3198]]
['breast', [3410, 3416]]
['breast', [3548, 3554]]
['breast', [3915, 3921]]
['breast', [4152, 4158]]
['breast', [6421, 6427]]
['breast', [6941, 6947]]
['breast', [7047, 7053]]
['breast', [7264, 7270]]
['breast', [7334, 7340]]
['breast', [13182, 13188]]
['breast', [17421, 17427]]
['breast', [23275, 23281]]
['breast', [27534, 27540]]
['breast', [27700, 27706]]
['breast', [27813, 27819]]
['breast', [28044, 28050]]
['breast', [28762, 28768]]
['breast', [28837, 28843]]
['breast', [29006, 29012]]
['breast', [29379, 29385]]
['breast', [29660, 29666]]
['breast', [29743, 29749]]
['breast', [30324, 30330]]
['breast', [30816, 30822]]
['breast', [32562, 32568]]
['breast', [32701, 32707]]
['breast', [34299, 34305]]
['breast', [35103, 35109]]
['breast', [35183, 35189]]
['breast', [35349, 35355]]
['breast', [35462, 35468]]
['breast', [35693, 35699]]
['breast', [36411, 36417]]
['breast', [36486, 36492]]
['breast', [36655, 36661]]
['breast', [37028, 37034]]
['breast', [37309, 37315]]
['breast', [37392, 37398]]
['breast', [37973, 37979]]
['breast', [38465, 38471]]
['breast', [40211, 40217]]
['breast', [40350, 40356]]
['breast', [41948, 41954]]
['breast', [42752, 42758]]
['breast', [42824, 42830]]
['breast', [42990, 42996]]
['breast', [43103, 43109]]
['breast', [43334, 43340]]
['breast', [44052, 44058]]
['breast', [44115, 44121]]
['breast', [44281, 44287]]
['breast', [44394, 44400]]
['breast', [44625, 44631]]
['breast', [45343, 45349]]
['breast', [45419, 45425]]
['breast', [45588, 45594]]
['breast', [45961, 45967]]
['breast', [46242, 46248]]
['breast', [46325, 46331]]
['breast', [46906, 46912]]
['breast', [47394, 47400]]
['breast', [47563, 47569]]
['breast', [47936, 47942]]
['breast', [48217, 48223]]
['breast', [48300, 48306]]
['breast', [48881, 48887]]
['breast', [49374, 49380]]
['breast', [51027, 51033]]
['breast', [52774, 52780]]
['breast', [52913, 52919]]
['breast', [54556, 54562]]
['breast', [54695, 54701]]
['breast', [56294, 56300]]
['breast', [57098, 57104]]
['breast', [57238, 57244]]
['breast', [58042, 58048]]
['breast', [58177, 58183]]
['breast', [58361, 58367]]
['breast', [58411, 58417]]
['breast', [58467, 58473]]
['breast', [58789, 58795]]
['breast', [59149, 59155]]
['breast', [59948, 59954]]
['breast', [60166, 60172]]
['breast', [60327, 60333]]
['breast', [60964, 60970]]
['breast', [61238, 61244]]
['breast', [61476, 61482]]
['breast', [62073, 62079]]
['breast', [62717, 62723]]
['breast', [64758, 64764]]
['breast', [64951, 64957]]
['breast', [65096, 65102]]
['breast', [65407, 65413]]
['breast', [65591, 65597]]
['breast', [65641, 65647]]
['breast', [65697, 65703]]
['breast', [66019, 66025]]
['breast', [66379, 66385]]
['breast', [67178, 67184]]
['breast', [67396, 67402]]
['breast', [67557, 67563]]
['breast', [68194, 68200]]
['breast', [68468, 68474]]
['breast', [68706, 68712]]
['breast', [69303, 69309]]
['breast', [69947, 69953]]
['breast', [71988, 71994]]
['breast', [72181, 72187]]
['breast', [72326, 72332]]
['carcinoma', [425, 434]]
['carcinoma', [1074, 1083]]
['carcinoma', [6532, 6541]]
['carcinoma', [6557, 6566]]
['carcinoma', [7341, 7350]]
['carcinoma', [17428, 17437]]
['carcinoma', [27820, 27829]]
['carcinoma', [32708, 32717]]
['carcinoma', [35469, 35478]]
['carcinoma', [40357, 40366]]
['carcinoma', [43110, 43119]]
['carcinoma', [44401, 44410]]
['carcinoma', [52920, 52929]]
['carcinoma', [54702, 54711]]
['carcinoma', [58368, 58377]]
['carcinoma', [63736, 63745]]
['carcinoma', [65598, 65607]]
['carcinoma', [70966, 70975]]
['cell', [435, 439]]
['cell', [547, 551]]
['cell', [709, 713]]
['cell', [973, 977]]
['cell', [1084, 1088]]
['cell', [1188, 1192]]
['cell', [1749, 1753]]
['cell', [2846, 2850]]
['cell', [3901, 3905]]
['cell', [3929, 3933]]
['cell', [4745, 4749]]
['cell', [4781, 4785]]
['cell', [4983, 4987]]
['cell', [5032, 5036]]
['cell', [5188, 5192]]
['cell', [5305, 5309]]
['cell', [6276, 6280]]
['cell', [6497, 6501]]
['cell', [6866, 6870]]
['cell', [7096, 7100]]
['cell', [7302, 7306]]
['cell', [7351, 7355]]
['cell', [8269, 8273]]
['cell', [8548, 8552]]
['cell', [8654, 8658]]
['cell', [8687, 8691]]
['cell', [9354, 9358]]
['cell', [10081, 10085]]
['cell', [10300, 10304]]
['cell', [11935, 11939]]
['cell', [12130, 12134]]
['cell', [12305, 12309]]
['cell', [15358, 15362]]
['cell', [15680, 15684]]
['cell', [16039, 16043]]
['cell', [16287, 16291]]
['cell', [16414, 16418]]
['cell', [16598, 16602]]
['cell', [16720, 16724]]
['cell', [16858, 16862]]
['cell', [16878, 16882]]
['cell', [16960, 16964]]
['cell', [17108, 17112]]
['cell', [17304, 17308]]
['cell', [17342, 17346]]
['cell', [17389, 17393]]
['cell', [17438, 17442]]
['cell', [18357, 18361]]
['cell', [18636, 18640]]
['cell', [18743, 18747]]
['cell', [18776, 18780]]
['cell', [19443, 19447]]
['cell', [20171, 20175]]
['cell', [20390, 20394]]
['cell', [22027, 22031]]
['cell', [22222, 22226]]
['cell', [22397, 22401]]
['cell', [25453, 25457]]
['cell', [25775, 25779]]
['cell', [26134, 26138]]
['cell', [26382, 26386]]
['cell', [26509, 26513]]
['cell', [26693, 26697]]
['cell', [26815, 26819]]
['cell', [26954, 26958]]
['cell', [26974, 26978]]
['cell', [27056, 27060]]
['cell', [27204, 27208]]
['cell', [27400, 27404]]
['cell', [27438, 27442]]
['cell', [27548, 27552]]
['cell', [27707, 27711]]
['cell', [27830, 27834]]
['cell', [27933, 27937]]
['cell', [28058, 28062]]
['cell', [28175, 28179]]
['cell', [28445, 28449]]
['cell', [28473, 28477]]
['cell', [28563, 28567]]
['cell', [28663, 28667]]
['cell', [28776, 28780]]
['cell', [29210, 29214]]
['cell', [29248, 29252]]
['cell', [29474, 29478]]
['cell', [29647, 29651]]
['cell', [30304, 30308]]
['cell', [30666, 30670]]
['cell', [30830, 30834]]
['cell', [30924, 30928]]
['cell', [31579, 31583]]
['cell', [31862, 31866]]
['cell', [32217, 32221]]
['cell', [32311, 32315]]
['cell', [32476, 32480]]
['cell', [32718, 32722]]
['cell', [32767, 32771]]
['cell', [32854, 32858]]
['cell', [33271, 33275]]
['cell', [33410, 33414]]
['cell', [33473, 33477]]
['cell', [33661, 33665]]
['cell', [33680, 33684]]
['cell', [33740, 33744]]
['cell', [33918, 33922]]
['cell', [34044, 34048]]
['cell', [34153, 34157]]
['cell', [35197, 35201]]
['cell', [35356, 35360]]
['cell', [35479, 35483]]
['cell', [35582, 35586]]
['cell', [35707, 35711]]
['cell', [35824, 35828]]
['cell', [36094, 36098]]
['cell', [36122, 36126]]
['cell', [36212, 36216]]
['cell', [36312, 36316]]
['cell', [36425, 36429]]
['cell', [36859, 36863]]
['cell', [36897, 36901]]
['cell', [37123, 37127]]
['cell', [37296, 37300]]
['cell', [37953, 37957]]
['cell', [38315, 38319]]
['cell', [38479, 38483]]
['cell', [38573, 38577]]
['cell', [39228, 39232]]
['cell', [39511, 39515]]
['cell', [39866, 39870]]
['cell', [39960, 39964]]
['cell', [40125, 40129]]
['cell', [40367, 40371]]
['cell', [40416, 40420]]
['cell', [40503, 40507]]
['cell', [40920, 40924]]
['cell', [41059, 41063]]
['cell', [41122, 41126]]
['cell', [41310, 41314]]
['cell', [41329, 41333]]
['cell', [41389, 41393]]
['cell', [41567, 41571]]
['cell', [41693, 41697]]
['cell', [41802, 41806]]
['cell', [42838, 42842]]
['cell', [42997, 43001]]
['cell', [43120, 43124]]
['cell', [43223, 43227]]
['cell', [43348, 43352]]
['cell', [43465, 43469]]
['cell', [43735, 43739]]
['cell', [43763, 43767]]
['cell', [43853, 43857]]
['cell', [43953, 43957]]
['cell', [44066, 44070]]
['cell', [44129, 44133]]
['cell', [44288, 44292]]
['cell', [44411, 44415]]
['cell', [44514, 44518]]
['cell', [44639, 44643]]
['cell', [44756, 44760]]
['cell', [45026, 45030]]
['cell', [45054, 45058]]
['cell', [45144, 45148]]
['cell', [45244, 45248]]
['cell', [45357, 45361]]
['cell', [45792, 45796]]
['cell', [45830, 45834]]
['cell', [46056, 46060]]
['cell', [46229, 46233]]
['cell', [46886, 46890]]
['cell', [47248, 47252]]
['cell', [47767, 47771]]
['cell', [47805, 47809]]
['cell', [48031, 48035]]
['cell', [48204, 48208]]
['cell', [48861, 48865]]
['cell', [49223, 49227]]
['cell', [49388, 49392]]
['cell', [49482, 49486]]
['cell', [50137, 50141]]
['cell', [50420, 50424]]
['cell', [50775, 50779]]
['cell', [50869, 50873]]
['cell', [51041, 51045]]
['cell', [51135, 51139]]
['cell', [51790, 51794]]
['cell', [52073, 52077]]
['cell', [52428, 52432]]
['cell', [52522, 52526]]
['cell', [52688, 52692]]
['cell', [52930, 52934]]
['cell', [52979, 52983]]
['cell', [53066, 53070]]
['cell', [53483, 53487]]
['cell', [53622, 53626]]
['cell', [53685, 53689]]
['cell', [53873, 53877]]
['cell', [53892, 53896]]
['cell', [53952, 53956]]
['cell', [54130, 54134]]
['cell', [54256, 54260]]
['cell', [54365, 54369]]
['cell', [54470, 54474]]
['cell', [54712, 54716]]
['cell', [54761, 54765]]
['cell', [54848, 54852]]
['cell', [55265, 55269]]
['cell', [55404, 55408]]
['cell', [55467, 55471]]
['cell', [55655, 55659]]
['cell', [55674, 55678]]
['cell', [55734, 55738]]
['cell', [55912, 55916]]
['cell', [56038, 56042]]
['cell', [56147, 56151]]
['cell', [58378, 58382]]
['cell', [58492, 58496]]
['cell', [58803, 58807]]
['cell', [59163, 59167]]
['cell', [59582, 59586]]
['cell', [59713, 59717]]
['cell', [60500, 60504]]
['cell', [61428, 61432]]
['cell', [61490, 61494]]
['cell', [62536, 62540]]
['cell', [62589, 62593]]
['cell', [62731, 62735]]
['cell', [62797, 62801]]
['cell', [62842, 62846]]
['cell', [62979, 62983]]
['cell', [63175, 63179]]
['cell', [63344, 63348]]
['cell', [63567, 63571]]
['cell', [63727, 63731]]
['cell', [63888, 63892]]
['cell', [64341, 64345]]
['cell', [65201, 65205]]
['cell', [65608, 65612]]
['cell', [65722, 65726]]
['cell', [66033, 66037]]
['cell', [66393, 66397]]
['cell', [66812, 66816]]
['cell', [66943, 66947]]
['cell', [67730, 67734]]
['cell', [68658, 68662]]
['cell', [68720, 68724]]
['cell', [69766, 69770]]
['cell', [69819, 69823]]
['cell', [69961, 69965]]
['cell', [70027, 70031]]
['cell', [70072, 70076]]
['cell', [70209, 70213]]
['cell', [70405, 70409]]
['cell', [70574, 70578]]
['cell', [70797, 70801]]
['cell', [70957, 70961]]
['cell', [71118, 71122]]
['cell', [71571, 71575]]
['cell', [72431, 72435]]
['lines', [440, 445]]
['lines', [714, 719]]
['lines', [1089, 1094]]
['lines', [3934, 3939]]
['lines', [7356, 7361]]
['lines', [17443, 17448]]
['lines', [27553, 27558]]
['lines', [27712, 27717]]
['lines', [27835, 27840]]
['lines', [27938, 27943]]
['lines', [28063, 28068]]
['lines', [28180, 28185]]
['lines', [28450, 28455]]
['lines', [28478, 28483]]
['lines', [28668, 28673]]
['lines', [30835, 30840]]
['lines', [32481, 32486]]
['lines', [32723, 32728]]
['lines', [32773, 32778]]
['lines', [33276, 33281]]
['lines', [33415, 33420]]
['lines', [33478, 33483]]
['lines', [35202, 35207]]
['lines', [35361, 35366]]
['lines', [35484, 35489]]
['lines', [35587, 35592]]
['lines', [35712, 35717]]
['lines', [35829, 35834]]
['lines', [36099, 36104]]
['lines', [36127, 36132]]
['lines', [36317, 36322]]
['lines', [38484, 38489]]
['lines', [40130, 40135]]
['lines', [40372, 40377]]
['lines', [40422, 40427]]
['lines', [40925, 40930]]
['lines', [41064, 41069]]
['lines', [41127, 41132]]
['lines', [42843, 42848]]
['lines', [43002, 43007]]
['lines', [43125, 43130]]
['lines', [43228, 43233]]
['lines', [43353, 43358]]
['lines', [43470, 43475]]
['lines', [43740, 43745]]
['lines', [43768, 43773]]
['lines', [43958, 43963]]
['lines', [44134, 44139]]
['lines', [44293, 44298]]
['lines', [44416, 44421]]
