['ci', [56547, 56549]]
['ci', [57909, 57911]]
['ci', [58569, 58571]]
['ci', [58844, 58846]]
['ci', [58934, 58936]]
['ci', [59540, 59542]]
['ci', [59784, 59786]]
['ci', [60341, 60343]]
['ci', [60917, 60919]]
['ci', [62371, 62373]]
['ci', [62567, 62569]]
['ci', [64200, 64202]]
['ci', [65026, 65028]]
['ci', [65169, 65171]]
['ci', [65493, 65495]]
['ci', [65503, 65505]]
['ci', [65753, 65755]]
['ci', [66222, 66224]]
['ci', [67242, 67244]]
['ci', [67734, 67736]]
['ci', [67844, 67846]]
['ci', [68481, 68483]]
['ci', [68761, 68763]]
['ci', [71452, 71454]]
['ci', [72437, 72439]]
['ci', [72728, 72730]]
['ci', [73266, 73268]]
['ci', [75360, 75362]]
['1\\.9\\\xe2\\\x80\\\x93145\\.1', [2013, 2029]]
['1\\.9\\\xe2\\\x80\\\x93145\\.1', [7032, 7048]]
['1\\.9\\\xe2\\\x80\\\x93145\\.1', [39863, 39879]]
['1\\.9\\\xe2\\\x80\\\x93145\\.1', [45280, 45296]]
['crc', [2899, 2902]]
['crc', [3236, 3239]]
['crc', [5017, 5020]]
['crc', [5079, 5082]]
['crc', [5351, 5354]]
['crc', [7944, 7947]]
['crc', [8377, 8380]]
['crc', [14921, 14924]]
['crc', [15590, 15593]]
['crc', [19020, 19023]]
['crc', [19454, 19457]]
['crc', [25999, 26002]]
['crc', [26668, 26671]]
['crc', [31086, 31089]]
['crc', [31756, 31759]]
['crc', [37676, 37679]]
['crc', [43093, 43096]]
['crc', [47072, 47075]]
['crc', [51144, 51147]]
['crc', [51780, 51783]]
['crc', [53254, 53257]]
['crc', [53660, 53663]]
['crc', [58369, 58372]]
['crc', [62441, 62444]]
['crc', [63077, 63080]]
['crc', [64551, 64554]]
['crc', [64957, 64960]]
['crc', [71196, 71199]]
['crc', [72706, 72709]]
['crc', [72825, 72828]]
['targeted', [4722, 4730]]
['crc-queri', [5017, 5026]]
['crc-queri', [5351, 5360]]
['aca', [5431, 5434]]
['pcps', [8494, 8498]]
['pcps', [8598, 8602]]
['pcps', [8995, 8999]]
['pcps', [10161, 10165]]
['pcps', [10873, 10877]]
['pcps', [16935, 16939]]
['pcps', [18311, 18315]]
['pcps', [19571, 19575]]
['pcps', [19675, 19679]]
['pcps', [20072, 20076]]
['pcps', [21238, 21242]]
['pcps', [21950, 21954]]
['pcps', [28013, 28017]]
['pcps', [33102, 33106]]
['pcps', [34479, 34483]]
['pcps', [39578, 39582]]
['pcps', [44995, 44999]]
['pcps', [52511, 52515]]
['pcps', [63808, 63812]]
['alert', [9719, 9724]]
['alert', [9750, 9755]]
['alert', [9997, 10002]]
['alert', [10176, 10181]]
['alert', [10861, 10866]]
['alert', [20796, 20801]]
['alert', [20827, 20832]]
['alert', [21074, 21079]]
['alert', [21253, 21258]]
['alert', [21938, 21943]]
['alert', [48412, 48417]]
['alert', [59709, 59714]]
['pcp', [8494, 8497]]
['pcp', [8598, 8601]]
['pcp', [8995, 8998]]
['pcp', [10161, 10164]]
['pcp', [10873, 10876]]
['pcp', [11044, 11047]]
['pcp', [11307, 11310]]
['pcp', [13470, 13473]]
['pcp', [14744, 14747]]
['pcp', [16935, 16938]]
['pcp', [18311, 18314]]
['pcp', [19571, 19574]]
['pcp', [19675, 19678]]
['pcp', [20072, 20075]]
['pcp', [21238, 21241]]
['pcp', [21950, 21953]]
['pcp', [22121, 22124]]
['pcp', [22384, 22387]]
['pcp', [24548, 24551]]
['pcp', [25822, 25825]]
['pcp', [28013, 28016]]
['pcp', [29635, 29638]]
['pcp', [30909, 30912]]
['pcp', [33102, 33105]]
['pcp', [34479, 34482]]
['pcp', [36978, 36981]]
['pcp', [39578, 39581]]
['pcp', [42395, 42398]]
['pcp', [44995, 44998]]
['pcp', [52511, 52514]]
['pcp', [63808, 63811]]
['pcp', [72191, 72194]]
['pcp', [72252, 72255]]
['pcp', [76004, 76007]]
['hk', [12770, 12772]]
['hk', [23848, 23850]]
['hk', [28934, 28936]]
['gb', [12774, 12776]]
['gb', [23852, 23854]]
['gb', [28938, 28940]]
['pilot', [12826, 12831]]
['pilot', [13162, 13167]]
['pilot', [23904, 23909]]
['pilot', [24240, 24245]]
['pilot', [28990, 28995]]
['pilot', [29327, 29332]]
['fobt', [168, 172]]
['fobt', [344, 348]]
['fobt', [591, 595]]
['fobt', [918, 922]]
['fobt', [1711, 1715]]
['fobt', [2504, 2508]]
['fobt', [3159, 3163]]
['fobt', [3333, 3337]]
['fobt', [3432, 3436]]
['fobt', [3532, 3536]]
['fobt', [4175, 4179]]
['fobt', [4628, 4632]]
['fobt', [5590, 5594]]
['fobt', [5936, 5940]]
['fobt', [6730, 6734]]
['fobt', [7524, 7528]]
['fobt', [8003, 8007]]
['fobt', [8340, 8344]]
['fobt', [9095, 9099]]
['fobt', [9286, 9290]]
['fobt', [9589, 9593]]
['fobt', [9912, 9916]]
['fobt', [10213, 10217]]
['fobt', [10692, 10696]]
['fobt', [10906, 10910]]
['fobt', [10978, 10982]]
['fobt', [11631, 11635]]
['fobt', [12083, 12087]]
['fobt', [12274, 12278]]
['fobt', [12477, 12481]]
['fobt', [12651, 12655]]
['fobt', [13085, 13089]]
['fobt', [13327, 13331]]
['fobt', [13537, 13541]]
['fobt', [14028, 14032]]
['fobt', [15186, 15190]]
['fobt', [15459, 15463]]
['fobt', [15717, 15721]]
['fobt', [15796, 15800]]
['fobt', [16014, 16018]]
['fobt', [16115, 16119]]
['fobt', [16207, 16211]]
['fobt', [16305, 16309]]
['fobt', [16401, 16405]]
['fobt', [16718, 16722]]
['fobt', [17574, 17578]]
['fobt', [17684, 17688]]
['fobt', [19079, 19083]]
['fobt', [19417, 19421]]
['fobt', [20172, 20176]]
['fobt', [20363, 20367]]
['fobt', [20666, 20670]]
['fobt', [20989, 20993]]
['fobt', [21290, 21294]]
['fobt', [21769, 21773]]
['fobt', [21983, 21987]]
['fobt', [22055, 22059]]
['fobt', [22708, 22712]]
['fobt', [23161, 23165]]
['fobt', [23352, 23356]]
['fobt', [23555, 23559]]
['fobt', [23729, 23733]]
['fobt', [24163, 24167]]
['fobt', [24405, 24409]]
['fobt', [24615, 24619]]
['fobt', [25106, 25110]]
['fobt', [26264, 26268]]
['fobt', [26537, 26541]]
['fobt', [26795, 26799]]
['fobt', [26874, 26878]]
['fobt', [27092, 27096]]
['fobt', [27193, 27197]]
['fobt', [27285, 27289]]
['fobt', [27383, 27387]]
['fobt', [27479, 27483]]
['fobt', [27796, 27800]]
['fobt', [28247, 28251]]
['fobt', [28438, 28442]]
['fobt', [28641, 28645]]
['fobt', [28815, 28819]]
['fobt', [29250, 29254]]
['fobt', [29492, 29496]]
['fobt', [29702, 29706]]
['fobt', [30193, 30197]]
['fobt', [31351, 31355]]
['fobt', [31625, 31629]]
['fobt', [31883, 31887]]
['fobt', [31962, 31966]]
['fobt', [32180, 32184]]
['fobt', [32281, 32285]]
['fobt', [32373, 32377]]
['fobt', [32471, 32475]]
['fobt', [32567, 32571]]
['fobt', [32885, 32889]]
['fobt', [33742, 33746]]
['fobt', [33852, 33856]]
['fobt', [35028, 35032]]
['fobt', [35094, 35098]]
['fobt', [35685, 35689]]
['fobt', [35854, 35858]]
['fobt', [36596, 36600]]
['fobt', [36741, 36745]]
['fobt', [37028, 37032]]
['fobt', [37891, 37895]]
['fobt', [38751, 38755]]
['fobt', [40445, 40449]]
['fobt', [40511, 40515]]
['fobt', [41102, 41106]]
['fobt', [41271, 41275]]
['fobt', [42013, 42017]]
['fobt', [42158, 42162]]
['fobt', [42445, 42449]]
['fobt', [43308, 43312]]
['fobt', [44168, 44172]]
['fobt', [45874, 45878]]
['fobt', [45995, 45999]]
['fobt', [46543, 46547]]
['fobt', [46910, 46914]]
['fobt', [47190, 47194]]
['fobt', [47558, 47562]]
['fobt', [47671, 47675]]
['fobt', [48062, 48066]]
['fobt', [48558, 48562]]
['fobt', [49234, 49238]]
['fobt', [49708, 49712]]
['fobt', [50302, 50306]]
['fobt', [50588, 50592]]
['fobt', [50763, 50767]]
['fobt', [51378, 51382]]
['fobt', [51715, 51719]]
['fobt', [51903, 51907]]
['fobt', [52530, 52534]]
['fobt', [52624, 52628]]
['fobt', [53305, 53309]]
['fobt', [53403, 53407]]
['fobt', [53674, 53678]]
['fobt', [54045, 54049]]
['fobt', [54406, 54410]]
['fobt', [56593, 56597]]
['fobt', [57171, 57175]]
['fobt', [57292, 57296]]
['fobt', [57840, 57844]]
['fobt', [58207, 58211]]
['fobt', [58487, 58491]]
['fobt', [58855, 58859]]
['fobt', [58968, 58972]]
['fobt', [59359, 59363]]
['fobt', [59855, 59859]]
['fobt', [60531, 60535]]
['fobt', [61005, 61009]]
['fobt', [61599, 61603]]
['fobt', [61885, 61889]]
['fobt', [62060, 62064]]
['fobt', [62675, 62679]]
['fobt', [63012, 63016]]
['fobt', [63200, 63204]]
['fobt', [63827, 63831]]
['fobt', [63921, 63925]]
['fobt', [64602, 64606]]
['fobt', [64700, 64704]]
['fobt', [64971, 64975]]
['fobt', [65342, 65346]]
['fobt', [65703, 65707]]
['fobt', [67890, 67894]]
['fobt', [68468, 68472]]
['fobt', [69049, 69053]]
['fobt', [69160, 69164]]
['fobt', [69383, 69387]]
['fobt', [69512, 69516]]
['fobt', [69607, 69611]]
['fobt', [69868, 69872]]
['fobt', [69979, 69983]]
['fobt', [70202, 70206]]
['fobt', [70332, 70336]]
['fobt', [70427, 70431]]
['fobt', [70815, 70819]]
['fobt', [71333, 71337]]
['fobt', [71425, 71429]]
['fobt', [71569, 71573]]
['fobt', [71884, 71888]]
['fobt', [71955, 71959]]
['fobt', [74473, 74477]]
['fobt', [74581, 74585]]
['fobt', [74722, 74726]]
['fobt', [74808, 74812]]
['fobt', [74938, 74942]]
['fobt', [75042, 75046]]
['fobt', [75403, 75407]]
['chart', [1775, 1780]]
['chart', [6794, 6799]]
['chart', [12704, 12709]]
['chart', [12898, 12903]]
