['factors', [33988, 33995]]
['factors', [38921, 38928]]
['factors', [39003, 39010]]
['factors', [39227, 39234]]
['factors', [39589, 39596]]
['factors', [39794, 39801]]
['factors', [39891, 39898]]
['factors', [40233, 40240]]
['factors', [42913, 42920]]
['factors', [43465, 43472]]
['factors', [44424, 44431]]
['factors', [44572, 44579]]
['factors', [44631, 44638]]
['factors', [44721, 44728]]
['factors', [50058, 50065]]
['factors', [50340, 50347]]
['factors', [51509, 51516]]
['factors', [52061, 52068]]
['factors', [53020, 53027]]
['factors', [53169, 53176]]
['factors', [53228, 53235]]
['factors', [53318, 53325]]
['factors', [62662, 62669]]
['factors', [62944, 62951]]
['factors', [69590, 69597]]
['factors', [69693, 69700]]
['factors', [69800, 69807]]
['factors', [71808, 71815]]
['factors', [71932, 71939]]
['factors', [77558, 77565]]
['factors', [83344, 83351]]
['factors', [84343, 84350]]
['factors', [88640, 88647]]
['factors', [89283, 89290]]
['factors', [89807, 89814]]
['factors', [94104, 94111]]
['factors', [94747, 94754]]
['child', [38, 43]]
['child', [221, 226]]
['child', [369, 374]]
['child', [442, 447]]
['child', [467, 472]]
['child', [519, 524]]
['child', [572, 577]]
['child', [1158, 1163]]
['child', [1235, 1240]]
['child', [1276, 1281]]
['child', [1352, 1357]]
['child', [1454, 1459]]
['child', [1598, 1603]]
['child', [1667, 1672]]
['child', [1785, 1790]]
['child', [1836, 1841]]
['child', [2084, 2089]]
['child', [2264, 2269]]
['child', [2345, 2350]]
['child', [2433, 2438]]
['child', [2576, 2581]]
['child', [2846, 2851]]
['child', [2991, 2996]]
['child', [3156, 3161]]
['child', [3317, 3322]]
['child', [3381, 3386]]
['child', [3579, 3584]]
['child', [3743, 3748]]
['child', [3885, 3890]]
['child', [4040, 4045]]
['child', [4105, 4110]]
['child', [4171, 4176]]
['child', [4210, 4215]]
['child', [4256, 4261]]
['child', [4320, 4325]]
['child', [4396, 4401]]
['child', [4490, 4495]]
['child', [4729, 4734]]
['child', [4750, 4755]]
['child', [4852, 4857]]
['child', [5353, 5358]]
['child', [5606, 5611]]
['child', [5657, 5662]]
['child', [5758, 5763]]
['child', [6022, 6027]]
['child', [6083, 6088]]
['child', [6266, 6271]]
['child', [6344, 6349]]
['child', [6431, 6436]]
['child', [6588, 6593]]
['child', [7064, 7069]]
['child', [7188, 7193]]
['child', [7262, 7267]]
['child', [7384, 7389]]
['child', [7460, 7465]]
['child', [7669, 7674]]
['child', [7930, 7935]]
['child', [8028, 8033]]
['child', [8267, 8272]]
['child', [8816, 8821]]
['child', [8879, 8884]]
['child', [8910, 8915]]
['child', [9715, 9720]]
['child', [9802, 9807]]
['child', [9842, 9847]]
['child', [9881, 9886]]
['child', [10021, 10026]]
['child', [10079, 10084]]
['child', [10099, 10104]]
['child', [10350, 10355]]
['child', [10954, 10959]]
['child', [11126, 11131]]
['child', [11211, 11216]]
['child', [11660, 11665]]
['child', [11693, 11698]]
['child', [11822, 11827]]
['child', [11890, 11895]]
['child', [11918, 11923]]
['child', [12067, 12072]]
['child', [12163, 12168]]
['child', [12540, 12545]]
['child', [12616, 12621]]
['child', [12642, 12647]]
['child', [12718, 12723]]
['child', [12794, 12799]]
['child', [12820, 12825]]
['child', [12886, 12891]]
['child', [13118, 13123]]
['child', [13194, 13199]]
['child', [13220, 13225]]
['child', [13289, 13294]]
['child', [13647, 13652]]
['child', [13732, 13737]]
['child', [13808, 13813]]
['child', [13834, 13839]]
['child', [13880, 13885]]
['child', [13895, 13900]]
['child', [13915, 13920]]
['child', [14638, 14643]]
['child', [15215, 15220]]
['child', [15703, 15708]]
['child', [15798, 15803]]
['child', [15856, 15861]]
['child', [16102, 16107]]
['child', [16500, 16505]]
['child', [16620, 16625]]
['child', [17744, 17749]]
['child', [17794, 17799]]
['child', [17905, 17910]]
['child', [18415, 18420]]
['child', [18549, 18554]]
['child', [18889, 18894]]
['child', [19168, 19173]]
['child', [19279, 19284]]
['child', [19816, 19821]]
['child', [19961, 19966]]
['child', [20817, 20822]]
['child', [20893, 20898]]
['child', [21080, 21085]]
['child', [21197, 21202]]
['child', [21453, 21458]]
['child', [21492, 21497]]
['child', [21612, 21617]]
['child', [21894, 21899]]
['child', [21998, 22003]]
['child', [22268, 22273]]
['child', [22483, 22488]]
['child', [22639, 22644]]
['child', [22750, 22755]]
['child', [23151, 23156]]
['child', [23235, 23240]]
['child', [23278, 23283]]
['child', [23360, 23365]]
['child', [23563, 23568]]
['child', [23666, 23671]]
['child', [23737, 23742]]
['child', [23834, 23839]]
['child', [23875, 23880]]
['child', [24753, 24758]]
['child', [24862, 24867]]
['child', [24908, 24913]]
['child', [24956, 24961]]
['child', [25116, 25121]]
['child', [25304, 25309]]
['child', [25507, 25512]]
['child', [25567, 25572]]
['child', [25637, 25642]]
['child', [25960, 25965]]
['child', [26020, 26025]]
['child', [26073, 26078]]
['child', [26285, 26290]]
['child', [26361, 26366]]
['child', [26387, 26392]]
['child', [26433, 26438]]
['child', [26609, 26614]]
['child', [26976, 26981]]
['child', [27125, 27130]]
['child', [27160, 27165]]
['child', [27235, 27240]]
['child', [27387, 27392]]
['child', [27452, 27457]]
['child', [27518, 27523]]
['child', [27557, 27562]]
['child', [27603, 27608]]
['child', [27667, 27672]]
['child', [27743, 27748]]
['child', [27837, 27842]]
['child', [28076, 28081]]
