['nmda', [45833, 45837]]
['nmda', [48602, 48606]]
['nmda', [49592, 49596]]
['nmda', [49664, 49668]]
['nmda', [50091, 50095]]
['nmda', [50231, 50235]]
['nmda', [51221, 51225]]
['nmda', [51293, 51297]]
['nmda', [51720, 51724]]
['nmda', [52194, 52198]]
['nmda', [52446, 52450]]
['nmda', [53006, 53010]]
['nmda', [53071, 53075]]
['nmda', [53361, 53365]]
['nmda', [53933, 53937]]
['nmda', [55468, 55472]]
['nmda', [55687, 55691]]
['nmda', [56755, 56759]]
['nmda', [56994, 56998]]
['nmda', [57224, 57228]]
['nmda', [57719, 57723]]
['nmda', [57971, 57975]]
['nmda', [58531, 58535]]
['nmda', [58596, 58600]]
['nmda', [58886, 58890]]
['nmda', [59458, 59462]]
['nmda', [60993, 60997]]
['nmda', [61212, 61216]]
['nmda', [62280, 62284]]
['nmda', [62519, 62523]]
['nmda', [62749, 62753]]
['nmda', [62993, 62997]]
['nmda', [67530, 67534]]
['receptors', [381, 390]]
['receptors', [2769, 2778]]
['receptors', [3024, 3033]]
['receptors', [3293, 3302]]
['receptors', [3818, 3827]]
['receptors', [5929, 5938]]
['receptors', [6581, 6590]]
['receptors', [6851, 6860]]
['receptors', [6915, 6924]]
['receptors', [25803, 25812]]
['receptors', [26326, 26335]]
['receptors', [26555, 26564]]
['receptors', [28535, 28544]]
['receptors', [30420, 30429]]
['receptors', [31410, 31419]]
['receptors', [31482, 31491]]
['receptors', [31909, 31918]]
['receptors', [32895, 32904]]
['receptors', [33418, 33427]]
['receptors', [33647, 33656]]
['receptors', [35627, 35636]]
['receptors', [37512, 37521]]
['receptors', [38502, 38511]]
['receptors', [38574, 38583]]
['receptors', [39001, 39010]]
['receptors', [39987, 39996]]
['receptors', [40510, 40519]]
['receptors', [40731, 40740]]
['receptors', [42683, 42692]]
['receptors', [44664, 44673]]
['receptors', [45838, 45847]]
['receptors', [48607, 48616]]
['receptors', [49597, 49606]]
['receptors', [49669, 49678]]
['receptors', [50096, 50105]]
['receptors', [50236, 50245]]
['receptors', [51226, 51235]]
['receptors', [51298, 51307]]
['receptors', [51725, 51734]]
['receptors', [52199, 52208]]
['receptors', [53076, 53085]]
['receptors', [53366, 53375]]
['receptors', [53938, 53947]]
['receptors', [55473, 55482]]
['receptors', [55692, 55701]]
['receptors', [56760, 56769]]
['receptors', [57229, 57238]]
['receptors', [57330, 57339]]
['receptors', [57724, 57733]]
['receptors', [58601, 58610]]
['receptors', [58891, 58900]]
['receptors', [59463, 59472]]
['receptors', [60998, 61007]]
['receptors', [61217, 61226]]
['receptors', [62285, 62294]]
['receptors', [62754, 62763]]
['receptors', [62855, 62864]]
['erk1\\/2', [413, 420]]
['erk1\\/2', [744, 751]]
['erk1\\/2', [833, 840]]
['erk1\\/2', [908, 915]]
['erk1\\/2', [1096, 1103]]
['erk1\\/2', [1226, 1233]]
['erk1\\/2', [1809, 1816]]
['erk1\\/2', [1830, 1837]]
['erk1\\/2', [4813, 4820]]
['erk1\\/2', [5454, 5461]]
['erk1\\/2', [5614, 5621]]
['erk1\\/2', [5752, 5759]]
['erk1\\/2', [6349, 6356]]
['erk1\\/2', [6429, 6436]]
['erk1\\/2', [6958, 6965]]
['erk1\\/2', [7229, 7236]]
['erk1\\/2', [13634, 13641]]
['erk1\\/2', [16155, 16162]]
['erk1\\/2', [22565, 22572]]
['erk1\\/2', [24985, 24992]]
['erk1\\/2', [25341, 25348]]
['erk1\\/2', [25526, 25533]]
['erk1\\/2', [25588, 25595]]
['erk1\\/2', [25776, 25783]]
['erk1\\/2', [28398, 28405]]
['erk1\\/2', [28616, 28623]]
['erk1\\/2', [28783, 28790]]
['erk1\\/2', [29052, 29059]]
['erk1\\/2', [29462, 29469]]
['erk1\\/2', [29605, 29612]]
['erk1\\/2', [29654, 29661]]
['erk1\\/2', [29760, 29767]]
['erk1\\/2', [30088, 30095]]
['erk1\\/2', [30319, 30326]]
['erk1\\/2', [32077, 32084]]
['erk1\\/2', [32433, 32440]]
['erk1\\/2', [32618, 32625]]
['erk1\\/2', [32680, 32687]]
['erk1\\/2', [32868, 32875]]
['erk1\\/2', [35490, 35497]]
['erk1\\/2', [35708, 35715]]
['erk1\\/2', [35875, 35882]]
['erk1\\/2', [36144, 36151]]
['erk1\\/2', [36554, 36561]]
['erk1\\/2', [36697, 36704]]
['erk1\\/2', [36746, 36753]]
['erk1\\/2', [36852, 36859]]
['erk1\\/2', [37180, 37187]]
['erk1\\/2', [37411, 37418]]
['erk1\\/2', [39169, 39176]]
['erk1\\/2', [39525, 39532]]
['erk1\\/2', [39710, 39717]]
['erk1\\/2', [39772, 39779]]
['erk1\\/2', [39960, 39967]]
['erk1\\/2', [44527, 44534]]
['erk1\\/2', [44745, 44752]]
['erk1\\/2', [44912, 44919]]
['erk1\\/2', [45181, 45188]]
['erk1\\/2', [45591, 45598]]
['erk1\\/2', [45701, 45708]]
['erk1\\/2', [45919, 45926]]
['erk1\\/2', [46086, 46093]]
['erk1\\/2', [46355, 46362]]
['erk1\\/2', [46765, 46772]]
['erk1\\/2', [46909, 46916]]
['erk1\\/2', [46958, 46965]]
['erk1\\/2', [47064, 47071]]
['erk1\\/2', [47392, 47399]]
['erk1\\/2', [47623, 47630]]
['erk1\\/2', [47791, 47798]]
['erk1\\/2', [47840, 47847]]
['erk1\\/2', [47946, 47953]]
['erk1\\/2', [48274, 48281]]
['erk1\\/2', [48505, 48512]]
['erk1\\/2', [52271, 52278]]
['erk1\\/2', [52321, 52328]]
['erk1\\/2', [52493, 52500]]
['erk1\\/2', [53132, 53139]]
['erk1\\/2', [53296, 53303]]
['erk1\\/2', [53952, 53959]]
['erk1\\/2', [53984, 53991]]
['erk1\\/2', [54728, 54735]]
['erk1\\/2', [54844, 54851]]
['erk1\\/2', [55985, 55992]]
['erk1\\/2', [56823, 56830]]
['erk1\\/2', [57035, 57042]]
['erk1\\/2', [57796, 57803]]
['erk1\\/2', [57846, 57853]]
['erk1\\/2', [58018, 58025]]
['erk1\\/2', [58657, 58664]]
['erk1\\/2', [58821, 58828]]
['erk1\\/2', [59477, 59484]]
['erk1\\/2', [59509, 59516]]
['erk1\\/2', [60253, 60260]]
['erk1\\/2', [60369, 60376]]
['erk1\\/2', [61510, 61517]]
['erk1\\/2', [62348, 62355]]
['erk1\\/2', [62560, 62567]]
['erk1\\/2', [64155, 64162]]
['erk1\\/2', [64683, 64690]]
['erk1\\/2', [64941, 64948]]
['erk1\\/2', [65187, 65194]]
['erk1\\/2', [65632, 65639]]
['erk1\\/2', [65752, 65759]]
['erk1\\/2', [66993, 67000]]
['erk1\\/2', [68692, 68699]]
['erk1\\/2', [69220, 69227]]
['erk1\\/2', [69478, 69485]]
['erk1\\/2', [69724, 69731]]
['erk1\\/2', [70169, 70176]]
['erk1\\/2', [70289, 70296]]
['erk1\\/2', [71530, 71537]]
['jnk3\\.', [424, 430]]
['jnk3\\.', [1820, 1826]]
['receptor', [74, 82]]
['receptor', [381, 389]]
['receptor', [621, 629]]
['receptor', [1774, 1782]]
['receptor', [2769, 2777]]
['receptor', [3024, 3032]]
['receptor', [3293, 3301]]
['receptor', [3591, 3599]]
['receptor', [3818, 3826]]
['receptor', [5929, 5937]]
['receptor', [6271, 6279]]
['receptor', [6581, 6589]]
['receptor', [6851, 6859]]
['receptor', [6915, 6923]]
['receptor', [25803, 25811]]
['receptor', [26326, 26334]]
['receptor', [26555, 26563]]
['receptor', [26619, 26627]]
['receptor', [28332, 28340]]
['receptor', [28366, 28374]]
['receptor', [28535, 28543]]
['receptor', [30420, 30428]]
['receptor', [31410, 31418]]
['receptor', [31482, 31490]]
['receptor', [31909, 31917]]
['receptor', [32895, 32903]]
['receptor', [33418, 33426]]
['receptor', [33647, 33655]]
['receptor', [33711, 33719]]
['receptor', [35424, 35432]]
['receptor', [35458, 35466]]
['receptor', [35627, 35635]]
['receptor', [37512, 37520]]
['receptor', [38502, 38510]]
['receptor', [38574, 38582]]
['receptor', [39001, 39009]]
['receptor', [39987, 39995]]
['receptor', [40510, 40518]]
['receptor', [40731, 40739]]
['receptor', [40795, 40803]]
['receptor', [42508, 42516]]
['receptor', [42683, 42691]]
['receptor', [42747, 42755]]
['receptor', [44460, 44468]]
['receptor', [44495, 44503]]
['receptor', [44664, 44672]]
['receptor', [45669, 45677]]
['receptor', [45838, 45846]]
['receptor', [48607, 48615]]
['receptor', [49597, 49605]]
['receptor', [49669, 49677]]
['receptor', [50096, 50104]]
['receptor', [50236, 50244]]
['receptor', [51226, 51234]]
['receptor', [51298, 51306]]
['receptor', [51725, 51733]]
['receptor', [52199, 52207]]
['receptor', [52451, 52459]]
['receptor', [53011, 53019]]
['receptor', [53076, 53084]]
['receptor', [53366, 53374]]
['receptor', [53938, 53946]]
['receptor', [55212, 55220]]
['receptor', [55473, 55481]]
['receptor', [55692, 55700]]
['receptor', [56760, 56768]]
['receptor', [56999, 57007]]
['receptor', [57229, 57237]]
['receptor', [57330, 57338]]
['receptor', [57724, 57732]]
['receptor', [57976, 57984]]
['receptor', [58536, 58544]]
['receptor', [58601, 58609]]
['receptor', [58891, 58899]]
['receptor', [59463, 59471]]
['receptor', [60737, 60745]]
['receptor', [60998, 61006]]
['receptor', [61217, 61225]]
['receptor', [62285, 62293]]
['receptor', [62524, 62532]]
['receptor', [62754, 62762]]
['receptor', [62855, 62863]]
['receptor', [62998, 63006]]
['receptor', [67535, 67543]]
['mk\\-801\\.', [642, 651]]
['mk\\-801\\.', [785, 794]]
['mk\\-801\\.', [25643, 25652]]
['mk\\-801\\.', [32735, 32744]]
['mk\\-801\\.', [39827, 39836]]
['mk\\-801\\.', [63850, 63859]]
['mk\\-801\\.', [68387, 68396]]
['mek', [1024, 1027]]
['mek', [6459, 6462]]
['mek', [29893, 29896]]
['mek', [36985, 36988]]
['mek', [47197, 47200]]
['mek', [48079, 48082]]
['mek', [65161, 65164]]
['mek', [69698, 69701]]
['pro-survival', [1468, 1480]]
['pro-survival', [4989, 5001]]
['pro-survival', [6660, 6672]]
['factors', [1481, 1488]]
['factors', [1559, 1566]]
['factors', [4270, 4277]]
['factors', [6004, 6011]]
['factors', [6673, 6680]]
['factors', [53124, 53131]]
['factors', [56315, 56322]]
['factors', [58649, 58656]]
['factors', [61840, 61847]]
['factors', [65976, 65983]]
['factors', [66777, 66784]]
['factors', [70513, 70520]]
['factors', [71314, 71321]]
['p-creb', [1490, 1496]]
['p-creb', [1916, 1922]]
['p-creb', [13651, 13657]]
