['or', [31544, 31546]]
['or', [31593, 31595]]
['or', [31611, 31613]]
['or', [31660, 31662]]
['or', [31739, 31741]]
['or', [31816, 31818]]
['or', [31834, 31836]]
['or', [31844, 31846]]
['or', [31956, 31958]]
['or', [32007, 32009]]
['or', [32065, 32067]]
['or', [32133, 32135]]
['or', [32150, 32152]]
['or', [32475, 32477]]
['or', [32534, 32536]]
['or', [32547, 32549]]
['or', [32580, 32582]]
['or', [32593, 32595]]
['or', [32702, 32704]]
['or', [33138, 33140]]
['or', [33804, 33806]]
['or', [33844, 33846]]
['or', [33895, 33897]]
['or', [33906, 33908]]
['or', [34327, 34329]]
['or', [34357, 34359]]
['or', [34593, 34595]]
['or', [34665, 34667]]
['or', [35140, 35142]]
['or', [35146, 35148]]
['or', [35178, 35180]]
['or', [35330, 35332]]
['or', [35349, 35351]]
['or', [35434, 35436]]
['or', [35441, 35443]]
['or', [35487, 35489]]
['or', [35588, 35590]]
['or', [35622, 35624]]
['or', [35796, 35798]]
['or', [35931, 35933]]
['or', [36091, 36093]]
['or', [36206, 36208]]
['or', [36293, 36295]]
['or', [36415, 36417]]
['or', [36525, 36527]]
['or', [36565, 36567]]
['or', [36607, 36609]]
['or', [36631, 36633]]
['or', [36734, 36736]]
['or', [36739, 36741]]
['or', [36838, 36840]]
['or', [36915, 36917]]
['or', [36985, 36987]]
['or', [37043, 37045]]
['or', [37159, 37161]]
['or', [37191, 37193]]
['or', [37683, 37685]]
['or', [37749, 37751]]
['or', [37789, 37791]]
['or', [37802, 37804]]
['or', [38029, 38031]]
['or', [38400, 38402]]
['or', [38460, 38462]]
['or', [38598, 38600]]
['or', [38639, 38641]]
['or', [39038, 39040]]
['or', [39860, 39862]]
['or', [40026, 40028]]
['or', [40144, 40146]]
['or', [40452, 40454]]
['or', [40643, 40645]]
['or', [40667, 40669]]
['or', [40737, 40739]]
['or', [40845, 40847]]
['or', [40954, 40956]]
['or', [41009, 41011]]
['or', [41021, 41023]]
['or', [41033, 41035]]
['or', [41045, 41047]]
['or', [41061, 41063]]
['or', [41470, 41472]]
['or', [41686, 41688]]
['or', [41714, 41716]]
['or', [41775, 41777]]
['4\\.0', [984, 988]]
['4\\.0', [1005, 1009]]
['4\\.0', [40230, 40234]]
['4\\.0', [41293, 41297]]
['4\\.0', [41303, 41307]]
['4\\.0', [41307, 41311]]
['ci', [326, 328]]
['ci', [596, 598]]
['ci', [643, 645]]
['ci', [993, 995]]
['ci', [1113, 1115]]
['ci', [1189, 1191]]
['ci', [1765, 1767]]
['ci', [3306, 3308]]
['ci', [3450, 3452]]
['ci', [4232, 4234]]
['ci', [4613, 4615]]
['ci', [4641, 4643]]
['ci', [5384, 5386]]
['ci', [5662, 5664]]
['ci', [5733, 5735]]
['ci', [5879, 5881]]
['ci', [6029, 6031]]
['ci', [6401, 6403]]
['ci', [6541, 6543]]
['ci', [7597, 7599]]
['ci', [8859, 8861]]
['ci', [8926, 8928]]
['ci', [9384, 9386]]
['ci', [9582, 9584]]
['ci', [9963, 9965]]
['ci', [11221, 11223]]
['ci', [11243, 11245]]
['ci', [11265, 11267]]
['ci', [11284, 11286]]
['ci', [12026, 12028]]
['ci', [12304, 12306]]
['ci', [12375, 12377]]
['ci', [12521, 12523]]
['ci', [12671, 12673]]
['ci', [13043, 13045]]
['ci', [13183, 13185]]
['ci', [14241, 14243]]
['ci', [15503, 15505]]
['ci', [15570, 15572]]
['ci', [16029, 16031]]
['ci', [16227, 16229]]
['ci', [16608, 16610]]
['ci', [17867, 17869]]
['ci', [17889, 17891]]
['ci', [17911, 17913]]
['ci', [17930, 17932]]
['ci', [18825, 18827]]
['ci', [18855, 18857]]
['ci', [19199, 19201]]
['ci', [20548, 20550]]
['ci', [22098, 22100]]
['ci', [22128, 22130]]
['ci', [22472, 22474]]
['ci', [23821, 23823]]
['ci', [25348, 25350]]
['ci', [26462, 26464]]
['ci', [26498, 26500]]
['ci', [28576, 28578]]
['ci', [31767, 31769]]
['ci', [32881, 32883]]
['ci', [32917, 32919]]
['ci', [34995, 34997]]
['ci', [40969, 40971]]
['ci', [41018, 41020]]
['ci', [41030, 41032]]
['ci', [41042, 41044]]
['ci', [41054, 41056]]
['ci', [41069, 41071]]
['ci', [41486, 41488]]
['ci', [41648, 41650]]
['1\\.1', [996, 1000]]
['1\\.1', [1066, 1070]]
['1\\.1', [41205, 41209]]
['1\\.1', [41218, 41222]]
['1\\.1', [41222, 41226]]
['1\\.1', [41235, 41239]]
['1\\.1', [41244, 41248]]
['1\\.1', [41297, 41301]]
['1\\.1', [41311, 41315]]
['1\\.1', [41370, 41374]]
['1\\.1', [41383, 41387]]
['1\\.1', [41418, 41422]]
['1\\.1', [41431, 41435]]
['1\\.1', [41444, 41448]]
['1\\.1', [41453, 41457]]
['1\\.1', [41466, 41470]]
['non-hispanic', [2026, 2038]]
['blacks', [2039, 2045]]
['urinary', [0, 7]]
['urinary', [146, 153]]
['urinary', [742, 749]]
['urinary', [908, 915]]
['urinary', [1201, 1208]]
['urinary', [1441, 1448]]
['urinary', [1495, 1502]]
['urinary', [1845, 1852]]
['urinary', [2512, 2519]]
['urinary', [2639, 2646]]
['urinary', [2745, 2752]]
['urinary', [3279, 3286]]
['urinary', [3804, 3811]]
['urinary', [4051, 4058]]
['urinary', [4194, 4201]]
['urinary', [4700, 4707]]
['urinary', [4780, 4787]]
['urinary', [6353, 6360]]
['urinary', [6595, 6602]]
['urinary', [6877, 6884]]
['urinary', [9453, 9460]]
['urinary', [10280, 10287]]
['urinary', [10493, 10500]]
['urinary', [12995, 13002]]
['urinary', [13238, 13245]]
['urinary', [13520, 13527]]
['urinary', [16098, 16105]]
['urinary', [16926, 16933]]
['urinary', [17139, 17146]]
['urinary', [18576, 18583]]
['urinary', [18867, 18874]]
['urinary', [18946, 18953]]
['urinary', [19486, 19493]]
['urinary', [19968, 19975]]
['urinary', [20098, 20105]]
['urinary', [20560, 20567]]
['urinary', [20734, 20741]]
['urinary', [20838, 20845]]
['urinary', [20937, 20944]]
['urinary', [21166, 21173]]
['urinary', [21849, 21856]]
['urinary', [22140, 22147]]
['urinary', [22219, 22226]]
['urinary', [22759, 22766]]
['urinary', [23241, 23248]]
['urinary', [23371, 23378]]
['urinary', [23833, 23840]]
['urinary', [24007, 24014]]
['urinary', [24111, 24118]]
['urinary', [24210, 24217]]
['urinary', [24439, 24446]]
['urinary', [24781, 24788]]
['urinary', [24958, 24965]]
['urinary', [25128, 25135]]
['urinary', [25256, 25263]]
['urinary', [25360, 25367]]
['urinary', [25438, 25445]]
['urinary', [25656, 25663]]
['urinary', [25735, 25742]]
['urinary', [25840, 25847]]
['urinary', [25934, 25941]]
['urinary', [25999, 26006]]
['urinary', [26400, 26407]]
['urinary', [26469, 26476]]
['urinary', [26591, 26598]]
['urinary', [26802, 26809]]
['urinary', [27961, 27968]]
['urinary', [28259, 28266]]
['urinary', [28392, 28399]]
['urinary', [28512, 28519]]
['urinary', [29032, 29039]]
['urinary', [30218, 30225]]
['urinary', [30323, 30330]]
['urinary', [30798, 30805]]
['urinary', [30893, 30900]]
['urinary', [30996, 31003]]
['urinary', [31200, 31207]]
['urinary', [31377, 31384]]
['urinary', [31547, 31554]]
['urinary', [31675, 31682]]
['urinary', [31779, 31786]]
['urinary', [31857, 31864]]
['urinary', [32075, 32082]]
['urinary', [32154, 32161]]
['urinary', [32259, 32266]]
['urinary', [32353, 32360]]
['urinary', [32418, 32425]]
['urinary', [32819, 32826]]
['urinary', [32888, 32895]]
['urinary', [33010, 33017]]
['urinary', [33221, 33228]]
['urinary', [34380, 34387]]
['urinary', [34678, 34685]]
['urinary', [34811, 34818]]
['urinary', [34931, 34938]]
['urinary', [35451, 35458]]
['urinary', [36637, 36644]]
['urinary', [36742, 36749]]
['urinary', [37217, 37224]]
['urinary', [37312, 37319]]
['urinary', [37415, 37422]]
['urinary', [37592, 37599]]
['urinary', [37719, 37726]]
['urinary', [38325, 38332]]
['urinary', [38729, 38736]]
['urinary', [40930, 40937]]
['urinary', [41081, 41088]]
['incontinence\\.', [1209, 1223]]
['incontinence\\.', [2647, 2661]]
['incontinence\\.', [20742, 20756]]
['incontinence\\.', [20846, 20860]]
['incontinence\\.', [24015, 24029]]
['incontinence\\.', [24119, 24133]]
['incontinence\\.', [25793, 25807]]
['incontinence\\.', [26408, 26422]]
['incontinence\\.', [26810, 26824]]
['incontinence\\.', [27431, 27445]]
['incontinence\\.', [28915, 28929]]
['incontinence\\.', [30806, 30820]]
['incontinence\\.', [32212, 32226]]
['incontinence\\.', [32827, 32841]]
['incontinence\\.', [33229, 33243]]
['incontinence\\.', [33850, 33864]]
['incontinence\\.', [35334, 35348]]
['incontinence\\.', [37225, 37239]]
['these', [2661, 2666]]
['these', [29245, 29250]]
['these', [29431, 29436]]
['these', [31032, 31037]]
['these', [31120, 31125]]
['these', [35664, 35669]]
['these', [35850, 35855]]
['these', [37451, 37456]]
['these', [37539, 37544]]
['factors', [1128, 1135]]
['factors', [1429, 1436]]
['factors', [2500, 2507]]
['factors', [2612, 2619]]
['factors', [2667, 2674]]
['factors', [2866, 2873]]
['factors', [3252, 3259]]
['factors', [3886, 3893]]
['factors', [3949, 3956]]
['factors', [4098, 4105]]
['factors', [4688, 4695]]
['factors', [18843, 18850]]
['factors', [20536, 20543]]
['factors', [21086, 21093]]
['factors', [22116, 22123]]
['factors', [23809, 23816]]
['factors', [24359, 24366]]
['factors', [25116, 25123]]
['factors', [25188, 25195]]
['factors', [25411, 25418]]
['factors', [25533, 25540]]
['factors', [26157, 26164]]
['factors', [30311, 30318]]
['factors', [31535, 31542]]
['factors', [31607, 31614]]
['factors', [31830, 31837]]
['factors', [31952, 31959]]
['factors', [32576, 32583]]
['factors', [36730, 36737]]
['factors', [37745, 37752]]
['factors', [38456, 38463]]
['factors', [40448, 40455]]
['factors', [41057, 41064]]
['other', [2733, 2738]]
['other', [2845, 2850]]
['other', [3374, 3379]]
['other', [4107, 4112]]
['other', [6093, 6098]]
['other', [7203, 7208]]
['other', [9096, 9101]]
['other', [10534, 10539]]
['other', [12735, 12740]]
['other', [13847, 13852]]
['other', [15740, 15745]]
['other', [17180, 17185]]
['other', [21080, 21085]]
['other', [24353, 24358]]
['other', [24864, 24869]]
['other', [25400, 25405]]
['other', [27133, 27138]]
['other', [28942, 28947]]
['other', [30687, 30692]]
['other', [31283, 31288]]
['other', [31819, 31824]]
['other', [33552, 33557]]
['other', [35361, 35366]]
['other', [37106, 37111]]
['other', [37826, 37831]]
['suggested', [2851, 2860]]
['risk', [1424, 1428]]
['risk', [2495, 2499]]
['risk', [2861, 2865]]
['risk', [3124, 3128]]
['risk', [3247, 3251]]
['risk', [3881, 3885]]
['risk', [3944, 3948]]
['risk', [4093, 4097]]
['risk', [4683, 4687]]
['risk', [25111, 25115]]
['risk', [25406, 25410]]
['risk', [26109, 26113]]
['risk', [30306, 30310]]
['risk', [31530, 31534]]
['risk', [31825, 31829]]
['risk', [32528, 32532]]
['risk', [36725, 36729]]
['risk', [37740, 37744]]
['bmi', [1361, 1364]]
['bmi', [2960, 2963]]
['bmi', [3864, 3867]]
['bmi', [7666, 7669]]
['bmi', [14310, 14313]]
['bmi', [18536, 18539]]
['bmi', [19579, 19582]]
['bmi', [21269, 21272]]
['bmi', [21809, 21812]]
['bmi', [22852, 22855]]
['bmi', [24542, 24545]]
['bmi', [25084, 25087]]
['bmi', [31503, 31506]]
['bmi', [38231, 38234]]
['bmi', [39372, 39375]]
['jnc', [7532, 7535]]
['jnc', [7624, 7627]]
['jnc', [14176, 14179]]
['jnc', [14268, 14271]]
['jnc', [40818, 40821]]
['6', [361, 362]]
['6', [779, 780]]
['6', [781, 782]]
['6', [1944, 1945]]
['6', [2011, 2012]]
['6', [2125, 2126]]
['6', [2130, 2131]]
['6', [2199, 2200]]
['6', [2386, 2387]]
['6', [2476, 2477]]
['6', [3656, 3657]]
['6', [4595, 4596]]
['6', [5023, 5024]]
['6', [5679, 5680]]
['6', [5709, 5710]]
['6', [6039, 6040]]
['6', [6040, 6041]]
['6', [6154, 6155]]
['6', [7529, 7530]]
['6', [7536, 7537]]
['6', [11665, 11666]]
['6', [12321, 12322]]
['6', [12351, 12352]]
['6', [12681, 12682]]
['6', [12682, 12683]]
['6', [12796, 12797]]
['6', [14173, 14174]]
['6', [14180, 14181]]
['6', [18325, 18326]]
['6', [18379, 18380]]
['6', [18382, 18383]]
['6', [18407, 18408]]
['6', [20251, 20252]]
['6', [20320, 20321]]
['6', [21598, 21599]]
['6', [21652, 21653]]
