['1', [36470, 36471]]
['1', [36596, 36597]]
['1', [36818, 36819]]
['1', [37013, 37014]]
['1', [37022, 37023]]
['1', [37042, 37043]]
['1', [37179, 37180]]
['1', [37211, 37212]]
['1', [37232, 37233]]
['1', [37253, 37254]]
['1', [37455, 37456]]
['1', [37464, 37465]]
['1', [37484, 37485]]
['1', [37621, 37622]]
['1', [37653, 37654]]
['1', [37674, 37675]]
['1', [37695, 37696]]
['1', [37992, 37993]]
['1', [38463, 38464]]
['1', [41272, 41273]]
['1', [41679, 41680]]
['1', [42173, 42174]]
['1', [42176, 42177]]
['1', [42905, 42906]]
['1', [42908, 42909]]
['1', [45049, 45050]]
['1', [45318, 45319]]
['1', [45329, 45330]]
['1', [45613, 45614]]
['1', [45619, 45620]]
['1', [45624, 45625]]
['1', [45674, 45675]]
['1', [45685, 45686]]
['1', [45996, 45997]]
['1', [46159, 46160]]
['1', [46164, 46165]]
['1', [46174, 46175]]
['1', [46389, 46390]]
['1', [46394, 46395]]
['1', [46400, 46401]]
['1', [46405, 46406]]
['1', [46621, 46622]]
['1', [46890, 46891]]
['1', [46901, 46902]]
['1', [47185, 47186]]
['1', [47191, 47192]]
['1', [47196, 47197]]
['1', [47246, 47247]]
['1', [47257, 47258]]
['1', [47568, 47569]]
['1', [47731, 47732]]
['1', [47736, 47737]]
['1', [47746, 47747]]
['1', [47961, 47962]]
['1', [47966, 47967]]
['1', [47972, 47973]]
['1', [47977, 47978]]
['1', [50078, 50079]]
['1', [50265, 50266]]
['1', [50605, 50606]]
['1', [50680, 50681]]
['1', [50811, 50812]]
['1', [51353, 51354]]
['1', [52145, 52146]]
['1', [52150, 52151]]
['1', [52224, 52225]]
['1', [56536, 56537]]
['1', [56723, 56724]]
['1', [57063, 57064]]
['1', [57138, 57139]]
['1', [57269, 57270]]
['1', [57811, 57812]]
['1', [58603, 58604]]
['1', [58608, 58609]]
['1', [58682, 58683]]
['\xe2\x80\x93', [1288, 1291]]
['\xe2\x80\x93', [2246, 2249]]
['\xe2\x80\x93', [2830, 2833]]
['\xe2\x80\x93', [4533, 4536]]
['\xe2\x80\x93', [4757, 4760]]
['\xe2\x80\x93', [5945, 5948]]
