['3', [43552, 43553]]
['3', [43564, 43565]]
['3', [43594, 43595]]
['3', [43609, 43610]]
['3', [43613, 43614]]
['3', [43640, 43641]]
['3', [43654, 43655]]
['3', [43666, 43667]]
['3', [43686, 43687]]
['3', [43694, 43695]]
['3', [43712, 43713]]
['3', [43758, 43759]]
['3', [43794, 43795]]
['3', [43806, 43807]]
['3', [43837, 43838]]
['3', [43847, 43848]]
['3', [43911, 43912]]
['3', [43964, 43965]]
['3', [44122, 44123]]
['3', [44406, 44407]]
['3', [44425, 44426]]
['3', [44455, 44456]]
['3', [44485, 44486]]
['3', [44514, 44515]]
['3', [44522, 44523]]
['3', [44537, 44538]]
['3', [44541, 44542]]
['3', [44552, 44553]]
['3', [44553, 44554]]
['3', [44565, 44566]]
['3', [44568, 44569]]
['3', [44580, 44581]]
['3', [44583, 44584]]
['3', [44586, 44587]]
['3', [44623, 44624]]
['3', [44686, 44687]]
['3', [44691, 44692]]
['3', [44723, 44724]]
['3', [44738, 44739]]
['3', [44739, 44740]]
['3', [44792, 44793]]
['3', [44845, 44846]]
['3', [44863, 44864]]
['3', [44867, 44868]]
['3', [44871, 44872]]
['3', [44878, 44879]]
['3', [44881, 44882]]
['3', [44892, 44893]]
['3', [44922, 44923]]
['3', [44969, 44970]]
['3', [44998, 44999]]
['3', [45006, 45007]]
['3', [45067, 45068]]
['3', [45085, 45086]]
['3', [45124, 45125]]
['3', [45161, 45162]]
['3', [45191, 45192]]
['3', [45249, 45250]]
['3', [45260, 45261]]
['3', [45272, 45273]]
['3', [45273, 45274]]
['3', [45276, 45277]]
['3', [45279, 45280]]
['3', [45291, 45292]]
['3', [45319, 45320]]
['3', [45418, 45419]]
['3', [45494, 45495]]
['3', [45564, 45565]]
['3', [45692, 45693]]
['3', [45807, 45808]]
['3', [46077, 46078]]
['3', [46085, 46086]]
['3', [46115, 46116]]
['3', [46144, 46145]]
['3', [46150, 46151]]
['3', [46155, 46156]]
['3', [46167, 46168]]
['3', [46234, 46235]]
['3', [46239, 46240]]
['3', [46259, 46260]]
['3', [46277, 46278]]
['3', [46304, 46305]]
['3', [46328, 46329]]
['3', [46375, 46376]]
['3', [46379, 46380]]
['3', [46386, 46387]]
['3', [46389, 46390]]
['3', [46436, 46437]]
['3', [46474, 46475]]
['3', [46503, 46504]]
['3', [46506, 46507]]
['3', [46532, 46533]]
['3', [46543, 46544]]
['3', [46572, 46573]]
['3', [46584, 46585]]
['3', [46612, 46613]]
['3', [46725, 46726]]
['3', [46821, 46822]]
['3', [46826, 46827]]
['3', [46838, 46839]]
['3', [46861, 46862]]
['3', [46912, 46913]]
['14\\+14', [482, 488]]
['14\\+14', [38989, 38995]]
['14\\+14', [40639, 40645]]
['14\\+14', [42074, 42080]]
['14\\+14', [43579, 43585]]
['14\\+14', [45229, 45235]]
['14\\+14', [46664, 46670]]
['allele', [1004, 1010]]
['allele', [1231, 1237]]
['allele', [2457, 2463]]
['allele', [2863, 2869]]
['allele', [7499, 7505]]
['allele', [8625, 8631]]
['allele', [8659, 8665]]
['allele', [14059, 14065]]
['allele', [15186, 15192]]
['allele', [15220, 15226]]
['allele', [17732, 17738]]
['allele', [20298, 20304]]
['allele', [23560, 23566]]
['allele', [24332, 24338]]
['allele', [38502, 38508]]
['allele', [38916, 38922]]
['allele', [39340, 39346]]
['allele', [40209, 40215]]
['allele', [40561, 40567]]
['allele', [40917, 40923]]
['allele', [41722, 41728]]
['allele', [42001, 42007]]
['allele', [42301, 42307]]
['allele', [43092, 43098]]
['allele', [43506, 43512]]
['allele', [43930, 43936]]
['allele', [44799, 44805]]
['allele', [45151, 45157]]
['allele', [45507, 45513]]
['allele', [46312, 46318]]
['allele', [46591, 46597]]
['allele', [46891, 46897]]
['metastasis', [273, 283]]
['metastasis', [1815, 1825]]
