['peroxidation', [4827, 4839]]
['peroxidation', [30860, 30872]]
['product', [1024, 1031]]
['product', [3396, 3403]]
['product', [4840, 4847]]
['product', [30771, 30778]]
['product', [30873, 30880]]
['product', [31239, 31246]]
['product', [35802, 35809]]
['mda', [1050, 1053]]
['mda', [1153, 1156]]
['mda', [1312, 1315]]
['mda', [1571, 1574]]
['mda', [4866, 4869]]
['mda', [4969, 4972]]
['mda', [5128, 5131]]
['mda', [5387, 5390]]
['mda', [8804, 8807]]
['mda', [8975, 8978]]
['mda', [12247, 12250]]
['mda', [12418, 12421]]
['mda', [15721, 15724]]
['mda', [15880, 15883]]
['mda', [15982, 15985]]
['mda', [17262, 17265]]
['mda', [17559, 17562]]
['mda', [17800, 17803]]
['mda', [17926, 17929]]
['mda', [19922, 19925]]
['mda', [20081, 20084]]
['mda', [20183, 20186]]
['mda', [21463, 21466]]
['mda', [21760, 21763]]
['mda', [22001, 22004]]
['mda', [22127, 22130]]
['mda', [25421, 25424]]
['mda', [25580, 25583]]
['mda', [25682, 25685]]
['mda', [27004, 27007]]
['mda', [27163, 27166]]
['mda', [27265, 27268]]
['mda', [28546, 28549]]
['mda', [28843, 28846]]
['mda', [29615, 29618]]
['mda', [29912, 29915]]
['mda', [30154, 30157]]
['mda', [30280, 30283]]
['mda', [30395, 30398]]
['mda', [30521, 30524]]
['mda', [30883, 30886]]
['mda', [41002, 41005]]
['mda', [41868, 41871]]
['acute', [0, 5]]
['acute', [141, 146]]
['acute', [327, 332]]
['acute', [495, 500]]
['acute', [1383, 1388]]
['acute', [1695, 1700]]
['acute', [2455, 2460]]
['acute', [2649, 2654]]
['acute', [2806, 2811]]
['acute', [2829, 2834]]
['acute', [3058, 3063]]
['acute', [3330, 3335]]
['acute', [3703, 3708]]
['acute', [3842, 3847]]
['acute', [3904, 3909]]
['acute', [4124, 4129]]
['acute', [4310, 4315]]
['acute', [5199, 5204]]
['acute', [5512, 5517]]
['acute', [6400, 6405]]
['acute', [6628, 6633]]
['acute', [9841, 9846]]
['acute', [10069, 10074]]
['acute', [12916, 12921]]
['acute', [13333, 13338]]
['acute', [14124, 14129]]
['acute', [15123, 15128]]
['acute', [15846, 15851]]
['acute', [16169, 16174]]
['acute', [16734, 16739]]
['acute', [18325, 18330]]
['acute', [19324, 19329]]
['acute', [20047, 20052]]
['acute', [20370, 20375]]
['acute', [20935, 20940]]
['acute', [22823, 22828]]
['acute', [23823, 23828]]
['acute', [24823, 24828]]
['acute', [25546, 25551]]
['acute', [25869, 25874]]
['acute', [26406, 26411]]
['acute', [27129, 27134]]
['acute', [27452, 27457]]
['acute', [28018, 28023]]
['acute', [29087, 29092]]
['acute', [30669, 30674]]
['acute', [30723, 30728]]
['acute', [31619, 31624]]
['acute', [31866, 31871]]
['acute', [32353, 32358]]
['acute', [32619, 32624]]
['acute', [32699, 32704]]
['acute', [33037, 33042]]
['acute', [33598, 33603]]
['acute', [34897, 34902]]
['acute', [35115, 35120]]
['acute', [35300, 35305]]
['acute', [36193, 36198]]
['acute', [36267, 36272]]
['acute', [37556, 37561]]
['acute', [38096, 38101]]
['acute', [38660, 38665]]
['acute', [39077, 39082]]
['acute', [39600, 39605]]
['acute', [40197, 40202]]
['acute', [41234, 41239]]
['hyperglycemia', [6, 19]]
['hyperglycemia', [147, 160]]
['hyperglycemia', [333, 346]]
['hyperglycemia', [501, 514]]
['hyperglycemia', [845, 858]]
['hyperglycemia', [1389, 1402]]
['hyperglycemia', [1701, 1714]]
['hyperglycemia', [1939, 1952]]
['hyperglycemia', [2050, 2063]]
['hyperglycemia', [2233, 2246]]
['hyperglycemia', [2461, 2474]]
['hyperglycemia', [2486, 2499]]
['hyperglycemia', [2655, 2668]]
['hyperglycemia', [2835, 2848]]
['hyperglycemia', [3064, 3077]]
['hyperglycemia', [3336, 3349]]
['hyperglycemia', [3709, 3722]]
['hyperglycemia', [3910, 3923]]
['hyperglycemia', [4130, 4143]]
['hyperglycemia', [4316, 4329]]
['hyperglycemia', [4660, 4673]]
['hyperglycemia', [5205, 5218]]
['hyperglycemia', [5518, 5531]]
['hyperglycemia', [6406, 6419]]
['hyperglycemia', [6634, 6647]]
['hyperglycemia', [7199, 7212]]
['hyperglycemia', [9847, 9860]]
['hyperglycemia', [10075, 10088]]
['hyperglycemia', [10640, 10653]]
['hyperglycemia', [12922, 12935]]
['hyperglycemia', [13525, 13538]]
['hyperglycemia', [13681, 13694]]
['hyperglycemia', [14130, 14143]]
['hyperglycemia', [15129, 15142]]
['hyperglycemia', [16175, 16188]]
['hyperglycemia', [16969, 16982]]
['hyperglycemia', [17514, 17527]]
['hyperglycemia', [17631, 17644]]
['hyperglycemia', [18331, 18344]]
['hyperglycemia', [19330, 19343]]
['hyperglycemia', [20376, 20389]]
['hyperglycemia', [21170, 21183]]
['hyperglycemia', [21715, 21728]]
['hyperglycemia', [21832, 21845]]
['hyperglycemia', [22829, 22842]]
['hyperglycemia', [23829, 23842]]
['hyperglycemia', [24829, 24842]]
['hyperglycemia', [25875, 25888]]
['hyperglycemia', [26412, 26425]]
['hyperglycemia', [27458, 27471]]
['hyperglycemia', [28253, 28266]]
['hyperglycemia', [28798, 28811]]
['hyperglycemia', [28915, 28928]]
