['1', [632, 633]]
['1', [646, 647]]
['1', [672, 673]]
['1', [698, 699]]
['1', [708, 709]]
['1', [971, 972]]
['1', [1027, 1028]]
['1', [1156, 1157]]
['1', [1337, 1338]]
['1', [1419, 1420]]
['1', [1492, 1493]]
['1', [1748, 1749]]
['1', [1776, 1777]]
['1', [1940, 1941]]
['1', [2530, 2531]]
['1', [2546, 2547]]
['1', [2551, 2552]]
['1', [2786, 2787]]
['1', [2792, 2793]]
['1', [2826, 2827]]
['1', [3860, 3861]]
['1', [3864, 3865]]
['1', [4017, 4018]]
['1', [4030, 4031]]
['1', [4053, 4054]]
['1', [4276, 4277]]
['1', [4281, 4282]]
['1', [4287, 4288]]
['1', [4292, 4293]]
['1', [4310, 4311]]
['1', [4312, 4313]]
['1', [4325, 4326]]
['1', [4326, 4327]]
['1', [4374, 4375]]
['1', [4379, 4380]]
['1', [4413, 4414]]
['1', [4419, 4420]]
['1', [4510, 4511]]
['1', [4515, 4516]]
['1', [4536, 4537]]
['1', [4541, 4542]]
['1', [4549, 4550]]
['1', [4560, 4561]]
['1', [4591, 4592]]
['1', [4670, 4671]]
['1', [4672, 4673]]
['1', [5249, 5250]]
['1', [5257, 5258]]
['1', [5349, 5350]]
['1', [5756, 5757]]
['1', [5764, 5765]]
['1', [5837, 5838]]
['1', [5916, 5917]]
['1', [5962, 5963]]
['1', [6080, 6081]]
['1', [6496, 6497]]
['1', [6719, 6720]]
['1', [6737, 6738]]
['1', [6752, 6753]]
['1', [6793, 6794]]
['1', [6839, 6840]]
['1', [7086, 7087]]
['1', [7273, 7274]]
['1', [7278, 7279]]
['1', [7308, 7309]]
['1', [7351, 7352]]
['1', [7446, 7447]]
['1', [7451, 7452]]
['1', [7611, 7612]]
['1', [7896, 7897]]
['1', [8107, 8108]]
['1', [8390, 8391]]
['1', [8633, 8634]]
['1', [9299, 9300]]
['1', [9302, 9303]]
['1', [9326, 9327]]
['1', [9335, 9336]]
['1', [9338, 9339]]
['1', [9626, 9627]]
['1', [9912, 9913]]
['1', [9956, 9957]]
['1', [10044, 10045]]
['1', [10069, 10070]]
['1', [10388, 10389]]
['1', [10400, 10401]]
['1', [10725, 10726]]
['1', [10726, 10727]]
['1', [10728, 10729]]
['1', [10937, 10938]]
['1', [10946, 10947]]
['1', [10949, 10950]]
['1', [11726, 11727]]
['1', [12046, 12047]]
['1', [12047, 12048]]
['1', [12251, 12252]]
['1', [12659, 12660]]
['1', [13956, 13957]]
['1', [13962, 13963]]
['1', [14541, 14542]]
['1', [14932, 14933]]
['1', [14992, 14993]]
['1', [15180, 15181]]
['1', [15187, 15188]]
['1', [15433, 15434]]
['1', [15806, 15807]]
['1', [15822, 15823]]
['1', [15827, 15828]]
['1', [16062, 16063]]
['1', [16068, 16069]]
['1', [16102, 16103]]
['1', [17136, 17137]]
['1', [17140, 17141]]
['1', [17293, 17294]]
['1', [17306, 17307]]
['1', [17329, 17330]]
['1', [17552, 17553]]
['1', [17557, 17558]]
['1', [17563, 17564]]
['1', [17568, 17569]]
['1', [17586, 17587]]
['1', [17588, 17589]]
['1', [17601, 17602]]
['1', [17602, 17603]]
['1', [17650, 17651]]
['1', [17655, 17656]]
['1', [17689, 17690]]
['1', [17695, 17696]]
['1', [17786, 17787]]
['1', [17791, 17792]]
['1', [17812, 17813]]
['1', [17817, 17818]]
['1', [17825, 17826]]
['1', [17836, 17837]]
['1', [17867, 17868]]
['1', [17946, 17947]]
['1', [17948, 17949]]
['1', [18525, 18526]]
['1', [18533, 18534]]
['1', [18625, 18626]]
['1', [19032, 19033]]
['1', [19040, 19041]]
['1', [19113, 19114]]
['1', [19192, 19193]]
['1', [19238, 19239]]
