['ifn', [44102, 44105]]
['ifn', [44480, 44483]]
['protein', [438, 445]]
['protein', [903, 910]]
['protein', [1143, 1150]]
['protein', [1483, 1490]]
['protein', [1731, 1738]]
['protein', [2643, 2650]]
['protein', [4139, 4146]]
['protein', [4344, 4351]]
['protein', [4522, 4529]]
['protein', [4585, 4592]]
['protein', [5333, 5340]]
['protein', [14549, 14556]]
['protein', [15536, 15543]]
['protein', [16923, 16930]]
['protein', [20233, 20240]]
['protein', [21220, 21227]]
['protein', [22607, 22614]]
['protein', [25909, 25916]]
['protein', [26896, 26903]]
['protein', [28051, 28058]]
['protein', [29038, 29045]]
['protein', [30426, 30433]]
['protein', [32328, 32335]]
['protein', [39672, 39679]]
['protein', [43429, 43436]]
['ad-ifn', [285, 291]]
['ad-ifn', [629, 635]]
['ad-ifn', [914, 920]]
['ad-ifn', [1240, 1246]]
['ad-ifn', [1339, 1345]]
['ad-ifn', [1785, 1791]]
['ad-ifn', [1870, 1876]]
['ad-ifn', [1971, 1977]]
['ad-ifn', [2008, 2014]]
['ad-ifn', [2193, 2199]]
['ad-ifn', [2797, 2803]]
['ad-ifn', [2901, 2907]]
['ad-ifn', [3078, 3084]]
['ad-ifn', [3238, 3244]]
['ad-ifn', [3372, 3378]]
['ad-ifn', [3407, 3413]]
['ad-ifn', [3592, 3598]]
['ad-ifn', [3840, 3846]]
['ad-ifn', [3911, 3917]]
['ad-ifn', [5226, 5232]]
['ad-ifn', [5437, 5443]]
['ad-ifn', [5467, 5473]]
['ad-ifn', [5868, 5874]]
['ad-ifn', [6111, 6117]]
['ad-ifn', [6667, 6673]]
['ad-ifn', [6696, 6702]]
['ad-ifn', [6708, 6714]]
['ad-ifn', [8204, 8210]]
['ad-ifn', [8274, 8280]]
['ad-ifn', [10718, 10724]]
['ad-ifn', [10747, 10753]]
['ad-ifn', [10759, 10765]]
['ad-ifn', [12256, 12262]]
['ad-ifn', [12326, 12332]]
['ad-ifn', [14417, 14423]]
['ad-ifn', [15105, 15111]]
['ad-ifn', [15573, 15579]]
['ad-ifn', [15643, 15649]]
['ad-ifn', [15825, 15831]]
['ad-ifn', [15975, 15981]]
['ad-ifn', [16039, 16045]]
['ad-ifn', [16472, 16478]]
['ad-ifn', [16622, 16628]]
['ad-ifn', [16839, 16845]]
['ad-ifn', [17104, 17110]]
['ad-ifn', [17825, 17831]]
['ad-ifn', [18081, 18087]]
['ad-ifn', [18142, 18148]]
['ad-ifn', [18344, 18350]]
['ad-ifn', [18898, 18904]]
['ad-ifn', [19071, 19077]]
['ad-ifn', [19300, 19306]]
['ad-ifn', [19645, 19651]]
['ad-ifn', [20101, 20107]]
['ad-ifn', [20789, 20795]]
['ad-ifn', [21257, 21263]]
['ad-ifn', [21327, 21333]]
['ad-ifn', [21509, 21515]]
['ad-ifn', [21659, 21665]]
['ad-ifn', [21723, 21729]]
['ad-ifn', [22156, 22162]]
['ad-ifn', [22306, 22312]]
['ad-ifn', [22523, 22529]]
['ad-ifn', [22788, 22794]]
['ad-ifn', [23509, 23515]]
['ad-ifn', [23765, 23771]]
['ad-ifn', [23826, 23832]]
['ad-ifn', [24028, 24034]]
['ad-ifn', [24582, 24588]]
['ad-ifn', [24755, 24761]]
['ad-ifn', [24984, 24990]]
['ad-ifn', [25329, 25335]]
['ad-ifn', [25777, 25783]]
['ad-ifn', [26465, 26471]]
['ad-ifn', [26933, 26939]]
['ad-ifn', [27003, 27009]]
['ad-ifn', [27185, 27191]]
['ad-ifn', [27335, 27341]]
['ad-ifn', [27399, 27405]]
['ad-ifn', [27919, 27925]]
['ad-ifn', [28607, 28613]]
['ad-ifn', [29075, 29081]]
['ad-ifn', [29145, 29151]]
['ad-ifn', [29327, 29333]]
['ad-ifn', [29477, 29483]]
['ad-ifn', [29541, 29547]]
['ad-ifn', [29975, 29981]]
['ad-ifn', [30125, 30131]]
['ad-ifn', [30342, 30348]]
['ad-ifn', [30607, 30613]]
['ad-ifn', [31328, 31334]]
['ad-ifn', [31584, 31590]]
['ad-ifn', [31645, 31651]]
['ad-ifn', [31877, 31883]]
['ad-ifn', [32027, 32033]]
['ad-ifn', [32244, 32250]]
['ad-ifn', [32509, 32515]]
['ad-ifn', [33230, 33236]]
['ad-ifn', [33486, 33492]]
['ad-ifn', [33547, 33553]]
['ad-ifn', [33750, 33756]]
['ad-ifn', [34304, 34310]]
['ad-ifn', [34477, 34483]]
['ad-ifn', [34706, 34712]]
['ad-ifn', [35051, 35057]]
['ad-ifn', [35384, 35390]]
['ad-ifn', [35938, 35944]]
['ad-ifn', [36111, 36117]]
['ad-ifn', [36340, 36346]]
['ad-ifn', [36685, 36691]]
['ad-ifn', [37127, 37133]]
['ad-ifn', [37300, 37306]]
['ad-ifn', [38185, 38191]]
['ad-ifn', [38424, 38430]]
['ad-ifn', [38919, 38925]]
['ad-ifn', [39040, 39046]]
['ad-ifn', [39997, 40003]]
['ad-ifn', [40155, 40161]]
['ad-ifn', [40298, 40304]]
['ad-ifn', [40884, 40890]]
['ad-ifn', [41057, 41063]]
['ad-ifn', [41942, 41948]]
['ad-ifn', [42181, 42187]]
['ad-ifn', [42676, 42682]]
['ad-ifn', [42797, 42803]]
['ad-ifn', [43754, 43760]]
['ad-ifn', [43912, 43918]]
['ad-ifn', [44055, 44061]]
['ck18', [702, 706]]
['ck18', [859, 863]]
['ck18', [1008, 1012]]
['ck18', [4274, 4278]]
['ck18', [4339, 4343]]
['ck18', [4517, 4521]]
['ck18', [4580, 4584]]
['ck18', [4647, 4651]]
['ck18', [4735, 4739]]
['ck18', [8921, 8925]]
['ck18', [12974, 12978]]
['caspase', [716, 723]]
['caspase', [3512, 3519]]
['caspase', [4315, 4322]]
['caspase', [14684, 14691]]
['caspase', [20368, 20375]]
['caspase', [26044, 26051]]
['caspase', [28186, 28193]]
['caspase', [37474, 37481]]
['caspase', [41231, 41238]]
['forms', [18, 23]]
['forms', [677, 682]]
['forms', [864, 869]]
['forms', [4099, 4104]]
['m30', [977, 980]]
['m30', [1209, 1212]]
['m30', [1289, 1292]]
['m30', [1454, 1457]]
['m30', [1705, 1708]]
