['r', [1581, 1582]]
['r', [1592, 1593]]
['r', [1598, 1599]]
['r', [1614, 1615]]
['r', [1635, 1636]]
['r', [1638, 1639]]
['r', [1692, 1693]]
['r', [1698, 1699]]
['r', [1701, 1702]]
['r', [1711, 1712]]
['r', [1716, 1717]]
['r', [1733, 1734]]
['r', [1737, 1738]]
['r', [1742, 1743]]
['r', [1751, 1752]]
['r', [1773, 1774]]
['r', [1809, 1810]]
['r', [1825, 1826]]
['r', [1831, 1832]]
['r', [1834, 1835]]
['r', [1847, 1848]]
['r', [1862, 1863]]
['r', [1867, 1868]]
['r', [1901, 1902]]
['r', [1932, 1933]]
['r', [1962, 1963]]
['r', [2062, 2063]]
['r', [2079, 2080]]
['r', [2103, 2104]]
['r', [2134, 2135]]
['r', [2150, 2151]]
['r', [2162, 2163]]
['r', [2167, 2168]]
['r', [2179, 2180]]
['r', [2189, 2190]]
['r', [2222, 2223]]
['r', [2272, 2273]]
['r', [2307, 2308]]
['r', [2313, 2314]]
['r', [2316, 2317]]
['r', [2365, 2366]]
['r', [2372, 2373]]
['r', [2421, 2422]]
['r', [2434, 2435]]
['r', [2441, 2442]]
['r', [2458, 2459]]
['r', [2468, 2469]]
['r', [2483, 2484]]
['r', [2496, 2497]]
['r', [2513, 2514]]
['r', [2523, 2524]]
['r', [2541, 2542]]
['r', [2552, 2553]]
['r', [2559, 2560]]
['r', [2588, 2589]]
['r', [2610, 2611]]
['r', [2642, 2643]]
['r', [2656, 2657]]
['r', [2685, 2686]]
['r', [2702, 2703]]
['r', [2708, 2709]]
['r', [2711, 2712]]
['r', [2716, 2717]]
['r', [2721, 2722]]
['r', [2722, 2723]]
['r', [2797, 2798]]
['r', [2814, 2815]]
['r', [2837, 2838]]
['r', [2843, 2844]]
['r', [2850, 2851]]
['r', [2867, 2868]]
['r', [2909, 2910]]
['r', [2967, 2968]]
['r', [2973, 2974]]
['r', [2979, 2980]]
['r', [2991, 2992]]
['r', [3003, 3004]]
['r', [3027, 3028]]
['r', [3030, 3031]]
['r', [3057, 3058]]
['r', [3063, 3064]]
['r', [3066, 3067]]
['r', [3079, 3080]]
['r', [3097, 3098]]
['r', [3119, 3120]]
['r', [3153, 3154]]
['r', [3236, 3237]]
['r', [3240, 3241]]
['r', [3269, 3270]]
['r', [3278, 3279]]
['r', [3292, 3293]]
['r', [3330, 3331]]
['r', [3346, 3347]]
['r', [3366, 3367]]
['r', [3373, 3374]]
['r', [3420, 3421]]
['r', [3441, 3442]]
['r', [3462, 3463]]
['r', [3502, 3503]]
['r', [3509, 3510]]
['r', [3513, 3514]]
['r', [3524, 3525]]
['r', [3564, 3565]]
['r', [3575, 3576]]
['r', [3578, 3579]]
['r', [3598, 3599]]
['r', [3603, 3604]]
['r', [3625, 3626]]
['r', [3656, 3657]]
['r', [3690, 3691]]
['r', [3714, 3715]]
['r', [3748, 3749]]
['r', [3798, 3799]]
['r', [3806, 3807]]
['r', [3813, 3814]]
['r', [3839, 3840]]
['r', [3846, 3847]]
['r', [3850, 3851]]
['r', [3854, 3855]]
['r', [3875, 3876]]
['r', [3888, 3889]]
['r', [3892, 3893]]
['r', [3932, 3933]]
['r', [3940, 3941]]
['r', [3956, 3957]]
['r', [3984, 3985]]
['r', [4017, 4018]]
['r', [4026, 4027]]
['r', [4032, 4033]]
['r', [4064, 4065]]
['r', [4072, 4073]]
['r', [4079, 4080]]
['r', [4107, 4108]]
['r', [4121, 4122]]
['r', [4183, 4184]]
['r', [4208, 4209]]
['r', [4209, 4210]]
['r', [4224, 4225]]
['r', [4236, 4237]]
['r', [4244, 4245]]
['r', [4268, 4269]]
['r', [4282, 4283]]
['r', [4360, 4361]]
['r', [4372, 4373]]
['r', [4381, 4382]]
['r', [4386, 4387]]
['r', [4443, 4444]]
['r', [4455, 4456]]
['r', [4463, 4464]]
['r', [4470, 4471]]
['r', [4483, 4484]]
['r', [4518, 4519]]
['r', [4539, 4540]]
['r', [4546, 4547]]
['r', [4562, 4563]]
['r', [4566, 4567]]
['r', [4577, 4578]]
['r', [4584, 4585]]
['r', [4608, 4609]]
['r', [4616, 4617]]
['r', [4634, 4635]]
['r', [4643, 4644]]
['r', [4663, 4664]]
['r', [4677, 4678]]
['r', [4681, 4682]]
['r', [4705, 4706]]
['r', [4752, 4753]]
['r', [4772, 4773]]
['r', [4825, 4826]]
['r', [4856, 4857]]
['r', [4882, 4883]]
['r', [4888, 4889]]
['r', [4953, 4954]]
['r', [4966, 4967]]
['r', [4982, 4983]]
['r', [4997, 4998]]
['r', [5025, 5026]]
['r', [5036, 5037]]
['r', [5112, 5113]]
['r', [5115, 5116]]
['r', [5137, 5138]]
['r', [5152, 5153]]
['r', [5197, 5198]]
['r', [5214, 5215]]
['r', [5226, 5227]]
['r', [5228, 5229]]
['r', [5235, 5236]]
['r', [5243, 5244]]
['r', [5249, 5250]]
['r', [5252, 5253]]
['r', [5261, 5262]]
['r', [5288, 5289]]
['r', [5295, 5296]]
['r', [5299, 5300]]
['r', [5305, 5306]]
['r', [5326, 5327]]
['r', [5404, 5405]]
['r', [5417, 5418]]
['r', [5436, 5437]]
['r', [5494, 5495]]
['r', [5501, 5502]]
['r', [5512, 5513]]
['r', [5564, 5565]]
['r', [5578, 5579]]
['r', [5591, 5592]]
['r', [5649, 5650]]
['r', [5661, 5662]]
['r', [5708, 5709]]
['r', [5736, 5737]]
['r', [5742, 5743]]
['r', [5766, 5767]]
['r', [5780, 5781]]
['r', [5793, 5794]]
['r', [5829, 5830]]
['r', [5833, 5834]]
['r', [5838, 5839]]
['r', [5841, 5842]]
['r', [5858, 5859]]
['r', [5864, 5865]]
['r', [5867, 5868]]
['r', [5895, 5896]]
['r', [5918, 5919]]
['r', [5924, 5925]]
['r', [5927, 5928]]
['r', [5940, 5941]]
['r', [6015, 6016]]
['r', [6021, 6022]]
['r', [6024, 6025]]
['r', [6033, 6034]]
['r', [6056, 6057]]
['r', [6063, 6064]]
['r', [6096, 6097]]
['r', [6126, 6127]]
['r', [6137, 6138]]
['r', [6140, 6141]]
['r', [6160, 6161]]
['r', [6179, 6180]]
['r', [6205, 6206]]
['r', [6216, 6217]]
['r', [6274, 6275]]
['r', [6278, 6279]]
['r', [6304, 6305]]
['r', [6310, 6311]]
['r', [6317, 6318]]
['r', [6328, 6329]]
['r', [6343, 6344]]
['r', [6348, 6349]]
['r', [6351, 6352]]
['r', [6358, 6359]]
['r', [6384, 6385]]
['r', [6392, 6393]]
['r', [6424, 6425]]
['r', [6445, 6446]]
['r', [6453, 6454]]
['r', [6456, 6457]]
['r', [6471, 6472]]
['r', [6480, 6481]]
['r', [6483, 6484]]
['r', [6497, 6498]]
['r', [6501, 6502]]
['r', [6502, 6503]]
['r', [6511, 6512]]
['r', [6516, 6517]]
['r', [6525, 6526]]
['r', [6547, 6548]]
['r', [6550, 6551]]
['r', [6560, 6561]]
['r', [6568, 6569]]
['r', [6636, 6637]]
['r', [6654, 6655]]
['r', [6677, 6678]]
['r', [6704, 6705]]
['r', [6721, 6722]]
['r', [6750, 6751]]
['r', [6805, 6806]]
['r', [6843, 6844]]
['r', [6860, 6861]]
['r', [6883, 6884]]
['r', [6892, 6893]]
['r', [6949, 6950]]
['r', [7000, 7001]]
['r', [7003, 7004]]
['r', [7020, 7021]]
['r', [7021, 7022]]
['r', [7030, 7031]]
['r', [7031, 7032]]
['r', [7041, 7042]]
['r', [7054, 7055]]
['r', [7057, 7058]]
['r', [7066, 7067]]
['r', [7173, 7174]]
['r', [7201, 7202]]
['r', [7218, 7219]]
['r', [7221, 7222]]
['r', [7259, 7260]]
['r', [7299, 7300]]
['r', [7308, 7309]]
['r', [7342, 7343]]
['r', [7390, 7391]]
['r', [7436, 7437]]
['r', [7445, 7446]]
['r', [7468, 7469]]
['r', [7482, 7483]]
['r', [7490, 7491]]
['r', [7495, 7496]]
['r', [7505, 7506]]
['r', [7534, 7535]]
['r', [7550, 7551]]
['r', [7553, 7554]]
['r', [7568, 7569]]
['r', [7585, 7586]]
['r', [7617, 7618]]
['r', [7635, 7636]]
['r', [7640, 7641]]
['r', [7656, 7657]]
['r', [7660, 7661]]
['r', [7695, 7696]]
['r', [7748, 7749]]
['r', [7756, 7757]]
['r', [7806, 7807]]
['r', [7846, 7847]]
['r', [7849, 7850]]
['r', [7855, 7856]]
['r', [7859, 7860]]
['r', [7908, 7909]]
['r', [7975, 7976]]
['r', [7981, 7982]]
['r', [7984, 7985]]
['r', [8017, 8018]]
['r', [8088, 8089]]
['r', [8109, 8110]]
['r', [8195, 8196]]
['r', [8198, 8199]]
['r', [8208, 8209]]
['r', [8219, 8220]]
['r', [8243, 8244]]
['r', [8253, 8254]]
['r', [8299, 8300]]
['r', [8313, 8314]]
['r', [8318, 8319]]
['r', [8347, 8348]]
['r', [8357, 8358]]
['r', [8387, 8388]]
['r', [8390, 8391]]
['r', [8418, 8419]]
['r', [8466, 8467]]
['r', [8478, 8479]]
['r', [8484, 8485]]
['r', [8491, 8492]]
['r', [8496, 8497]]
['r', [8503, 8504]]
['r', [8524, 8525]]
['r', [8534, 8535]]
['r', [8567, 8568]]
['r', [8587, 8588]]
['r', [8604, 8605]]
['r', [8644, 8645]]
['r', [8672, 8673]]
['r', [8678, 8679]]
['r', [8686, 8687]]
['r', [8697, 8698]]
['r', [8708, 8709]]
['r', [8719, 8720]]
['r', [8730, 8731]]
['r', [8741, 8742]]
['r', [8755, 8756]]
['r', [8812, 8813]]
['r', [8819, 8820]]
['r', [8820, 8821]]
['r', [8830, 8831]]
['r', [8889, 8890]]
['r', [8932, 8933]]
['r', [8936, 8937]]
['r', [8963, 8964]]
['r', [9030, 9031]]
['r', [9033, 9034]]
['r', [9096, 9097]]
['r', [9127, 9128]]
['r', [9135, 9136]]
['r', [9146, 9147]]
['r', [9157, 9158]]
['r', [9188, 9189]]
['r', [9191, 9192]]
['r', [9193, 9194]]
['r', [9210, 9211]]
['r', [9228, 9229]]
['r', [9231, 9232]]
['r', [9233, 9234]]
['r', [9253, 9254]]
['r', [9256, 9257]]
['r', [9258, 9259]]
['r', [9275, 9276]]
['r', [9295, 9296]]
['r', [9298, 9299]]
['r', [9300, 9301]]
['r', [9357, 9358]]
['r', [9360, 9361]]
['r', [9365, 9366]]
['r', [9378, 9379]]
['r', [9393, 9394]]
['r', [9444, 9445]]
['r', [9447, 9448]]
['r', [9452, 9453]]
['r', [9529, 9530]]
['r', [9611, 9612]]
['r', [9625, 9626]]
['r', [9637, 9638]]
['r', [9683, 9684]]
['r', [9702, 9703]]
['r', [9711, 9712]]
['r', [9773, 9774]]
['r', [9787, 9788]]
['r', [9793, 9794]]
['r', [9805, 9806]]
['r', [9815, 9816]]
['r', [9852, 9853]]
['r', [9879, 9880]]
['r', [9963, 9964]]
['r', [9992, 9993]]
['r', [10036, 10037]]
['r', [10046, 10047]]
['r', [10071, 10072]]
['r', [10074, 10075]]
['r', [10096, 10097]]
['r', [10118, 10119]]
['r', [10127, 10128]]
['r', [10151, 10152]]
['r', [10162, 10163]]
['r', [10190, 10191]]
['r', [10223, 10224]]
['r', [10255, 10256]]
['r', [10260, 10261]]
['r', [10294, 10295]]
['r', [10306, 10307]]
['r', [10346, 10347]]
['r', [10363, 10364]]
['r', [10387, 10388]]
['r', [10392, 10393]]
['r', [10408, 10409]]
['r', [10484, 10485]]
['r', [10487, 10488]]
['r', [10503, 10504]]
['r', [10525, 10526]]
['r', [10554, 10555]]
['r', [10555, 10556]]
['r', [10628, 10629]]
['r', [10654, 10655]]
['r', [10681, 10682]]
['r', [10699, 10700]]
['r', [10707, 10708]]
['r', [10714, 10715]]
['r', [10771, 10772]]
['r', [10778, 10779]]
['r', [10813, 10814]]
['r', [10817, 10818]]
['r', [10875, 10876]]
['r', [10926, 10927]]
['r', [10934, 10935]]
['r', [10962, 10963]]
['r', [11003, 11004]]
['r', [11010, 11011]]
['r', [11011, 11012]]
['r', [11018, 11019]]
['r', [11073, 11074]]
