['macrophages', [5973, 5984]]
['macrophages', [6183, 6194]]
['macrophages', [6244, 6255]]
['macrophages', [6278, 6289]]
['macrophages', [6489, 6500]]
['macrophages', [6675, 6686]]
['macrophages', [7483, 7494]]
['macrophages', [7965, 7976]]
['macrophages', [9311, 9322]]
['macrophages', [9521, 9532]]
['macrophages', [9582, 9593]]
['macrophages', [9616, 9627]]
['macrophages', [9827, 9838]]
['macrophages', [10015, 10026]]
['macrophages', [10819, 10830]]
['macrophages', [10917, 10928]]
['macrophages', [12305, 12316]]
['macrophages', [13403, 13414]]
['macrophages', [13893, 13904]]
['macrophages', [13959, 13970]]
['macrophages', [14057, 14068]]
['macrophages', [15445, 15456]]
['macrophages', [16543, 16554]]
['macrophages', [17033, 17044]]
['macrophages', [17280, 17291]]
['macrophages', [17545, 17556]]
['macrophages', [17766, 17777]]
['macrophages', [18020, 18031]]
['macrophages', [18326, 18337]]
['macrophages', [18395, 18406]]
['macrophages', [19263, 19274]]
['macrophages', [19678, 19689]]
['macrophages', [19941, 19952]]
['macrophages', [20536, 20547]]
['macrophages', [21276, 21287]]
['macrophages', [21413, 21424]]
['macrophages', [21711, 21722]]
['macrophages', [21843, 21854]]
['macrophages', [22626, 22637]]
['macrophages', [23581, 23592]]
['macrophages', [23846, 23857]]
['macrophages', [24067, 24078]]
['macrophages', [24321, 24332]]
['macrophages', [24627, 24638]]
['macrophages', [24696, 24707]]
['macrophages', [25564, 25575]]
['macrophages', [25979, 25990]]
['macrophages', [26242, 26253]]
['macrophages', [26837, 26848]]
['macrophages', [27577, 27588]]
['macrophages', [27714, 27725]]
['macrophages', [28012, 28023]]
['macrophages', [28144, 28155]]
['macrophages', [28927, 28938]]
['macrophages', [29705, 29716]]
['macrophages', [29821, 29832]]
['macrophages', [29954, 29965]]
['macrophages', [30042, 30053]]
['macrophages', [30178, 30189]]
['macrophages', [30309, 30320]]
['macrophages', [30999, 31010]]
['macrophages', [31227, 31238]]
['macrophages', [31391, 31402]]
['macrophages', [31711, 31722]]
['macrophages', [31730, 31741]]
['macrophages', [32300, 32311]]
['macrophages', [32634, 32645]]
['macrophages', [32750, 32761]]
['macrophages', [32883, 32894]]
['macrophages', [32971, 32982]]
['macrophages', [33107, 33118]]
['macrophages', [33238, 33249]]
['macrophages', [33928, 33939]]
['macrophages', [34156, 34167]]
['macrophages', [34320, 34331]]
['macrophages', [34640, 34651]]
['macrophages', [34659, 34670]]
['macrophages', [35229, 35240]]
['proinflammatory', [357, 372]]
['proinflammatory', [1022, 1037]]
['proinflammatory', [3641, 3656]]
['proinflammatory', [13343, 13358]]
['proinflammatory', [16483, 16498]]
['proinflammatory', [17334, 17349]]
['proinflammatory', [18897, 18912]]
['proinflammatory', [19384, 19399]]
['proinflammatory', [20021, 20036]]
['proinflammatory', [20855, 20870]]
['proinflammatory', [21054, 21069]]
['proinflammatory', [21248, 21263]]
['proinflammatory', [23333, 23348]]
['proinflammatory', [23635, 23650]]
['proinflammatory', [25198, 25213]]
['proinflammatory', [25685, 25700]]
['proinflammatory', [26322, 26337]]
['proinflammatory', [27156, 27171]]
['proinflammatory', [27355, 27370]]
['proinflammatory', [27549, 27564]]
['proinflammatory', [29634, 29649]]
['cytokines', [373, 382]]
['cytokines', [20037, 20046]]
['cytokines', [21329, 21338]]
['cytokines', [26338, 26347]]
['cytokines', [27630, 27639]]
['thymocytes', [539, 549]]
['thymocytes', [4416, 4426]]
['thymocytes', [7752, 7762]]
['thymocytes', [12581, 12591]]
['thymocytes', [15721, 15731]]
['thymocytes', [30109, 30119]]
['thymocytes', [31282, 31292]]
['thymocytes', [33038, 33048]]
['thymocytes', [34211, 34221]]
['tnf-', [560, 564]]
['tnf-', [1048, 1052]]
['tnf-', [1255, 1259]]
['tnf-', [6538, 6542]]
['tnf-', [9877, 9881]]
['tnf-', [12021, 12025]]
['tnf-', [12448, 12452]]
['tnf-', [12484, 12488]]
['tnf-', [12885, 12889]]
['tnf-', [13252, 13256]]
['tnf-', [15161, 15165]]
['tnf-', [15588, 15592]]
['tnf-', [15624, 15628]]
['tnf-', [16025, 16029]]
['tnf-', [16392, 16396]]
['tnf-', [17257, 17261]]
['tnf-', [17519, 17523]]
['tnf-', [19084, 19088]]
['tnf-', [20065, 20069]]
['tnf-', [20145, 20149]]
['tnf-', [23558, 23562]]
['tnf-', [23820, 23824]]
['tnf-', [25385, 25389]]
['tnf-', [26366, 26370]]
['tnf-', [26446, 26450]]
['tnf-', [30906, 30910]]
['tnf-', [31048, 31052]]
['tnf-', [31421, 31425]]
['tnf-', [32559, 32563]]
['tnf-', [33835, 33839]]
['tnf-', [33977, 33981]]
['tnf-', [34350, 34354]]
['tnf-', [35488, 35492]]
['tgpm', [613, 617]]
['tgpm', [952, 956]]
['tgpm', [1374, 1378]]
['tgpm', [2747, 2751]]
['tgpm', [3075, 3079]]
['tgpm', [3197, 3201]]
['tgpm', [3784, 3788]]
['tgpm', [4246, 4250]]
['tgpm', [7582, 7586]]
['tgpm', [10930, 10934]]
['tgpm', [11061, 11065]]
['tgpm', [11309, 11313]]
['tgpm', [11897, 11901]]
['tgpm', [11995, 11999]]
['tgpm', [12099, 12103]]
['tgpm', [12361, 12365]]
['tgpm', [12516, 12520]]
['tgpm', [12974, 12978]]
['tgpm', [12980, 12984]]
['tgpm', [14070, 14074]]
['tgpm', [14201, 14205]]
['tgpm', [14449, 14453]]
['tgpm', [15037, 15041]]
['tgpm', [15135, 15139]]
['tgpm', [15239, 15243]]
['tgpm', [15501, 15505]]
['tgpm', [15656, 15660]]
['tgpm', [16114, 16118]]
['tgpm', [16120, 16124]]
['tgpm', [17111, 17115]]
['tgpm', [19779, 19783]]
['tgpm', [20205, 20209]]
['tgpm', [20353, 20357]]
['tgpm', [20923, 20927]]
['tgpm', [23135, 23139]]
['tgpm', [23412, 23416]]
['tgpm', [26080, 26084]]
['tgpm', [26506, 26510]]
['tgpm', [26654, 26658]]
['tgpm', [27224, 27228]]
['tgpm', [29436, 29440]]
['tgpm', [29834, 29838]]
['tgpm', [30342, 30346]]
['tgpm', [30478, 30482]]
['tgpm', [30660, 30664]]
['tgpm', [30799, 30803]]
['tgpm', [30819, 30823]]
['tgpm', [30863, 30867]]
['tgpm', [31173, 31177]]
['tgpm', [31441, 31445]]
['tgpm', [32345, 32349]]
['tgpm', [32521, 32525]]
['tgpm', [32763, 32767]]
['tgpm', [33271, 33275]]
['tgpm', [33407, 33411]]
['tgpm', [33589, 33593]]
['tgpm', [33728, 33732]]
['tgpm', [33748, 33752]]
['tgpm', [33792, 33796]]
['tgpm', [34102, 34106]]
['tgpm', [34370, 34374]]
['tgpm', [35274, 35278]]
['tgpm', [35450, 35454]]
['rpm', [643, 646]]
['rpm', [923, 926]]
['rpm', [1205, 1208]]
['rpm', [1358, 1361]]
['rpm', [1569, 1572]]
['rpm', [1923, 1926]]
['rpm', [2613, 2616]]
['rpm', [2868, 2871]]
['rpm', [3095, 3098]]
['rpm', [3735, 3738]]
['rpm', [3899, 3902]]
['rpm', [4160, 4163]]
['rpm', [7496, 7499]]
['rpm', [10832, 10835]]
['rpm', [11047, 11050]]
['rpm', [11277, 11280]]
['rpm', [11485, 11488]]
['rpm', [11852, 11855]]
['rpm', [12004, 12007]]
['rpm', [12128, 12131]]
['rpm', [12353, 12356]]
['rpm', [12664, 12667]]
['rpm', [12966, 12969]]
['rpm', [13131, 13134]]
['rpm', [13374, 13377]]
['rpm', [13972, 13975]]
['rpm', [14187, 14190]]
['rpm', [14417, 14420]]
['rpm', [14625, 14628]]
['rpm', [14992, 14995]]
['rpm', [15144, 15147]]
['rpm', [15268, 15271]]
['rpm', [15493, 15496]]
['rpm', [15804, 15807]]
['rpm', [16106, 16109]]
['rpm', [16271, 16274]]
['rpm', [16514, 16517]]
['rpm', [17299, 17302]]
['rpm', [19850, 19853]]
['rpm', [20103, 20106]]
['rpm', [20697, 20700]]
['rpm', [20987, 20990]]
['rpm', [21082, 21085]]
['rpm', [23264, 23267]]
['rpm', [23600, 23603]]
['rpm', [26151, 26154]]
['rpm', [26404, 26407]]
['rpm', [26998, 27001]]
['rpm', [27288, 27291]]
['rpm', [27383, 27386]]
['rpm', [29565, 29568]]
['rpm', [29718, 29721]]
['rpm', [30402, 30405]]
['rpm', [30459, 30462]]
['rpm', [30491, 30494]]
['rpm', [30670, 30673]]
['rpm', [30925, 30928]]
['rpm', [31456, 31459]]
