['i', [9249, 9250]]
['i', [9259, 9260]]
['i', [9286, 9287]]
['i', [9297, 9298]]
['i', [9312, 9313]]
['i', [9323, 9324]]
['i', [9333, 9334]]
['i', [9370, 9371]]
['i', [9392, 9393]]
['i', [9400, 9401]]
['i', [9428, 9429]]
['i', [9433, 9434]]
['i', [9476, 9477]]
['i', [9488, 9489]]
['i', [9508, 9509]]
['i', [9525, 9526]]
['i', [9533, 9534]]
['i', [9542, 9543]]
['i', [9552, 9553]]
['i', [9564, 9565]]
['i', [9572, 9573]]
['i', [9593, 9594]]
['i', [9611, 9612]]
['i', [9626, 9627]]
['i', [9641, 9642]]
['i', [9684, 9685]]
['i', [9731, 9732]]
['i', [9751, 9752]]
['i', [9774, 9775]]
['i', [9776, 9777]]
['i', [9780, 9781]]
['i', [9784, 9785]]
['i', [9797, 9798]]
['i', [9826, 9827]]
['i', [9830, 9831]]
['i', [9846, 9847]]
['i', [9867, 9868]]
['i', [9888, 9889]]
['i', [9903, 9904]]
['i', [9924, 9925]]
['i', [9926, 9927]]
['i', [9958, 9959]]
['i', [9976, 9977]]
['i', [9996, 9997]]
['i', [9998, 9999]]
['i', [10003, 10004]]
['i', [10014, 10015]]
['i', [10026, 10027]]
['i', [10038, 10039]]
['i', [10040, 10041]]
['i', [10048, 10049]]
['i', [10052, 10053]]
['i', [10068, 10069]]
['i', [10084, 10085]]
['i', [10089, 10090]]
['i', [10102, 10103]]
['i', [10121, 10122]]
['i', [10123, 10124]]
['i', [10129, 10130]]
['i', [10136, 10137]]
['i', [10142, 10143]]
['i', [10171, 10172]]
['i', [10179, 10180]]
['i', [10186, 10187]]
['i', [10199, 10200]]
['i', [10218, 10219]]
['i', [10220, 10221]]
['i', [10237, 10238]]
['i', [10245, 10246]]
['i', [10259, 10260]]
['i', [10272, 10273]]
['i', [10278, 10279]]
['i', [10297, 10298]]
['i', [10316, 10317]]
['i', [10334, 10335]]
['i', [10400, 10401]]
['i', [10411, 10412]]
['i', [10432, 10433]]
['i', [10447, 10448]]
['i', [10458, 10459]]
['i', [10462, 10463]]
['i', [10472, 10473]]
['i', [10486, 10487]]
['i', [10495, 10496]]
['i', [10503, 10504]]
['i', [10508, 10509]]
['i', [10512, 10513]]
['i', [10563, 10564]]
['i', [10585, 10586]]
['i', [10602, 10603]]
['i', [10607, 10608]]
['i', [10627, 10628]]
