['il-1', [72598, 72602]]
['il-1', [72989, 72993]]
['il-1', [73287, 73291]]
['il-1', [73790, 73794]]
['il-1', [74124, 74128]]
['il-1', [74365, 74369]]
['il-1', [74980, 74984]]
['il-1', [75029, 75033]]
['il-1', [75060, 75064]]
['il-1', [75114, 75118]]
['il-1', [75325, 75329]]
['il-1', [76938, 76942]]
['il-1', [76962, 76966]]
['il-1', [76997, 77001]]
['il-1', [77035, 77039]]
['il-1', [77141, 77145]]
['il-1', [77372, 77376]]
['il-1', [77398, 77402]]
['il-1', [77715, 77719]]
['il-1', [77784, 77788]]
['il-1', [77952, 77956]]
['il-1', [78018, 78022]]
['il-1', [78137, 78141]]
['il-1', [78393, 78397]]
['il-1', [78420, 78424]]
['il-1', [78729, 78733]]
['il-1', [78948, 78952]]
['il-1', [78958, 78962]]
['il-1', [79059, 79063]]
['il-1', [79145, 79149]]
['il-1', [79284, 79288]]
['il-1', [79835, 79839]]
['il-1', [80226, 80230]]
['il-1', [80524, 80528]]
['il-1', [81027, 81031]]
['il-1', [81361, 81365]]
['il-1', [81602, 81606]]
['il-1', [82217, 82221]]
['il-1', [82266, 82270]]
['il-1', [82297, 82301]]
['il-1', [82351, 82355]]
['il-1', [82562, 82566]]
['il-1', [84175, 84179]]
['il-1', [84199, 84203]]
['il-1', [84234, 84238]]
['il-1', [84272, 84276]]
['il-1', [84378, 84382]]
['il-1', [84609, 84613]]
['il-1', [84635, 84639]]
['il-1', [84952, 84956]]
['il-1', [85021, 85025]]
['il-1', [85189, 85193]]
['il-1', [85255, 85259]]
['il-1', [85374, 85378]]
['il-1', [85630, 85634]]
['il-1', [85657, 85661]]
['il-1', [85966, 85970]]
['il-1', [86185, 86189]]
['il-1', [86195, 86199]]
['il-1', [86296, 86300]]
['il-1', [86382, 86386]]
['il-1', [86521, 86525]]
['th17', [81, 85]]
['th17', [1428, 1432]]
['th17', [15631, 15635]]
['th17', [16608, 16612]]
['th17', [17314, 17318]]
['th17', [18532, 18536]]
['th17', [19056, 19060]]
['th17', [19445, 19449]]
['th17', [22676, 22680]]
['th17', [22883, 22887]]
['th17', [23023, 23027]]
['th17', [23669, 23673]]
['th17', [24697, 24701]]
['th17', [25019, 25023]]
['th17', [25996, 26000]]
['th17', [26702, 26706]]
['th17', [27920, 27924]]
['th17', [28444, 28448]]
['th17', [28833, 28837]]
['th17', [32064, 32068]]
['th17', [32271, 32275]]
['th17', [32411, 32415]]
['th17', [33057, 33061]]
['th17', [34085, 34089]]
['th17', [34399, 34403]]
['th17', [35610, 35614]]
['th17', [36588, 36592]]
['th17', [37294, 37298]]
['th17', [38457, 38461]]
['th17', [39163, 39167]]
['th17', [40382, 40386]]
['th17', [40906, 40910]]
['th17', [41295, 41299]]
['th17', [41489, 41493]]
['th17', [42013, 42017]]
['th17', [42402, 42406]]
['th17', [48582, 48586]]
['th17', [48789, 48793]]
['th17', [48929, 48933]]
['th17', [49575, 49579]]
['th17', [49792, 49796]]
['th17', [49999, 50003]]
['th17', [50139, 50143]]
['th17', [50785, 50789]]
['th17', [51814, 51818]]
['th17', [52859, 52863]]
['th17', [52927, 52931]]
['th17', [53723, 53727]]
['th17', [54868, 54872]]
['th17', [55496, 55500]]
['th17', [56332, 56336]]
['th17', [56425, 56429]]
['th17', [56669, 56673]]
['th17', [56890, 56894]]
['th17', [57056, 57060]]
['th17', [57265, 57269]]
['th17', [57396, 57400]]
['th17', [57851, 57855]]
['th17', [57960, 57964]]
['th17', [59904, 59908]]
['th17', [60229, 60233]]
['th17', [60310, 60314]]
['th17', [60604, 60608]]
['th17', [61254, 61258]]
['th17', [61415, 61419]]
['th17', [62009, 62013]]
['th17', [62605, 62609]]
['th17', [63401, 63405]]
['th17', [64546, 64550]]
['th17', [65174, 65178]]
['th17', [66010, 66014]]
['th17', [66103, 66107]]
['th17', [66347, 66351]]
['th17', [66568, 66572]]
['th17', [66734, 66738]]
['th17', [66943, 66947]]
['th17', [67074, 67078]]
