['hrf', [50199, 50202]]
['hrf', [50312, 50315]]
['16', [6033, 6035]]
['16', [14004, 14006]]
['16', [17272, 17274]]
['16', [28975, 28977]]
['entire', [6560, 6566]]
['entire', [10423, 10429]]
['entire', [17800, 17806]]
['entire', [21663, 21669]]
['entire', [25393, 25399]]
['perisylvian', [2056, 2067]]
['perisylvian', [3298, 3309]]
['perisylvian', [5443, 5454]]
['perisylvian', [6567, 6578]]
['perisylvian', [10430, 10441]]
['perisylvian', [16682, 16693]]
['perisylvian', [17807, 17818]]
['perisylvian', [21670, 21681]]
['perisylvian', [25400, 25411]]
['region', [2126, 2132]]
['region', [2514, 2520]]
['region', [2604, 2610]]
['region', [2754, 2760]]
['region', [3432, 3438]]
['region', [3595, 3601]]
['region', [3956, 3962]]
['region', [5455, 5461]]
['region', [6036, 6042]]
['region', [6324, 6330]]
['region', [6579, 6585]]
['region', [7124, 7130]]
['region', [7936, 7942]]
['region', [8025, 8031]]
['region', [8109, 8115]]
['region', [8178, 8184]]
['region', [8237, 8243]]
['region', [8321, 8327]]
['region', [8464, 8470]]
['region', [10085, 10091]]
['region', [10442, 10448]]
['region', [10777, 10783]]
['region', [10987, 10993]]
['region', [11977, 11983]]
['region', [12958, 12964]]
['region', [13275, 13281]]
['region', [13325, 13331]]
['region', [16694, 16700]]
['region', [17275, 17281]]
['region', [17563, 17569]]
['region', [17819, 17825]]
['region', [18364, 18370]]
['region', [19176, 19182]]
['region', [19265, 19271]]
['region', [19349, 19355]]
['region', [19418, 19424]]
['region', [19477, 19483]]
['region', [19561, 19567]]
['region', [19704, 19710]]
['region', [21325, 21331]]
['region', [21682, 21688]]
['region', [22017, 22023]]
['region', [22227, 22233]]
['region', [23217, 23223]]
['region', [24198, 24204]]
['region', [24515, 24521]]
['region', [24565, 24571]]
['region', [25412, 25418]]
['region', [25747, 25753]]
['region', [25957, 25963]]
['region', [26947, 26953]]
['region', [27928, 27934]]
['region', [28245, 28251]]
['region', [28295, 28301]]
['region', [31638, 31644]]
['region', [31704, 31710]]
['region', [40079, 40085]]
['region', [49217, 49223]]
['region', [51045, 51051]]
['region', [51074, 51080]]
['region', [52005, 52011]]
['right', [372, 377]]
['right', [1650, 1655]]
['right', [2303, 2308]]
['right', [2728, 2733]]
['right', [2926, 2931]]
['right', [3058, 3063]]
['right', [3282, 3287]]
['right', [3619, 3624]]
['right', [3826, 3831]]
