['gene', [100103, 100107]]
['gene', [100277, 100281]]
['gene', [100899, 100903]]
['gene', [100994, 100998]]
['gene', [102231, 102235]]
['gene', [102594, 102598]]
['gene', [102905, 102909]]
['gene', [103407, 103411]]
['gene', [103600, 103604]]
['gene', [103833, 103837]]
['gene', [104144, 104148]]
['gene', [104805, 104809]]
['gene', [105004, 105008]]
['gene', [105506, 105510]]
['gene', [105699, 105703]]
['gene', [105932, 105936]]
['gene', [106243, 106247]]
['gene', [106904, 106908]]
['microarray-based', [118, 134]]
['microarray-based', [1768, 1784]]
['microarray-based', [2265, 2281]]
['human', [304, 309]]
['human', [602, 607]]
['human', [3303, 3308]]
['human', [6727, 6732]]
['human', [6749, 6754]]
['human', [7066, 7071]]
['human', [7193, 7198]]
['human', [7369, 7374]]
['human', [7430, 7435]]
['human', [7473, 7478]]
['human', [8353, 8358]]
['human', [9271, 9276]]
['human', [12545, 12550]]
['human', [12567, 12572]]
['human', [12884, 12889]]
['human', [13011, 13016]]
['human', [13187, 13192]]
['human', [13249, 13254]]
['human', [13292, 13297]]
['human', [14172, 14177]]
['human', [15090, 15095]]
['human', [16049, 16054]]
['human', [16160, 16165]]
['human', [16645, 16650]]
['human', [17196, 17201]]
['human', [17602, 17607]]
['human', [19432, 19437]]
['human', [19575, 19580]]
['human', [21276, 21281]]
['human', [21528, 21533]]
['human', [21825, 21830]]
['human', [22209, 22214]]
['human', [24986, 24991]]
['human', [25546, 25551]]
['human', [25651, 25656]]
['human', [25730, 25735]]
['human', [26226, 26231]]
['human', [27323, 27328]]
['human', [27536, 27541]]
['human', [28139, 28144]]
['human', [28250, 28255]]
['human', [28735, 28740]]
['human', [29286, 29291]]
['human', [29692, 29697]]
['human', [31522, 31527]]
['human', [31665, 31670]]
['human', [33366, 33371]]
['human', [33618, 33623]]
['human', [33915, 33920]]
['human', [34299, 34304]]
['human', [37076, 37081]]
['human', [37636, 37641]]
['human', [37741, 37746]]
['human', [37820, 37825]]
['human', [38316, 38321]]
