['2', [24517, 24518]]
['2', [24651, 24652]]
['2', [24652, 24653]]
['2', [24782, 24783]]
['2', [24938, 24939]]
['2', [25575, 25576]]
['2', [25593, 25594]]
['2', [25600, 25601]]
['2', [25625, 25626]]
['2', [25853, 25854]]
['2', [26152, 26153]]
['2', [26157, 26158]]
['2', [26583, 26584]]
['2', [26733, 26734]]
['2', [26956, 26957]]
['2', [27142, 27143]]
['2', [28519, 28520]]
['2', [28815, 28816]]
['2', [28846, 28847]]
['2', [28860, 28861]]
['2', [29443, 29444]]
['2', [29662, 29663]]
['2', [29671, 29672]]
['2', [29680, 29681]]
['2', [29706, 29707]]
['2', [29715, 29716]]
['2', [30060, 30061]]
['2', [30279, 30280]]
['2', [35160, 35161]]
['2', [35191, 35192]]
['2', [35205, 35206]]
['2', [35788, 35789]]
['2', [36007, 36008]]
['2', [36016, 36017]]
['2', [36025, 36026]]
['2', [36051, 36052]]
['2', [36060, 36061]]
['2', [36405, 36406]]
['2', [36624, 36625]]
['2', [42465, 42466]]
['2', [42473, 42474]]
['2', [45528, 45529]]
['2', [45536, 45537]]
['2', [46202, 46203]]
['2', [46210, 46211]]
['2', [49224, 49225]]
['2', [50893, 50894]]
['2', [52978, 52979]]
['2', [52986, 52987]]
['2', [56041, 56042]]
['2', [56049, 56050]]
['2', [56715, 56716]]
['2', [56723, 56724]]
['2', [59737, 59738]]
['2', [61406, 61407]]
['3', [305, 306]]
['3', [1234, 1235]]
['3', [1294, 1295]]
['3', [2240, 2241]]
['3', [2296, 2297]]
['3', [2364, 2365]]
['3', [2405, 2406]]
['3', [2483, 2484]]
['3', [2572, 2573]]
['3', [2575, 2576]]
['3', [2659, 2660]]
['3', [4762, 4763]]
['3', [5305, 5306]]
['3', [5670, 5671]]
['3', [6770, 6771]]
['3', [6771, 6772]]
['3', [7437, 7438]]
['3', [7651, 7652]]
['3', [7864, 7865]]
['3', [7865, 7866]]
['3', [8946, 8947]]
['3', [10323, 10324]]
['3', [11753, 11754]]
['3', [12587, 12588]]
['3', [12773, 12774]]
['3', [13563, 13564]]
['3', [13847, 13848]]
['3', [15814, 15815]]
['3', [15815, 15816]]
['3', [16482, 16483]]
['3', [16696, 16697]]
['3', [16909, 16910]]
['3', [16910, 16911]]
['3', [17991, 17992]]
['3', [18369, 18370]]
['3', [18582, 18583]]
['3', [18583, 18584]]
['3', [19665, 19666]]
['3', [21043, 21044]]
['3', [22473, 22474]]
['3', [23352, 23353]]
['3', [24783, 24784]]
['3', [25618, 25619]]
['3', [25804, 25805]]
['3', [26595, 26596]]
['3', [26879, 26880]]
['3', [28805, 28806]]
['3', [28859, 28860]]
['3', [29674, 29675]]
['3', [29697, 29698]]
['3', [30120, 30121]]
['3', [30435, 30436]]
['3', [34356, 34357]]
['3', [35150, 35151]]
['3', [35204, 35205]]
['3', [36019, 36020]]
['3', [36042, 36043]]
['3', [36465, 36466]]
['3', [36780, 36781]]
['3', [40701, 40702]]
['3', [41503, 41504]]
['3', [42106, 42107]]
['3', [42472, 42473]]
['3', [45110, 45111]]
['3', [45111, 45112]]
['3', [45115, 45116]]
['3', [45196, 45197]]
['3', [45197, 45198]]
['3', [45203, 45204]]
['3', [45242, 45243]]
['3', [45243, 45244]]
['3', [45247, 45248]]
['3', [45252, 45253]]
['3', [45535, 45536]]
['3', [45540, 45541]]
['3', [45545, 45546]]
['3', [45844, 45845]]
['3', [46209, 46210]]
['3', [46329, 46330]]
['3', [46493, 46494]]
['3', [46646, 46647]]
['3', [47140, 47141]]
['3', [49314, 49315]]
['3', [50331, 50332]]
['3', [50870, 50871]]
['3', [51295, 51296]]
['3', [51504, 51505]]
['3', [52016, 52017]]
['3', [52619, 52620]]
['3', [52985, 52986]]
['3', [55623, 55624]]
['3', [55624, 55625]]
['3', [55628, 55629]]
['3', [55709, 55710]]
['3', [55710, 55711]]
['3', [55716, 55717]]
['3', [55755, 55756]]
['3', [55756, 55757]]
['3', [55760, 55761]]
['3', [55765, 55766]]
['3', [56048, 56049]]
['3', [56053, 56054]]
['3', [56058, 56059]]
['3', [56357, 56358]]
['3', [56722, 56723]]
['3', [56842, 56843]]
['3', [57006, 57007]]
['3', [57159, 57160]]
['3', [57653, 57654]]
['3', [59827, 59828]]
['3', [60844, 60845]]
['3', [61383, 61384]]
['3', [61808, 61809]]
['3', [62017, 62018]]
['ors', [428, 431]]
['ors', [889, 892]]
['ors', [2868, 2871]]
['ors', [3142, 3145]]
['ors', [3324, 3327]]
['ors', [3546, 3549]]
['ors', [4217, 4220]]
['ors', [4996, 4999]]
['ors', [9401, 9404]]
['ors', [9475, 9478]]
['ors', [14143, 14146]]
['ors', [14460, 14463]]
['ors', [14582, 14585]]
['ors', [14934, 14937]]
['ors', [20121, 20124]]
['ors', [20195, 20198]]
['ors', [27175, 27178]]
['ors', [27492, 27495]]
['ors', [27614, 27617]]
['ors', [27966, 27969]]
['ors', [42945, 42948]]
['ors', [43317, 43320]]
['ors', [45719, 45722]]
['ors', [45985, 45988]]
['ors', [46901, 46904]]
['ors', [48134, 48137]]
['ors', [48836, 48839]]
['ors', [51036, 51039]]
['ors', [53458, 53461]]
['ors', [53830, 53833]]
['ors', [56232, 56235]]
['ors', [56498, 56501]]
['ors', [57414, 57417]]
['ors', [58647, 58650]]
['ors', [59349, 59352]]
['ors', [61549, 61552]]
['cis', [14178, 14181]]
['cis', [27210, 27213]]
['4', [286, 287]]
['4', [340, 341]]
['4', [1220, 1221]]
['4', [1926, 1927]]
['4', [2372, 2373]]
['4', [2409, 2410]]
['4', [2542, 2543]]
['4', [2561, 2562]]
['4', [2621, 2622]]
['4', [4767, 4768]]
['4', [5395, 5396]]
['4', [5675, 5676]]
['4', [7809, 7810]]
['4', [8928, 8929]]
['4', [11909, 11910]]
['4', [12545, 12546]]
['4', [15232, 15233]]
['4', [16854, 16855]]
['4', [17973, 17974]]
['4', [18527, 18528]]
['4', [19647, 19648]]
['4', [22629, 22630]]
['4', [24939, 24940]]
['4', [25576, 25577]]
['4', [28264, 28265]]
['4', [28845, 28846]]
['4', [28858, 28859]]
['4', [29510, 29511]]
['4', [29665, 29666]]
['4', [30901, 30902]]
['4', [30936, 30937]]
['4', [34342, 34343]]
['4', [35190, 35191]]
['4', [35203, 35204]]
['4', [35855, 35856]]
['4', [36010, 36011]]
['4', [37246, 37247]]
['4', [37281, 37282]]
['4', [40687, 40688]]
['4', [45116, 45117]]
['4', [45248, 45249]]
['4', [46315, 46316]]
['4', [48896, 48897]]
['4', [49956, 49957]]
['4', [50323, 50324]]
['4', [50330, 50331]]
['4', [50391, 50392]]
['4', [50392, 50393]]
['4', [50398, 50399]]
['4', [55629, 55630]]
['4', [55761, 55762]]
['4', [56828, 56829]]
['4', [59409, 59410]]
['4', [60469, 60470]]
['4', [60836, 60837]]
['4', [60843, 60844]]
['4', [60904, 60905]]
['4', [60905, 60906]]
['4', [60911, 60912]]
