['gene', [37921, 37925]]
['gene', [38417, 38421]]
['gene', [38463, 38467]]
['gene', [38630, 38634]]
['gene', [38792, 38796]]
['gene', [39029, 39033]]
['gene', [39108, 39112]]
['gene', [39267, 39271]]
['gene', [39432, 39436]]
['gene', [39529, 39533]]
['gene', [40912, 40916]]
['gene', [41332, 41336]]
['gene', [41387, 41391]]
['gene', [41464, 41468]]
['gene', [42372, 42376]]
['gene', [42493, 42497]]
['gene', [42775, 42779]]
['gene', [42853, 42857]]
['gene', [43267, 43271]]
['gene', [44088, 44092]]
['gene', [44210, 44214]]
['gene', [44736, 44740]]
['gene', [45063, 45067]]
['gene', [45343, 45347]]
['gene', [45479, 45483]]
['gene', [45577, 45581]]
['gene', [45629, 45633]]
['gene', [46083, 46087]]
['gene', [46199, 46203]]
['gene', [46402, 46406]]
['gene', [46482, 46486]]
['gene', [46821, 46825]]
['gene', [47073, 47077]]
['gene', [47175, 47179]]
['gene', [47402, 47406]]
['gene', [47733, 47737]]
['gene', [48461, 48465]]
['gene', [48892, 48896]]
['gene', [49089, 49093]]
['gene', [49278, 49282]]
['gene', [49419, 49423]]
