['mice', [36839, 36843]]
['mice', [36984, 36988]]
['mice', [37235, 37239]]
['mice', [38114, 38118]]
['mice', [38193, 38197]]
['mice', [42099, 42103]]
['mice', [42589, 42593]]
['mice', [42767, 42771]]
['mice', [42889, 42893]]
['mice', [43085, 43089]]
['mice', [43175, 43179]]
['mice', [43659, 43663]]
['mice', [43688, 43692]]
['mice', [43914, 43918]]
['mice', [44241, 44245]]
['mice', [44427, 44431]]
['mice', [44572, 44576]]
['mice', [44815, 44819]]
['mice', [45694, 45698]]
['mice', [45773, 45777]]
['mice', [46326, 46330]]
['mice', [47205, 47209]]
['mice', [47284, 47288]]
['mice', [54444, 54448]]
['mice', [54934, 54938]]
['mice', [55112, 55116]]
['mice', [55234, 55238]]
['mice', [55430, 55434]]
['mice', [55520, 55524]]
['mice', [56004, 56008]]
['mice', [56033, 56037]]
['mice', [56249, 56253]]
['mice', [56739, 56743]]
['mice', [56917, 56921]]
['mice', [57039, 57043]]
['mice', [57235, 57239]]
['mice', [57325, 57329]]
['mice', [57809, 57813]]
['mice', [57838, 57842]]
['mice', [58065, 58069]]
['mice', [58486, 58490]]
['mice', [58814, 58818]]
['mice', [59000, 59004]]
['mice', [59145, 59149]]
['mice', [59409, 59413]]
['mice', [59595, 59599]]
['mice', [59740, 59744]]
['mice', [60073, 60077]]
['mice', [62207, 62211]]
['mice', [62380, 62384]]
['mice', [63401, 63405]]
['mice', [64014, 64018]]
['mice', [64077, 64081]]
['mice', [67467, 67471]]
['mice', [68381, 68385]]
['mice', [70515, 70519]]
['mice', [70688, 70692]]
['mice', [71709, 71713]]
['mice', [72322, 72326]]
['mice', [72385, 72389]]
['mice', [75775, 75779]]
['aged', [7310, 7314]]
['aged', [19389, 19393]]
['aged', [33883, 33887]]
['aged', [41471, 41475]]
['aged', [50563, 50567]]
['aged', [53815, 53819]]
['aged', [60625, 60629]]
['aged', [68933, 68937]]
['6\xe2\x80\x938', [7315, 7320]]
['6\xe2\x80\x938', [19394, 19399]]
['weeks', [7321, 7326]]
['weeks', [19400, 19405]]
['a260', [10701, 10705]]
['a260', [22782, 22786]]
['extracted', [9963, 9972]]
['extracted', [10852, 10861]]
['extracted', [10988, 10997]]
['extracted', [22044, 22053]]
['extracted', [22933, 22942]]
['extracted', [23069, 23078]]
['rna', [9579, 9582]]
['rna', [9955, 9958]]
['rna', [10402, 10405]]
['rna', [10565, 10568]]
['rna', [10639, 10642]]
['rna', [10714, 10717]]
['rna', [10862, 10865]]
['rna', [10999, 11002]]
['rna', [11057, 11060]]
['rna', [11117, 11120]]
['rna', [11447, 11450]]
['rna', [12974, 12977]]
['rna', [21660, 21663]]
['rna', [22036, 22039]]
['rna', [22483, 22486]]
['rna', [22646, 22649]]
['rna', [22720, 22723]]
['rna', [22795, 22798]]
['rna', [22943, 22946]]
['rna', [23080, 23083]]
['rna', [23138, 23141]]
['rna', [23198, 23201]]
['rna', [23528, 23531]]
['rna', [25056, 25059]]
['rna', [32962, 32965]]
['rna', [40550, 40553]]
['rna', [49642, 49645]]
['rna', [52894, 52897]]
['rna', [60447, 60450]]
['rna', [62453, 62456]]
['rna', [68755, 68758]]
['rna', [70761, 70764]]
['mrna', [10998, 11002]]
['mrna', [23079, 23083]]
['mrna', [62452, 62456]]
['mrna', [70760, 70764]]
['purified', [10660, 10668]]
['purified', [11102, 11110]]
['purified', [22741, 22749]]
['purified', [23183, 23191]]
['total', [9573, 9578]]
['total', [11111, 11116]]
['total', [11441, 11446]]
['total', [21654, 21659]]
['total', [23192, 23197]]
['total', [23522, 23527]]
['cdna', [11150, 11154]]
['cdna', [11200, 11204]]
['cdna', [23231, 23235]]
['cdna', [23281, 23285]]
['reverse', [9598, 9605]]
['reverse', [11125, 11132]]
['reverse', [11404, 11411]]
['reverse', [21679, 21686]]
['reverse', [23206, 23213]]
['reverse', [23485, 23492]]
['transcriptase', [11412, 11425]]
['transcriptase', [23493, 23506]]
['2', [1089, 1090]]
['2', [1621, 1622]]
['2', [1736, 1737]]
['2', [2413, 2414]]
['2', [3943, 3944]]
['2', [5155, 5156]]
['2', [5645, 5646]]
['2', [5809, 5810]]
['2', [6411, 6412]]
['2', [6526, 6527]]
['2', [7328, 7329]]
['2', [7329, 7330]]
['2', [7333, 7334]]
['2', [7640, 7641]]
['2', [7880, 7881]]
['2', [7895, 7896]]
['2', [8021, 8022]]
['2', [8199, 8200]]
['2', [8592, 8593]]
['2', [8731, 8732]]
['2', [8831, 8832]]
['2', [8931, 8932]]
['2', [9042, 9043]]
['2', [9266, 9267]]
['2', [9756, 9757]]
['2', [9761, 9762]]
['2', [10250, 10251]]
['2', [10367, 10368]]
['2', [10386, 10387]]
['2', [10702, 10703]]
['2', [11030, 11031]]
['2', [11342, 11343]]
['2', [11458, 11459]]
['2', [11496, 11497]]
['2', [11515, 11516]]
['2', [11648, 11649]]
['2', [11877, 11878]]
['2', [11878, 11879]]
['2', [12040, 12041]]
['2', [12289, 12290]]
['2', [12294, 12295]]
['2', [12509, 12510]]
['2', [12691, 12692]]
['2', [12870, 12871]]
['2', [14033, 14034]]
['2', [15836, 15837]]
['2', [16412, 16413]]
['2', [17723, 17724]]
['2', [17887, 17888]]
['2', [18489, 18490]]
['2', [18604, 18605]]
['2', [19407, 19408]]
['2', [19408, 19409]]
['2', [19412, 19413]]
['2', [19719, 19720]]
['2', [19959, 19960]]
['2', [19974, 19975]]
['2', [20100, 20101]]
['2', [20278, 20279]]
['2', [20672, 20673]]
['2', [20811, 20812]]
['2', [20911, 20912]]
['2', [21011, 21012]]
['2', [21122, 21123]]
['2', [21346, 21347]]
['2', [21837, 21838]]
['2', [21842, 21843]]
['2', [22331, 22332]]
['2', [22448, 22449]]
['2', [22467, 22468]]
['2', [22783, 22784]]
['2', [23111, 23112]]
['2', [23423, 23424]]
['2', [23539, 23540]]
['2', [23577, 23578]]
['2', [23596, 23597]]
['2', [23730, 23731]]
['2', [23959, 23960]]
['2', [23960, 23961]]
['2', [24122, 24123]]
['2', [24371, 24372]]
['2', [24376, 24377]]
['2', [24591, 24592]]
['2', [24773, 24774]]
['2', [24952, 24953]]
['2', [26116, 26117]]
['2', [27919, 27920]]
['2', [28495, 28496]]
['2', [29736, 29737]]
['2', [29921, 29922]]
['2', [30064, 30065]]
['2', [30175, 30176]]
['2', [31119, 31120]]
['2', [31124, 31125]]
['2', [32405, 32406]]
['2', [32409, 32410]]
['2', [32545, 32546]]
['2', [32832, 32833]]
['2', [33208, 33209]]
['2', [33725, 33726]]
['2', [34933, 34934]]
['2', [35309, 35310]]
['2', [35420, 35421]]
['2', [37324, 37325]]
['2', [37509, 37510]]
['2', [37652, 37653]]
['2', [37763, 37764]]
['2', [38707, 38708]]
['2', [38712, 38713]]
['2', [39993, 39994]]
['2', [39997, 39998]]
['2', [40133, 40134]]
['2', [40420, 40421]]
['2', [40796, 40797]]
['2', [41313, 41314]]
['2', [42521, 42522]]
['2', [42897, 42898]]
['2', [43008, 43009]]
['2', [44904, 44905]]
['2', [45089, 45090]]
['2', [45232, 45233]]
['2', [45343, 45344]]
['2', [46287, 46288]]
['2', [46292, 46293]]
['2', [46415, 46416]]
['2', [46600, 46601]]
['2', [46743, 46744]]
['2', [46854, 46855]]
['2', [47798, 47799]]
['2', [47803, 47804]]
['2', [49085, 49086]]
['2', [49089, 49090]]
['2', [49225, 49226]]
['2', [49512, 49513]]
['2', [49888, 49889]]
['2', [50405, 50406]]
['2', [52337, 52338]]
['2', [52341, 52342]]
['2', [52477, 52478]]
['2', [52764, 52765]]
['2', [53140, 53141]]
['2', [53657, 53658]]
['2', [54866, 54867]]
['2', [55242, 55243]]
['2', [55353, 55354]]
['2', [56671, 56672]]
['2', [57047, 57048]]
['2', [57158, 57159]]
['2', [61923, 61924]]
['2', [61934, 61935]]
['2', [62089, 62090]]
['2', [62303, 62304]]
['2', [62317, 62318]]
['2', [62323, 62324]]
['2', [62555, 62556]]
['2', [63689, 63690]]
['2', [66005, 66006]]
['2', [70231, 70232]]
['2', [70242, 70243]]
['2', [70397, 70398]]
['2', [70611, 70612]]
['2', [70625, 70626]]
['2', [70631, 70632]]
['2', [70863, 70864]]
['2', [71997, 71998]]
['2', [74313, 74314]]
['pcd-1', [11908, 11913]]
['pcd-1', [23990, 23995]]
['t', [17, 18]]
['t', [27, 28]]
['t', [45, 46]]
['t', [57, 58]]
['t', [61, 62]]
['t', [89, 90]]
['t', [101, 102]]
['t', [108, 109]]
['t', [119, 120]]
['t', [129, 130]]
['t', [151, 152]]
['t', [171, 172]]
['t', [185, 186]]
['t', [201, 202]]
['t', [211, 212]]
['t', [228, 229]]
['t', [249, 250]]
['t', [259, 260]]
['t', [273, 274]]
['t', [278, 279]]
['t', [282, 283]]
['t', [302, 303]]
['t', [311, 312]]
['t', [321, 322]]
['t', [327, 328]]
['t', [332, 333]]
['t', [338, 339]]
['t', [348, 349]]
['t', [357, 358]]
['t', [396, 397]]
['t', [406, 407]]
['t', [434, 435]]
['t', [459, 460]]
['t', [471, 472]]
['t', [473, 474]]
['t', [498, 499]]
['t', [517, 518]]
['t', [540, 541]]
['t', [568, 569]]
['t', [574, 575]]
['t', [591, 592]]
['t', [598, 599]]
['t', [620, 621]]
['t', [624, 625]]
['t', [647, 648]]
['t', [701, 702]]
['t', [715, 716]]
['t', [728, 729]]
['t', [749, 750]]
['t', [759, 760]]
['t', [765, 766]]
['t', [769, 770]]
['t', [781, 782]]
['t', [788, 789]]
['t', [792, 793]]
['t', [834, 835]]
['t', [868, 869]]
['t', [881, 882]]
['t', [906, 907]]
['t', [921, 922]]
['t', [924, 925]]
['t', [940, 941]]
['t', [964, 965]]
['t', [982, 983]]
['t', [988, 989]]
['t', [992, 993]]
['t', [1010, 1011]]
['t', [1052, 1053]]
['t', [1064, 1065]]
['t', [1070, 1071]]
['t', [1074, 1075]]
['t', [1080, 1081]]
['t', [1149, 1150]]
['t', [1167, 1168]]
['t', [1171, 1172]]
['t', [1193, 1194]]
['t', [1224, 1225]]
['t', [1236, 1237]]
['t', [1240, 1241]]
['t', [1246, 1247]]
['t', [1251, 1252]]
['t', [1278, 1279]]
['t', [1303, 1304]]
['t', [1304, 1305]]
['t', [1308, 1309]]
['t', [1314, 1315]]
['t', [1329, 1330]]
['t', [1333, 1334]]
['t', [1367, 1368]]
['t', [1374, 1375]]
['t', [1384, 1385]]
['t', [1449, 1450]]
['t', [1459, 1460]]
['t', [1483, 1484]]
['t', [1486, 1487]]
['t', [1495, 1496]]
['t', [1499, 1500]]
['t', [1529, 1530]]
['t', [1532, 1533]]
['t', [1536, 1537]]
['t', [1540, 1541]]
['t', [1544, 1545]]
['t', [1595, 1596]]
['t', [1606, 1607]]
['t', [1610, 1611]]
['t', [1616, 1617]]
['t', [1661, 1662]]
['t', [1679, 1680]]
['t', [1683, 1684]]
['t', [1704, 1705]]
['t', [1720, 1721]]
['t', [1744, 1745]]
['t', [1746, 1747]]
['t', [1748, 1749]]
['t', [1754, 1755]]
['t', [1766, 1767]]
['t', [1769, 1770]]
['t', [1773, 1774]]
['t', [1776, 1777]]
['t', [1793, 1794]]
['t', [1805, 1806]]
['t', [1818, 1819]]
['t', [1824, 1825]]
['t', [1836, 1837]]
['t', [1861, 1862]]
['t', [1883, 1884]]
['t', [1894, 1895]]
['t', [1937, 1938]]
['t', [1941, 1942]]
['t', [1946, 1947]]
['t', [1964, 1965]]
['t', [2007, 2008]]
['t', [2013, 2014]]
['t', [2018, 2019]]
['t', [2048, 2049]]
['t', [2055, 2056]]
['t', [2066, 2067]]
['t', [2071, 2072]]
['t', [2082, 2083]]
['t', [2087, 2088]]
['t', [2105, 2106]]
['t', [2123, 2124]]
['t', [2138, 2139]]
['t', [2178, 2179]]
['t', [2185, 2186]]
['t', [2191, 2192]]
['t', [2198, 2199]]
['t', [2214, 2215]]
['t', [2221, 2222]]
['t', [2237, 2238]]
['t', [2261, 2262]]
['t', [2312, 2313]]
['t', [2315, 2316]]
['t', [2320, 2321]]
['t', [2329, 2330]]
['t', [2347, 2348]]
['t', [2383, 2384]]
['t', [2397, 2398]]
['t', [2402, 2403]]
['t', [2420, 2421]]
['t', [2441, 2442]]
['t', [2496, 2497]]
['t', [2512, 2513]]
['t', [2526, 2527]]
['t', [2542, 2543]]
['t', [2552, 2553]]
['t', [2556, 2557]]
['t', [2562, 2563]]
['t', [2573, 2574]]
['t', [2585, 2586]]
['t', [2589, 2590]]
['t', [2596, 2597]]
['t', [2606, 2607]]
['t', [2613, 2614]]
['t', [2624, 2625]]
['t', [2657, 2658]]
['t', [2674, 2675]]
['t', [2687, 2688]]
['t', [2696, 2697]]
['t', [2699, 2700]]
['t', [2704, 2705]]
['t', [2707, 2708]]
['t', [2716, 2717]]
['t', [2756, 2757]]
['t', [2769, 2770]]
['t', [2772, 2773]]
['t', [2789, 2790]]
['t', [2794, 2795]]
['t', [2805, 2806]]
['t', [2837, 2838]]
['t', [2843, 2844]]
['t', [2864, 2865]]
['t', [2876, 2877]]
['t', [2903, 2904]]
['t', [2907, 2908]]
['t', [2941, 2942]]
['t', [2954, 2955]]
['t', [2957, 2958]]
['t', [2964, 2965]]
['t', [2966, 2967]]
['t', [2981, 2982]]
['t', [2991, 2992]]
['t', [3002, 3003]]
['t', [3008, 3009]]
['t', [3010, 3011]]
