['rap80', [69490, 69495]]
['rap80', [69521, 69526]]
['rap80', [69651, 69656]]
['rap80', [70019, 70024]]
['rap80', [70283, 70288]]
['rap80', [70705, 70710]]
['rap80', [71007, 71012]]
['rap80', [71081, 71086]]
['rap80', [71140, 71145]]
['rap80', [71403, 71408]]
['rap80', [72415, 72420]]
['rap80', [72683, 72688]]
['rap80', [73272, 73277]]
['rap80', [73458, 73463]]
['rap80', [73584, 73589]]
['rap80', [73727, 73732]]
['rap80', [73871, 73876]]
['rap80', [73981, 73986]]
['rap80', [74092, 74097]]
['rap80', [74238, 74243]]
['rap80', [74363, 74368]]
['rap80', [74491, 74496]]
['rap80', [75133, 75138]]
['uim', [68, 71]]
['uim', [4120, 4123]]
['uim', [5028, 5031]]
['uim', [6492, 6495]]
['uim', [19196, 19199]]
['uim', [19308, 19311]]
['uim', [19419, 19422]]
['uim', [19513, 19516]]
['uim', [19613, 19616]]
['uim', [19662, 19665]]
['uim', [19762, 19765]]
['uim', [19797, 19800]]
['uim', [24760, 24763]]
['uim', [24968, 24971]]
['uim', [26349, 26352]]
['uim', [26550, 26553]]
['uim', [26600, 26603]]
['uim', [26647, 26650]]
['uim', [27264, 27267]]
['uim', [33535, 33538]]
['uim', [33743, 33746]]
['uim', [35124, 35127]]
['uim', [35325, 35328]]
['uim', [35375, 35378]]
['uim', [35422, 35425]]
['uim', [36039, 36042]]
['uim', [42302, 42305]]
['uim', [42510, 42513]]
['uim', [45019, 45022]]
['uim', [45227, 45230]]
['uim', [46609, 46612]]
['uim', [46810, 46813]]
['uim', [46860, 46863]]
['uim', [46907, 46910]]
['uim', [47524, 47527]]
['uim', [50436, 50439]]
['uim', [50637, 50640]]
['uim', [50687, 50690]]
['uim', [50734, 50737]]
['uim', [51351, 51354]]
['uim', [60368, 60371]]
['uim', [64752, 64755]]
['uim', [64820, 64823]]
['uim', [64922, 64925]]
['uim', [65001, 65004]]
['uim', [65163, 65166]]
['uim', [65171, 65174]]
['uim', [65283, 65286]]
['uim', [65542, 65545]]
['uim', [65678, 65681]]
['uim', [65827, 65830]]
['uim', [65923, 65926]]
['uim', [66034, 66037]]
['uim', [68910, 68913]]
['uim', [73294, 73297]]
['uim', [73362, 73365]]
['uim', [73464, 73467]]
['uim', [73543, 73546]]
['uim', [73705, 73708]]
['uim', [73713, 73716]]
['uim', [73825, 73828]]
['uim', [74084, 74087]]
['uim', [74220, 74223]]
['uim', [74369, 74372]]
['uim', [74465, 74468]]
['uim', [74576, 74579]]
['domain', [72, 78]]
['domain', [4063, 4069]]
['domain', [5033, 5039]]
['domain', [6497, 6503]]
['domain', [19142, 19148]]
['domain', [19249, 19255]]
['domain', [19312, 19318]]
['domain', [19517, 19523]]
['domain', [19766, 19772]]
['domain', [19802, 19808]]
['domain', [24405, 24411]]
['domain', [24765, 24771]]
['domain', [24973, 24979]]
['domain', [26353, 26359]]
['domain', [26604, 26610]]
['domain', [26651, 26657]]
['domain', [27268, 27274]]
['domain', [33180, 33186]]
['domain', [33540, 33546]]
['domain', [33748, 33754]]
['domain', [35128, 35134]]
['domain', [35379, 35385]]
['domain', [35426, 35432]]
['domain', [36043, 36049]]
['domain', [41947, 41953]]
['domain', [42307, 42313]]
['domain', [42515, 42521]]
['domain', [44664, 44670]]
['domain', [45024, 45030]]
['domain', [45232, 45238]]
['domain', [46613, 46619]]
['domain', [46864, 46870]]
['domain', [46911, 46917]]
['domain', [47528, 47534]]
['domain', [50440, 50446]]
['domain', [50691, 50697]]
['domain', [50738, 50744]]
['domain', [51355, 51361]]
['domain', [59270, 59276]]
['domain', [59390, 59396]]
['domain', [60373, 60379]]
['domain', [60437, 60443]]
['domain', [64756, 64762]]
['domain', [64926, 64932]]
['domain', [65682, 65688]]
['domain', [65927, 65933]]
['domain', [66458, 66464]]
['domain', [66788, 66794]]
['domain', [67812, 67818]]
['domain', [67932, 67938]]
['domain', [68915, 68921]]
['domain', [68979, 68985]]
['domain', [73298, 73304]]
['domain', [73468, 73474]]
['domain', [74224, 74230]]
['domain', [74469, 74475]]
['domain', [75000, 75006]]
['domain', [75330, 75336]]
['susceptibility', [153, 167]]
['susceptibility', [324, 338]]
['susceptibility', [1682, 1696]]
['susceptibility', [2013, 2027]]
['susceptibility', [3053, 3067]]
['susceptibility', [3120, 3134]]
['susceptibility', [3816, 3830]]
['susceptibility', [7438, 7452]]
['susceptibility', [13438, 13452]]
['susceptibility', [58904, 58918]]
['susceptibility', [59678, 59692]]
['susceptibility', [59901, 59915]]
['susceptibility', [67446, 67460]]
['susceptibility', [68220, 68234]]
['susceptibility', [68443, 68457]]
['genes', [168, 173]]
['genes', [1697, 1702]]
['genes', [1803, 1808]]
['genes', [2028, 2033]]
['genes', [2935, 2940]]
['genes', [3723, 3728]]
['genes', [7667, 7672]]
['genes', [13667, 13672]]
['genes', [58665, 58670]]
['genes', [59632, 59637]]
['genes', [59916, 59921]]
['genes', [67207, 67212]]
['genes', [68174, 68179]]
['genes', [68458, 68463]]
['brca1', [175, 180]]
['brca1', [378, 383]]
['brca1', [461, 466]]
['brca1', [511, 516]]
['brca1', [612, 617]]
['brca1', [1050, 1055]]
['brca1', [1117, 1122]]
['brca1', [1703, 1708]]
['brca1', [2359, 2364]]
['brca1', [2544, 2549]]
['brca1', [2717, 2722]]
['brca1', [2976, 2981]]
['brca1', [3305, 3310]]
['brca1', [3354, 3359]]
['brca1', [3744, 3749]]
['brca1', [3930, 3935]]
['brca1', [4032, 4037]]
['brca1', [4191, 4196]]
['brca1', [4259, 4264]]
['brca1', [4292, 4297]]
['brca1', [4407, 4412]]
['brca1', [4540, 4545]]
['brca1', [4636, 4641]]
['brca1', [4865, 4870]]
['brca1', [5050, 5055]]
['brca1', [5922, 5927]]
['brca1', [6264, 6269]]
['brca1', [6606, 6611]]
['brca1', [7615, 7620]]
['brca1', [7696, 7701]]
['brca1', [12300, 12305]]
['brca1', [13615, 13620]]
['brca1', [13696, 13701]]
['brca1', [18308, 18313]]
['brca1', [20256, 20261]]
['brca1', [21055, 21060]]
['brca1', [21214, 21219]]
['brca1', [21565, 21570]]
['brca1', [23599, 23604]]
['brca1', [25002, 25007]]
['brca1', [27895, 27900]]
['brca1', [27943, 27948]]
['brca1', [30120, 30125]]
['brca1', [30215, 30220]]
['brca1', [30253, 30258]]
['brca1', [30372, 30377]]
['brca1', [31060, 31065]]
['brca1', [31142, 31147]]
['brca1', [31243, 31248]]
['brca1', [31608, 31613]]
['brca1', [32374, 32379]]
['brca1', [33777, 33782]]
['brca1', [36670, 36675]]
['brca1', [36718, 36723]]
['brca1', [38895, 38900]]
['brca1', [38990, 38995]]
['brca1', [39028, 39033]]
['brca1', [39147, 39152]]
['brca1', [39835, 39840]]
['brca1', [39917, 39922]]
['brca1', [40018, 40023]]
['brca1', [40383, 40388]]
['brca1', [41141, 41146]]
['brca1', [42544, 42549]]
['brca1', [43858, 43863]]
['brca1', [45261, 45266]]
['brca1', [48155, 48160]]
['brca1', [48203, 48208]]
['brca1', [51982, 51987]]
['brca1', [52030, 52035]]
['brca1', [54208, 54213]]
['brca1', [54303, 54308]]
['brca1', [54341, 54346]]
['brca1', [54460, 54465]]
['brca1', [55148, 55153]]
['brca1', [55230, 55235]]
['brca1', [55331, 55336]]
