['tumor', [33257, 33262]]
['tumor', [36206, 36211]]
['tumor', [36287, 36292]]
['tumor', [37244, 37249]]
['tumor', [37764, 37769]]
['tumor', [38150, 38155]]
['tumor', [38191, 38196]]
['tumor', [38298, 38303]]
['tumor', [38316, 38321]]
['tumor', [38839, 38844]]
['tumor', [38859, 38864]]
['tumor', [38929, 38934]]
['tumor', [39060, 39065]]
['tumor', [39200, 39205]]
['tumor', [39253, 39258]]
['tumor', [42159, 42164]]
['tumor', [42240, 42245]]
['tumor', [43197, 43202]]
['tumor', [43717, 43722]]
['tumor', [44103, 44108]]
['tumor', [44144, 44149]]
['tumor', [44251, 44256]]
['tumor', [44269, 44274]]
['tumor', [44792, 44797]]
['tumor', [44812, 44817]]
['tumor', [44882, 44887]]
['tumor', [45013, 45018]]
['tumor', [45153, 45158]]
['tumor', [45206, 45211]]
['tumor', [50493, 50498]]
['tumor', [50574, 50579]]
['tumor', [51096, 51101]]
['tumor', [51177, 51182]]
['tumor', [53032, 53037]]
['tumor', [53552, 53557]]
['tumor', [53938, 53943]]
['tumor', [53998, 54003]]
['tumor', [54518, 54523]]
['tumor', [54904, 54909]]
['tumor', [54946, 54951]]
['tumor', [55053, 55058]]
['tumor', [55071, 55076]]
['tumor', [55594, 55599]]
['tumor', [55614, 55619]]
['tumor', [55684, 55689]]
['tumor', [55815, 55820]]
['tumor', [55955, 55960]]
['tumor', [56008, 56013]]
['tumor', [56044, 56049]]
['tumor', [56151, 56156]]
['tumor', [56169, 56174]]
['tumor', [56692, 56697]]
['tumor', [56712, 56717]]
['tumor', [56782, 56787]]
['tumor', [56913, 56918]]
['tumor', [57053, 57058]]
['tumor', [57106, 57111]]
['tumor', [57137, 57142]]
['tumor', [57201, 57206]]
['tumor', [57301, 57306]]
['tumor', [57971, 57976]]
['tumor', [58000, 58005]]
['tumor', [58945, 58950]]
['tumor', [61945, 61950]]
['tumor', [62339, 62344]]
['tumor', [63796, 63801]]
['tumor', [64049, 64054]]
['tumor', [64249, 64254]]
['tumor', [64400, 64405]]
['tumor', [64464, 64469]]
['tumor', [64564, 64569]]
['tumor', [65234, 65239]]
['tumor', [65263, 65268]]
['tumor', [66208, 66213]]
['tumor', [69208, 69213]]
['tumor', [69602, 69607]]
['tumor', [71059, 71064]]
['tumor', [71312, 71317]]
['tumor', [71512, 71517]]
['protein', [28, 35]]
['protein', [145, 152]]
['protein', [1076, 1083]]
['protein', [2799, 2806]]
['protein', [5802, 5809]]
['protein', [10237, 10244]]
['protein', [10484, 10491]]
['protein', [12111, 12118]]
['protein', [12140, 12147]]
['protein', [12850, 12857]]
['protein', [17090, 17097]]
['protein', [23682, 23689]]
['protein', [23929, 23936]]
['protein', [25558, 25565]]
['protein', [25587, 25594]]
['protein', [26297, 26304]]
['protein', [30542, 30549]]
['protein', [33344, 33351]]
['protein', [33962, 33969]]
['protein', [39297, 39304]]
['protein', [39915, 39922]]
['protein', [45242, 45249]]
['protein', [45860, 45867]]
['protein', [46607, 46614]]
['protein', [47225, 47232]]
['protein', [58809, 58816]]
['protein', [59361, 59368]]
['protein', [59492, 59499]]
['protein', [59671, 59678]]
['protein', [59955, 59962]]
['protein', [60142, 60149]]
['protein', [61558, 61565]]
['protein', [61813, 61820]]
['protein', [62601, 62608]]
['protein', [66072, 66079]]
['protein', [66624, 66631]]
['protein', [66755, 66762]]
['protein', [66934, 66941]]
['protein', [67218, 67225]]
['protein', [67405, 67412]]
['protein', [68821, 68828]]
['protein', [69076, 69083]]
['protein', [69864, 69871]]
['associated', [458, 468]]
['associated', [4758, 4768]]
['associated', [57207, 57217]]
['associated', [59275, 59285]]
['associated', [59441, 59451]]
['associated', [61587, 61597]]
['associated', [64470, 64480]]
['associated', [66538, 66548]]
['associated', [66704, 66714]]
['associated', [68850, 68860]]
['antigens', [469, 477]]
['antigens', [4769, 4777]]
['antigens', [5024, 5032]]
['antigens', [57218, 57226]]
['antigens', [64481, 64489]]
['taas', [479, 483]]
['taas', [57228, 57232]]
['taas', [60857, 60861]]
['taas', [64491, 64495]]
['taas', [68120, 68124]]
['wt-1', [493, 497]]
['wt-1', [6217, 6221]]
['hla', [357, 360]]
['hla', [563, 566]]
['hla', [62749, 62752]]
['hla', [70012, 70015]]
['types', [567, 572]]
['types', [2821, 2826]]
['types', [63379, 63384]]
['types', [70642, 70647]]
