['\\(', [31732, 31734]]
['\\(', [32382, 32384]]
['\\(', [32416, 32418]]
['\\(', [33530, 33532]]
['\\(', [33867, 33869]]
['\\(', [35942, 35944]]
['\\(', [36245, 36247]]
['\\(', [36440, 36442]]
['\\(', [38833, 38835]]
['\\(', [40974, 40976]]
['\\(', [41624, 41626]]
['\\(', [41658, 41660]]
['\\(', [42772, 42774]]
['\\(', [43109, 43111]]
['\\(', [45184, 45186]]
['\\(', [46219, 46221]]
['\\(', [46426, 46428]]
['\\(', [46667, 46669]]
['\\(', [46750, 46752]]
['\\(', [46974, 46976]]
['\\(', [47447, 47449]]
['\\(', [47974, 47976]]
['\\(', [47984, 47986]]
['\\(', [47996, 47998]]
['\\(', [48020, 48022]]
['\\(', [48026, 48028]]
['\\(', [48035, 48037]]
['\\(', [48071, 48073]]
['\\(', [48077, 48079]]
['\\(', [48086, 48088]]
['\\(', [48121, 48123]]
['\\(', [48131, 48133]]
['\\(', [48141, 48143]]
['\\(', [48170, 48172]]
['\\(', [48180, 48182]]
['\\(', [48192, 48194]]
['\\(', [48234, 48236]]
['\\(', [48240, 48242]]
['\\(', [48249, 48251]]
['\\(', [48287, 48289]]
['\\(', [48293, 48295]]
['\\(', [48303, 48305]]
['\\(', [48341, 48343]]
['\\(', [48348, 48350]]
['\\(', [48356, 48358]]
['\\(', [48398, 48400]]
['\\(', [48404, 48406]]
['\\(', [48413, 48415]]
['\\(', [48454, 48456]]
['\\(', [48462, 48464]]
['\\(', [48498, 48500]]
['\\(', [48505, 48507]]
['\\(', [48722, 48724]]
['\\(', [48729, 48731]]
['\\(', [48737, 48739]]
['\\(', [48745, 48747]]
['\\(', [48752, 48754]]
['\\(', [48759, 48761]]
['\\(', [48781, 48783]]
['\\(', [48788, 48790]]
['\\(', [48796, 48798]]
['\\(', [48804, 48806]]
['\\(', [48812, 48814]]
['\\(', [48820, 48822]]
['\\(', [48842, 48844]]
['\\(', [48849, 48851]]
['\\(', [48858, 48860]]
['\\(', [48866, 48868]]
['\\(', [48874, 48876]]
['\\(', [48882, 48884]]
['\\(', [48972, 48974]]
['\\(', [49025, 49027]]
['\\(', [49039, 49041]]
['\\(', [49117, 49119]]
['\\(', [49123, 49125]]
['\\(', [49129, 49131]]
['\\(', [49160, 49162]]
['\\(', [49165, 49167]]
['\\(', [49171, 49173]]
['\\(', [49203, 49205]]
['\\(', [49208, 49210]]
['\\(', [49214, 49216]]
['\\(', [49251, 49253]]
['\\(', [49256, 49258]]
['\\(', [49262, 49264]]
['\\(', [49287, 49289]]
['\\(', [49292, 49294]]
['\\(', [49298, 49300]]
['\\(', [49333, 49335]]
['\\(', [49339, 49341]]
['\\(', [49347, 49349]]
['\\(', [49373, 49375]]
['\\(', [49378, 49380]]
['\\(', [49386, 49388]]
['\\(', [49420, 49422]]
['\\(', [49425, 49427]]
['\\(', [49433, 49435]]
['figure', [4712, 4718]]
['4\\.1', [4719, 4723]]
['\\)', [589, 591]]
['\\)', [1097, 1099]]
['\\)', [1252, 1254]]
['\\)', [1304, 1306]]
['\\)', [1415, 1417]]
['\\)', [1701, 1703]]
['\\)', [1818, 1820]]
['\\)', [1983, 1985]]
['\\)', [2049, 2051]]
['\\)', [2066, 2068]]
['\\)', [2070, 2072]]
['\\)', [2097, 2099]]
['\\)', [2113, 2115]]
['\\)', [2117, 2119]]
['\\)', [2156, 2158]]
['\\)', [2174, 2176]]
['\\)', [2182, 2184]]
['\\)', [2204, 2206]]
['\\)', [2220, 2222]]
['\\)', [2385, 2387]]
['\\)', [4494, 4496]]
['\\)', [4532, 4534]]
['\\)', [4562, 4564]]
['\\)', [4722, 4724]]
['\\)', [6144, 6146]]
['\\)', [6198, 6200]]
['\\)', [6281, 6283]]
['\\)', [6354, 6356]]
['\\)', [6930, 6932]]
['\\)', [7085, 7087]]
['\\)', [7137, 7139]]
['\\)', [7248, 7250]]
['\\)', [7534, 7536]]
['\\)', [7651, 7653]]
