['2', [74679, 74680]]
['2', [74685, 74686]]
['2', [74708, 74709]]
['2', [74721, 74722]]
['2', [74741, 74742]]
['2', [74745, 74746]]
['2', [74762, 74763]]
['2', [74770, 74771]]
['2', [74782, 74783]]
['2', [74783, 74784]]
['2', [74788, 74789]]
['2', [74811, 74812]]
['2', [74814, 74815]]
['2', [74858, 74859]]
['2', [74874, 74875]]
['2', [74900, 74901]]
['2', [75027, 75028]]
['2', [75032, 75033]]
['2', [75034, 75035]]
['2', [75037, 75038]]
['2', [75109, 75110]]
['2', [75118, 75119]]
['2', [75190, 75191]]
['2', [75193, 75194]]
['2', [75222, 75223]]
['2', [75266, 75267]]
['2', [75458, 75459]]
['2', [75471, 75472]]
['2', [75496, 75497]]
['2', [75515, 75516]]
['2', [75521, 75522]]
['2', [75529, 75530]]
['2', [75561, 75562]]
['2', [75572, 75573]]
['2', [75575, 75576]]
['2', [75592, 75593]]
['2', [75613, 75614]]
['2', [75631, 75632]]
['2', [75664, 75665]]
['2', [75686, 75687]]
['2', [75690, 75691]]
['2', [75707, 75708]]
['2', [75726, 75727]]
['2', [75730, 75731]]
['2', [75733, 75734]]
['2', [75734, 75735]]
['2', [75774, 75775]]
['2', [75790, 75791]]
['2', [75814, 75815]]
['2', [75820, 75821]]
['2', [75850, 75851]]
['2', [75862, 75863]]
['2', [75879, 75880]]
['2', [75885, 75886]]
['2', [75906, 75907]]
['2', [75918, 75919]]
['2', [75932, 75933]]
['2', [75961, 75962]]
['2', [75969, 75970]]
['2', [75982, 75983]]
['2', [76002, 76003]]
['2', [76014, 76015]]
['2', [76035, 76036]]
['2', [76041, 76042]]
['2', [76062, 76063]]
['2', [76066, 76067]]
['2', [76072, 76073]]
['2', [76085, 76086]]
['2', [76086, 76087]]
['2', [76097, 76098]]
['2', [76115, 76116]]
['2', [76118, 76119]]
['2', [76124, 76125]]
['2', [76166, 76167]]
['2', [76176, 76177]]
['2', [76191, 76192]]
['2', [76256, 76257]]
['2', [76285, 76286]]
['2', [76307, 76308]]
['2', [76335, 76336]]
['2', [76401, 76402]]
['nrs', [7529, 7532]]
['nrs', [7818, 7821]]
['nrs', [17772, 17775]]
['nrs', [18061, 18064]]
['\xe2\x80\x9ci', [7859, 7863]]
['\xe2\x80\x9ci', [8552, 8556]]
['\xe2\x80\x9ci', [9019, 9023]]
['\xe2\x80\x9ci', [18102, 18106]]
['\xe2\x80\x9ci', [18796, 18800]]
['\xe2\x80\x9ci', [19263, 19267]]
['\xe2\x80\x9ci', [71014, 71018]]
['don\xe2\x80\x99t', [8557, 8564]]
['don\xe2\x80\x99t', [9024, 9031]]
['don\xe2\x80\x99t', [18801, 18808]]
['don\xe2\x80\x99t', [19268, 19275]]
['don\xe2\x80\x99t', [71019, 71026]]
['look', [8565, 8569]]
['look', [9032, 9036]]
['look', [11046, 11050]]
['look', [18809, 18813]]
['look', [19276, 19280]]
['look', [21291, 21295]]
['look', [54091, 54095]]
['look', [58184, 58188]]
['look', [58465, 58469]]
['look', [62739, 62743]]
['look', [63947, 63951]]
['look', [64314, 64318]]
['look', [64380, 64384]]
['look', [71027, 71031]]
['look', [71074, 71078]]
['look', [72399, 72403]]
['look', [73670, 73674]]
['look', [75071, 75075]]
['look', [76347, 76351]]
['msas', [4585, 4589]]
['msas', [6329, 6333]]
['msas', [8203, 8207]]
['msas', [9103, 9107]]
['msas', [9545, 9549]]
['msas', [9698, 9702]]
['msas', [9826, 9830]]
['msas', [9833, 9837]]
['msas', [9913, 9917]]
['msas', [10024, 10028]]
['msas', [10266, 10270]]
['msas', [10366, 10370]]
['msas', [12815, 12819]]
['msas', [12908, 12912]]
['msas', [13062, 13066]]
['msas', [13143, 13147]]
['msas', [13274, 13278]]
['msas', [13452, 13456]]
['msas', [13598, 13602]]
['msas', [13704, 13708]]
['msas', [14241, 14245]]
['msas', [14827, 14831]]
['msas', [16571, 16575]]
['msas', [18447, 18451]]
['msas', [19347, 19351]]
['msas', [19789, 19793]]
['msas', [19942, 19946]]
['msas', [20070, 20074]]
['msas', [20077, 20081]]
['msas', [20157, 20161]]
['msas', [20268, 20272]]
['msas', [20510, 20514]]
['msas', [20610, 20614]]
['msas', [23061, 23065]]
['msas', [23154, 23158]]
['msas', [23308, 23312]]
['msas', [23389, 23393]]
['msas', [23520, 23524]]
['msas', [23698, 23702]]
['msas', [23844, 23848]]
['msas', [23950, 23954]]
['msas', [24487, 24491]]
['msas', [27216, 27220]]
['msas', [29920, 29924]]
['msas', [33838, 33842]]
['msas', [37991, 37995]]
['msas', [39716, 39720]]
['msas', [40906, 40910]]
['msas', [41368, 41372]]
['msas', [44121, 44125]]
['msas', [49734, 49738]]
['msas', [59115, 59119]]
['msas', [60651, 60655]]
['msas', [61588, 61592]]
['msas', [61714, 61718]]
['msas', [66862, 66866]]
['msas', [68303, 68307]]
['msas', [69273, 69277]]
['msas', [69824, 69828]]
['msas', [73983, 73987]]
['msas', [74038, 74042]]
['msas', [75167, 75171]]
['msas', [75246, 75250]]
['msas', [75343, 75347]]
['msas', [76439, 76443]]
['msas-psych', [9698, 9708]]
['msas-psych', [19942, 19952]]
['3', [674, 675]]
['3', [2296, 2297]]
['3', [2518, 2519]]
['3', [2875, 2876]]
['3', [3665, 3666]]
['3', [4723, 4724]]
['3', [6791, 6792]]
['3', [7909, 7910]]
['3', [9896, 9897]]
['3', [10773, 10774]]
['3', [10847, 10848]]
['3', [11402, 11403]]
['3', [11488, 11489]]
['3', [11516, 11517]]
['3', [11636, 11637]]
['3', [11637, 11638]]
['3', [11705, 11706]]
['3', [12059, 12060]]
['3', [14965, 14966]]
['3', [17034, 17035]]
['3', [18152, 18153]]
['3', [20140, 20141]]
['3', [21018, 21019]]
['3', [21092, 21093]]
['3', [21647, 21648]]
['3', [21733, 21734]]
['3', [21761, 21762]]
['3', [21881, 21882]]
['3', [21882, 21883]]
['3', [21950, 21951]]
['3', [22305, 22306]]
['3', [24725, 24726]]
['3', [24726, 24727]]
['3', [24901, 24902]]
['3', [25223, 25224]]
['3', [25224, 25225]]
['3', [25316, 25317]]
['3', [25321, 25322]]
['3', [25326, 25327]]
['3', [25327, 25328]]
['3', [25352, 25353]]
['3', [25744, 25745]]
['3', [25752, 25753]]
['3', [25839, 25840]]
['3', [25867, 25868]]
['3', [25872, 25873]]
['3', [25921, 25922]]
['3', [25968, 25969]]
['3', [26037, 26038]]
['3', [26042, 26043]]
['3', [26068, 26069]]
['3', [26095, 26096]]
['3', [26096, 26097]]
['3', [26116, 26117]]
['3', [26138, 26139]]
['3', [26169, 26170]]
['3', [26195, 26196]]
['3', [26344, 26345]]
['3', [26349, 26350]]
['3', [26354, 26355]]
['3', [26359, 26360]]
['3', [26475, 26476]]
['3', [26480, 26481]]
['3', [26487, 26488]]
['3', [26543, 26544]]
['3', [26814, 26815]]
['3', [26819, 26820]]
['3', [26826, 26827]]
['3', [26870, 26871]]
['3', [27052, 27053]]
['3', [27057, 27058]]
['3', [27064, 27065]]
['3', [27176, 27177]]
['3', [27352, 27353]]
['3', [27534, 27535]]
['3', [27535, 27536]]
['3', [27626, 27627]]
['3', [28033, 28034]]
['3', [28034, 28035]]
['3', [28502, 28503]]
['3', [28527, 28528]]
['3', [28539, 28540]]
['3', [28557, 28558]]
['3', [28577, 28578]]
['3', [28638, 28639]]
['3', [28732, 28733]]
['3', [28737, 28738]]
['3', [28753, 28754]]
['3', [28823, 28824]]
['3', [28828, 28829]]
['3', [29126, 29127]]
['3', [29295, 29296]]
['3', [29710, 29711]]
['3', [29814, 29815]]
['3', [30218, 30219]]
['3', [30223, 30224]]
['3', [30228, 30229]]
['3', [30254, 30255]]
['3', [30427, 30428]]
['3', [31004, 31005]]
['3', [31060, 31061]]
['3', [31374, 31375]]
['3', [31379, 31380]]
['3', [31625, 31626]]
['3', [31869, 31870]]
['3', [32450, 32451]]
['3', [32680, 32681]]
['3', [32780, 32781]]
['3', [33044, 33045]]
['3', [33213, 33214]]
['3', [33628, 33629]]
['3', [33732, 33733]]
['3', [34137, 34138]]
['3', [34142, 34143]]
['3', [34147, 34148]]
['3', [34173, 34174]]
['3', [34346, 34347]]
['3', [34923, 34924]]
['3', [34979, 34980]]
['3', [35293, 35294]]
['3', [35298, 35299]]
['3', [35544, 35545]]
['3', [35788, 35789]]
['3', [36369, 36370]]
['3', [36599, 36600]]
['3', [36699, 36700]]
['3', [36917, 36918]]
['3', [36922, 36923]]
['3', [37051, 37052]]
['3', [37138, 37139]]
['3', [37586, 37587]]
['3', [37605, 37606]]
['3', [38108, 38109]]
['3', [38502, 38503]]
['3', [38507, 38508]]
['3', [38704, 38705]]
['3', [41260, 41261]]
['3', [41287, 41288]]
['3', [41300, 41301]]
['3', [41331, 41332]]
['3', [41338, 41339]]
['3', [41375, 41376]]
['3', [41631, 41632]]
['3', [41632, 41633]]
['3', [41807, 41808]]
['3', [42128, 42129]]
['3', [42129, 42130]]
['3', [42221, 42222]]
['3', [42226, 42227]]
['3', [42231, 42232]]
['3', [42232, 42233]]
['3', [42257, 42258]]
['3', [42649, 42650]]
['3', [42657, 42658]]
['3', [42744, 42745]]
['3', [42772, 42773]]
['3', [42777, 42778]]
['3', [42826, 42827]]
['3', [42873, 42874]]
['3', [42942, 42943]]
['3', [42947, 42948]]
['3', [42973, 42974]]
['3', [43000, 43001]]
['3', [43001, 43002]]
['3', [43021, 43022]]
['3', [43043, 43044]]
['3', [43074, 43075]]
['3', [43100, 43101]]
['3', [43249, 43250]]
['3', [43254, 43255]]
['3', [43259, 43260]]
['3', [43264, 43265]]
['3', [43380, 43381]]
['3', [43385, 43386]]
['3', [43392, 43393]]
['3', [43448, 43449]]
['3', [43719, 43720]]
['3', [43724, 43725]]
['3', [43731, 43732]]
['3', [43775, 43776]]
['3', [43957, 43958]]
['3', [43962, 43963]]
['3', [43969, 43970]]
['3', [44081, 44082]]
['3', [44257, 44258]]
['3', [44439, 44440]]
['3', [44440, 44441]]
['3', [44531, 44532]]
['3', [44938, 44939]]
['3', [44939, 44940]]
['3', [45406, 45407]]
['3', [45431, 45432]]
['3', [45443, 45444]]
['3', [45461, 45462]]
['3', [45481, 45482]]
['3', [45542, 45543]]
['3', [45636, 45637]]
['3', [45641, 45642]]
['3', [45657, 45658]]
['3', [45727, 45728]]
['3', [45732, 45733]]
['3', [47512, 47513]]
['3', [47962, 47963]]
['3', [47967, 47968]]
['3', [49957, 49958]]
['3', [50021, 50022]]
['3', [50681, 50682]]
['3', [51279, 51280]]
['3', [51498, 51499]]
['3', [51537, 51538]]
['3', [51553, 51554]]
['3', [52043, 52044]]
['3', [52075, 52076]]
['3', [52216, 52217]]
['3', [52243, 52244]]
['3', [52436, 52437]]
['3', [52451, 52452]]
['3', [52594, 52595]]
['3', [52599, 52600]]
['3', [52876, 52877]]
['3', [53462, 53463]]
['3', [53573, 53574]]
['3', [53602, 53603]]
['3', [53774, 53775]]
['3', [53796, 53797]]
['3', [53840, 53841]]
['3', [53855, 53856]]
['3', [54013, 54014]]
['3', [54029, 54030]]
['3', [54279, 54280]]
['3', [54373, 54374]]
['3', [54383, 54384]]
['3', [54870, 54871]]
['3', [55938, 55939]]
['3', [55950, 55951]]
['3', [55965, 55966]]
['3', [56009, 56010]]
['3', [56203, 56204]]
['3', [56222, 56223]]
['3', [56615, 56616]]
['3', [56880, 56881]]
['3', [56894, 56895]]
['3', [57029, 57030]]
['3', [57121, 57122]]
['3', [57289, 57290]]
['3', [57751, 57752]]
['3', [58168, 58169]]
