['focal', [18524, 18529]]
['focal', [18604, 18609]]
['focal', [20190, 20195]]
['focal', [20460, 20465]]
['brain', [69, 74]]
['brain', [537, 542]]
['brain', [1763, 1768]]
['brain', [4194, 4199]]
['brain', [4712, 4717]]
['brain', [7797, 7802]]
['brain', [8315, 8320]]
['brain', [16181, 16186]]
['brain', [18383, 18388]]
['brain', [20994, 20999]]
['brain', [22420, 22425]]
['heart', [79, 84]]
['heart', [461, 466]]
['heart', [713, 718]]
['heart', [953, 958]]
['heart', [983, 988]]
['heart', [1052, 1057]]
['heart', [1194, 1199]]
['heart', [1537, 1542]]
['heart', [1687, 1692]]
['heart', [1939, 1944]]
['heart', [2180, 2185]]
['heart', [2210, 2215]]
['heart', [2279, 2284]]
['heart', [2421, 2426]]
['heart', [2765, 2770]]
['heart', [3570, 3575]]
['heart', [5536, 5541]]
['heart', [5947, 5952]]
['heart', [7172, 7177]]
['heart', [9140, 9145]]
['heart', [9551, 9556]]
['heart', [10721, 10726]]
['heart', [11136, 11141]]
['heart', [11207, 11212]]
['heart', [11364, 11369]]
['heart', [11447, 11452]]
['heart', [11488, 11493]]
['heart', [12242, 12247]]
['heart', [12657, 12662]]
['heart', [12728, 12733]]
['heart', [12885, 12890]]
['heart', [12968, 12973]]
['heart', [13009, 13014]]
['heart', [14407, 14412]]
['heart', [14848, 14853]]
['heart', [15264, 15269]]
['heart', [15335, 15340]]
['heart', [15492, 15497]]
['heart', [15575, 15580]]
['heart', [15616, 15621]]
['heart', [15687, 15692]]
['heart', [15758, 15763]]
['heart', [15915, 15920]]
['heart', [15998, 16003]]
['heart', [16039, 16044]]
['heart', [16436, 16441]]
['heart', [17313, 17318]]
['heart', [18638, 18643]]
['heart', [19515, 19520]]
['heart', [21011, 21016]]
['heart', [21127, 21132]]
['heart', [21382, 21387]]
['heart', [21588, 21593]]
['heart', [21682, 21687]]
['heart', [21815, 21820]]
['heart', [21875, 21880]]
['heart', [22437, 22442]]
['heart', [22553, 22558]]
['heart', [22808, 22813]]
['heart', [23014, 23019]]
['heart', [23108, 23113]]
