['apn', [30310, 30313]]
['apn', [30903, 30906]]
['apn', [30979, 30982]]
['apn', [31153, 31156]]
['apn', [31283, 31286]]
['apn', [31380, 31383]]
['apn', [31539, 31542]]
['apn', [31651, 31654]]
['apn', [31727, 31730]]
['apn', [31844, 31847]]
['apn', [31933, 31936]]
['apn', [31985, 31988]]
['apn', [32106, 32109]]
['apn', [32220, 32223]]
['apn', [32319, 32322]]
['apn', [32413, 32416]]
['apn', [32956, 32959]]
['apn', [32964, 32967]]
['apn', [33021, 33024]]
['apn', [33051, 33054]]
['apn', [33744, 33747]]
['apn', [33763, 33766]]
['apn', [33859, 33862]]
['apn', [33899, 33902]]
['apn', [34055, 34058]]
['apn', [34244, 34247]]
['apn', [34406, 34409]]
['apn', [34999, 35002]]
['apn', [35075, 35078]]
['apn', [35249, 35252]]
['apn', [35379, 35382]]
['apn', [35476, 35479]]
['apn', [35635, 35638]]
['apn', [35747, 35750]]
['apn', [35823, 35826]]
['apn', [35940, 35943]]
['apn', [36029, 36032]]
['apn', [36081, 36084]]
['apn', [36202, 36205]]
['apn', [36316, 36319]]
['\\)', [170, 172]]
['\\)', [255, 257]]
['\\)', [306, 308]]
['\\)', [984, 986]]
['\\)', [1047, 1049]]
['\\)', [1271, 1273]]
['\\)', [1452, 1454]]
['\\)', [1511, 1513]]
['\\)', [1596, 1598]]
['\\)', [1751, 1753]]
['\\)', [1927, 1929]]
['\\)', [2009, 2011]]
['\\)', [2121, 2123]]
['\\)', [2191, 2193]]
['\\)', [2247, 2249]]
['\\)', [2352, 2354]]
['\\)', [2467, 2469]]
['\\)', [2521, 2523]]
['\\)', [2560, 2562]]
['\\)', [2589, 2591]]
['\\)', [2648, 2650]]
['\\)', [2738, 2740]]
['\\)', [2961, 2963]]
['\\)', [3677, 3679]]
['\\)', [3728, 3730]]
['\\)', [3903, 3905]]
['\\)', [3997, 3999]]
['\\)', [4049, 4051]]
['\\)', [4095, 4097]]
['\\)', [4154, 4156]]
['\\)', [4231, 4233]]
['\\)', [4286, 4288]]
['\\)', [4335, 4337]]
['\\)', [5012, 5014]]
['\\)', [5071, 5073]]
['\\)', [5525, 5527]]
['\\)', [5594, 5596]]
['\\)', [5733, 5735]]
['\\)', [5884, 5886]]
['\\)', [5940, 5942]]
['\\)', [6037, 6039]]
['\\)', [6101, 6103]]
['\\)', [6156, 6158]]
['\\)', [6227, 6229]]
['\\)', [6262, 6264]]
['\\)', [6298, 6300]]
['\\)', [6342, 6344]]
['\\)', [6491, 6493]]
['\\)', [6624, 6626]]
['\\)', [6974, 6976]]
['\\)', [7150, 7152]]
['\\)', [7265, 7267]]
['\\)', [7519, 7521]]
['\\)', [7616, 7618]]
['\\)', [7726, 7728]]
['\\)', [7830, 7832]]
['\\)', [7958, 7960]]
['\\)', [8260, 8262]]
['\\)', [8301, 8303]]
['\\)', [8418, 8420]]
['\\)', [8506, 8508]]
['\\)', [8721, 8723]]
['\\)', [8789, 8791]]
['\\)', [8903, 8905]]
['\\)', [9280, 9282]]
['\\)', [9374, 9376]]
['\\)', [9426, 9428]]
['\\)', [9473, 9475]]
['\\)', [9532, 9534]]
['\\)', [9609, 9611]]
['\\)', [9664, 9666]]
['\\)', [9713, 9715]]
['\\)', [10391, 10393]]
['\\)', [10450, 10452]]
['\\)', [10905, 10907]]
['\\)', [10974, 10976]]
['\\)', [11113, 11115]]
['\\)', [11264, 11266]]
['\\)', [11320, 11322]]
['\\)', [11417, 11419]]
['\\)', [11481, 11483]]
['\\)', [11536, 11538]]
['\\)', [11607, 11609]]
['\\)', [11642, 11644]]
['\\)', [11678, 11680]]
['\\)', [11722, 11724]]
['\\)', [11871, 11873]]
['\\)', [12004, 12006]]
['\\)', [12354, 12356]]
['\\)', [12530, 12532]]
['\\)', [12645, 12647]]
['\\)', [12900, 12902]]
['\\)', [12997, 12999]]
['\\)', [13107, 13109]]
['\\)', [13211, 13213]]
['\\)', [13339, 13341]]
['\\)', [13642, 13644]]
['\\)', [13683, 13685]]
['\\)', [13800, 13802]]
['\\)', [13888, 13890]]
['\\)', [14103, 14105]]
['\\)', [14171, 14173]]
['\\)', [14285, 14287]]
['\\)', [14739, 14741]]
['\\)', [15284, 15286]]
['\\)', [15647, 15649]]
['\\)', [16186, 16188]]
['\\)', [16280, 16282]]
['\\)', [16417, 16419]]
['\\)', [16894, 16896]]
['\\)', [16995, 16997]]
['\\)', [17039, 17041]]
['\\)', [17072, 17074]]
['\\)', [17455, 17457]]
['\\)', [17601, 17603]]
['\\)', [17637, 17639]]
['\\)', [17775, 17777]]
['\\)', [17801, 17803]]
['\\)', [18153, 18155]]
['\\)', [18698, 18700]]
['\\)', [19061, 19063]]
['\\)', [19600, 19602]]
['\\)', [19694, 19696]]
['\\)', [19831, 19833]]
['\\)', [20308, 20310]]
['\\)', [20409, 20411]]
['\\)', [20453, 20455]]
['\\)', [20486, 20488]]
['\\)', [20869, 20871]]
['\\)', [21015, 21017]]
['\\)', [21051, 21053]]
['\\)', [21189, 21191]]
['\\)', [21215, 21217]]
['\\)', [21556, 21558]]
['\\)', [22101, 22103]]
['\\)', [22404, 22406]]
['\\)', [22949, 22951]]
['\\)', [23313, 23315]]
['\\)', [23852, 23854]]
['\\)', [23946, 23948]]
['\\)', [24083, 24085]]
['\\)', [24374, 24376]]
['\\)', [24913, 24915]]
['\\)', [25007, 25009]]
['\\)', [25144, 25146]]
['\\)', [25622, 25624]]
['\\)', [25723, 25725]]
['\\)', [25767, 25769]]
['\\)', [25800, 25802]]
['\\)', [26183, 26185]]
['\\)', [26329, 26331]]
['\\)', [26365, 26367]]
['\\)', [26503, 26505]]
['\\)', [26529, 26531]]
['\\)', [27118, 27120]]
['\\)', [27219, 27221]]
['\\)', [27263, 27265]]
['\\)', [27296, 27298]]
['\\)', [27679, 27681]]
['\\)', [27825, 27827]]
['\\)', [27861, 27863]]
['\\)', [27999, 28001]]
['\\)', [28025, 28027]]
['\\)', [28435, 28437]]
['\\)', [28559, 28561]]
['\\)', [28670, 28672]]
['\\)', [28827, 28829]]
['\\)', [29179, 29181]]
['\\)', [29277, 29279]]
['\\)', [29699, 29701]]
['\\)', [29797, 29799]]
['\\)', [30023, 30025]]
['\\)', [30064, 30066]]
['\\)', [31343, 31345]]
['\\)', [32531, 32533]]
['\\)', [32655, 32657]]
['\\)', [32766, 32768]]
['\\)', [32923, 32925]]
['\\)', [33275, 33277]]
['\\)', [33373, 33375]]
['\\)', [33795, 33797]]
['\\)', [33893, 33895]]
['\\)', [34119, 34121]]
['\\)', [34160, 34162]]
['\\)', [35439, 35441]]
['peptide', [108, 115]]
['peptide', [172, 179]]
['peptide', [355, 362]]
['peptide', [375, 382]]
['peptide', [543, 550]]
['peptide', [757, 764]]
['peptide', [882, 889]]
['peptide', [3059, 3066]]
['peptide', [3149, 3156]]
['peptide', [3319, 3326]]
['peptide', [3519, 3526]]
['peptide', [3752, 3759]]
['peptide', [4114, 4121]]
['peptide', [4191, 4198]]
['peptide', [4249, 4256]]
['peptide', [4289, 4296]]
['peptide', [4496, 4503]]
['peptide', [4608, 4615]]
['peptide', [4750, 4757]]
['peptide', [4834, 4841]]
['peptide', [5220, 5227]]
['peptide', [5301, 5308]]
['peptide', [7071, 7078]]
['peptide', [7370, 7377]]
['peptide', [9492, 9499]]
['peptide', [9569, 9576]]
['peptide', [9627, 9634]]
['peptide', [9667, 9674]]
['peptide', [9874, 9881]]
['peptide', [9986, 9993]]
['peptide', [10128, 10135]]
['peptide', [10213, 10220]]
['peptide', [10599, 10606]]
['peptide', [10680, 10687]]
['peptide', [12451, 12458]]
['peptide', [12751, 12758]]
['peptide', [15426, 15433]]
['peptide', [15533, 15540]]
['peptide', [15729, 15736]]
['peptide', [15844, 15851]]
['peptide', [15864, 15871]]
['peptide', [16075, 16082]]
['peptide', [16147, 16154]]
['peptide', [16217, 16224]]
['peptide', [16385, 16392]]
['peptide', [16447, 16454]]
['peptide', [16486, 16493]]
['peptide', [16625, 16632]]
['peptide', [16663, 16670]]
['peptide', [17004, 17011]]
['peptide', [17379, 17386]]
['peptide', [17402, 17409]]
['peptide', [17566, 17573]]
['peptide', [17719, 17726]]
['peptide', [17847, 17854]]
['peptide', [18840, 18847]]
['peptide', [18947, 18954]]
['peptide', [19143, 19150]]
['peptide', [19258, 19265]]
['peptide', [19278, 19285]]
['peptide', [19489, 19496]]
['peptide', [19561, 19568]]
['peptide', [19631, 19638]]
['peptide', [19799, 19806]]
['peptide', [19861, 19868]]
['peptide', [19900, 19907]]
['peptide', [20039, 20046]]
['peptide', [20077, 20084]]
['peptide', [20418, 20425]]
['peptide', [20793, 20800]]
['peptide', [20816, 20823]]
['peptide', [20980, 20987]]
['peptide', [21133, 21140]]
['peptide', [21261, 21268]]
['peptide', [23092, 23099]]
['peptide', [23199, 23206]]
['peptide', [23395, 23402]]
['peptide', [23510, 23517]]
['peptide', [23530, 23537]]
['peptide', [23741, 23748]]
['peptide', [23813, 23820]]
['peptide', [23883, 23890]]
['peptide', [24051, 24058]]
['peptide', [24113, 24120]]
['peptide', [24153, 24160]]
['peptide', [24260, 24267]]
['peptide', [24456, 24463]]
['peptide', [24571, 24578]]
['peptide', [24591, 24598]]
['peptide', [24802, 24809]]
['peptide', [24874, 24881]]
['peptide', [24944, 24951]]
['peptide', [25112, 25119]]
['peptide', [25174, 25181]]
['peptide', [25214, 25221]]
['peptide', [25353, 25360]]
['peptide', [25391, 25398]]
['peptide', [25732, 25739]]
['peptide', [26107, 26114]]
['peptide', [26130, 26137]]
['peptide', [26294, 26301]]
['peptide', [26447, 26454]]
['peptide', [26575, 26582]]
['peptide', [26710, 26717]]
['peptide', [26849, 26856]]
['peptide', [26887, 26894]]
['peptide', [27228, 27235]]
['peptide', [27603, 27610]]
['peptide', [27626, 27633]]
['peptide', [27790, 27797]]
['peptide', [27943, 27950]]
['peptide', [28071, 28078]]
['peptide', [28932, 28939]]
['peptide', [29147, 29154]]
['peptide', [29295, 29302]]
['peptide', [29331, 29338]]
['peptide', [29373, 29380]]
['peptide', [29438, 29445]]
['peptide', [29479, 29486]]
['peptide', [29569, 29576]]
['peptide', [29602, 29609]]
['peptide', [29652, 29659]]
['peptide', [29671, 29678]]
['peptide', [29692, 29699]]
['peptide', [29767, 29774]]
['peptide', [29807, 29814]]
['peptide', [29895, 29902]]
['peptide', [30152, 30159]]
['peptide', [30314, 30321]]
['peptide', [30907, 30914]]
['peptide', [30983, 30990]]
['peptide', [31157, 31164]]
['peptide', [31287, 31294]]
['peptide', [31384, 31391]]
['peptide', [31543, 31550]]
['peptide', [31655, 31662]]
['peptide', [31731, 31738]]
['peptide', [31817, 31824]]
['peptide', [31937, 31944]]
['peptide', [31989, 31996]]
['peptide', [32110, 32117]]
['peptide', [32224, 32231]]
['peptide', [33028, 33035]]
['peptide', [33243, 33250]]
['peptide', [33391, 33398]]
['peptide', [33427, 33434]]
['peptide', [33469, 33476]]
['peptide', [33534, 33541]]
['peptide', [33575, 33582]]
['peptide', [33665, 33672]]
['peptide', [33698, 33705]]
['peptide', [33748, 33755]]
['peptide', [33767, 33774]]
['peptide', [33788, 33795]]
['peptide', [33863, 33870]]
['peptide', [33903, 33910]]
['peptide', [33991, 33998]]
['peptide', [34248, 34255]]
['peptide', [34410, 34417]]
['peptide', [35003, 35010]]
['peptide', [35079, 35086]]
['peptide', [35253, 35260]]
['peptide', [35383, 35390]]
['peptide', [35480, 35487]]
['peptide', [35639, 35646]]
['peptide', [35751, 35758]]
['peptide', [35827, 35834]]
['peptide', [35913, 35920]]
['peptide', [36033, 36040]]
['peptide', [36085, 36092]]
['peptide', [36206, 36213]]
['peptide', [36320, 36327]]
['ii', [116, 118]]
['ii', [180, 182]]
['ii', [363, 365]]
['ii', [551, 553]]
['ii', [765, 767]]
['ii', [890, 892]]
['ii', [3327, 3329]]
['ii', [3527, 3529]]
