['lipoprotein', [24954, 24965]]
['lipoprotein', [26027, 26038]]
['lipoprotein', [26829, 26840]]
['lipoprotein', [28107, 28118]]
['lipoprotein', [28542, 28553]]
['lipoprotein', [29834, 29845]]
['lipoprotein', [30319, 30330]]
['lipoprotein', [30562, 30573]]
['lipoprotein', [30807, 30818]]
['lipoprotein', [30935, 30946]]
['lipoprotein', [31920, 31931]]
['lipoprotein', [32195, 32206]]
['lipoprotein', [32411, 32422]]
['lipoprotein', [32602, 32613]]
['lipoprotein', [33675, 33686]]
['lipoprotein', [34477, 34488]]
['lipoprotein', [35755, 35766]]
['lipoprotein', [36190, 36201]]
['lipoprotein', [36970, 36981]]
['lipoprotein', [37213, 37224]]
['lipoprotein', [37458, 37469]]
['lipoprotein', [37586, 37597]]
['lipoprotein', [37769, 37780]]
['lipoprotein', [38012, 38023]]
['lipoprotein', [38257, 38268]]
['lipoprotein', [38385, 38396]]
['lipoprotein', [40184, 40195]]
['lipoprotein', [40459, 40470]]
['lipoprotein', [40675, 40686]]
['lipoprotein', [40866, 40877]]
['lipoprotein', [41939, 41950]]
['lipoprotein', [42741, 42752]]
['lipoprotein', [44019, 44030]]
['lipoprotein', [44454, 44465]]
['lipoprotein', [44820, 44831]]
['lipoprotein', [45095, 45106]]
['lipoprotein', [45311, 45322]]
['lipoprotein', [45502, 45513]]
['lipoprotein', [46575, 46586]]
['lipoprotein', [47377, 47388]]
['lipoprotein', [48655, 48666]]
['lipoprotein', [49090, 49101]]
['lipoprotein', [52659, 52670]]
['lipoprotein', [53427, 53438]]
['lipoprotein', [56915, 56926]]
['lipoprotein', [57683, 57694]]
['ht-related', [358, 368]]
['ht-related', [2612, 2622]]
['ht-related', [15349, 15359]]
['ht-related', [19751, 19761]]
['ht-related', [23693, 23703]]
['ht-related', [25695, 25705]]
['ht-related', [31341, 31351]]
['ht-related', [33343, 33353]]
['ht-related', [38792, 38802]]
['ht-related', [39604, 39614]]
['ht-related', [41607, 41617]]
['ht-related', [46243, 46253]]
['chd', [445, 448]]
['chd', [1457, 1460]]
['chd', [1616, 1619]]
['chd', [1806, 1809]]
['chd', [1899, 1902]]
['chd', [1944, 1947]]
['chd', [2030, 2033]]
['chd', [2623, 2626]]
['chd', [2966, 2969]]
['chd', [3254, 3257]]
['chd', [3399, 3402]]
['chd', [4635, 4638]]
['chd', [4794, 4797]]
['chd', [8741, 8744]]
['chd', [12728, 12731]]
['chd', [16489, 16492]]
['chd', [16567, 16570]]
['chd', [20891, 20894]]
['chd', [20969, 20972]]
['chd', [21791, 21794]]
['chd', [21871, 21874]]
['chd', [22012, 22015]]
['chd', [22120, 22123]]
['chd', [22293, 22296]]
['chd', [22629, 22632]]
['chd', [25151, 25154]]
['chd', [25295, 25298]]
['chd', [25408, 25411]]
['chd', [25566, 25569]]
['chd', [26154, 26157]]
['chd', [26924, 26927]]
['chd', [27919, 27922]]
['chd', [28077, 28080]]
['chd', [28217, 28220]]
['chd', [28325, 28328]]
['chd', [28461, 28464]]
['chd', [29181, 29184]]
['chd', [29273, 29276]]
['chd', [29439, 29442]]
['chd', [29519, 29522]]
['chd', [29660, 29663]]
['chd', [29768, 29771]]
['chd', [29941, 29944]]
['chd', [30277, 30280]]
['chd', [32799, 32802]]
['chd', [32943, 32946]]
['chd', [33056, 33059]]
['chd', [33214, 33217]]
['chd', [33802, 33805]]
['chd', [34572, 34575]]
['chd', [35567, 35570]]
['chd', [35725, 35728]]
['chd', [35865, 35868]]
['chd', [35973, 35976]]
['chd', [36109, 36112]]
['chd', [36829, 36832]]
['chd', [36921, 36924]]
['chd', [41063, 41066]]
['chd', [41207, 41210]]
['chd', [41320, 41323]]
['chd', [41478, 41481]]
['chd', [42066, 42069]]
['chd', [42836, 42839]]
['chd', [43831, 43834]]
['chd', [43989, 43992]]
['chd', [44129, 44132]]
['chd', [44237, 44240]]
['chd', [44373, 44376]]
['chd', [45699, 45702]]
['chd', [45843, 45846]]
['chd', [45956, 45959]]
['chd', [46114, 46117]]
['chd', [46702, 46705]]
['chd', [47472, 47475]]
['chd', [48467, 48470]]
['chd', [48625, 48628]]
['chd', [48765, 48768]]
['chd', [48873, 48876]]
['chd', [49009, 49012]]
['chd', [49730, 49733]]
['chd', [49822, 49825]]
['chd', [50137, 50140]]
['chd', [50229, 50232]]
['risk', [1811, 1815]]
['risk', [1891, 1895]]
['risk', [2034, 2038]]
['risk', [2627, 2631]]
['risk', [2970, 2974]]
['risk', [3403, 3407]]
['risk', [8745, 8749]]
['risk', [12732, 12736]]
['risk', [16493, 16497]]
